"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATUL KUMAR SINGH ANJAAN","2 - DARA SINGH CHAUHAN","3 - RAJEEV KUMAR RAI","4 - RASHTRA KUNWAR SINGH","5 - HARINARAYAN RAJBHAR","6 - BADRI NATH YADAV","7 - MANISH KUMAR RAI","8 - MOKHTAR ANSARI","9 - RAVI SHANKAR BHARAT","10 - RAJKUMAR CHAUHAN","11 - VIJAY KUMAR UPADHYAY","12 - DR. SHAMEEM ABIDI","13 - HARINATH","14 - HARISH CHANDRA","15 - HEMANT KUMAR","16 - DOODHNATH CHAUHAN","17 - VISHUN DAYAL","18 - SURYA KUMAR","19 - None of the Above","Total Votes Secured"
1,"PRIMARY P. MARHA MOHIUDDINPUR NO1",453,341,0,794,291,252,0,543,543,0,7,163,96,6,115,1,0,147,0,2,0,0,0,1,1,4,0,0,0,543
2,"PRIMARY P. MARHA MOHIUDDINPUR NO1",501,371,0,872,254,253,0,507,507,0,2,17,108,16,177,4,1,162,1,0,1,2,1,2,4,7,0,0,2,507
3,"PRIMARY P. MARHA MOHIUDDINPUR NO1",638,505,0,1143,365,215,0,580,580,0,9,105,147,13,203,11,4,63,0,1,1,3,2,0,0,8,1,2,7,580
4,"PRIMARY P. PATT N. IMART",380,281,0,661,205,181,0,386,386,0,3,115,73,5,157,2,0,26,1,0,1,0,0,0,1,1,0,1,0,386
5,"PRIMARY P. KOTHIYA WEST BHAG",726,605,0,1331,382,390,0,772,772,0,11,518,142,7,63,2,2,8,2,2,6,0,1,0,0,2,5,0,1,772
6,"PRIMARY P. KOTHIYA EAST BHAG",289,255,0,544,175,169,0,344,344,0,1,285,0,1,44,0,0,5,0,0,1,0,1,0,1,1,0,4,0,344
7,"PRIMARY P. SARKANDA N. IMART",368,287,0,655,178,206,0,384,384,0,1,144,14,0,1,0,1,213,2,0,2,0,1,1,1,1,0,2,0,384
8,"RASHTIY INTER COLLAGE BADINA",856,682,0,1538,324,326,0,650,650,0,2,26,13,27,494,6,6,52,2,1,3,0,0,3,2,10,1,0,2,650
9,"RASHTIY INTER COLLAGE BADINA",838,686,0,1524,337,388,0,725,725,0,8,170,62,5,412,7,8,19,3,0,3,3,2,5,6,7,0,2,3,725
10,"PRIMARY P. BARA NARTH BHAG",542,450,0,992,271,215,0,486,486,0,23,32,30,7,355,1,2,22,1,0,0,3,1,1,1,2,3,1,1,486
11,"PRIMARY P. BARA",778,615,0,1393,387,338,0,725,725,0,14,321,110,18,179,6,2,20,2,1,10,3,1,5,9,16,2,3,3,725
12,"PRIMARY P. ITAURACHAUBEPUR WEST BHAG",676,552,0,1228,324,321,0,645,645,0,4,48,195,6,241,1,5,91,3,2,0,3,8,3,2,23,3,2,5,645
13,"PRIMARY P. ITAURACHAUBEPUR",707,554,0,1261,303,301,0,604,604,0,10,279,13,18,180,4,4,3,1,0,2,2,53,6,9,8,2,6,4,604
14,"PRIMARY P. ITAURACHAUBEPUR",698,564,0,1262,305,287,0,592,592,0,7,119,45,7,272,6,5,38,2,2,4,4,36,4,13,23,1,3,1,592
15,"PRIMARY P. SIYABASTI",752,612,0,1364,388,367,0,755,755,0,42,188,81,39,325,4,2,40,0,2,6,5,4,2,5,7,0,2,1,755
16,"PRIMARY P. SIYABASTI",702,554,0,1256,350,337,0,687,687,0,12,49,89,7,422,17,2,49,3,2,3,4,7,0,4,15,1,1,0,687
17,"PRIMARY P. DEVKALIDELASH",745,569,0,1314,401,369,0,770,770,0,7,41,146,50,404,4,5,94,1,2,2,3,2,0,0,5,0,1,3,770
18,"PRIMARY SCHOOL BAIRAMPUR",527,470,0,997,361,343,0,704,704,0,1,205,416,7,38,2,2,14,1,2,2,0,1,1,3,3,1,3,2,704
19,"PRIMARY P. RAMPURKANDHI N. IMART",291,243,0,534,167,154,0,321,321,0,1,57,16,27,198,3,0,8,1,1,1,1,0,0,0,5,0,1,1,321
20,"DEVRSHI INTER C. DEVKALI DEVLAS",298,266,0,564,155,139,0,294,294,0,1,5,25,9,144,3,0,100,0,0,2,0,0,1,0,1,1,1,1,294
21,"PRIMARY P. AARIPUR N. IMART",679,584,0,1263,383,359,0,742,742,0,9,379,93,8,144,7,2,40,3,5,2,4,2,1,8,18,3,11,3,742
22,"PRIMARY P. SALEMPUR N. IMART",449,378,0,827,234,230,0,464,464,0,11,134,119,14,147,3,1,18,1,4,1,0,0,2,1,3,3,0,2,464
23,"HIGHER PRIMARY SCHOOL SAHUVARI",645,563,0,1208,268,307,0,575,575,0,5,73,126,10,109,0,5,216,5,1,1,0,3,1,3,11,2,1,3,575
24,"HIGHER PRIMARY SCHOOL SAHUVARI",304,287,0,591,160,181,0,341,341,0,1,6,220,10,33,2,3,49,1,1,0,0,0,2,2,3,8,0,0,341
25,"PRIMARY SCHOOL SAHUVARI",426,393,0,819,204,210,0,414,414,0,13,117,64,4,167,4,2,19,3,1,0,0,2,3,2,5,3,3,2,414
26,"PRIMARY P. NASOPUR",557,447,0,1004,270,281,0,551,551,0,7,26,128,6,89,0,0,286,2,0,1,1,0,1,1,2,0,0,1,551
27,"PRIMARY P. DOLANA UTTAR BHAG",312,258,0,570,162,131,0,293,293,0,7,25,133,7,104,0,3,2,2,1,0,0,0,0,2,5,0,1,1,293
28,"PRIMARY P. DOLANA SAUTH BHAG",558,454,0,1012,251,269,0,520,520,0,7,192,25,8,142,2,2,129,1,2,0,0,1,2,1,4,0,1,1,520
29,"PRIMARFY P. CHAKBARBOCHI N. IMART",409,362,0,771,224,247,0,471,471,0,6,254,13,7,140,3,1,25,3,1,4,2,1,1,2,0,1,6,1,471
30,"K.PRIMARY P. FARIDPUR NARTH BHAG",483,404,0,887,244,223,0,467,467,0,1,5,119,20,213,7,2,69,1,2,5,5,1,1,4,7,2,1,2,467
31,"K.PRIMARY P.FARIDPUR D. BHAG",474,428,0,902,240,218,0,458,458,0,4,230,91,5,86,2,0,27,0,0,1,2,0,0,2,2,0,1,5,458
32,"PRIMARY P. HARNASATH N. IMART",311,290,0,601,188,196,0,384,384,0,7,257,14,2,26,1,2,45,1,2,5,0,0,1,4,5,0,11,1,384
33,"J.HIGH SCHOOL BANDIGHT EAST BHAG",541,491,0,1032,265,264,0,529,529,0,13,54,21,3,197,3,4,212,2,2,3,0,1,0,3,7,0,1,3,529
34,"J.HIGH SCHOOL BANDIGHT WEST BHAG",471,422,0,893,244,261,0,505,505,0,3,18,16,3,285,9,3,149,2,0,2,1,0,1,1,4,1,2,5,505
35,"PRIMARY P. BHATKOL",752,616,0,1368,367,377,0,744,744,0,8,161,44,10,428,7,3,49,2,2,5,1,1,3,3,11,0,4,2,744
36,"PRIMARY P. BHATKOL EAST BHAG",890,660,0,1550,513,429,0,942,942,0,7,137,52,9,259,2,4,432,4,4,4,0,3,0,3,5,2,11,4,942
37,"PRIMARY P. BHOPATPUR N. IMART",322,282,0,604,206,206,0,412,412,0,2,304,25,1,63,2,1,6,0,0,0,0,1,1,1,1,0,3,1,412
38,"PRIMARY P. BHATPARA N. IMART",447,363,0,810,230,224,0,454,454,0,6,94,7,6,219,9,0,93,1,0,2,1,1,0,1,9,0,2,3,454
39,"PRIMAR P. VALIDPUR",743,587,0,1330,462,399,0,861,861,0,36,274,218,3,83,7,3,216,3,2,1,3,3,0,1,1,1,2,4,861
40,"PRIMARY P. CHAKBHABVAN",793,643,0,1436,478,398,0,876,876,0,10,192,70,13,448,12,3,73,1,1,4,0,2,6,5,16,3,10,7,876
41,"PRIMARY P. KHALISA",685,576,0,1261,383,363,0,746,746,0,7,249,155,6,160,1,4,147,1,1,3,1,0,2,4,3,0,0,2,746
42,"B.R.K. INTER COLLAGE VALIDPUR",932,707,0,1639,540,430,0,970,970,0,11,49,187,9,297,9,5,231,4,6,3,136,1,2,0,10,0,6,4,970
43,"PRIMARY P. VALIDPUR M.BHAG",670,584,0,1254,427,411,0,838,838,0,21,203,143,3,60,1,2,366,1,1,3,18,0,2,1,8,2,3,0,838
44,"PRIMARY P. VALIDPUR EAST BHAG",804,634,0,1438,385,347,0,732,732,0,2,40,83,8,83,0,3,355,1,1,0,148,0,0,0,6,1,1,0,732
