"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GIRISH CHANDRA","2 - YASHWANT SINGH","3 - YASHVIR SINGH","4 - OMPRAKASH RAVI","5 - TEJ SINGH","6 - BHAGWAN DASS RATHOR","7 - MANJU DEVI","8 - VINOD KUMAR","9 - SHARISHTHA KUMAR SINGH","10 - SHEESHRAM SINGH RAVI","11 - SARIKA","12 - ASARPAT SINGH","13 - SHAMSHER","14 - SUNIL","15 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL RAMPUR CHATHA",286,269,0,555,242,207,0,449,444,0,16,393,21,2,2,5,0,1,1,0,0,1,1,2,4,449
2,"PRIMARY SCHOOL KAMGARPUR ROOM NO.-1",490,442,0,932,330,267,0,597,597,0,208,352,13,5,1,4,6,0,1,1,1,1,0,1,3,597
3,"PRIMARY SCHOOL KAMGARPUR ROOM NO.-2",372,343,0,715,266,248,0,514,514,0,283,160,47,1,3,2,2,0,0,1,1,3,1,6,4,514
4,"JHS MUJAHIDA PATTI BHAGUWALA ROOM NO. 1",512,483,0,995,323,289,0,612,553,0,129,226,232,1,4,3,4,1,0,0,1,2,2,3,4,612
5,"JHS MUJAHIDA PATTI BHAGUWALA ROOM NO. 2",539,484,1,1024,262,340,0,602,594,0,43,12,528,1,0,0,0,1,0,2,3,1,4,5,2,602
6,"JHS MUJAHIDA PATTI BHAGUWALA ROOM NO. 3",547,480,0,1027,280,266,0,546,546,0,32,125,365,4,1,0,1,0,0,2,0,5,8,0,3,546
7,"JHS MUJAHIDA PATTI BHAGUWALA ROOM NO. 4",493,477,0,970,247,258,0,505,502,0,41,51,400,0,0,0,0,1,0,1,1,0,3,2,5,505
8,"PRIMARY SCHOOL BHAGUWALA FIRST ROOM NO.-1",580,493,1,1074,383,315,0,698,698,0,115,206,340,4,2,4,3,0,1,5,2,6,2,2,6,698
9,"PRIMARY SCHOOL BHAGUWALA FIRST ROOM NO.-2",597,540,0,1137,305,330,0,635,567,0,70,130,411,2,2,2,2,1,0,2,3,1,2,2,5,635
10,"PRIMARY SCHOOL BHAGUWALA ROOM NO.-1",561,498,0,1059,241,257,0,498,498,0,19,9,443,1,0,1,1,0,2,6,4,1,5,1,5,498
11,"PRIMARY SCHOOL BHAGUWALA ROOM NO.-2",665,607,0,1272,479,387,0,866,860,0,17,1,810,8,0,1,0,1,1,3,0,2,11,3,8,866
12,"PRIMARY SCHOOL MIRZAPUR URF PRITAMGARH",251,231,0,482,196,190,0,386,386,0,12,338,19,2,2,1,0,0,0,1,0,3,4,1,3,386
13,"PRIMARY SCHOOL SHYAMIWALA ROOM NO.-1",742,660,0,1402,428,402,0,830,810,0,91,395,290,9,2,1,3,0,1,8,1,4,5,9,11,830
14,"PRIMARY SCHOOL SHYAMIWALA ROOM NO.-2",766,673,0,1439,413,414,0,827,815,0,12,157,611,7,4,4,3,0,0,3,2,4,7,5,8,827
15,"PRIMARY SCHOOL RAMDASWALI ROOM NO.-1",536,393,0,929,340,287,0,627,627,0,207,360,37,1,2,1,1,1,1,0,1,0,1,4,10,627
16,"PRIMARY SCHOOL RAMDASWALI ROOM NO.-2",352,350,0,702,214,228,0,442,438,0,288,126,15,0,0,0,0,0,0,0,1,1,1,1,9,442
17,"PRIMARY SCHOOL SABALGARH",730,637,0,1367,443,463,0,906,854,0,343,87,438,5,3,0,1,3,2,1,9,2,2,4,6,906
18,"PRIMARY SCHOOL KASHIRAMPUR",705,636,0,1341,436,460,0,896,892,0,255,384,228,4,5,3,0,1,0,0,0,2,5,4,5,896
19,"PRIMARY SCHOOL RAIPUR KHAS ROOM NO.-1",526,469,0,995,333,307,0,640,638,0,128,360,130,1,2,0,1,0,1,1,0,1,5,3,7,640
20,"PRIMARY SCHOOL RAIPUR KHAS ROOM NO.-2",418,397,0,815,290,280,0,570,499,0,287,155,95,1,0,0,0,2,1,1,4,4,6,7,7,570
21,"PRIMARY SCHOOL DAHEERPUR ROOM NO.-1",528,440,0,968,317,326,0,643,640,0,41,18,562,1,0,0,0,0,1,3,0,0,12,3,2,643
22,"PRIMARY SCHOOL DAHEERPUR ROOM NO.-2",498,454,1,953,243,352,0,595,595,0,14,7,551,6,1,1,0,1,0,3,1,1,3,3,3,595
23,"PRIMARY SCHOOL AURANGPUR BASANTA ROOM NO.-1",507,440,0,947,279,321,0,600,580,0,134,203,234,1,0,4,1,2,0,0,4,2,7,4,4,600
24,"PRIMARY SCHOOL AURANGPUR BASANTA ROOM NO.-2",508,477,0,985,260,315,0,575,575,0,145,268,144,3,1,2,0,0,0,2,1,1,3,3,2,575
25,"PRIMARY SCHOOL HASANPUR",747,705,0,1452,423,489,0,912,912,0,212,288,357,8,5,3,0,1,1,1,1,4,12,5,14,912
26,"PRIMARY SCHOOL FARAZPUR",314,287,0,601,213,209,0,422,395,0,236,170,2,1,0,0,0,1,1,0,0,2,1,5,3,422
27,"PRIMARY SCHOOL RAFIPUR MOHAN",529,481,1,1011,367,318,0,685,667,0,366,290,15,1,0,2,1,0,0,0,1,0,1,2,6,685
28,"PRIMARY SCHOOL KAROLI",548,527,0,1075,307,368,0,675,669,0,120,316,217,1,1,3,0,3,0,1,1,1,2,4,5,675
29,"PRIMARY SCHOOL MIRAMPUR BEGA",728,603,0,1331,418,421,0,839,794,0,220,298,268,1,5,6,1,2,1,5,7,6,4,4,11,839
30,"PRIMARY SCHOOL MIRZAPUR SAID",460,455,0,915,276,328,0,604,604,0,62,22,482,4,0,8,0,1,0,2,0,4,9,5,5,604
31,"PRIMARY SCHOOL JALPUR ROOM NO.-1",605,512,0,1117,292,294,0,586,582,0,21,142,398,2,1,1,1,0,0,4,1,1,8,2,4,586
