"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UPENDRA SINGH","2 - NARAYAN SINGH SUMAN","3 - MAHARAJ SINGH DHANGAR","4 - DR. RAM SHANKAR KATHERIA","5 - ANIL","6 - ANITA","7 - CHANDRA PAL","8 - PREM SINGH","9 - RAMESH","10 - RAVINDRA SINGH","11 - AMAR SINGH","12 - ASHOK KUMAR","13 - OM PRAKASH","14 - DINESH KUMAR GAUTAM","15 - VINOD KUMAR SINGH","16 - None of the Above","Total Votes Secured"
1,"SARASWATI VIDHYA MANDIR INTER COLLEGE R.NO.-1 ALWATIYA ROAD",692,544,0,1236,385,293,0,678,651,0,11,58,18,558,3,0,0,0,0,9,1,0,6,1,3,10,678
2,"SARASWATI VIDHYA MANDIR INTER COLLEGE R.NO.-2 ALWATIYA ROAD",250,220,0,470,161,134,0,295,285,0,8,2,7,266,1,0,0,0,0,10,1,0,0,0,0,0,295
3,"SARASWATI VIDHYA MANDIR INTER COLLEGE R.NO.-3 ALWATIYA ROAD",431,354,0,785,209,207,0,416,416,0,10,137,9,237,0,0,0,0,0,12,1,0,7,0,0,3,416
4,"SARASWATI VIDHYA MANDIR INTER COLLEGE R.NO.-4 ALWATIYA ROAD",474,381,0,855,298,207,0,505,438,0,15,16,14,436,1,0,0,0,1,1,5,2,8,2,1,3,505
5,"SARASWATI VIDHYA MANDIR INTER COLLEGE R.NO.-5 ALWATIYA ROAD",722,564,0,1286,435,331,0,766,577,0,26,453,38,207,1,1,0,0,0,1,1,1,28,5,2,2,766
6,"SARASWATI VIDHYA MANDIR INTER COLLEGE R.NO.-6 ALWATIYA ROAD",799,611,0,1410,466,329,0,795,790,0,17,98,22,635,1,0,1,0,1,6,1,2,4,3,1,3,795
7,"SHIV SAKTI SCHOOL ALWATIYA R.NO.1",718,578,0,1296,434,420,0,854,793,0,23,36,18,741,4,2,0,1,1,2,11,2,2,4,2,5,854
8,"SHIV SAKTI SCHOOL ALWATIYA R.NO.2",654,528,0,1182,478,382,0,860,859,0,21,22,27,776,0,1,0,1,0,1,3,0,3,0,0,5,860
9,"SHIV SAKTI SCHOOL ALWATIYA R.NO.3",677,573,0,1250,398,293,0,691,590,0,5,192,49,423,3,1,0,0,0,7,2,3,0,2,1,3,691
10,"AYODHYA PRASAD INTER COLLEGE BALAJIPURAM R.NO-1",526,462,0,988,312,255,0,567,448,0,24,100,31,394,1,0,2,0,1,7,2,1,0,0,0,4,567
