"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.BHOLA PANDEY","2 - RAVINDRA KUSHAWAHA","3 - RAVI SHANKER SINGH","4 - HARIBANSH SAHAI KUSHWAHA","5 - ONKAR SINGH","6 - OM PRAKASH RAJBHAR","7 - CHANDRA PRATAP SINGH","8 - FIROZ AKHTAR","9 - SHRIRAM CHAUDHARY","10 - DR SANJAY KR. SINGH","11 - RAM KRIPAL","12 - SIYARAM DAS","13 - SUSHANT RAJ PATHAK","14 - None of the Above","Total Votes Secured"
1,"P.P. SONADIH (EAST)",466,395,0,861,202,177,0,379,379,0,22,191,58,86,2,4,0,1,2,1,3,1,1,7,379
2,"P.P. SONADIH (WEST)",568,458,0,1026,221,346,0,567,567,0,4,217,251,61,1,11,3,1,2,0,1,5,2,8,567
3,"J.H.S. SONADIH",611,529,0,1140,326,288,0,614,614,0,9,322,46,202,5,16,2,0,0,1,3,0,2,6,614
4,"P.P. TANGUNIYA (EAST)",817,726,0,1543,356,336,0,692,692,0,8,234,198,217,6,11,3,1,1,0,4,1,1,7,692
5,"P.P. TANGUNIYA (WEST)",721,657,2,1380,380,299,0,679,679,0,8,246,25,361,7,18,0,2,0,0,7,0,2,3,679
6,"P.P. DOTH (NORTH)",464,418,0,882,207,235,0,442,442,0,32,181,33,48,5,110,4,0,0,5,0,3,2,19,442
7,"P.P. DOTH (SOUTH)",470,407,0,877,217,199,0,416,416,0,8,176,23,103,4,86,1,2,1,1,3,1,2,5,416
8,"P.P. BHINDKUND (NORTH)",536,434,0,970,290,236,0,526,526,0,12,265,191,38,0,6,4,0,2,0,3,0,1,4,526
9,"P.P. BHINDKUND (SOUTH)",396,382,0,778,209,223,0,432,432,0,5,274,45,32,3,55,1,1,2,2,4,2,2,4,432
10,"P.P. GAURITAL GHOSA",414,356,0,770,223,223,0,446,446,0,9,242,37,97,5,52,1,0,1,0,2,0,0,0,446
11,"NAHAR COLONY CHAINPUR GULAURA (EAST)",527,452,0,979,325,275,0,600,600,0,10,232,212,52,1,65,6,0,4,1,4,4,3,6,600
12,"NAHAR COLONY CHAINPUR GULAURA (WEST)",556,482,0,1038,252,230,0,482,482,0,9,149,152,143,4,15,3,1,0,0,1,0,1,4,482
13,"P.P. CHAINPUR GULAURA (EAST)",479,438,0,917,215,230,0,445,445,0,16,179,84,75,2,75,4,0,1,1,2,0,0,6,445
14,"P.P. CHAINPUR GULAURA (WEST)",508,446,0,954,210,246,0,456,456,0,40,182,98,73,2,45,2,2,2,0,1,4,1,4,456
15,"P.P. KHAIRAKHAS",658,526,1,1185,318,314,0,632,632,0,58,232,66,59,7,194,0,3,0,1,9,0,0,3,632
16,"P.P. TURTIPAR",580,467,0,1047,253,238,0,491,491,0,33,258,119,10,3,63,0,0,0,0,3,1,0,1,491
17,"KANYA P.P. TURTIPAR (NORTH)",660,527,0,1187,325,318,0,643,643,0,42,252,229,52,0,44,2,0,2,2,4,2,2,10,643
18,"KANYA P.P. TURTIPAR (SOUTH)",664,552,0,1216,409,250,0,659,659,0,54,240,63,28,7,241,4,2,3,2,3,4,4,4,659
19,"P.P. CHANDAYAR BALIPUR (NORTH)",488,440,2,930,231,258,0,489,489,0,12,176,123,31,0,141,1,1,3,0,0,0,0,1,489
20,"P.P. CHANDAYAR BALIPUR (SOUTH)",480,438,1,919,272,247,0,519,519,0,37,119,164,58,2,132,1,0,0,1,2,1,0,2,519
21,"P.P. CHANDAYAR KALA",380,322,0,702,208,206,0,414,414,0,11,207,156,27,3,2,5,0,0,0,0,0,3,0,414
22,"P.P. BUDHIPUR",428,368,0,796,184,146,0,330,330,0,27,139,114,17,2,9,0,2,14,1,1,1,1,2,330
23,"P.P. INDAULI JAMIN INDAULI",395,393,0,788,213,255,0,468,468,0,12,230,154,56,1,4,1,1,1,0,2,0,3,3,468
24,"P.P. ATRAUL CHAK MILKAN",602,611,4,1217,376,372,0,748,748,0,18,358,133,103,2,120,4,1,1,1,4,1,0,2,748
25,"P.P. PADARI",645,592,1,1238,338,357,0,695,695,0,18,478,140,37,3,13,1,0,0,0,1,0,1,3,695
26,"P.P. TENDUHARI",348,310,0,658,155,124,0,279,279,0,15,16,29,151,3,54,8,0,0,0,0,1,1,1,279
27,"P.P. MUBARAKPUR",578,468,0,1046,272,300,0,572,572,0,12,230,73,206,3,22,13,1,2,3,3,1,1,2,572
28,"P.P. BAHORWA KHURD",475,417,0,892,233,252,0,485,485,0,73,89,177,104,2,24,4,0,1,0,0,3,2,6,485
29,"E.J.B.V. BANSPAR BAHORWA (EAST)",466,471,0,937,174,201,0,375,375,0,40,119,14,94,0,99,1,1,0,2,2,0,2,1,375
30,"E.J.B.V. BANSPAR BAHORWA (WEST)",403,352,0,755,143,163,0,306,306,0,39,107,38,53,2,55,1,0,2,1,1,0,4,3,306
31,"E.P.V. BANSPAR BAHORWA (EAST)",463,416,0,879,200,218,0,418,418,0,81,214,53,28,2,33,0,0,3,0,1,0,0,3,418
32,"E.P.V. BANSPAR BAHORWA (WEST)",568,496,4,1068,320,300,0,620,620,0,20,253,241,49,5,43,0,3,2,0,0,2,1,1,620
33,"P.P. TIRNAI KHURD",705,571,0,1276,338,311,0,649,649,0,33,389,19,152,4,42,2,1,0,2,3,0,0,2,649
34,"P.P. BITHUA (NORTH)",627,556,0,1183,302,274,0,576,576,0,39,232,41,114,4,127,2,1,1,2,3,0,2,8,576
35,"P.P. BITHUA (SOUTH)",549,450,0,999,310,264,0,574,574,0,13,363,144,34,3,10,1,1,0,0,0,2,2,1,574
36,"J.H. SCHOOL SIAR (EAST)",654,564,0,1218,355,282,0,637,637,0,7,570,23,29,0,1,3,1,0,0,0,0,2,1,637
37,"J.H. SCHOOL SIAR (MIDDEL)",741,669,0,1410,436,333,0,769,769,0,34,564,56,89,1,14,3,2,1,0,2,0,0,3,769
38,"J.H. SCHOOL SIAR (MIDDEL)",345,344,0,689,179,174,0,353,353,0,4,228,72,35,1,4,0,1,1,0,1,1,1,4,353
39,"J.H. SCHOOL SIAR (MIDDEL)",271,232,0,503,136,119,0,255,255,0,7,148,12,48,1,29,2,0,0,0,0,1,0,7,255
40,"J.H. SCHOOL SIAR (WEST)",679,538,0,1217,281,287,0,568,568,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,568
41,"SHYAM S.B.V. BELTHARAROAD (EAST)",641,586,0,1227,327,317,0,644,644,0,54,182,276,92,2,27,5,1,0,1,1,0,1,2,644
42,"SHYAM S.B.V. BELTHARAROAD (WEST)",772,603,3,1378,403,339,0,742,742,0,22,557,79,73,0,1,3,0,1,1,0,1,0,4,742
43,"GHANDHI MEMORIAL INTER COLLAGE BELTHRAROAD (NORTH)",861,736,0,1597,451,305,0,756,756,0,46,517,72,97,1,12,7,0,0,0,1,0,1,2,756
44,"GHANDHI MEMORIAL INTER COLLAGE BELTHRAROAD (MIDDEL)",740,660,0,1400,366,328,0,694,694,0,48,221,95,147,2,157,6,4,0,1,3,1,2,7,694
45,"GHANDHI MEMORIAL INTER COLLAGE BELTHRAROAD (MIDDEL)",658,498,0,1156,373,265,0,638,638,0,16,249,343,19,1,2,1,2,0,0,0,2,0,3,638
46,"GHANDHI MEMORIAL INTER COLLAGE BELTHRAROAD (SOUTH)",309,244,0,553,179,142,0,321,321,0,6,190,96,25,0,0,0,1,1,0,0,0,0,2,321
47,"P.P. SIAR NO.-2 (EAST)",753,576,2,1331,411,306,0,717,717,0,20,558,86,27,0,16,2,0,0,0,2,0,2,4,717
48,"P.P. SIAR NO.-2 (MIDDEL)",437,349,0,786,201,188,0,389,389,0,26,122,113,96,1,27,0,0,0,0,0,0,0,4,389
49,"P.P. SIAR NO.-2 (WEST)",533,482,0,1015,356,200,0,556,556,0,27,325,75,95,2,15,1,8,1,0,2,0,0,5,556
50,"P.P. CHAUKIYA  (NORTH)",513,463,0,976,360,200,0,560,560,0,109,247,114,69,2,13,1,0,0,0,1,0,0,4,560
51,"P.P. CHAUKIYA (SOUTH)",515,453,0,968,316,267,0,583,583,0,73,280,159,57,1,4,2,0,0,0,0,0,1,6,583
52,"E.P.P. UBHAW",581,535,0,1116,341,272,0,613,613,0,44,113,211,104,5,120,2,1,0,0,0,3,5,5,613
53,"P.P. MAJHWALIYA",372,320,2,694,236,213,0,449,449,0,6,135,185,114,1,0,1,2,0,0,2,0,0,3,449
54,"P.P. BELTHARA BAZAR (EAST)",596,487,0,1083,336,206,0,542,542,0,13,197,233,36,1,50,1,1,1,0,2,0,5,2,542
55,"P.P. BELTHARA BAZAR (WEST)",594,489,0,1083,268,290,0,558,558,0,35,215,128,56,3,106,5,1,2,0,3,1,0,3,558
56,"P.P. HALDIRAMPUR NO.-2 (RAMPUR)",567,451,0,1018,257,218,0,475,475,0,16,243,61,5,4,127,3,4,1,1,1,3,2,4,475
57,"P.P. HALDIRAMPUR NARLA (NORTH)",494,412,0,906,239,200,0,439,439,0,9,196,65,129,3,26,0,0,1,1,4,3,0,2,439
58,"P.P. HALDIRAMPUR NARLA (SOUTH)",434,343,0,777,172,146,0,318,318,0,7,113,60,42,2,74,4,1,1,0,1,3,2,8,318
59,"LALMANI U.M.V. HALDIRAMPUR",675,551,0,1226,283,293,0,576,576,0,7,345,25,71,5,100,2,2,3,0,3,4,4,5,576
60,"BABA BHARATDAS PURWA M.V. HALDIRAMPUR (SAHIYA) (EAST)",578,497,1,1076,283,273,0,556,556,0,3,199,116,147,1,70,2,0,2,2,2,2,3,7,556
61,"BABA BHARATDAS PURWA M.V. HALDIRAMPUR (SAHIYA) (WEST)",632,515,0,1147,375,242,0,617,617,0,30,252,154,132,1,24,1,1,0,2,9,0,2,9,617
62,"KANYA P.P. HALDIRAMPUR (EAST)",473,417,0,890,262,226,0,488,488,0,0,256,107,19,2,103,0,0,0,0,0,0,0,1,488
63,"KANYA P.P. HALDIRAMPUR (WEST)",451,385,0,836,232,228,0,460,460,0,7,205,101,8,2,109,0,2,1,2,5,3,1,14,460
64,"P.P. HALDIRAMPUR KHAS NO.-1",604,505,0,1109,278,251,0,529,529,0,12,203,196,17,4,65,5,2,1,0,4,6,6,8,529
