"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. AKHILESH KUMAR DWIVEDI","2 - RAKESH DHAR TRIPATHI","3 - VIRENDRA SINGH","4 - SARTAJ IMAM","5 - SEEMA MISHRA","6 - AJAY KUMAR MAURYA","7 - TEJ BAHADUR YADAV ADVOCATE","8 - RAJESH KUMAR ALIAS KHANNA MAURYA","9 - RAM SAGAR BIND","10 - CHANDRASHEKHAR","11 - JAGJEEVAN RAM","12 - JEEVAN KUMAR MALLAH","13 - RAM SAKHA TRIPATHI","14 - SANTRAJ SINGH","15 - None of the Above","Total Votes Secured"
1,"P.S.LAKHANO R.NO. 1",757,592,0,1349,370,233,0,603,73,0,2,39,330,36,155,3,22,1,0,4,2,4,2,0,3,603
2,"P.S.LAKHANO R.NO. 2",561,413,0,974,258,193,0,451,75,0,0,142,226,9,60,1,9,0,0,0,1,0,2,0,1,451
3,"P.S.JORAI R.NO. 1",821,658,0,1479,609,347,0,956,75,0,4,237,156,2,76,6,430,11,3,3,1,1,5,8,13,956
4,"P.S.JORAI R.NO. 2",527,391,0,918,153,208,0,361,94,0,2,35,195,6,32,3,77,2,2,1,0,1,1,1,3,361
5,"P.S.JORAI R.NO. 3",545,439,0,984,275,215,0,490,77,0,3,55,207,18,54,0,140,3,1,1,1,2,1,1,3,490
6,"P.S.BANKAT J. CHHNAURA R. NO. 1",374,310,0,684,245,205,0,450,63,0,3,240,178,5,12,0,9,1,0,0,0,0,1,1,0,450
7,"A.B.CENTRE VEDPUR",498,431,0,929,311,287,0,598,526,0,6,234,213,21,30,1,79,1,0,0,0,2,2,2,7,598
8,P.S.GIRDHARPUR,285,267,0,552,149,177,0,326,325,0,8,89,55,4,43,0,95,6,2,5,8,0,2,2,7,326
9,P.S.BHUSAULA,770,640,0,1410,525,355,0,880,3,0,5,164,173,4,23,5,473,9,4,6,8,0,2,1,3,880
10,"P.S.LAKSHAMANPATTI R. NO. 1",643,492,0,1135,373,305,0,678,668,0,9,249,237,26,127,1,10,0,0,0,1,0,3,7,8,678
11,"P.S.LAKSHAMANPATTI R. NO. 2",447,369,0,816,291,266,0,557,427,0,11,214,271,7,29,2,6,0,1,1,1,1,2,4,7,557
12,"P.S.LAKSHAMANPATTI R. NO. 3",435,375,0,810,236,225,0,461,16,0,11,191,206,4,28,4,7,1,1,1,0,2,1,2,2,461
13,"P.S.PANAIPUR LAKSHAMANPATTI",541,446,0,987,313,284,0,597,312,0,5,72,413,31,68,0,2,0,2,2,1,1,0,0,0,597
14,P.S.GHARAAV,594,464,0,1058,334,315,0,649,263,0,8,233,245,17,96,3,19,0,0,1,8,5,1,4,9,649
15,P.S.KANSAPUR,616,473,0,1089,413,325,0,738,100,0,6,250,311,10,104,1,43,1,3,0,5,2,1,1,0,738
16,"P.S.BHIDIURA R.NO.1",727,618,0,1345,431,402,0,833,9,0,1,77,538,10,135,4,44,4,1,1,2,3,3,3,7,833
17,"P.S.BHIDIURA R.NO.2",750,636,0,1386,477,377,0,854,12,0,19,399,241,12,62,4,110,0,3,0,1,1,0,1,1,854
18,"P.S.BHAGWANPUR KALA KHURD",386,336,0,722,240,226,0,466,7,0,3,112,295,6,22,1,8,0,1,3,6,1,5,1,2,466
19,"P.S.BHUDAKI R.NO.1",664,511,0,1175,466,252,0,718,100,0,11,264,297,12,85,0,20,1,2,2,2,1,5,5,11,718
20,"P.S.BHUDAKI R.NO.2",559,452,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,P.S.SINGHPUR,826,716,1,1543,446,412,0,858,29,0,7,269,384,23,143,1,1,0,3,0,0,4,6,7,10,858
22,"J.H.S.BADAWAPUR URF TIWARIPUR",630,512,0,1142,364,331,0,695,356,0,3,165,241,32,99,2,112,7,2,1,2,6,7,9,7,695
23,P.S.BIRAHIMPUR,278,227,0,505,165,105,0,270,122,0,0,5,77,6,52,4,119,2,2,2,1,0,0,0,0,270
24,"P.S.JAKHAANV R.NO.1",730,527,0,1257,407,349,0,756,745,0,9,205,432,8,88,3,3,1,1,0,1,2,2,1,0,756
25,"P.S.JAKHAANV R.NO.2",792,591,1,1384,434,361,0,795,463,0,4,47,575,17,119,14,6,5,0,0,0,1,2,3,2,795
26,"PANCHAYAT BHAWAN JAKHAANV",760,611,0,1371,414,301,0,715,633,0,7,92,370,6,168,4,33,3,5,5,3,6,3,5,5,715
27,P.S.JOGINKA,475,420,0,895,368,247,0,615,30,0,1,47,546,10,3,0,0,1,1,1,0,0,0,3,2,615
28,"P.S.PUREDIWAN R.NO.1",693,537,0,1230,395,325,0,720,632,0,4,152,345,8,109,3,69,1,6,4,3,2,1,5,8,720
29,"P.S.PUREDIWAN R.NO.2",326,290,0,616,221,208,0,429,97,0,1,96,195,1,102,11,9,2,1,0,1,2,3,3,2,429
30,P.S.SARIPUR,422,358,0,780,295,235,0,530,45,0,4,199,249,5,55,0,4,0,1,2,2,2,1,2,4,530
31,"P.S.LOHARAKHAS R.NO.1",614,469,0,1083,386,318,0,704,6,0,5,267,202,8,163,20,10,2,4,0,2,3,3,2,13,704
32,"P.SLOHARAKHAS R.NO.2",370,307,0,677,218,142,0,360,220,0,3,17,172,3,119,2,24,1,2,1,0,1,4,4,7,360
33,"P.S.SARAIMISHRANI R.NO.1",818,654,0,1472,487,406,0,893,883,0,4,109,609,18,121,1,8,2,2,1,3,1,3,4,7,893
34,"P.S.SARAIMISHRANI R.NO.2",723,560,0,1283,404,321,0,725,473,0,4,204,407,3,87,5,3,1,0,1,0,2,3,3,2,725
35,"P.S.SARAIRAJPUTANI R.NO.1",724,612,0,1336,460,392,0,852,29,0,10,132,378,14,294,5,3,1,5,1,0,2,6,0,1,852
36,"P.S.SARAIRAJPUTANI R.NO.2",728,671,0,1399,429,455,0,884,34,0,12,96,454,6,275,5,7,1,0,0,3,2,6,6,11,884
37,"J.H.S.CHAKWA CHANDEL",239,208,0,447,178,150,0,328,89,0,0,69,243,4,3,0,5,0,0,0,0,0,0,3,1,328
38,P.S.PURETIKA,564,436,0,1000,390,324,0,714,140,0,4,101,350,14,200,2,15,1,10,0,1,4,4,4,4,714
39,U.P.S.PUREGULAB,808,629,0,1437,350,352,0,702,398,0,3,155,196,27,302,1,0,1,1,1,1,1,0,3,10,702
40,"P.S. GOPPUR",611,537,0,1148,460,357,0,817,216,0,5,295,375,17,104,1,2,2,1,0,4,1,1,5,4,817
41,P.S.PURERAJAI,645,540,0,1185,400,335,0,735,75,0,3,211,401,9,88,0,2,2,5,1,0,5,1,2,5,735
42,"J.H.S.GOPIGANJ SITUATED VILL. MADHORAMPUR R.NO.1",720,626,0,1346,406,344,0,750,512,0,14,185,406,9,85,2,12,4,7,2,2,8,5,4,5,750
43,"J.H.S.GOPIGANJ SITUATED VILL.MADHORAMPUR R.NO.2",676,519,0,1195,341,230,0,571,551,0,3,11,380,8,91,3,53,3,1,2,1,2,4,2,7,571
44,"J.H.S.GOPIGANJ SITUATED VILL. MADHORAMPUR R.NO.3",736,606,0,1342,413,327,0,740,271,0,8,203,438,8,61,0,4,0,2,0,0,3,2,5,6,740
45,P.S.PURESHAMBHU,575,449,0,1024,301,265,0,566,104,0,2,42,328,9,121,3,5,5,2,5,2,6,11,3,22,566
46,P.S.RAMPUR,591,493,11,1095,464,379,0,843,506,0,5,221,400,21,160,2,11,0,3,0,2,5,4,3,6,843
47,"P.S.CHAKNIRANJAN R.NO.1",635,477,0,1112,297,237,0,534,221,0,4,206,262,5,48,0,1,0,0,0,0,2,3,1,2,534
48,"P.S.CHAKNIRANJAN R.NO.2",373,288,0,661,173,127,0,300,128,0,0,104,141,2,49,2,0,0,0,0,1,0,0,1,0,300
49,P.S.RAIPURI,850,718,0,1568,494,427,0,921,53,0,13,201,421,14,163,5,27,4,10,4,3,13,3,18,22,921
