"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL KUMAR MAURYA","2 - TARUN PATEL URF TARUNENDRA CHAND PATEL","3 - DR MAHENDRA NATH PANDEY","4 - RAMKISHUN","5 - IRSHAD","6 - CHANCHAL","7 - JITENDRA","8 - MRITUNJAYA PANDEY","9 - RAMASHANKER SINGH MAURYA","10 - RAJA JAISWAL","11 - RAJENDRA","12 - RAM DULAR","13 - VINAI KUMAR SINGH","14 - SHASHI SINHA","15 - SANJEEV SINGH","16 - DR. HARIDWAR SINGH YADAV","17 - HEERALAL","18 - GULAVAS","19 - BINDU","20 - RAJNARAYAN","21 - SANJAY","22 - None of the Above","Total Votes Secured"
1,HASANPUR,701,517,0,1218,330,245,0,575,575,0,125,4,97,316,4,1,0,0,1,2,1,0,3,1,0,14,2,1,0,0,1,2,575
2,HASANPUR,301,224,0,525,151,100,0,251,251,0,57,1,42,137,3,0,0,0,0,0,0,0,1,0,1,3,1,0,2,3,0,0,251
3,HASANPUR,344,235,0,579,209,127,0,336,336,0,25,0,114,182,0,1,0,0,2,1,1,0,0,1,2,3,1,1,0,1,0,1,336
4,JAMALPUR,921,726,0,1647,676,431,0,1107,1107,0,15,11,73,965,13,2,1,0,0,0,0,0,0,0,2,5,1,1,6,7,4,1,1107
5,MARUFPUR,835,667,0,1502,406,342,0,748,748,0,130,14,178,380,10,5,1,1,1,10,0,1,5,1,0,5,1,0,0,0,2,3,748
6,MARUFPUR,741,593,0,1334,375,289,0,664,664,0,54,10,286,295,9,0,0,0,0,2,0,0,1,2,1,2,1,0,0,0,1,0,664
7,MAJHILEPUR,701,546,0,1247,359,322,0,681,681,0,205,11,237,185,4,1,2,0,1,4,0,8,4,0,1,7,3,0,1,1,3,3,681
8,NADESAR,650,515,0,1165,335,250,0,585,585,0,74,9,258,219,1,1,1,0,3,6,0,0,0,0,1,5,2,1,0,2,2,0,585
9,NADESAR,309,260,0,569,184,148,0,332,332,0,143,3,143,19,1,0,0,0,1,5,0,0,2,2,1,3,1,3,2,2,1,0,332
10,SARAULI,562,420,0,982,396,279,0,675,675,0,72,3,63,496,3,0,1,1,1,1,1,2,6,1,1,4,1,0,0,8,2,8,675
11,HUSEPUR,347,268,0,615,183,157,0,340,340,0,28,3,48,240,4,0,0,0,0,0,1,0,1,0,1,2,2,1,1,4,2,2,340
12,PATTI,412,294,0,706,191,172,0,363,363,0,122,9,174,43,2,0,0,0,0,1,0,6,0,1,2,1,1,0,0,0,0,1,363
13,TANDAKHURD,417,322,0,739,210,190,0,400,400,0,82,2,43,239,9,0,0,1,0,1,0,0,7,3,2,9,1,0,1,0,0,0,400
14,TANDAKALA,671,503,0,1174,276,230,0,506,506,0,30,3,400,52,3,1,0,0,0,3,0,0,0,1,0,3,1,1,1,3,1,3,506
15,TANDAKALA,409,328,0,737,172,155,0,327,327,0,99,5,169,29,0,1,1,0,0,4,0,2,2,1,0,3,1,0,2,6,1,1,327
16,TANDAKALA,590,445,0,1035,263,247,0,510,510,0,90,18,284,61,3,0,1,1,1,12,15,0,4,2,2,5,2,0,2,2,3,2,510
17,TANDAKALA,569,389,0,958,266,235,0,501,501,0,161,6,238,71,3,2,4,1,0,3,1,0,0,1,0,2,1,2,1,1,2,1,501
18,SONBARASA,651,549,1,1201,376,359,0,735,735,0,235,23,312,107,3,1,0,0,0,5,30,2,3,0,3,2,4,2,1,1,1,0,735
19,RAMDATTPUR,472,382,0,854,240,217,0,457,457,0,240,8,94,96,3,0,2,0,0,1,1,1,0,0,0,1,6,0,0,1,3,0,457
20,SARFUDDINPUR,458,351,0,809,278,228,0,506,506,0,21,2,248,229,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,506
21,CHAKARA,399,346,0,745,248,227,0,475,475,0,16,0,23,432,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,475
22,CHHAPARATURKAHA,438,358,0,796,240,214,0,454,454,0,91,1,197,135,2,1,0,0,0,3,0,2,0,1,3,3,2,3,5,3,1,1,454
23,UTARI,413,331,0,744,348,248,0,596,596,0,45,1,54,487,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,2,1,0,596
24,PURAGANESH,436,347,0,783,220,247,0,467,467,0,117,7,170,126,1,2,1,1,1,1,13,2,3,4,1,5,4,2,1,3,1,1,467
25,PURAVIJAYI,381,290,0,671,174,209,0,383,383,0,8,21,293,6,2,3,2,1,2,14,6,0,3,4,1,5,2,0,1,7,2,0,383
26,PURAVIJAYI,436,337,0,773,240,236,0,476,476,0,162,10,254,14,0,0,2,2,0,9,1,1,4,4,0,3,5,0,3,0,1,1,476
27,JUDAHARDHAN,775,612,0,1387,393,338,0,731,731,0,9,10,464,222,9,2,1,0,0,0,2,1,5,1,0,3,0,1,0,0,0,1,731
28,JUDAHARDHAN,848,639,1,1488,364,327,0,691,691,0,11,0,276,367,5,0,1,1,2,3,1,2,2,1,2,5,1,0,3,1,5,2,691
29,JUDAHARDHAN,873,670,0,1543,536,302,0,838,838,0,258,13,239,269,9,4,1,0,1,4,5,0,7,6,2,10,4,0,0,2,1,3,838
30,MOLANAPUR,398,337,0,735,270,190,0,460,460,0,6,2,59,377,4,0,0,0,0,0,0,0,2,1,0,1,8,0,0,0,0,0,460
31,PAHARPUR,280,238,0,518,191,158,0,349,349,0,29,0,15,296,1,0,1,0,1,0,0,1,0,0,0,2,0,0,0,1,0,2,349
32,SAMUDPUR,571,417,0,988,283,230,0,513,513,0,87,10,265,127,1,2,0,0,1,5,1,0,1,0,0,3,4,0,4,1,0,1,513
33,KAITHI,981,776,0,1757,536,422,0,958,958,0,412,8,344,132,2,0,1,1,2,5,2,2,3,0,3,20,11,0,0,3,2,5,958
34,KAITHI,709,532,0,1241,399,326,0,725,725,0,253,17,371,61,3,1,3,0,0,3,0,0,6,1,1,2,0,0,0,0,0,3,725
35,MATIYARA,600,513,0,1113,391,337,0,728,728,0,69,4,89,547,5,0,0,1,0,2,1,1,1,1,0,2,0,0,1,2,1,1,728
36,PURA,669,519,0,1188,358,294,0,652,652,0,147,4,240,225,5,0,0,0,0,2,1,1,1,0,1,3,7,2,2,5,4,2,652
37,MAHUARKALA,462,373,0,835,215,185,0,400,400,0,34,8,164,172,2,0,1,4,0,2,0,1,2,1,0,3,0,1,0,3,2,0,400
38,MAHUARKALA,588,449,0,1037,303,263,0,566,566,0,251,12,179,58,3,0,0,14,0,4,1,0,4,2,0,0,34,0,1,0,1,2,566
39,MAHUARKALA,565,444,0,1009,241,211,0,452,452,0,7,4,221,188,3,0,1,4,1,2,1,2,1,1,7,1,2,1,0,4,1,0,452
40,DERWAKHURD,330,222,0,552,174,156,0,330,330,0,65,3,210,42,1,0,0,0,0,0,1,0,1,1,0,3,2,0,0,0,0,1,330
41,BALUA,866,607,0,1473,501,328,0,829,829,0,341,17,327,86,4,0,2,1,0,6,1,3,7,3,2,15,5,0,2,0,2,5,829
42,SARAI,832,623,0,1455,530,355,0,885,885,0,283,13,449,97,3,0,1,1,0,3,1,2,6,4,1,13,1,1,2,0,4,0,885
43,SONAHULA,460,378,0,838,296,219,0,515,515,0,28,18,365,79,2,0,0,1,1,5,1,1,1,2,0,3,4,0,1,2,1,0,515
44,KHANDWARI,711,560,0,1271,427,306,0,733,733,0,48,13,485,138,6,0,4,0,0,4,0,2,4,3,6,9,2,1,0,5,1,2,733
45,KHANDWARI,521,379,0,900,315,220,0,535,535,0,163,6,154,182,2,0,1,2,0,1,0,5,5,0,4,2,3,0,0,2,0,3,535
46,SINGAHA,172,152,0,324,128,127,0,255,255,0,160,2,12,73,1,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,255
47,GURERA,642,595,0,1237,482,315,0,797,797,0,193,10,288,263,10,2,1,2,0,5,1,3,2,0,0,7,3,0,2,1,2,2,797
48,AGASTIPUR,407,314,0,721,219,226,0,445,445,0,201,4,197,17,0,1,0,0,1,2,0,2,3,1,0,5,2,0,2,4,3,0,445
49,SIKATIPUR,348,255,0,603,171,150,0,321,321,0,75,1,171,71,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,321
50,MAJIDAHA,839,651,0,1490,417,341,0,758,758,0,276,11,246,193,0,3,0,0,0,3,2,0,2,4,1,8,3,0,2,1,2,1,758
51,PURA,724,518,0,1242,350,277,0,627,627,0,44,5,154,363,6,0,3,1,0,4,0,1,7,3,19,13,0,1,0,2,0,1,627
52,AJAGARA,929,709,0,1638,533,449,0,982,982,0,59,26,551,255,3,2,4,4,2,10,0,2,5,4,25,12,1,2,5,5,0,5,982
53,"CHAKIYA BIHARI MISHRA",668,524,0,1192,292,246,0,538,538,0,168,14,257,67,0,1,2,1,1,3,2,1,4,0,2,5,0,2,3,2,1,2,538
54,JAYRAMPUR,315,297,0,612,209,171,0,380,380,0,227,6,53,82,0,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,380
55,PALIYA,665,540,0,1205,331,280,0,611,611,0,192,7,253,122,1,0,0,0,0,4,3,0,2,2,6,10,4,0,0,0,1,4,611
56,PALIYA,570,479,0,1049,224,226,0,450,450,0,84,6,208,133,2,4,0,0,0,2,0,1,2,2,1,2,0,0,0,0,0,3,450
57,SEMARA,505,396,0,901,256,250,0,506,506,0,217,4,156,109,0,1,0,0,0,1,1,3,0,0,0,6,1,0,1,4,0,2,506
58,HASANPUR,517,414,0,931,318,260,0,578,578,0,108,4,57,391,3,0,0,0,2,0,0,0,2,0,0,8,1,0,0,1,1,0,578
59,DHYODHA,585,424,0,1009,336,261,0,597,597,0,114,12,267,164,2,2,3,2,1,1,0,3,10,6,2,4,1,0,0,1,0,2,597
60,KURA,425,378,0,803,299,198,0,497,497,0,66,3,68,340,2,0,0,1,0,0,0,1,2,0,2,5,2,1,1,3,0,0,497
61,SADAN,661,516,0,1177,296,268,0,564,564,0,70,12,256,169,4,0,5,0,0,6,1,4,4,1,6,8,3,2,2,5,1,5,564
62,SADAN,826,616,0,1442,339,361,0,700,700,0,288,3,72,259,2,0,0,0,0,4,1,13,2,5,3,41,1,0,1,0,2,3,700
63,NAIDHI,476,371,0,847,256,172,0,428,428,0,116,9,60,225,3,0,0,0,2,0,0,1,0,1,3,2,4,0,0,0,0,2,428
