"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - CHANDAN SINGH","2 - JAYANT CHAUDHARY","3 - PT. YOGESH KUMAR DWIVEDI","4 - HEMA MALINI","5 - ANUJ KUMAR GARG","6 - PT. UDYAN SHARMA","7 - PARSOTTAM","8 - BHUPENDRA KUMAR  DHANGAR","9 - MAHARAM SINGH","10 - MAHESH PRATAP SHARMA","11 - MOHAN SHYAM","12 - THAKUR HEMENDRA VEER SINGH","13 - OM PRAKASH","14 - PRAMOD KRISHNA","15 - FAKKAR BABA RAMAYANI","16 - BHUDEV","17 - RADHACHARAN","18 - RAM BABU SAINI","19 - SATISH CHANDRA SHARMA","20 - HEMA MALINI","21 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL AINCH",787,597,0,1384,532,350,0,882,882,0,12,32,58,764,4,0,0,0,0,1,0,1,5,0,0,0,0,0,0,5,0,882
2,"PRIMARY SCHOOL CHAUNDRAS",413,372,0,785,317,220,0,537,536,0,3,9,155,319,3,1,34,0,0,1,1,2,0,0,2,1,0,0,0,6,0,537
3,"PRIMARY SCHOOL AILWADA",239,212,0,451,221,178,0,399,385,0,6,29,0,354,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,5,0,399
4,"POORV MADHYAMIK VIDYALAY SHAHAPUR R.NO.1",591,445,0,1036,390,285,0,675,675,1,19,31,278,271,5,3,19,1,0,1,1,4,1,2,4,9,1,0,3,22,0,675
5,"POORV MADHYAMIK VIDYALAY SHAHAPUR R.NO.2",700,487,0,1187,414,233,0,647,647,0,27,316,66,163,4,3,2,0,2,8,1,2,3,1,2,9,18,4,0,13,3,647
6,"PRIMARY SCHOOL NAGLA SIRAULI",364,280,0,644,230,196,0,426,426,0,270,134,0,9,0,0,1,0,0,3,0,0,1,0,0,1,5,0,1,0,1,426
7,"POORV MADHYAMIK VIDYALAY CHAUKI R.NO.1",528,382,0,910,286,201,0,487,487,0,6,367,30,46,4,1,0,0,1,7,1,0,0,1,4,0,13,1,0,4,1,487
8,"POORV MADHYAMIK VIDYALAY CHAUKI R.N0.2",750,528,0,1278,427,247,0,674,666,0,29,564,16,10,2,2,0,1,0,6,1,0,1,0,5,4,26,4,1,1,1,674
9,"PRIMARY SCHOOL DHANAUTA",667,511,0,1178,372,290,0,662,662,0,10,4,83,521,6,0,0,2,1,0,1,3,4,0,3,3,1,0,0,19,1,662
10,"POORV MADHYAMIK VIDYALAY BARAKA R.NO.1",501,408,0,909,368,247,0,615,615,0,11,12,27,551,2,0,1,1,0,1,0,1,3,0,1,2,0,0,0,2,0,615
11,"POORV MADHYAMIK VIDYALAY BARAKA R.NO.2",363,284,0,647,272,186,0,458,458,0,15,6,99,325,3,0,1,0,0,0,0,1,0,0,0,1,0,0,3,4,0,458
12,"POORV MADHYAMIK VIDYALAY BUKHARARI",833,666,0,1499,713,598,0,1311,1311,0,17,37,11,1208,11,0,0,1,1,0,1,3,9,1,1,3,1,0,0,3,3,1311
13,"PRIMARY SCHOOL BUKHARARI",646,539,0,1185,558,447,0,1005,1005,0,62,0,124,809,2,1,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,1005
14,"PRIMARY SCHOOL SUJAVALI",240,189,0,429,179,140,0,319,319,0,2,9,10,285,6,0,0,0,0,1,0,0,2,0,0,0,0,0,1,3,0,319
15,"POORV MADHYAMIK VIDYALAY BARACHAVALI R.NO.1",722,551,0,1273,417,297,0,714,714,0,14,16,54,610,5,0,0,0,1,0,0,0,4,0,0,2,0,0,2,6,0,714
16,"POORV MADHYAMIK VIDYALAY BARACHAVALI R.NO.2",320,276,0,596,222,168,0,390,390,0,15,8,54,301,5,0,0,0,0,0,1,0,1,0,1,0,0,1,0,3,0,390
17,"PRIMARY SCHOOL BARCHAVALI",324,254,0,578,233,158,0,391,391,0,2,0,178,196,1,0,0,0,1,0,0,3,2,2,1,1,0,0,1,3,0,391
18,"PRIMARY SCHOOL ROOPNAGAR",477,378,0,855,307,243,0,550,550,0,11,67,57,391,5,1,0,0,1,1,2,1,1,2,0,1,0,0,4,5,0,550
19,"PRIMARY SCHOOL KHAIRAL SADE SAT VISVA",394,301,0,695,272,201,0,473,473,0,10,35,47,374,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,473
20,"PRIMARY SCHOOL MAJHOI",453,343,0,796,389,236,0,625,625,0,40,11,96,455,1,0,2,3,0,1,0,0,0,3,0,1,2,0,2,7,1,625
21,"PRIMARY SCHOOL SHAHAJADPUR",677,529,0,1206,394,239,0,633,633,0,144,18,73,378,3,0,0,1,0,3,1,2,1,1,0,1,0,1,2,4,0,633
22,"JUNIOR HIGH SCHOOL SHERNAGAR",855,663,0,1518,645,377,0,1022,1012,0,79,16,138,705,14,1,3,1,2,0,1,8,7,6,7,3,5,0,2,22,2,1022
23,"PRIMARY SCHOOL MAHARAULI",514,390,0,904,308,230,0,538,538,0,199,35,118,161,4,1,0,0,0,0,3,1,2,0,0,3,2,2,1,3,3,538
24,"PRIMARY SCHOOL VISHAMBHARA R.NO.1",817,652,0,1469,432,298,0,730,730,0,123,255,5,317,1,0,3,0,0,3,0,2,2,0,3,6,6,0,0,3,1,730
25,"PRIMARY SCHOOL VISHAMBHARA R.NO.2",778,602,0,1380,477,382,0,859,859,0,376,146,1,284,3,0,1,1,1,4,2,3,8,3,7,4,4,5,1,2,3,859
26,"PRIMARY SCHOOL VISHAMBHARA R.NO.3",752,581,0,1333,438,275,0,713,713,0,338,153,130,51,9,1,0,0,1,5,2,1,0,3,2,3,7,2,0,1,4,713
