"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR AHMAD DUMPY","2 - OM PRAKASH","3 - KIRTI VARDHAN SINGH","4 - NANDITA SHUKLA","5 - BENI PRASAD VERMA","6 - AJAY  KUMAR  PRABHAKAR","7 - PREM KUMAR","8 - MASOOD ALAM KHAN","9 - MAHESH KUMAR","10 - MASHOOQ AHMAD","11 - RAJENDRA PRASAD","12 - RAJESH  KUMAR  MAURYA","13 - SATYA PRAKASH","14 - TILAK RAM","15 - BRIJNANDAN TIWARI","16 - None of the Above","Total Votes Secured"
1,SARAIYAMAFI,622,510,0,1132,365,295,0,660,647,0,74,16,197,120,56,4,2,164,6,4,3,2,6,2,1,3,660
2,SARAIYAMAFI,195,159,0,354,103,68,0,171,171,0,19,7,98,16,25,0,0,1,0,0,0,0,1,1,0,3,171
3,POORENARI,202,185,0,387,137,125,0,262,262,0,173,2,25,10,5,1,1,36,0,0,0,1,1,1,1,5,262
4,"PIPRA PADUM",559,451,0,1010,227,306,0,533,533,0,47,7,202,192,16,0,1,53,3,1,0,0,4,2,0,5,533
5,"PIPRA PADUM",513,413,0,926,273,160,0,433,4,0,71,9,188,124,29,0,1,1,0,1,1,1,2,1,2,2,433
6,CHANDVATPUR,792,657,0,1449,435,393,0,828,828,0,201,23,391,140,35,2,3,18,2,3,1,1,0,7,0,1,828
7,THORHAS,774,590,0,1364,499,245,0,744,634,0,145,14,359,178,34,1,1,0,0,1,1,0,1,3,2,4,744
8,"POORE LALAK",335,285,0,620,221,141,0,362,250,0,17,9,191,30,96,5,1,1,0,1,1,3,2,1,2,2,362
9,"FIROZPUR TARHAR",607,560,0,1167,298,280,0,578,135,0,121,14,177,151,28,2,0,64,5,1,1,3,2,1,1,7,578
10,"FIROZPUR TARHAR",530,470,0,1000,250,301,0,551,118,0,45,2,41,115,12,1,2,300,8,1,2,0,7,3,2,10,551
11,"BHADUVA TARHAR",771,569,0,1340,561,215,0,776,306,0,177,22,263,180,19,1,1,53,1,3,2,6,2,28,1,17,776
12,"BHADUVA TARHAR",797,597,0,1394,534,270,0,804,803,0,42,17,553,160,16,2,1,1,2,0,1,0,0,6,0,3,804
13,"POORE UDAI",451,374,0,825,292,213,0,505,505,0,35,4,244,152,26,0,0,38,0,0,1,0,2,1,1,1,505
14,"KESHAVPUR PAHADVA",770,647,0,1417,471,283,0,754,714,0,80,19,542,48,51,1,0,0,1,4,0,1,1,5,0,1,754
15,"KESHAVPUR PAHADVA",879,717,0,1596,438,349,0,787,27,0,95,31,435,138,58,4,1,9,1,5,1,0,2,2,1,4,787
16,"KESHAVPUR PAHADVA",619,592,0,1211,321,195,0,516,12,0,72,0,99,185,46,3,3,93,3,1,1,1,1,3,2,3,516
17,PATHVALIYA,858,666,0,1524,432,226,0,658,12,0,76,13,354,142,33,1,1,21,0,1,0,0,3,5,2,6,658
18,PATHVALIYA,838,745,0,1583,484,358,0,842,682,0,30,6,481,179,45,0,2,81,2,3,3,2,2,1,2,3,842
19,"DULLAPUR KHALSA",697,529,0,1226,429,291,0,720,26,0,78,10,308,234,37,2,1,8,2,3,1,2,10,11,3,10,720
20,HARIPUR,643,527,0,1170,441,324,0,765,765,0,45,11,521,116,24,5,0,12,3,0,0,0,5,9,1,13,765
21,"LALPUR CHANDRABHAN",813,635,0,1448,466,305,0,771,770,0,27,23,464,148,31,0,1,48,7,4,1,0,3,3,1,10,771
22,"BALPUR JAT",592,476,1,1069,307,222,0,529,509,0,16,16,345,36,15,1,3,62,5,1,0,0,3,18,2,6,529
23,"BALPUR JAT",197,180,0,377,114,98,0,212,212,0,6,4,146,48,6,0,0,0,1,0,0,0,1,0,0,0,212
24,"KESHAV JOT",416,348,0,764,239,207,0,446,446,0,40,11,189,141,30,1,0,20,1,2,0,1,1,3,3,3,446
25,"LAXMANPUR JAT",692,622,0,1314,390,333,0,723,723,0,58,20,403,142,21,0,2,47,1,0,0,3,7,4,5,10,723
26,"LAXMANPUR JAT",780,629,0,1409,368,204,0,572,572,0,32,10,287,137,21,2,2,53,2,4,0,1,4,4,4,9,572
27,BEHADACHAUBE,637,537,0,1174,369,245,0,614,612,0,97,19,342,113,11,2,5,6,0,1,1,1,2,3,1,10,614
28,MUSAULI,680,541,0,1221,409,316,0,725,723,0,49,14,400,243,11,1,2,1,1,0,0,1,0,1,0,1,725
29,KAPOORPUR,869,671,0,1540,482,289,0,771,771,0,126,31,327,228,31,0,1,1,3,3,1,1,0,5,1,12,771
30,MOKALPUR,603,501,0,1104,372,280,0,652,652,0,52,12,371,198,11,0,1,1,0,1,0,0,0,1,0,4,652
31,MOKALPUR,729,649,0,1378,474,300,0,774,769,0,82,11,343,233,59,2,4,15,0,4,0,0,1,5,1,14,774
32,"MATHURA CHAUBE",811,713,0,1524,486,262,0,748,477,0,62,15,299,290,52,2,1,2,1,3,0,0,3,7,3,8,748
33,"PARED SARKAR",559,502,0,1061,342,232,0,574,571,0,38,2,359,129,19,1,0,8,1,0,3,0,0,6,0,8,574
34,"PARED SARKAR",373,319,0,692,197,159,0,356,356,0,19,8,188,111,14,1,1,6,1,2,0,0,3,0,1,1,356
35,"PARED SARKAR",797,707,0,1504,461,311,0,772,715,0,52,16,435,187,26,3,2,29,2,3,0,0,2,6,4,5,772
36,"CHHAVNI SARKAR",639,563,1,1203,365,257,0,622,605,0,135,4,121,216,46,1,1,87,1,0,0,0,4,1,1,4,622
37,"CHHAVNI SARKAR",312,294,0,606,177,164,0,341,241,0,76,4,183,37,25,0,0,1,0,2,0,4,3,1,3,2,341
38,"PANT NAGAR",832,760,0,1592,425,307,0,732,729,0,77,37,430,109,35,0,0,37,0,4,0,1,0,0,0,2,732
