"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJIT SINGH","2 - GHULAM MOHAMMED","3 - PRASHANT CHAUDHRI","4 - DR. SATYA PAL SINGH","5 - ANIL KUMAR","6 - KRISHAN PAL","7 - YUNUSH","8 - SOMENDAR DHAKA","9 - AJAY PAL","10 - ARVIND","11 - JAIVINDRA KUMAR","12 - NISHANT","13 - RUKSANA","14 - SUBHASH CHAND KASHYAP","15 - None of the Above","Total Votes Secured"
150,"P.B.A.S INTER COLLEGE , MODINAGAR",488,423,0,911,251,201,0,452,378,0,55,4,18,345,1,0,0,25,0,1,1,0,0,1,1,452
151,"P.B.A.S INTER COLLEGE , MODINAGAR",612,490,0,1102,386,273,0,659,503,0,76,5,30,507,1,0,0,34,0,0,2,1,1,0,2,659
152,"DAYAWATI MODI GIRL JR HIGH SCHOOL DALIP PARK",918,747,0,1665,530,403,0,933,633,0,51,63,79,670,4,4,0,43,0,2,7,4,1,1,4,933
153,"DAYAWATI MODI GIRL JR HIGH SCHOOL DALIP PARK",450,395,0,845,284,217,0,501,501,0,22,20,34,407,1,0,0,8,0,1,4,1,0,0,3,501
154,"DAYAWATI MODI GIRL JR HIGH SCHOOL DALIP PARK",552,517,0,1069,353,290,0,643,350,0,68,12,21,510,4,0,0,18,0,0,3,1,0,0,6,643
155,"DAYAWATI MODI GIRL JR HIGH SCHOOL DALIP PARK",518,403,0,921,340,232,0,572,470,0,21,45,38,424,2,0,0,30,0,1,0,3,1,0,7,572
156,"DAYAWATI MODI GIRL JR HIGH SCHOOL DALIP PARK",472,397,0,869,282,206,0,488,73,0,26,23,34,387,3,1,0,12,0,0,0,0,0,1,1,488
157,"DAYAWATI MODI GIRL JR HIGH SCHOOL DALIP PARK",659,545,0,1204,444,350,0,794,696,0,28,13,483,248,0,0,0,7,0,1,0,3,2,1,8,794
158,"RUKMANI MODI PRI. SCHOOL",834,613,0,1447,409,289,0,698,347,0,51,35,151,440,1,1,1,13,0,1,1,1,2,0,0,698
159,"RUKMANI MODI PRI. SCHOOL",743,603,0,1346,407,322,0,729,683,0,63,16,68,550,1,0,0,23,0,1,2,2,0,2,1,729
160,"RUKMANI MODI PRI. SCHOOL",719,592,0,1311,383,271,0,654,540,0,69,17,104,426,2,0,0,24,0,1,5,2,3,0,1,654
161,"RUKMANI MODI PRI. SCHOOL",590,467,1,1058,331,252,0,583,472,0,40,44,208,281,1,0,0,5,1,0,0,2,0,0,1,583
162,"RUKMANI MODI PRI. SCHOOL",765,663,0,1428,426,383,0,809,629,0,42,51,105,565,7,0,0,22,0,1,8,3,2,0,3,809
163,"RUKMANI MODI PRI. SCHOOL",546,435,0,981,344,232,0,576,553,0,20,10,83,436,4,0,0,13,0,0,3,2,1,2,2,576
164,"RUKMANI MODI PRI. SCHOOL",439,363,0,802,278,194,0,472,467,0,27,17,50,358,1,0,0,14,0,0,0,1,1,2,1,472
165,"DAYAWATI MODI PUBLIC ACADEMY FAFRANA ROAD",572,507,0,1079,339,287,0,626,424,0,73,4,1,505,2,1,1,31,0,0,0,2,1,2,3,626
166,"DAYAWATI MODI PUBLIC ACADEMY FAFRANA ROAD",632,582,0,1214,381,307,0,688,670,0,102,8,11,541,2,1,0,18,1,0,2,0,0,0,2,688
167,"DAYAWATI MODI PUBLIC ACADEMY FAFRANA ROAD",777,701,0,1478,490,392,0,882,372,0,122,11,25,676,3,5,0,27,1,2,4,1,2,0,3,882
168,"DAYAWATI MODI PUBLIC ACADEMY FAFRANA ROAD",758,612,0,1370,441,290,0,731,631,0,101,5,24,578,1,1,0,13,0,2,1,1,1,0,3,731
169,"LAL BAHADUR SHASHTRI MEMO JR. HIGH SCHOOL TIBRA ROAD",606,537,2,1145,354,290,0,644,380,0,43,10,30,532,1,1,0,21,0,1,1,2,1,1,0,644
170,"LAL BAHADUR SHASHTRI MEMO JR. HIGH SCHOOL TIBRA ROAD",520,414,0,934,316,250,0,566,558,0,24,7,19,494,0,0,1,17,0,1,0,1,0,0,2,566
171,"LAL BAHADUR SHASHTRI MEMO JR. HIGH SCHOOL TIBRA ROAD",837,719,0,1556,535,418,0,953,951,0,29,7,327,548,3,1,0,25,0,1,0,2,4,3,3,953
172,"LAL BAHADUR SHASHTRI MEMO JR. HIGH SCHOOL TIBRA ROAD",675,569,0,1244,427,329,0,756,745,0,28,3,365,306,0,17,2,25,0,0,2,0,2,2,4,756
173,"LAL BAHADUR SHASHTRI MEMO JR. HIGH SCHOOL TIBRA ROAD",786,666,0,1452,512,431,0,943,666,0,107,5,252,541,1,6,1,18,1,1,1,2,5,0,2,943
174,"RUKMANI MODI GIRL. SCHOOL RAILWAY ROAD",700,579,0,1279,494,346,0,840,780,0,6,2,713,94,0,2,0,9,0,1,5,2,4,1,1,840
175,"RUKMANI MODI GIRL. SCHOOL RAILWAY ROAD",624,525,0,1149,369,355,0,724,724,0,52,10,253,378,0,0,0,26,1,0,0,0,1,0,3,724
176,"RUKMANI MODI GIRL. SCHOOL RAILWAY ROAD",532,384,0,916,324,196,0,520,515,0,17,8,44,424,1,0,0,16,2,2,3,0,1,0,2,520
177,"RUKMANI MODI GIRL. SCHOOL RAILWAY ROAD",565,515,0,1080,349,247,0,596,449,0,29,5,39,479,2,0,1,27,1,1,4,1,2,0,5,596
178,"RUKMANI MODI GIRL. SCHOOL RAILWAY ROAD",651,511,0,1162,348,239,0,587,335,0,34,3,74,412,3,1,1,50,0,2,2,1,1,0,3,587
179,"RUKMANI MODI GIRL. SCHOOL RAILWAY ROAD",599,473,0,1072,333,249,0,582,561,0,40,14,56,435,3,0,1,24,0,0,3,3,1,2,0,582
180,"RUKMANI MODI GIRL. SCHOOL RAILWAY ROAD",845,664,0,1509,529,355,0,884,105,0,47,26,57,690,7,1,1,39,2,3,2,2,1,1,5,884
181,"RUKMANI MODI GIRL. SCHOOL RAILWAY ROAD",447,362,0,809,245,168,0,413,15,0,5,5,152,225,4,1,0,8,0,1,0,1,3,1,7,413
182,"RUKMANI MODI GIRL. SCHOOL RAILWAY ROAD",561,482,0,1043,348,279,0,627,618,0,19,8,330,248,3,2,1,9,0,0,3,1,0,1,2,627
183,"RUKMANI MODI GIRL. SCHOOL RAILWAY ROAD",471,424,0,895,276,183,0,459,449,0,14,9,146,264,0,0,1,14,1,2,1,0,1,1,5,459
184,"RUKMANI MODI GIRL. SCHOOL RAILWAY ROAD",474,391,0,865,297,190,0,487,374,0,33,23,42,353,3,1,0,14,0,1,3,5,3,1,5,487
185,"RUKMANI MODI GIRL. SCHOOL RAILWAY ROAD",448,396,1,845,300,223,0,523,514,0,40,26,46,392,2,0,0,11,0,0,3,0,1,1,1,523
186,"PRI. SCHOOL  FAFRANA",612,503,0,1115,441,323,0,764,125,0,477,13,35,234,0,0,0,2,0,2,1,0,0,0,0,764
187,"PRI. SCHOOL  FAFRANA",755,585,0,1340,542,352,0,894,484,0,430,4,121,323,0,1,0,13,0,1,0,1,0,0,0,894
188,"PRI. SCHOOL NO. 2 BEGMABAD",653,560,0,1213,444,333,0,777,71,0,279,49,3,420,2,1,2,14,0,0,3,1,0,1,2,777
189,"PRI. SCHOOL NO. 2 BEGMABAD",841,698,0,1539,567,471,0,1038,1038,0,29,586,28,341,1,2,3,32,0,1,3,0,2,7,3,1038
190,"JR. BESIC GIRL SCHOOL, BEGMABAD",440,409,0,849,306,258,0,564,547,0,12,20,191,320,2,1,0,14,0,0,0,1,2,0,1,564
191,"JR. BESIC GIRL SCHOOL, BEGMABAD",520,479,0,999,396,292,0,688,688,0,40,24,27,549,3,0,0,32,0,1,5,2,0,3,2,688
192,"JR. BESIC GIRL SCHOOL, BEGMABAD",579,515,0,1094,351,356,0,707,674,0,4,17,517,135,3,6,0,15,0,1,3,3,1,2,0,707
193,"JR. BESIC GIRL SCHOOL, BEGMABAD",565,481,0,1046,377,297,0,674,373,0,8,3,487,157,0,1,0,8,0,1,0,2,3,0,4,674
194,"JR. BESIC GIRL SCHOOL, BEGMABAD",550,436,0,986,362,266,0,628,622,0,16,5,426,163,0,0,2,8,1,0,0,0,1,1,5,628
195,"JR. BESIC GIRL SCHOOL, BEGMABAD",694,593,0,1287,463,322,0,785,736,0,84,10,40,611,1,1,0,23,2,0,7,2,0,0,4,785
196,"PRI. SCHOOL  SIKRI KHURD",773,564,0,1337,570,355,0,925,912,0,8,53,341,494,1,3,1,3,0,2,7,2,6,2,2,925
197,"PRI. SCHOOL  SIKRI KHURD",877,736,0,1613,590,375,0,965,965,0,21,132,389,387,1,1,2,9,1,1,6,7,2,2,4,965
198,"GIRL PRI. SCHOOL SIKRI KHURD",594,472,0,1066,393,296,0,689,685,0,22,1,441,201,1,0,1,6,1,0,1,2,5,0,7,689
199,"GIRL PRI. SCHOOL SIKRI KHURD",606,479,0,1085,329,217,0,546,536,0,99,14,294,93,0,2,0,30,0,2,0,3,4,2,3,546
200,"PRI. SCHOOL  NO. 1 KAJAMPUR",405,353,0,758,348,244,0,592,550,0,376,22,21,157,1,2,0,4,0,1,0,4,0,1,3,592
201,"PRI. SCHOOL  DOSA BANJARPUR",571,467,0,1038,432,338,0,770,356,0,76,45,355,231,0,0,0,46,0,3,4,7,1,0,2,770
202,"PRI. SCHOOL  DOSA BANJARPUR",500,378,0,878,391,265,0,656,645,0,33,1,384,207,2,0,0,14,0,0,3,0,5,1,6,656
203,"JUNIOR HIGH SCHOOL KALCHINA",599,540,0,1139,403,360,0,763,520,0,6,558,179,13,0,0,0,0,0,0,2,0,1,3,1,763
204,"JUNIOR HIGH SCHOOL KALCHINA",602,459,0,1061,464,305,0,769,760,0,7,409,309,25,0,0,0,0,1,2,0,2,4,4,6,769
205,"JUNIOR HIGH SCHOOL KALCHINA",565,503,0,1068,434,342,0,776,130,0,16,660,30,61,4,0,0,1,0,1,1,1,0,0,1,776
206,"JUNIOR HIGH SCHOOL KALCHINA",548,452,0,1000,424,328,0,752,752,0,17,695,29,1,0,0,0,1,0,0,1,1,0,1,6,752
207,"JUNIOR HIGH SCHOOL KALCHINA",887,703,0,1590,632,485,0,1117,1113,0,33,1044,19,3,0,0,1,1,1,1,1,1,1,3,8,1117
208,"PRI. SCHOOL KALCHINA SUKKAN GADI",319,239,0,558,212,157,0,369,359,0,3,21,319,16,0,0,0,1,0,1,0,3,2,1,2,369
209,"GOVT. GIRL INTER COLLGE KALCHINA",502,369,0,871,383,272,0,655,132,0,12,619,8,1,5,0,0,6,0,0,0,1,1,1,1,655
210,"GOVT. GIRL INTER COLLGE KALCHINA",522,444,0,966,382,306,0,688,95,0,25,610,41,0,6,0,0,2,0,0,0,0,0,0,4,688
211,"GOVT. GIRL INTER COLLGE KALCHINA",506,394,0,900,338,245,0,583,583,0,16,410,69,73,2,0,0,1,1,1,4,1,1,1,3,583
212,"GOVT. GIRL INTER COLLGE KALCHINA",474,393,0,867,299,225,0,524,34,0,5,415,22,41,33,0,0,2,1,0,1,1,0,1,2,524
213,"PRI. SCHOOL  YUSUFPUR NAGLABER",542,379,0,921,403,252,0,655,655,0,13,22,476,126,3,0,0,1,1,0,0,1,8,0,4,655
214,"PRI. SCHOOL  YUSUFPUR NAGLABER",423,325,0,748,290,215,0,505,135,0,210,1,210,74,0,0,0,2,0,1,0,2,0,0,5,505
215,"PRI. SCHOOL ABIDPUR MANKI",556,442,0,998,373,291,0,664,627,0,26,389,136,100,0,0,0,2,0,0,3,1,1,4,2,664
216,"PRI. SCHOOL ABIDPUR MANKI",552,446,0,998,417,327,0,744,718,0,20,414,228,66,0,0,0,5,0,0,4,1,0,3,3,744
217,"PRI. SCHOOL  LATIFPUR TIBRA",677,567,0,1244,462,318,0,780,780,0,302,9,174,250,2,0,1,31,0,0,1,1,2,6,1,780
218,"PRI. SCHOOL  LATIFPUR TIBRA",733,595,0,1328,494,410,0,904,902,0,309,8,364,203,2,0,1,4,0,2,1,1,4,1,4,904
219,"PRI. SCHOOL AURANGABAD GADANA",843,679,0,1522,583,404,0,987,978,0,231,77,243,393,2,0,0,19,1,3,5,6,2,1,4,987
220,"PRI. SCHOOL AURANGABAD GADANA",582,479,0,1061,423,283,0,706,674,0,99,42,260,279,1,0,1,9,0,0,5,0,3,3,4,706
221,"PRI. SCHOOL  GADI GADANA",706,603,0,1309,444,307,0,751,700,0,31,309,265,125,2,3,0,4,1,1,2,0,0,4,4,751
222,"PRI. SCHOOL VIDYAPUR SAFIABAD",397,315,0,712,331,256,0,587,49,0,218,60,12,284,2,0,0,3,0,3,1,0,0,0,4,587
223,"DALIT PRI. SCHOOL BAKHRAWA",505,380,0,885,410,280,0,690,629,0,54,31,368,218,2,0,0,1,0,1,4,2,4,2,3,690
224,"PRI. SCHOOL BAKHRAWA",477,403,0,880,333,266,0,599,587,0,111,16,132,307,3,3,1,9,0,3,8,2,2,1,1,599
225,"PRI. SCHOOL BAKHRAWA",526,396,0,922,373,230,0,603,571,0,106,20,137,307,3,1,1,11,0,1,4,1,4,0,7,603
226,"MODI GIRL JR HIGH SCHOOL SHAHJAHAPUR",450,377,0,827,349,251,0,600,599,0,75,9,341,166,3,0,0,0,0,0,0,2,0,0,4,600
227,"MODI GIRL JR HIGH SCHOOL SHAHJAHAPUR",416,369,0,785,319,256,0,575,575,0,323,1,64,177,0,2,0,4,0,0,1,0,1,0,2,575
228,"PRI. SCHOOL HRIDYAPUR BHANDOLA",443,339,0,782,322,210,0,532,526,0,56,98,55,311,2,0,2,1,0,1,2,3,0,1,0,532
229,"PRI. SCHOOL HRIDYAPUR BHANDOLA",458,381,0,839,306,214,0,520,520,0,101,30,307,78,0,1,0,0,0,1,1,0,0,0,1,520
230,"junior high school sakurpur",746,593,0,1339,563,389,0,952,952,0,279,94,311,252,0,2,1,4,0,0,3,1,2,3,0,952
231,"PRI. SCHOOL  MURADABAD",677,558,0,1235,608,455,0,1063,1061,0,14,1,917,115,1,0,0,1,0,0,2,3,4,4,1,1063
232,"PRI. SCHOOL  DILNA",677,509,0,1186,528,309,0,837,837,0,261,3,189,355,3,0,2,0,2,1,8,2,5,0,6,837
233,"PRI. SCHOOL  SAIDPUR HUSAINPUR DILNA",617,478,0,1095,338,245,0,583,580,0,6,521,13,28,0,1,0,5,0,1,1,0,0,4,3,583
234,"PRI. SCHOOL  SAIDPUR HUSAINPUR DILNA",574,410,0,984,389,262,0,651,651,0,13,380,17,227,4,0,0,3,1,1,2,1,0,1,1,651
235,"PRI. SCHOOL  SAIDPUR HUSAINPUR DILNA",499,362,0,861,332,217,0,549,73,0,11,101,237,195,1,0,0,1,0,0,1,1,1,0,0,549
236,"PRI. SCHOOL  SAIDPUR HUSAINPUR DILNA",489,377,0,866,300,234,0,534,527,0,114,28,271,107,1,0,0,1,0,1,1,1,4,1,4,534
237,"PRI. SCHOOL  SAIDPUR HUSAINPUR DILNA",702,518,0,1220,493,290,0,783,775,0,335,51,22,362,3,0,0,7,0,1,1,0,0,0,1,783
238,"KRISHAK INTER COLLEGE CHUDIYALA",810,633,0,1443,601,419,0,1020,85,0,294,33,113,548,12,0,1,1,1,4,6,2,0,0,5,1020
239,"KRISHAK INTER COLLEGE CHUDIYALA",725,522,1,1248,561,350,0,911,908,0,116,43,354,378,0,0,3,1,0,1,4,6,3,1,1,911
240,"KRISHAK INTER COLLEGE CHUDIYALA",563,450,0,1013,454,368,0,822,822,0,22,3,657,127,0,0,0,0,1,0,1,1,6,2,2,822
241,"GIRLS JUNIOR HIGH SCHOOL TALHETA",697,582,1,1280,465,327,0,792,296,0,22,40,42,674,0,0,1,3,0,0,5,1,1,1,2,792
242,"GIRLS JUNIOR HIGH SCHOOL TALHETA",579,409,0,988,410,274,0,684,32,0,4,22,322,312,5,0,0,1,0,1,4,3,3,1,6,684
243,"JUNIOR HIGH SCHOOL TALHETA",705,543,0,1248,462,281,0,743,172,0,14,17,81,606,4,0,0,6,0,0,7,4,1,0,3,743
244,"JUNIOR HIGH SCHOOL TYODI 13 BISWA",797,583,0,1380,491,320,0,811,795,0,21,669,99,3,2,0,0,5,0,1,1,0,3,1,6,811
245,"JUNIOR HIGH SCHOOL TYODI 13 BISWA",791,552,0,1343,478,321,0,799,126,0,34,668,82,4,1,0,0,0,0,0,1,1,2,2,4,799
246,"JUNIOR HIGH SCHOOL TYODI 13 BISWA",891,658,0,1549,557,375,0,932,932,0,35,772,102,6,0,0,0,0,1,1,1,1,1,4,8,932
247,"JUNIOR HIGH SCHOOL TYODI 7 BISWA",704,588,0,1292,403,302,0,705,460,0,59,594,17,13,2,1,0,1,0,1,1,1,4,4,7,705
248,"JUNIOR HIGH SCHOOL TYODI 7 BISWA",621,501,0,1122,453,352,0,805,805,0,126,578,69,19,0,1,0,1,1,2,0,3,0,2,3,805
249,"PRI. SCHOOL  BADOLA",682,527,0,1209,451,344,0,795,793,0,293,21,259,213,2,0,0,2,0,0,0,2,3,0,0,795
250,"PRI. SCHOOL  RAGHUNATHPUR",367,306,0,673,249,210,0,459,368,0,19,0,259,175,1,0,0,3,0,0,0,0,2,0,0,459
251,"NEW PRI. SCHOOL KILHODA",444,366,0,810,349,273,0,622,613,0,40,27,358,187,1,0,0,1,0,0,0,2,3,1,2,622
252,"NEW PRI. SCHOOL KILHODA",431,378,0,809,308,227,0,535,510,0,221,35,109,156,3,0,0,7,0,0,0,0,0,1,3,535
253,"PRI. SCHOOL  YUSUFPUR ISHAPUR",727,617,0,1344,476,419,0,895,895,0,286,58,102,422,3,1,1,4,1,3,2,3,4,0,5,895
254,"PRI. SCHOOL AURANGABAD FAJALGARH",781,616,0,1397,538,413,0,951,900,0,129,28,583,205,2,2,0,0,0,1,0,0,1,0,0,951
255,"PRI. SCHOOL AURANGABAD FAJALGARH",838,624,0,1462,502,312,0,814,485,0,245,102,261,190,3,0,1,4,0,1,0,3,1,2,1,814
256,"PRI. SCHOOL  PALOTA",427,301,0,728,298,189,0,487,487,0,31,44,349,56,0,0,0,0,0,1,1,1,2,0,2,487
257,"PRI. SCHOOL  BHATJAN",722,534,0,1256,544,365,0,909,143,0,5,125,530,235,3,0,0,1,0,1,1,3,3,1,1,909
258,"PRI. SCHOOL  MACHRI",648,498,0,1146,514,360,0,874,874,0,181,383,41,244,0,0,0,8,1,2,4,2,1,2,5,874
259,"DAYAWATI MODI GIRL SCHOOL BHOJPUR",591,458,0,1049,402,276,0,678,593,0,162,250,13,241,0,1,0,4,0,0,0,0,0,2,5,678
260,"DAYAWATI MODI GIRL SCHOOL BHOJPUR",636,495,0,1131,448,276,0,724,665,0,188,204,21,286,4,1,0,6,0,1,5,1,2,2,3,724
261,"PRI. SCHOOL  BHOJPUR",689,555,0,1244,509,398,0,907,904,0,206,277,131,278,1,0,1,4,1,1,6,0,0,0,1,907
262,"PRI. SCHOOL  BHOJPUR",373,258,0,631,292,199,0,491,491,0,77,245,64,98,2,2,0,1,0,0,0,1,0,1,0,491
263,"JURIOR HIGH SCHOOL BHOJPUR",530,397,0,927,382,305,0,687,548,0,15,434,200,24,0,0,0,0,0,0,1,2,3,3,5,687
264,"JURIOR HIGH SCHOOL BHOJPUR",531,406,0,937,345,284,0,629,352,0,12,557,23,18,4,1,1,0,2,0,1,0,1,3,6,629
265,"PRI. SCHOOL KHANJARPUR",483,417,0,900,347,268,0,615,615,0,370,2,7,208,2,3,0,11,0,5,0,1,2,0,4,615
266,"PRI. SCHOOL  KHANJARPUR",428,347,0,775,293,218,0,511,135,0,314,9,8,169,3,0,0,3,0,0,2,0,1,0,2,511
267,"PRI. SCHOOL  KHANJARPUR",793,630,0,1423,558,426,0,984,984,0,290,21,343,291,4,1,2,14,0,4,5,2,1,0,6,984
268,"PRI. SCHOOL  PATTI",655,546,0,1201,503,383,0,886,866,0,197,1,244,408,2,5,3,1,0,1,11,5,4,0,4,886
269,"PRI SCHOOL JAHAGIRPUR",826,682,0,1508,628,513,0,1141,1141,0,16,594,150,346,7,6,1,1,0,1,2,5,6,2,4,1141
270,"PRI. SCHOOL  AMRALA",757,587,0,1344,606,414,0,1020,1020,0,500,156,26,322,1,2,1,2,1,2,0,0,1,3,3,1020
271,"PRI. SCHOOL  AMRALA",536,432,0,968,383,312,0,695,126,0,173,23,400,92,0,0,0,0,0,1,0,1,3,0,2,695
272,"JUNIOR HIGH SCHOOL FARIDNAGAR",674,496,1,1171,383,241,0,624,607,0,22,399,74,109,0,0,0,4,1,1,2,1,1,6,4,624
273,"JUNIOR HIGH SCHOOL FARIDNAGAR",839,652,0,1491,465,324,0,789,741,0,30,527,26,187,0,0,0,0,1,1,4,1,1,7,4,789
274,"JUNIOR HIGH SCHOOL FARIDNAGAR",877,713,0,1590,557,412,0,969,950,0,79,290,198,387,0,0,0,3,0,1,1,4,4,1,1,969
275,"JUNIOR HIGH SCHOOL FARIDNAGAR",643,555,0,1198,447,339,0,786,777,0,38,351,194,182,0,0,0,0,1,1,7,2,3,3,4,786
276,"PRI. SCHOOL FARIDNAGAR",780,657,1,1438,509,429,0,938,930,0,41,74,231,559,5,0,0,0,0,3,9,6,4,0,6,938
277,"PRI. SCHOOL FARIDNAGAR",638,521,0,1159,389,284,0,673,672,0,25,308,187,144,0,0,1,1,0,1,1,1,2,1,1,673
278,"ADARSH PRIMARY SCHOOL AURANGNAGAR KINHAPUR",240,185,0,425,182,140,0,322,291,0,118,58,95,36,1,1,0,1,0,1,3,2,1,2,3,322
279,"PRI. SCHOOL AMIRPUR BADYALA",562,451,0,1013,396,307,0,703,127,0,83,58,149,390,5,2,0,2,0,0,4,1,1,5,3,703
280,"PRI. SCHOOL  AKHADHA",660,525,0,1185,459,331,0,790,790,0,184,50,383,141,2,1,1,5,0,0,8,7,3,2,3,790
281,"PRI. SCHOOL  MOHD. PUR SUJANPUR",609,491,1,1101,451,306,0,757,757,0,20,4,473,242,2,0,0,0,0,1,4,2,6,1,2,757
282,"PRI. SCHOOL SAMLI",423,339,0,762,299,222,0,521,521,0,4,53,35,419,2,0,1,0,0,0,4,1,0,0,2,521
283,"PRI. SCHOOL SAMLI",453,385,0,838,340,223,0,563,19,0,22,80,15,435,4,0,0,0,0,0,6,0,0,1,0,563
284,"JUNIOR HIGH SCHOOL ATROLI",770,599,0,1369,557,397,0,954,26,0,122,41,175,568,6,0,0,7,2,1,7,13,1,3,8,954
285,"JUNIOR HIGH SCHOOL ATROLI",535,456,0,991,419,325,0,744,102,0,61,4,27,642,0,0,1,2,0,0,2,1,2,0,2,744
286,"JUNIOR HIGH SCHOOL ATROLI",599,470,0,1069,409,299,0,708,300,0,114,7,53,516,2,2,1,2,2,1,6,0,1,0,1,708
287,"JUNIOR HIGH SCHOOL ARUNGABAD DATEDI",587,499,1,1087,437,352,0,789,789,0,35,8,44,688,0,0,1,1,0,1,1,6,1,0,3,789
288,"PRI. SCHOOL KANAKPUR",547,474,0,1021,433,320,0,753,730,0,31,12,253,440,4,0,0,0,0,0,3,1,4,3,2,753
289,"JUNIOR HIGH SCHOOL JOYA",393,330,0,723,325,244,0,569,569,0,192,12,104,248,3,0,0,3,1,0,1,3,0,2,0,569
290,"PRI. SCHOOL ISHAKNAGAR",594,471,0,1065,458,336,0,794,792,0,18,91,663,5,1,0,2,2,0,0,1,1,8,1,1,794
291,"PRI. SCHOOL NAHLI",895,764,0,1659,715,489,0,1204,1204,0,10,1153,15,15,1,0,0,3,1,0,0,0,1,1,4,1204
292,"PRI. SCHOOL NAHLI",814,674,0,1488,614,464,0,1078,1078,0,14,946,12,62,0,1,1,0,0,1,3,3,2,13,20,1078
293,"PRI. SCHOOL NAGOLA AMIPUR",757,598,0,1355,608,408,0,1016,1016,0,90,525,152,229,3,0,0,2,0,0,6,2,1,2,4,1016
294,"PRI. SCHOOL MUKIMPUR",707,615,0,1322,491,391,0,882,146,0,24,158,13,657,1,0,0,1,1,0,11,6,3,2,5,882
295,"PRI. SCHOOL MUKIMPUR",683,513,0,1196,435,299,0,734,731,0,28,25,216,439,2,0,1,0,1,1,12,4,2,1,2,734
296,"PRI. SCHOOL MUKIMPUR",779,486,0,1265,418,289,0,707,133,0,226,4,41,413,1,0,1,1,0,2,2,3,0,3,10,707
