"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJIT SINGH","2 - GHULAM MOHAMMED","3 - PRASHANT CHAUDHRI","4 - DR. SATYA PAL SINGH","5 - ANIL KUMAR","6 - KRISHAN PAL","7 - YUNUSH","8 - SOMENDAR DHAKA","9 - AJAY PAL","10 - ARVIND","11 - JAIVINDRA KUMAR","12 - NISHANT","13 - RUKSANA","14 - SUBHASH CHAND KASHYAP","15 - None of the Above","Total Votes Secured"
24,"KANYA JR HIGH SCHOOL DIDOLI",487,373,0,860,322,198,0,520,520,0,58,10,45,393,1,2,0,2,2,0,1,3,1,1,1,520
25,"KANYA JR HIGH SCHOOL DIDOLI",821,425,0,1246,519,287,0,806,51,0,49,36,70,628,7,0,0,7,0,0,4,2,0,1,2,806
26,"PRI. SCHOOL MOHD. PUR KADEEM",849,622,0,1471,612,389,0,1001,908,0,45,35,527,372,1,2,0,11,0,1,1,0,4,0,2,1001
27,"PRI. SCHOOL PURV SIKRI KALA",664,532,0,1196,464,288,0,752,730,0,105,37,99,492,2,1,0,6,0,2,5,1,1,0,1,752
28,"PRI. SCHOOL PURV SIKRI KALA",665,551,0,1216,446,312,0,758,734,0,33,19,118,573,3,0,0,4,0,1,2,2,0,1,2,758
29,"PRI. SCHOOL PURV SIKRI KALA",578,442,0,1020,410,275,0,685,652,0,43,148,219,263,3,0,0,4,0,1,0,0,1,0,3,685
30,"PRI. SCHOOL PURV SIKRI KALA",513,440,0,953,371,273,0,644,627,0,86,89,126,323,2,0,0,12,0,0,2,1,0,0,3,644
31,"PRI. SCHOOL YUSUFPUR MANOTA",443,375,0,818,367,256,0,623,619,0,160,2,112,322,1,0,1,0,0,0,7,8,4,1,5,623
32,"PRI.. SCHOOL NO. 1 ABUPUR",852,700,0,1552,543,391,0,934,820,0,183,45,338,327,7,1,0,11,2,1,3,9,1,1,5,934
33,"PRI.. SCHOOL NO. 1 ABUPUR",754,615,0,1369,549,308,0,857,766,0,82,154,135,439,6,2,2,6,2,0,5,5,3,6,10,857
34,"PRI.. SCHOOL NO. 1 ABUPUR",711,637,0,1348,449,260,0,709,650,0,65,130,29,454,1,0,1,9,0,1,8,4,4,1,2,709
35,"NANAKCHAND INT. SCHOOL SONDA",451,359,0,810,305,214,0,519,95,0,12,110,69,292,0,0,1,3,0,1,26,3,0,0,2,519
36,"NANAKCHAND INT. SCHOOL SONDA",426,334,0,760,316,237,0,553,243,0,5,39,398,93,2,1,0,3,0,0,6,1,0,0,5,553
37,"NANAKCHAND INT. SCHOOL SONDA",848,701,0,1549,744,303,0,1047,30,0,12,74,502,422,1,1,1,15,0,1,7,4,1,2,4,1047
38,"NANAKCHAND INT. SCHOOL SONDA",364,281,0,645,254,175,0,429,410,0,19,80,10,310,0,1,0,1,0,0,1,1,0,1,5,429
39,"PRI.. SCHOOL SHERPUR",672,521,0,1193,513,347,0,860,860,0,437,62,104,249,1,1,0,3,0,0,2,0,0,0,1,860
40,"PRI.. SCHOOL NAGLA MUSA",635,543,0,1178,511,408,0,919,919,0,96,492,177,138,2,0,1,1,0,1,1,1,3,1,5,919
41,"MAJOR ASHARAM TYAGI PRI.. SCHOOL NO. 1 FATEHPUR",252,225,0,477,212,166,0,378,365,0,88,0,38,247,3,0,0,0,0,0,1,1,0,0,0,378
42,"PRI.. SCHOOL SIKHEDA HAJARI",486,432,0,918,333,296,0,629,623,0,18,4,369,209,0,3,2,10,0,0,3,2,4,3,2,629
43,"PRI. SCHOOL PAINGA",574,456,0,1030,398,322,0,720,711,0,403,4,179,120,1,1,0,5,0,1,1,1,1,1,2,720
44,"PRIMARY SCHOOL PAINGA",425,327,0,752,267,191,0,458,73,0,148,8,41,254,1,0,0,3,0,1,2,0,0,0,0,458
45,"SANJAY GANDHI BALIKA INT. COLLEGE NIWARI",417,376,0,793,269,211,0,480,480,0,13,17,192,253,1,1,0,1,0,0,0,1,0,0,1,480
46,"SANJAY GANDHI BALIKA INT. COLLEGE NIWARI",757,566,0,1323,413,259,0,672,657,0,21,110,77,438,5,0,1,3,0,2,5,6,1,2,1,672
47,"S. K. INTER COLLEGE NIWARI",354,319,0,673,244,166,0,410,354,0,36,25,44,295,0,0,0,5,0,0,1,0,0,2,2,410
