"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KRISHNA KUMAR OJHA","2 - BRIJ BHUSAN SHARAN SINGH","3 - MUKESH SRIVASTAV ALIAS GYANENDRA PRATAP","4 - VINOD KUMAR ALIAS  PANDIT SINGH","5 - GOVIND PRASAD","6 - CHAMAN LAL KASAUNDHAN","7 - NIRHU","8 - NIHALUDDIN AHAMAD","9 - RIZWAN AHMAD","10 - JAMEER AHMAD","11 - NISHANT KANCHAN","12 - PRAHLAD  NATH MISHRA","13 - MUNNI","14 - RAMPHER  ALIAS  CHUNTI","15 - None of the Above","Total Votes Secured"
1,LALITNAGAR,822,646,0,1468,470,282,0,752,746,0,312,229,54,98,3,0,3,4,3,3,4,1,5,11,22,752
2,JOKAHA,476,411,0,887,300,238,0,538,538,0,149,60,269,25,3,1,0,3,9,2,2,3,3,6,3,538
3,JOKAHA,359,320,0,679,216,170,0,386,386,0,53,114,139,55,1,0,2,1,1,3,3,1,5,5,3,386
4,TAKIYA,518,394,0,912,310,222,0,532,532,0,154,174,67,100,1,0,0,0,1,1,3,3,3,9,16,532
5,TAKIYA,663,526,0,1189,250,192,0,442,442,0,40,60,135,188,4,1,0,0,1,0,0,0,0,5,8,442
6,"MAJHJHAWWA BANKAT",642,579,0,1221,445,335,0,780,780,0,148,62,141,416,3,0,0,1,1,1,0,2,0,3,2,780
7,"MAJHJHAWWA BANKAT",576,490,0,1066,290,256,0,546,545,0,190,8,52,280,1,0,2,0,0,3,1,1,1,7,0,546
8,"BHAWANIPUR BANKAT",448,427,0,875,276,183,0,459,459,0,82,100,122,111,0,2,1,1,1,8,5,2,4,11,9,459
9,"BHAWANIPUR BANKAT",496,389,1,886,236,126,0,362,356,0,58,56,73,145,3,0,1,1,0,5,1,2,2,10,5,362
10,"BHAWANIPUR BANKAT",678,567,0,1245,331,254,0,585,575,0,135,133,101,169,3,0,1,15,2,2,3,0,4,9,8,585
11,AMKOLAWA,789,642,0,1431,399,267,0,666,645,0,139,151,231,89,4,1,0,2,6,3,3,3,7,17,10,666
12,AMKOLAWA,546,451,0,997,221,161,0,382,377,0,22,53,233,49,2,1,0,4,2,4,1,1,1,8,1,382
13,"KHARGAURA JUNUB",800,611,0,1411,337,260,0,597,595,0,183,68,53,262,2,0,0,4,1,2,4,3,3,8,4,597
14,"KHARGAURA JUNUB",623,555,0,1178,300,281,0,581,581,0,206,224,98,10,5,0,4,4,2,3,3,4,4,10,4,581
15,"BALAPUR KODARI",574,497,0,1071,409,271,0,680,680,0,365,225,23,32,1,2,1,1,4,3,4,1,1,6,11,680
16,SARKAHI,433,343,0,776,248,189,0,437,434,0,43,200,25,144,0,3,2,1,1,1,0,1,3,9,4,437
17,"TENDUWA KABIR",348,310,0,658,241,211,0,452,451,0,109,225,29,62,2,0,1,1,4,1,3,2,3,5,5,452
18,"TENDUWA KABIR",513,445,1,959,303,219,0,522,517,0,111,235,20,127,2,1,0,0,0,1,2,2,6,4,11,522
19,CHANDRAWA,459,423,0,882,265,213,0,478,478,0,137,211,59,42,2,3,2,2,1,3,3,1,1,5,6,478
20,CHANDRAWA,437,372,0,809,260,186,0,446,442,0,127,233,51,12,1,0,2,1,2,2,0,2,3,5,5,446
21,BELBHARIYA,620,522,0,1142,364,240,0,604,604,0,80,375,80,34,0,0,1,1,2,3,1,3,4,9,11,604
22,BELBHARIYA,590,506,0,1096,379,221,0,600,599,0,101,271,84,86,5,1,0,1,1,2,4,2,8,22,12,600
23,BASNERA,824,670,0,1494,468,378,0,846,846,0,67,418,69,238,4,2,0,2,4,3,4,4,4,11,16,846
24,BASNERA,258,217,0,475,126,85,0,211,211,0,40,102,39,18,0,0,0,0,1,1,0,1,2,3,4,211
25,CHANIYAKOT,508,434,0,942,252,345,0,597,597,0,146,198,174,36,5,1,2,0,2,2,1,6,6,9,9,597
26,CHANIYAKOT,474,394,0,868,296,167,0,463,463,0,146,153,69,72,1,1,1,2,0,3,2,3,2,4,4,463
27,PARSIYA,376,332,0,708,232,208,0,440,435,0,118,151,46,92,5,1,0,0,2,1,2,3,4,3,12,440
28,KHARIHA,310,247,0,557,182,121,0,303,295,0,105,109,34,38,2,0,0,0,0,1,0,3,2,4,5,303
29,DAPAULI,296,262,0,558,181,152,0,333,299,0,21,249,10,40,1,1,0,0,0,1,0,1,2,4,3,333
30,AMRAI,600,479,0,1079,395,164,0,559,559,0,131,272,80,40,1,1,2,2,11,5,1,1,0,8,4,559
31,AMRAI,471,364,0,835,239,167,0,406,2,0,153,186,33,13,0,1,1,0,5,1,0,0,3,5,5,406
32,LAKHARAMPUR,600,464,0,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,LAKHARAMPUR,525,464,0,989,275,155,0,430,429,0,119,107,126,29,4,0,1,0,0,4,4,5,5,6,20,430
34,LAKHARAMPUR,477,413,1,891,269,222,0,491,491,0,184,194,50,54,0,0,0,1,0,0,1,0,2,3,2,491
35,LAKHARAMPUR,509,432,0,941,263,189,0,452,452,0,134,92,119,73,5,1,0,1,2,1,7,0,3,7,7,452
36,PURAINA,834,702,0,1536,375,322,0,697,13,0,194,180,73,190,6,1,5,2,4,6,2,4,6,9,15,697
37,PURAINA,597,530,1,1128,281,181,0,462,438,0,43,212,99,87,1,1,0,0,0,0,1,0,5,8,5,462
38,SULTANPUR,628,546,0,1174,364,252,0,616,616,0,334,134,98,19,0,2,0,0,0,5,2,1,2,10,9,616
39,THORIYA,571,502,0,1073,388,243,0,631,631,0,102,200,284,19,5,1,3,2,2,0,1,1,2,7,2,631
40,PATANA,712,614,0,1326,491,361,0,852,852,0,231,352,105,111,4,2,1,1,1,4,2,7,10,12,9,852
41,MUNDERWA,844,655,0,1499,363,272,0,635,610,0,191,274,81,25,2,2,1,0,2,2,5,2,8,15,25,635
42,MUNDERWA,194,168,0,362,103,69,0,172,169,0,17,116,13,15,2,1,0,0,1,1,0,2,1,3,0,172
43,SISAHNA,757,661,0,1418,422,354,0,776,774,0,223,374,84,62,0,0,1,1,3,2,2,2,4,9,9,776
44,SUJANDIH,651,530,0,1181,376,299,0,675,593,0,120,264,133,82,1,1,2,1,6,2,4,6,13,19,21,675
45,KURSAHA,768,637,1,1406,442,306,0,748,745,0,95,401,107,100,1,1,2,1,1,2,2,5,5,9,16,748
46,KURSAHA,533,442,0,975,230,177,0,407,407,0,122,189,53,31,0,0,0,0,1,1,0,1,4,2,3,407
