"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMEETA SINGH","2 - PAWAN PANDEY","3 - FEROZE VARUN GANDHI","4 - SHAKEEL AHMED","5 - GIRISH LAL","6 - DR. NAFEES AHMAD","7 - PITAMBAR NISHAD","8 - RAM MILAN","9 - MOHD SHAMIM","10 - SHIV SHANKAR","11 - SHAILENDRA PRATAP SINGH","12 - SARTAJ KHAN","13 - BRIJESH KUMAR","14 - VARUN GANDHI","15 - VIJAY","16 - None of the Above","Total Votes Secured"
1,"P.S. HASRAMPUR R. NO. 1",264,226,0,490,218,183,0,401,285,0,5,137,223,13,0,0,0,2,1,1,0,4,1,5,5,4,401
2,"ANGANBADI CENTER BENIPUR R. NO. 1",236,211,0,447,142,148,0,290,290,0,5,184,91,1,0,0,0,0,0,0,1,0,3,2,2,1,290
3,"P S SEWRA R. NO. 1",944,775,0,1719,577,446,0,1023,912,0,22,181,645,116,9,1,1,0,1,2,6,1,8,25,0,5,1023
4,"P. S. SEWARA R.NO.2",448,407,0,855,284,257,0,541,541,0,9,182,305,20,1,1,0,1,0,3,1,2,1,13,2,0,541
5,"P.S. JAJJAUR PURVI BHAG",470,389,0,859,260,203,0,463,410,0,4,98,255,91,0,0,0,0,0,0,1,0,2,8,0,4,463
6,"P.S. JAJJAUR PASCHIMI .BHAG",546,434,0,980,279,233,0,512,414,0,12,40,215,223,0,1,1,1,1,1,0,1,3,9,0,4,512
7,"P.S. AMAUJASARPUR UTTARI BHAG",319,246,0,565,185,123,0,308,223,0,7,56,195,40,0,1,0,0,0,0,2,1,1,1,0,4,308
8,"P.S. AMAUJASARPUR SOUTH BHAG",625,499,0,1124,291,252,0,543,503,0,7,129,362,16,0,1,1,0,0,1,0,2,4,15,0,5,543
9,"P.S. BARIYAUNA PURVI BHAG",769,693,0,1462,401,369,0,770,770,0,13,132,237,325,11,5,2,5,1,1,6,0,10,14,5,3,770
10,"P.S. BARIYAUNA PASCHIMI BHAG",303,259,0,562,189,157,0,346,346,0,10,117,179,26,0,0,1,1,0,1,1,2,2,5,1,0,346
11,"P.S. BHATKAULI R.NO. 1",476,447,0,923,310,238,0,548,548,0,9,186,225,101,1,1,1,1,0,1,1,0,5,6,3,7,548
12,"P.S. MADHAVPUR R. NO. 1",751,634,0,1385,370,345,0,715,645,0,18,195,381,75,2,1,1,3,2,1,4,5,8,8,5,6,715
13,"INTER COLLEGE CHNADIPUR R. NO. 2",579,526,0,1105,350,355,0,705,705,0,14,293,326,48,1,4,0,0,0,1,4,1,3,6,3,1,705
