"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAUSHAL KISHORE","2 - R.K CHAUDHARY","3 - NARENDRA GAUTAM","4 - SUSHILA SAROJ","5 - AMIT RAWAT","6 - OM PRAKASH","7 - GOPAL KANAUJIYA","8 - GAUTAM BHARTI","9 - JAGDISH PRASAD GAUTAM","10 - BRIJLAL","11 - MAHENDRA KUMAR RAWAT","12 - MEENA RAWAT","13 - MEERA DEVI","14 - SANTOSH KUMAR DHARKAR","15 - SUNIL GAUTAM","16 - MAHESH KUMAR","17 - REENA CHAUDHARY","18 - SHATROHANLAL RAWAT","19 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL AHINDAR",740,610,0,1350,411,308,0,719,719,0,505,112,5,61,8,3,1,2,1,2,2,1,0,4,2,1,4,3,2,719
2,"PRIMARY SCHOOL MAHIMA KHEDA",411,337,0,748,272,193,0,465,465,0,167,175,4,85,4,0,0,4,1,1,4,0,0,4,5,3,2,4,2,465
3,"PRIMARY SCHOOL AMRIT KHEDA",498,419,0,917,320,286,0,606,606,0,327,101,14,131,3,1,2,3,1,5,1,1,0,6,2,2,2,3,1,606
4,"PRIMARY SCHOOL KHABHA",284,240,0,524,172,118,0,290,290,0,150,13,1,94,8,0,0,2,1,1,0,1,2,1,1,5,5,3,2,290
5,"PRIMARY SCHOOL UMRAWAL",619,532,0,1151,380,314,0,694,694,0,326,100,13,214,3,2,1,1,0,3,2,2,4,2,3,10,2,2,4,694
6,"PRIMARY SCHOOL BAHIR",299,246,0,545,182,160,0,342,342,0,244,54,9,13,3,0,0,2,0,0,0,0,1,1,0,3,11,1,0,342
7,"PRIMARY SCHOOL BAGWARA",246,215,0,461,135,98,0,233,233,0,106,27,5,72,1,0,2,0,0,1,0,1,2,7,1,6,0,1,1,233
8,"PRIMARY SCHOOL GODWA BARAUKI",712,613,0,1325,470,374,0,844,844,0,437,138,7,221,2,1,2,3,1,0,2,2,2,3,3,8,8,1,3,844
9,"PRIMARY SCHOOL KALYANPUR",445,353,0,798,368,200,0,568,568,0,254,25,7,246,7,1,1,2,1,0,0,2,0,1,2,8,5,2,4,568
10,"PRIMARY SCHOOL KALUA KHEDA",333,261,0,594,231,176,0,407,407,0,263,37,2,75,1,0,0,1,0,0,0,2,0,2,0,6,12,4,2,407
11,"PRIMARY SCHOOL GAHDON ROOM NO-1",513,410,0,923,329,218,0,547,547,0,261,157,13,99,2,0,0,2,1,1,0,1,1,2,2,1,2,0,2,547
12,"PRIMARY SCHOOL GAHDON ROOM NO-2",521,407,0,928,308,228,0,536,536,0,280,149,7,75,3,1,2,2,1,0,0,0,1,5,2,4,3,0,1,536
13,"JUNIOR HIGH SCHOOL SISWARA",707,626,0,1333,502,430,0,932,932,0,584,191,10,86,8,3,0,6,1,5,1,2,2,7,5,9,6,1,5,932
14,"PRIMARY SCHOOL BADKHORWA(DHOLBAJA)",675,523,0,1198,440,331,0,771,771,0,162,383,10,164,7,0,1,3,2,0,1,0,0,6,2,10,9,3,8,771
15,"PRIMARY SCHOOL RAHTA",645,606,0,1251,449,396,0,845,845,0,489,253,12,27,8,2,0,1,2,2,3,2,2,9,1,5,15,6,6,845
16,"JUNIOR HIGH SCHOOL AANT GARHI SAURA ROOM NO-1",685,614,0,1299,434,359,0,793,793,0,376,192,6,163,6,1,10,2,4,0,4,3,2,4,5,2,9,2,2,793
17,"JUNIOR HIGH SCHOOL AANT GARHI SAURA ROOM NO-2",755,664,0,1419,463,319,0,782,782,0,383,180,7,163,2,1,1,4,2,0,4,1,1,2,1,5,13,11,1,782
18,"PRIMARY SCHOOL JANKI NAGAR",198,180,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"PRIMARY SCHOOL JINDANA",401,341,0,742,308,228,0,536,536,0,168,66,2,276,4,0,0,0,0,2,1,2,1,2,1,7,3,0,1,536
20,"PRIMARY SCHOOL MAWAI KHURD",585,534,0,1119,388,311,0,699,699,0,362,153,4,137,3,0,4,0,2,2,0,0,3,9,1,6,6,5,2,699
21,"PRIMARY SCHOOL BASANTPUR",462,426,0,888,336,228,0,564,564,0,377,98,21,37,3,1,3,2,2,2,1,1,1,2,5,4,1,2,1,564
22,"JUNIOR HIGH SCHOOL BASANTPUR",234,206,0,440,158,119,0,277,277,0,194,30,2,25,4,1,1,0,1,0,1,0,1,0,1,4,8,0,4,277
23,"PRIMARY SCHOOL JAGDISHPUR",522,501,0,1023,413,295,0,708,708,0,219,187,5,248,3,1,0,4,2,2,0,1,2,1,2,5,11,6,9,708
24,"PRIMARY SCHOOL BEERPUR",646,543,0,1189,433,369,0,802,802,0,344,161,15,246,6,1,1,1,0,2,0,0,1,3,3,4,8,3,3,802
25,"PRIMARY SCHOOL SHANKARPUR",654,629,0,1283,415,377,0,792,792,0,496,198,5,44,6,2,0,6,2,1,1,1,1,8,3,4,12,2,0,792
26,"PRIMARY SCHOOL DEVRIGAJA",441,393,0,834,279,225,0,504,504,0,235,117,3,128,1,2,1,0,2,1,2,1,1,1,3,5,1,0,0,504
27,"PRIMARY SCHOOL AKBARPUR",435,400,0,835,303,249,0,552,552,0,325,149,3,64,1,0,3,0,0,1,0,1,0,1,0,1,1,1,1,552
28,"PRIMARY SCHOOL RAIPUR",477,409,0,886,364,283,0,647,647,0,266,66,6,276,3,0,2,2,2,0,0,1,2,5,2,6,5,1,2,647
29,"PANCHAYAT BHAWAN KAMALPUR LAUDHAURA",204,193,0,397,153,134,0,287,287,0,206,5,1,60,1,0,2,1,0,2,0,1,1,2,0,3,1,1,0,287
30,"PRIMARY SCHOOL DIGHARA",493,417,0,910,341,272,0,613,613,0,279,89,6,202,5,2,0,2,1,1,0,1,1,2,2,3,10,2,5,613
31,"PRIMARY SCHOOL BADAIYAN",757,635,0,1392,514,405,0,919,919,0,581,138,36,114,10,0,1,7,1,1,4,0,4,8,0,5,6,1,2,919
32,"PRIMARY SCHOOL TIKRIKALA",393,329,0,722,273,205,0,478,478,0,183,195,24,42,3,2,0,1,2,1,0,1,1,5,4,7,4,2,1,478
33,"PRIAMARY SCHOOL BHAWANIKHEDA",346,311,0,657,262,217,0,479,479,0,121,171,9,157,8,0,0,1,0,0,1,0,1,1,1,4,2,1,1,479
34,"PRIMARY SCHOOL BAHRAURA",629,609,0,1238,438,383,0,821,821,0,372,171,14,200,7,0,4,2,1,4,1,3,4,5,5,10,10,4,4,821
35,"PRIMARY SCHOOL PIPRI",653,669,0,1322,477,446,0,923,923,0,557,184,13,112,8,0,2,8,3,1,1,0,3,6,4,8,6,2,5,923
36,"PRIMARY SCHOOL KURAKHAR",128,119,0,247,97,84,0,181,181,0,43,65,3,61,1,0,0,0,0,0,0,1,1,1,1,1,3,0,0,181
37,"PRIMARY SCHOOL MADWANA",514,465,0,979,369,237,0,606,606,0,428,105,10,34,10,1,0,2,0,1,2,1,1,1,2,4,3,1,0,606
38,"PRIMARY SCHOOL MADWANA",594,470,0,1064,405,278,0,683,683,0,265,356,9,16,4,0,0,2,3,3,0,0,0,5,0,4,4,6,6,683
39,"PRIMARY SCHOOL ATARIYA",266,208,0,474,193,130,0,323,323,0,240,51,4,7,8,0,0,0,0,0,0,0,0,1,0,3,5,2,2,323
40,"PRIMARY SCHOOL RAGHUNATHPUR",308,257,0,565,195,168,0,363,363,0,220,86,5,35,4,0,0,0,0,0,0,0,0,5,0,2,5,1,0,363
41,"PRIMARY SCHOOL DEVRI BHARAT",394,357,0,751,321,267,0,588,588,0,194,155,6,191,5,3,2,2,1,3,0,1,0,4,2,4,6,5,4,588
42,"PRIMARY SCHOOL RANIPARA",642,519,0,1161,403,307,0,710,710,710,451,88,6,126,6,2,1,1,1,1,5,1,3,3,5,3,4,0,3,710
43,"PRIMARY SCHOOL PAKRA",550,488,0,1038,386,321,0,707,707,0,405,157,12,79,3,0,0,1,1,3,0,0,0,1,10,6,19,8,2,707
44,"PRIAMRY SCHOOL GUMSENA",416,384,0,800,339,300,0,639,639,0,287,125,11,174,2,0,0,4,2,1,2,2,1,6,3,8,9,2,0,639
45,"PRIMARY SCHOOL PEERNAGAR",391,342,0,733,262,242,0,504,504,0,383,28,22,46,2,2,0,2,0,0,1,0,0,4,1,2,5,2,4,504
46,"PRIMARY SCHOOL DANAUR",542,448,0,990,422,343,0,765,765,0,240,351,4,135,1,0,2,2,0,1,0,1,3,5,7,1,8,3,1,765
47,"PRIMARY SCHOOL ATARI",860,671,0,1531,526,376,0,902,902,0,389,91,5,365,6,0,4,5,0,2,2,6,5,1,3,2,8,1,7,902
48,"ANGAN BADI CENTRE KERAURA",457,405,0,862,330,244,0,574,574,0,324,21,5,193,4,2,0,2,0,2,0,1,1,2,2,1,6,2,6,574
49,"PRIMARY SCHOOL RUDAN KHEDA",376,345,0,721,242,216,0,458,458,0,261,141,1,45,0,0,1,0,0,0,0,0,1,0,2,3,1,1,1,458
50,"PRIMARY SCHOOL CUKANDIYA MAJRA SALEHNAGAR",458,361,0,819,328,254,0,582,582,0,148,204,7,193,2,0,0,0,0,2,1,1,4,3,1,1,4,4,7,582
51,"PRIMARY SCHOOL SALEH NAGAR ROOM NO-1",586,485,0,1071,359,259,0,618,618,0,262,180,10,123,3,3,1,2,3,0,3,1,0,5,3,8,3,2,6,618
52,"PRIMARY SCHOOL SALEH NAGAR ROOM NO-2",411,349,0,760,248,215,0,463,463,0,237,70,7,105,7,2,2,0,1,0,1,1,1,2,2,7,9,5,4,463
53,"PRIMARY SCHOOL AMLAULI",294,283,0,577,193,161,0,354,354,0,245,53,4,37,0,0,0,0,0,0,0,0,3,2,0,2,6,0,2,354
54,"PRIMARY SCHOOL CHANDWARA",544,490,0,1034,346,297,0,643,643,0,240,218,8,149,4,1,1,1,3,1,0,1,0,3,4,3,2,3,1,643
55,"PRIMARY SCHOOL SHAHMAU NAUBASTA",659,541,0,1200,456,339,0,795,795,0,285,449,7,32,2,0,1,1,0,1,1,1,0,3,4,1,3,4,0,795
56,"JUNIOR HIGH SCHOOL AANT",409,416,0,825,347,306,0,653,653,0,304,235,10,82,3,0,1,2,1,1,1,0,1,3,3,2,1,2,1,653
57,"PRIMARY SCHOOL KAREND ROOM NO-1",405,337,0,742,304,248,0,552,552,0,282,53,7,177,5,1,2,3,0,1,3,0,1,3,1,2,6,4,1,552
58,"PRIMARY SCHOOL KAREND ROOM NO-2",422,393,0,815,292,264,0,556,556,0,375,72,26,61,5,0,1,2,0,0,0,1,0,1,4,5,1,2,0,556
59,"PRIMARY SCHOOL PARA BHADRAHI ROOM NO-1",703,591,0,1294,476,354,0,830,830,0,380,158,21,235,6,0,3,3,1,0,0,0,2,4,3,4,3,4,3,830
60,"PRIMARY SCHOOL PARA BHADRAHI ROOM NO-2",222,196,0,418,164,122,0,286,286,0,68,40,3,158,6,0,0,0,0,1,0,1,0,1,2,3,0,1,2,286
61,"PRIMARY SCHOOL SUTTI KHEDA SITUATED ABIDNAGAR",590,485,0,1075,423,310,0,733,733,0,392,94,5,196,11,2,1,3,2,1,1,1,0,8,2,5,5,0,4,733
62,"JUNIOR HIGH SCHOOL HASNAPUR",438,309,0,747,271,224,0,495,495,0,90,141,5,237,2,0,0,0,0,0,1,0,0,2,3,2,5,5,2,495
63,"PRIMARY SCHOOL GHUNGCHELA",381,326,0,707,229,217,0,446,446,0,229,125,5,64,5,2,0,2,0,1,0,0,2,1,2,3,3,2,0,446
64,"PRIMARY SCHOOL BELBIRWA",558,486,0,1044,402,327,0,729,729,0,247,164,10,255,3,1,3,2,4,3,0,2,7,5,2,13,3,2,3,729
65,"PRIMARY SCHOOL SAIDAPUR ROOM NO-1",415,361,0,776,302,248,0,550,550,0,228,260,4,41,2,0,0,1,0,2,2,1,1,1,1,3,1,1,1,550
66,"PRIMARY SCHOOL SAIDAPUR ROOM NO-2",424,420,0,844,289,247,0,536,536,0,168,262,4,78,1,1,1,1,1,2,1,1,1,1,2,4,5,1,1,536
67,"JUNIOR HIGH SCHOOL THARI ROOM NO-1",584,481,1,1066,335,265,0,600,600,0,374,34,10,153,6,0,1,3,1,1,0,0,1,0,1,4,6,3,2,600
68,"JUNIOR HIGH SCHOOL THARI ROOM NO-2",406,326,0,732,248,125,0,373,373,0,131,18,7,194,2,0,0,2,0,2,0,1,0,3,3,9,1,0,0,373
69,"PRIMARY  SCHOOL THARI-1",449,395,0,844,340,207,0,547,547,0,146,111,9,237,5,0,1,0,1,5,1,1,2,4,1,4,11,2,6,547
70,"PRIMARY SCHOOL SAHIJANA NIVARI",575,501,0,1076,308,288,0,596,596,0,183,130,5,242,6,2,1,3,1,2,1,0,1,1,4,6,3,1,4,596
71,"PRIMARY SCHOOL KESHRIPUR",216,197,0,413,151,120,0,271,271,0,136,52,2,58,0,0,1,2,0,0,1,0,1,7,0,7,2,2,0,271
72,"PRIMARY SCHOOL AMBERKHEDA",281,239,0,520,190,161,0,351,351,0,127,80,10,107,6,0,0,1,1,1,3,0,5,2,1,5,1,0,1,351
73,"PRIMARY SCHOOL BHADAURIYA KHEDA",439,373,0,812,269,223,0,492,492,0,249,166,5,38,3,0,2,1,1,1,0,0,2,4,1,5,8,5,1,492
74,"PRIAMRY SCHOOL SASPAN",654,581,0,1235,269,223,0,492,492,0,249,166,5,38,3,0,2,1,1,1,0,0,2,4,1,5,8,5,1,492
75,"JUNIOR HIGH SCHOOL SASPAN ROOM NO-1",688,595,0,1283,401,247,0,648,648,0,325,210,3,88,0,1,1,0,1,0,1,1,0,3,1,1,6,2,4,648
76,"JUNIOR HIGH SCHOOL SASPAN ROOM NO-2",641,555,0,1196,332,246,0,578,578,0,273,190,7,82,3,0,1,1,2,0,0,0,3,5,2,5,2,0,2,578
77,"PRIMARY SCHOOL RAGHUNATHKHEDA",462,398,0,860,290,210,0,500,500,0,241,117,4,101,3,0,1,3,2,0,0,2,1,2,3,13,2,2,3,500
78,"PRIMARY SCHOOL GOPALPUR",551,516,0,1067,385,316,0,701,701,0,484,122,5,57,4,2,0,4,4,1,1,2,1,2,2,5,4,0,1,701
79,"PANCHAYATGHAR KAMALUDDINNAGAR",165,149,0,314,143,123,0,266,266,0,125,40,1,86,0,1,0,0,0,0,0,1,0,0,2,4,4,1,1,266
80,"PRIMARY  SCHOOL RUSENA",668,552,0,1220,383,284,0,667,667,0,330,141,11,135,2,2,2,1,6,0,0,1,0,10,2,6,10,3,5,667
81,"PRIMARY SCHOOL MOHAJJIPUR",458,375,0,833,294,230,0,524,524,0,343,67,2,80,0,0,0,2,0,0,2,4,2,1,3,7,5,3,3,524
82,"PRIMARY SCHOOL SAIKHAIKHEDA",263,210,0,473,191,153,0,344,344,0,271,5,2,53,2,1,2,0,1,1,0,0,1,0,0,4,1,0,0,344
