"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NIRANJAN SINGH DHANGAR","2 - MANOJ KUMAR SONI","3 - RAJESH KUMAR DIWAKER","4 - RAMJI LAL SUMAN","5 - SUNHARI LAL","6 - OMPRKASH","7 - DALVIR SINGH","8 - NIRANJAN SINGH","9 - RAJA RAM","10 - None of the Above","Total Votes Secured"
26,"P.S.NAI NAGLA TAHAR",722,638,0,1360,352,294,0,646,587,0,8,200,391,22,2,2,4,4,6,7,646
27,"P.S.NAGLA CHAMAR",473,385,0,858,314,208,0,522,11,0,92,111,259,46,0,4,3,1,3,3,522
28,P.S.MUBARIKAPUR,463,410,0,873,266,219,0,485,11,0,6,82,357,31,1,1,2,0,0,5,485
29,"BARATGHAR KASIMAPUR",264,245,0,509,198,187,0,385,17,0,2,3,360,6,2,2,2,3,2,3,385
30,P.S.KUTHILA,260,241,0,501,158,147,0,305,305,0,2,59,231,9,0,0,0,2,1,1,305
31,"P.S.KAPASIYA R.N.1",442,359,0,801,218,165,0,383,5,0,24,72,220,52,0,5,0,3,0,7,383
32,"P.S.KAPASIYA R.N.2",291,231,0,522,135,100,0,235,235,0,8,61,152,11,0,1,0,1,0,1,235
33,"P.S.TIKRI KALAN R.N. 1",621,459,0,1080,364,241,0,605,5,0,119,243,174,53,4,3,1,2,3,3,605
34,"P.S.TIKRI KALAN R.N. 2",607,469,0,1076,317,207,0,524,54,0,4,108,295,90,4,9,4,2,1,7,524
35,P.S.THEGAPUR,518,388,0,906,229,177,0,406,85,0,49,117,205,29,0,2,2,0,1,1,406
36,P.S.DANDESRI,744,544,0,1288,372,285,0,657,10,0,0,129,442,66,1,2,3,3,3,8,657
37,P.S.KADMAPUR,523,413,0,936,285,178,0,463,463,0,111,25,295,14,5,7,4,0,0,2,463
38,"KANYA P.S. GADHI HIRA SINGH",322,289,0,611,165,129,0,294,8,0,0,98,159,35,0,0,0,0,0,2,294
39,"P.S. BHUPALGADHI",207,168,0,375,175,115,0,290,63,0,20,52,210,5,2,1,0,0,0,0,290
40,"P.S. CHHONKARA",536,492,0,1028,310,312,0,622,6,0,6,324,199,78,2,2,1,5,0,5,622
41,P.S.PANCHAYTA,499,390,0,889,247,151,0,398,393,0,120,25,98,147,3,1,1,3,0,0,398
42,"P.S. NAGLA GANGI",266,212,0,478,144,134,0,278,278,0,3,82,174,11,1,2,1,3,1,0,278
43,"P.S. BHATIKARA R.N. 1",744,605,0,1349,393,329,0,722,98,0,6,38,588,58,5,6,3,4,1,13,722
44,"P.S.BHATIKARA R.N. 2",479,383,0,862,229,188,0,417,11,0,8,168,228,8,0,2,1,0,1,1,417
45,"P.S.RAYAPUR TAPPA AGASOLI",509,411,0,920,276,239,0,515,163,0,2,135,229,133,3,2,2,3,1,5,515
46,"P.S.PACHO R.N. 1",624,498,0,1122,376,287,0,663,12,0,1,253,229,173,1,0,0,4,2,0,663
47,"P.S. PACHO R.N. 2",726,633,0,1359,481,380,0,861,861,0,37,40,388,379,3,4,0,2,5,3,861
48,P.S.DARIYAPUR,509,391,0,900,284,171,0,455,100,0,39,52,142,216,0,2,0,2,0,2,455
49,"P.S. VARTAR KHAS",631,452,0,1083,333,229,0,562,2,0,16,67,311,159,2,3,1,1,1,1,562
50,P.S.SHERAPUR,499,393,0,892,335,260,0,595,72,0,382,6,184,9,1,0,1,3,0,9,595
51,"P.S.TATIDANDIYA R.N.1",351,295,0,646,290,166,0,456,3,0,1,6,435,11,0,1,0,0,1,1,456
52,"PANCHAYATGHAR TATIDANDIYA R.N. 2",343,275,0,618,215,152,0,367,137,0,14,108,227,9,0,3,0,2,1,3,367
53,"P.S.TIKRI KHURD R.N. 1",623,497,0,1120,385,284,0,669,15,0,65,69,481,42,2,3,1,2,1,3,669
54,"P.S.TIKRI KHURD R.N. 2",513,385,0,898,385,269,0,654,5,0,5,112,505,23,3,0,1,1,0,4,654
55,P.S.BILAR,614,523,0,1137,299,236,0,535,5,0,16,207,191,94,6,5,1,1,6,8,535
56,P.S.ARANOT,442,342,0,784,285,231,0,516,179,0,1,196,235,75,0,3,2,0,2,2,516
57,P.S.MIRAPUR,464,383,0,847,331,258,0,589,589,0,2,354,63,162,2,1,0,1,2,2,589
58,"KANYA P.S.RATNAPUR",265,235,0,500,153,145,0,298,298,0,7,43,175,67,2,1,0,2,0,1,298
59,"P.M,S,HUSAINAPUR",506,409,0,915,363,276,0,639,30,0,0,22,101,499,4,4,0,0,3,6,639
60,"P.S.MAHAMAI SALAVAT NAGAR",416,374,0,790,272,219,0,491,23,0,22,7,437,22,1,0,0,2,0,0,491
61,P.S.SARAY,904,763,0,1667,600,554,0,1154,1154,0,4,48,209,887,2,3,0,1,0,0,1154
62,"P.S.NAGLA HARI",304,276,0,580,231,177,0,408,7,0,1,7,119,269,1,2,1,2,2,4,408
63,"P.S.DEVAR PANAKHAR",462,326,0,788,316,206,0,522,13,0,10,11,91,405,4,0,1,0,0,0,522
64,"P.S. NAGLA JALAL",485,395,0,880,351,241,0,592,62,0,9,31,121,411,12,0,2,0,2,4,592
65,P.S.BAMNAHAR,390,335,0,725,281,204,0,485,15,0,8,225,178,61,2,2,0,5,2,2,485
66,"P.S. FARIDABAD",501,431,0,932,422,289,0,711,254,0,45,240,59,354,3,3,1,2,2,2,711
67,"P.S.LASHKAR GANJ",465,377,0,842,326,268,0,594,594,0,21,128,359,70,1,3,1,5,0,6,594
68,P.S.IKABALAPUR,667,559,0,1226,467,402,0,869,8,0,4,317,51,484,5,0,1,2,2,3,869
69,P.S.GADIYA,330,308,0,638,266,214,0,480,2,0,4,1,36,436,1,0,0,0,0,2,480
70,"NORANGABAD PURVI",741,633,0,1374,489,378,0,867,91,0,5,373,273,201,3,1,2,1,3,5,867
71,"NORANGABAD PURVI",631,543,0,1174,424,359,0,783,24,0,7,674,34,59,2,1,1,1,0,4,783
72,PURANGANJ,188,172,0,360,119,91,0,210,9,0,4,15,145,44,1,1,0,0,0,0,210
73,PURANGANJ,575,460,0,1035,379,261,0,640,45,0,2,24,230,378,1,3,0,2,0,0,640
74,"GADI BUNDU KHAN",651,517,0,1168,369,270,0,639,139,0,29,78,330,188,3,0,2,3,2,4,639
75,"GADI BUNDU KHAN",585,478,0,1063,346,254,0,600,10,0,30,455,42,64,1,1,1,0,2,4,600
76,"GADI BUNDU KHAN",524,438,0,962,263,240,0,503,44,0,35,279,125,43,5,2,2,2,3,7,503
77,"NORANGABAD PASHCHIMI PRATHAM",602,532,0,1134,297,204,0,501,169,0,7,23,323,138,2,1,1,1,0,5,501
78,"NORANGABAD PASHCHIMI",307,278,0,585,187,147,0,334,7,0,3,5,110,212,1,1,2,0,0,0,334
79,"NORANGABAD PASHCHIMI",668,542,0,1210,467,312,0,779,33,0,8,24,10,729,1,1,1,1,0,4,779
80,"SARAY UMDA BEGAM",675,568,0,1243,465,358,0,823,5,0,17,43,190,559,5,1,4,1,0,3,823
81,"SARAY UMDA BEGAM",637,518,0,1155,408,299,0,707,234,0,6,13,377,306,2,1,0,1,0,1,707
82,KILA,799,701,0,1500,429,367,0,796,174,0,21,78,384,303,4,2,1,0,0,3,796
83,KURAISHIYAN,916,752,1,1669,464,345,0,809,78,0,10,127,97,550,8,2,1,2,3,9,809
84,KAJIYAN,522,432,0,954,237,180,0,417,160,0,5,59,76,272,2,1,0,0,0,2,417
85,"DAMDAMA AANSHIK",396,360,0,756,183,171,0,354,28,0,2,144,76,127,4,0,0,0,1,0,354
86,NOKHEL,452,398,0,850,220,151,0,371,20,0,13,74,61,210,6,0,0,3,2,2,371
87,NOKHEL,451,366,0,817,221,135,0,356,21,0,4,71,89,185,1,0,0,1,1,4,356
88,NOKHEL,739,685,0,1424,365,296,0,661,45,0,6,189,172,275,3,0,1,3,2,10,661
89,MATAKOTA,577,577,0,1154,308,301,0,609,9,0,11,38,173,384,1,1,0,0,0,1,609
90,MATAKOTA,495,445,0,940,321,258,0,579,76,0,19,66,104,381,5,1,0,0,0,3,579
91,MATAKOTA,605,541,0,1146,429,354,0,783,24,0,8,27,529,212,3,1,1,0,1,1,783
92,BARAHASAINI,369,326,0,695,245,220,0,465,68,0,4,2,431,22,0,1,1,2,0,2,465
93,ROSHNAGANJ,668,611,0,1279,449,330,0,779,171,0,18,59,370,314,3,6,1,2,0,6,779
94,"CHAND GADHI",343,292,0,635,180,151,0,331,91,0,3,30,272,24,0,1,0,0,0,1,331
95,"GANDHI GANJ",547,457,0,1004,337,259,0,596,92,0,5,46,172,366,3,0,2,0,0,2,596
96,"NAGLA SHISHGAR",837,730,0,1567,432,336,0,768,160,0,4,272,106,376,2,3,0,1,2,2,768
97,"NAGLA SHISHGAR",939,727,1,1667,452,311,0,763,1,0,34,218,399,98,5,2,1,2,1,3,763
98,"P.S. AIECHOLA SAHADTAPUR",472,358,0,830,342,267,0,609,200,0,40,121,314,126,1,1,0,1,1,4,609
99,"P.S. NAVLI LALAPUR",753,600,0,1353,457,242,0,699,350,0,2,16,52,622,3,0,0,0,2,2,699
100,"P.S. RAMAPUR NAGLA CHATOL",363,296,0,659,211,170,0,381,318,0,30,60,95,195,0,0,0,1,0,0,381
101,"P.S. ARANIYA TALESRA",345,285,0,630,205,167,0,372,13,0,73,150,107,38,0,2,0,1,1,0,372
102,"P.S. KHIRJAPUR KASVA",317,269,0,586,238,205,0,443,443,0,20,198,26,194,1,1,2,0,1,0,443
103,"J.H. KHEMGADHI",460,381,0,841,351,246,0,597,597,0,1,55,38,494,4,2,0,1,0,2,597
104,"P.S. NIHALAPUR",563,462,0,1025,398,262,0,660,62,0,5,67,216,348,5,3,2,4,1,9,660
105,P.S.MAHAMUDAPUR,433,331,0,764,269,195,0,464,464,0,81,142,229,4,2,1,0,0,3,2,464
106,P.S.TOGLAPUR,262,217,0,479,239,180,0,419,419,0,3,407,4,0,0,1,1,0,0,3,419
107,"P.S.KHEDIYA TAPPA AGASOLI",448,350,0,798,220,183,0,403,83,0,2,168,217,8,0,1,0,4,1,2,403
108,"P.S. AGASOLI R.N. 1",564,457,0,1021,292,207,0,499,499,0,1,194,254,29,0,2,4,5,3,7,499
109,"P.S. AGASOLI R.N. 2",497,374,0,871,248,206,0,454,224,0,18,136,230,47,7,2,4,2,2,6,454
110,"P.S. NAGLA BHUD",453,389,0,842,275,244,0,519,80,0,166,9,329,2,1,2,0,4,1,5,519
111,"P.S. NAGLA ADU",400,328,0,728,203,153,0,356,66,0,10,3,324,12,0,2,1,0,1,3,356
112,MADHURI,473,417,0,890,342,228,0,570,50,0,0,5,47,511,2,0,0,0,1,4,570
113,"P.S.GANDARI SHAHAPUR R.N. 1",467,430,0,897,239,194,0,433,5,0,1,43,320,59,1,2,3,4,0,0,433
114,"P.S. GANTHARI SHAHAPUR R.N. 2",350,279,0,629,165,137,0,302,30,0,74,15,170,27,2,4,1,1,4,4,302
115,P.S.JULAPUR,444,374,0,818,324,233,0,557,20,0,46,134,71,299,1,3,0,0,1,2,557
116,"P.S. BARGANVA R.N. 1",610,532,0,1142,331,255,0,586,6,0,19,226,306,24,2,1,1,2,3,2,586
117,"P.S. BARGANVA R.N. 2",775,576,0,1351,471,252,0,723,35,0,5,10,675,13,2,6,0,4,4,4,723
118,"P.S. NORTHA",686,593,0,1279,365,302,0,667,11,0,55,207,378,21,1,0,2,0,1,2,667
119,"P.S. ISHEPUR",404,299,0,703,309,218,0,527,379,0,2,31,475,12,0,3,0,3,0,1,527
120,"P.S. KACHAURA R.N. 1",345,275,0,620,229,147,0,376,376,0,36,33,203,84,5,2,0,2,2,9,376
121,"P.S. KACHAURA R.N. 2",529,470,0,999,345,243,0,588,35,0,12,82,458,31,0,1,0,0,2,2,588
122,"P.S. KACHAURA R.N. 3",805,702,0,1507,498,395,0,893,123,0,5,123,657,87,2,2,3,2,6,6,893
123,P.S.GOPALAPUR,321,294,0,615,238,204,0,442,57,0,1,6,57,369,6,0,1,0,1,1,442
124,"P.S. HARCHANDRAPUR",192,168,0,360,155,131,0,286,38,0,2,48,226,7,0,0,0,1,1,1,286
125,"P.S. HIMMATAPUR",601,480,0,1081,361,267,0,628,29,0,6,184,342,88,2,0,0,2,1,3,628
126,"P.S. NAGLA MAHARI",727,593,0,1320,492,283,0,775,192,0,17,160,120,470,1,2,2,2,1,0,775
127,P.S.AGARANA,912,702,0,1614,477,319,0,796,134,0,8,77,543,142,10,4,3,4,0,5,796
128,"J.H. BHAGVANTAPUR",475,379,0,854,294,214,0,508,5,0,34,74,207,187,2,1,1,0,1,1,508
129,P.S.KHUSHALAPUR,420,382,0,802,218,190,0,408,27,0,17,10,334,35,2,5,0,2,1,2,408
130,"P.S. PIPLAGANVA",762,531,0,1293,466,318,0,784,784,0,5,17,395,345,7,3,0,0,4,8,784
131,"P.S. NAGLA NAUKAS",457,342,0,799,258,165,0,423,37,0,8,127,98,182,1,2,1,1,0,3,423
132,"P.S. NAGLA MAHASINGH",437,363,0,800,261,191,0,452,4,0,0,30,310,101,0,0,1,1,0,9,452
133,"P.S. RATIBHANAPUR",515,411,0,926,294,224,0,518,518,0,3,67,114,322,4,2,0,1,0,5,518
134,P.S.JIMISAPUR,545,421,0,966,329,207,0,536,23,0,1,4,42,482,2,0,0,0,0,5,536
135,"KANYA P.S. TOLI",338,283,0,621,180,174,0,354,6,0,0,0,121,228,2,1,0,0,0,2,354
136,"P.S.LAL GADHI",550,440,0,990,291,187,0,478,35,0,2,7,171,282,1,1,0,5,4,5,478
137,"J.H. BHISI MIRJAPUR",782,585,0,1367,464,351,0,815,193,0,15,235,517,29,3,1,2,5,1,7,815
138,"P.S. RAJAPUR",229,210,0,439,202,153,0,355,1,0,2,36,30,281,5,0,1,0,0,0,355
139,"P.S. GULAVAPUR",354,260,0,614,286,187,0,473,473,0,2,1,34,434,1,0,0,1,0,0,473
140,HIRAPUR,331,283,0,614,219,181,0,400,8,0,3,3,142,249,0,2,0,0,1,0,400
141,"P.S. AMRITAPUR",288,214,0,502,154,103,0,257,9,0,13,33,41,164,3,1,0,0,0,2,257
142,"P.S. ASDAPUR",606,498,0,1104,424,305,0,729,70,0,1,0,51,670,1,3,0,1,0,2,729
143,"P.S. DAHAGAVAN",308,265,0,573,215,185,0,400,2,0,0,0,21,372,2,2,1,1,1,0,400
144,"P.S.BARAI SHAHAPUR R.N. 1",817,573,0,1390,392,200,0,592,91,0,45,77,396,63,4,3,2,1,0,1,592
145,"P.S. BARAI SHAHAPUR R.N. 2",428,311,0,739,249,183,0,432,432,0,1,63,351,4,2,2,0,3,3,3,432
146,P.S.UMARAVAPUR,618,466,0,1084,483,364,0,847,7,0,0,377,40,427,1,1,0,1,0,0,847
147,"P.S. KHEDIYA KHURD",337,289,0,626,278,207,0,485,30,0,2,195,73,212,1,1,0,0,1,0,485
148,"P.S. FULARAI",646,558,0,1204,411,403,0,814,100,0,4,221,104,466,6,3,4,0,3,3,814
149,"P.S. MUGLAGDHI",744,574,0,1318,373,364,0,737,737,0,8,435,278,6,0,3,3,1,2,1,737
150,"P.S. NARAI R.N. 1",457,378,0,835,276,228,0,504,504,0,50,103,243,96,2,3,1,3,1,2,504
151,"P.S. NARAI R.N. 2",448,380,0,828,308,259,0,567,8,0,75,262,123,100,2,2,1,0,0,2,567
152,"P.S.JIROLI KALAN",835,657,0,1492,501,361,0,862,37,0,14,76,689,68,3,1,3,2,1,5,862
153,"P.S. CHANDANAPURA",693,534,0,1227,345,236,0,581,581,0,99,203,191,69,3,2,1,1,4,8,581
154,"P.S. MADI",268,227,0,495,186,131,0,317,2,0,0,50,241,21,0,1,2,0,0,2,317
155,"P.S. JIRAULI KHURD",720,583,0,1303,436,315,0,751,751,0,24,80,596,23,3,9,2,6,2,6,751
156,"P.S. NAGLA JAMUNI",119,99,0,218,75,67,0,142,15,0,0,21,3,118,0,0,0,0,0,0,142
157,"J.S. SINDHOLI R.N. 1",507,447,0,954,307,253,0,560,10,0,27,42,395,65,17,3,1,4,1,5,560
158,"J.H. SINDHOLI R.N. 2",546,430,0,976,312,243,0,555,20,0,212,22,272,34,4,1,0,3,2,5,555
159,"P.S. CHITTARAPUR",543,403,0,946,287,199,0,486,61,0,7,29,415,28,0,2,0,1,1,3,486
160,"J.H. PORA R.N. 1",804,649,0,1453,390,263,0,653,199,0,17,267,174,181,3,3,1,4,0,3,653
161,"J.H. PORA R.N. 2",767,659,0,1426,406,333,0,739,17,0,9,169,463,76,3,2,1,1,4,11,739
162,"P.S. NAGLA KUTAIRA",484,389,0,873,312,180,0,492,23,0,13,4,65,407,1,0,0,1,1,0,492
163,"NAGLA MASAND TODARPUR UMRAVPUR",526,394,0,920,359,277,0,636,142,0,20,85,511,10,1,3,1,3,1,1,636
164,"NAGLA MASAND TODARPUR UMRAVPUR",369,351,0,720,250,219,0,469,469,0,4,55,400,7,0,1,0,0,1,1,469
165,"P.S. JANASOI",484,376,0,860,233,188,0,421,4,0,30,155,158,70,1,1,1,1,1,3,421
166,"P.S. JARINAPUR BHURRAKA R.N. 1",494,392,0,886,237,141,0,378,28,0,0,10,62,303,1,0,0,0,0,2,378
167,"P.S. JARINAPUR BHURRAKA R.N. 2",656,477,0,1133,383,202,0,585,585,0,2,22,92,462,4,0,0,1,0,2,585
168,"P.S. MALAMAI ISLAMAPUR",645,456,0,1101,425,222,0,647,627,0,12,145,65,416,2,2,0,2,1,2,647
169,"P.S. DAUKELI",407,326,0,733,236,153,0,389,389,0,103,38,184,54,0,1,2,1,4,2,389
170,"P.S. NAGLA SAKAT",707,567,0,1274,291,378,0,669,669,0,121,136,305,95,3,2,3,1,1,2,669
171,"P.S. ULDAPUR",225,192,0,417,150,132,0,282,15,0,1,203,66,8,0,1,0,1,1,1,282
172,"P.S. MAIDAMAI",397,360,0,757,237,180,0,417,121,0,108,19,237,51,2,0,0,0,0,0,417
173,"P.S. BADI R.N. 1",634,535,0,1169,292,239,0,531,72,0,38,115,281,75,3,1,3,5,2,8,531
174,"P.S. BADI R.N. 2",276,204,0,480,185,125,0,310,185,0,28,97,165,16,0,0,0,0,2,2,310
175,"P.S. GUJRAPUR",331,292,0,623,215,158,0,373,93,0,162,90,102,14,0,0,0,1,2,2,373
176,"P.S. SAKHI ABU TALIBAPUR",379,307,0,686,296,247,0,543,43,0,4,7,508,14,1,0,1,2,2,4,543
177,"JR. HIGH SCHOOL SULTANPUR",343,303,0,646,261,204,0,465,183,0,68,132,245,7,0,0,2,1,1,9,465
178,P.S.PAYANDAPUR,476,372,0,848,333,280,0,613,22,0,14,425,158,0,0,4,0,3,1,8,613
179,"P.S. BARASAMAI R.N. 2",886,648,0,1534,520,339,0,859,37,0,13,119,32,673,4,6,2,1,3,6,859
180,"P.S. SIHORI R.N. 1",494,396,0,890,303,230,0,533,80,0,90,85,288,38,7,5,2,6,5,7,533
181,"P.S. SIHORI R.N. 2",607,512,0,1119,315,240,0,555,143,0,25,188,135,196,1,1,2,1,3,3,555
182,"P.S. AJMATAPUR AJAGARA",270,235,0,505,204,168,0,372,372,0,3,115,248,5,0,0,0,0,0,1,372
183,"P.S. RAYAPUR TAPPA PORA",574,470,0,1044,323,303,0,626,2,0,4,70,9,531,2,0,1,4,1,4,626
184,SARAFAN,481,358,0,839,268,175,0,443,113,0,7,12,353,67,1,1,0,2,0,0,443
185,"SORON GATE",641,527,0,1168,377,297,0,674,19,0,2,451,80,128,1,4,1,0,1,6,674
186,"BADI BAKKHAL, JALESARI DARVAZA AANSHIK",865,689,0,1554,510,301,0,811,54,0,3,375,252,163,4,2,1,1,5,5,811
187,"JAESARI DARVAZA AANSHIK, NAI ABADDI (RAMNAGAR COLONY)",268,234,0,502,167,143,0,310,310,0,3,39,244,14,1,2,2,3,2,0,310
188,PURDILNAGAR,770,545,0,1315,440,280,0,720,138,0,7,84,74,542,3,0,0,0,2,8,720
189,"LALITA DARVAZA",768,647,0,1415,365,333,0,698,16,0,4,182,424,64,7,3,0,3,2,9,698
190,"BRAHMANPURI AANSHIK, BHIMNAGAR, KATARA",171,147,0,318,73,52,0,125,19,0,3,26,70,26,0,0,0,0,0,0,125
191,"BRAHMANPURI AANSHIK",527,434,0,961,314,208,0,522,522,0,3,12,243,257,1,3,1,1,0,1,522
192,"S.G.R.E.COLLEGE PURDILNAGAR",367,292,0,659,220,150,0,370,370,0,0,15,227,128,0,0,0,0,0,0,370
193,PURDILNAGAR,577,489,0,1066,366,294,0,660,18,0,3,13,604,28,2,1,1,3,1,4,660
194,GADDHA,605,516,0,1121,360,283,0,643,643,0,0,109,6,512,5,1,4,1,2,3,643
195,KHASPUR,304,260,0,564,196,113,0,309,309,0,65,0,232,2,2,0,0,2,2,4,309
196,PURDILNAGAR,726,643,0,1369,473,385,0,858,160,0,3,5,757,84,0,2,1,2,2,2,858
197,PURDILNAGAR,520,437,0,957,347,250,0,597,93,0,2,184,189,209,3,2,0,3,0,5,597
198,"P.S. SICHAVLI KADIM",399,326,0,725,268,197,0,465,96,0,36,144,214,64,0,1,2,0,0,4,465
199,"P.S. NAVAVAPUR",350,267,0,617,216,133,0,349,4,0,162,1,127,54,0,0,0,2,1,2,349
200,"P.S. KHEDIYA KALAN",469,368,0,837,273,232,0,505,505,0,6,190,260,43,3,1,0,0,1,1,505
201,"P.S. BARAMAI",451,375,0,826,354,252,0,606,606,0,1,32,89,472,6,1,2,1,1,1,606
202,"J.H. NAGLA VIJAN",572,473,1,1046,377,250,0,627,8,0,0,40,88,484,5,1,0,0,2,7,627
203,"P.S. SHERAPUR",501,375,0,876,274,178,0,452,62,0,10,172,90,174,1,2,0,0,2,1,452
204,"P.S. CHAMAROLI",690,558,0,1248,480,128,0,608,52,0,3,76,249,266,4,3,2,1,2,2,608
205,"P.S. GINOLI KISHNAPUR R.N. 1",546,396,1,943,306,197,0,503,17,0,3,14,305,168,0,1,2,4,1,5,503
206,"P.S. GINOLI KISHNAPUR R.N. 2",536,413,0,949,295,172,0,467,19,0,26,7,191,237,1,1,0,1,0,3,467
207,"P.S. JAHANGIRAPUR KODRA",362,293,0,655,208,160,0,368,33,0,16,68,152,127,2,1,1,1,0,0,368
208,"P.S. AMAUSI",457,369,0,826,281,180,0,461,51,0,0,124,76,254,2,3,1,0,0,1,461
209,"P.S. MANAURA",317,255,0,572,176,134,0,310,310,0,0,1,251,53,1,0,1,2,1,0,310
210,"P.S. KHEDA SULTANAPUR",451,356,0,807,260,192,0,452,50,0,58,13,216,156,1,1,1,0,2,4,452
211,"P.S. GIRDHARAPUR",684,573,0,1257,273,324,0,597,26,0,3,87,400,90,2,4,2,4,5,0,597
212,"J.H. BASAI R.N. 1",649,507,0,1156,300,250,0,550,550,0,79,113,252,78,4,9,4,2,1,8,550
213,"J.H. BASAI R.N. 2",532,405,0,937,241,121,0,362,362,0,76,36,146,88,4,1,3,3,3,2,362
214,"P.S. RAMAPUR",431,333,0,764,264,194,0,458,115,0,9,153,256,32,0,1,1,1,1,4,458
215,"P.S. VAVAS",740,593,0,1333,403,244,0,647,647,0,433,3,108,78,2,1,4,2,3,13,647
216,"P.S. RAMNAGAR",244,181,0,425,151,115,0,266,266,0,2,252,3,3,0,0,0,0,0,6,266
217,"P.S. NAGLA GOVIND URF NOJARPUR",605,468,0,1073,330,266,0,596,596,0,237,43,272,34,3,0,0,3,1,3,596
218,"P.S. BASTOI R.N. 1",494,414,0,908,325,230,0,555,5,0,74,53,391,26,0,1,1,2,2,5,555
219,"P.S. BASTOI R.N. 2",457,407,0,864,282,216,0,498,253,0,20,219,214,32,1,1,2,3,1,5,498
220,"P.S. NAGLA MIYAN PATTI DEVRI",776,633,0,1409,508,392,0,900,39,0,33,58,292,480,13,5,3,4,6,6,900
221,"P.S. MOHANAPUR",568,507,0,1075,388,255,0,643,29,0,47,236,156,193,1,0,0,2,3,5,643
222,"P.S. NAGLA VARI PATTI DEVRI",694,615,0,1309,401,306,0,707,4,0,4,95,434,153,4,6,1,1,1,8,707
223,"P.S. NAGLA PATTI DEVRI R.N. 1",587,442,0,1029,315,264,0,579,16,0,3,226,157,179,2,2,2,3,0,5,579
