"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BAL KUMAR PATEL ALIAS RAJKUMAR","2 - BHAIRON PRASAD MISHRA","3 - RAMCHANDRA SARAS","4 - VIVEK KUMAR SINGH","5 - R. K. SINGH PATEL","6 - AMAR SINGH RATHAUR","7 - PAPPU YADAV","8 - PRABHAKAR PRASAD","9 - VISHVAMBHAR NATH","10 - MO. SAGEER","11 - SUSHEELA SINGH","12 - NARENDRA KUMAR SHRIVASTAVA","13 - VIJAY PRAKASH","14 - None of the Above","Total Votes Secured"
22,"PR. VI. GULRIHA DERA MAJARA SAMGARA",657,550,0,1207,335,273,0,608,608,0,101,292,28,13,124,2,0,0,8,4,5,4,13,14,608
23,"POORV MA. VI. MARKA ROOM NO.-1",497,345,0,842,201,168,0,369,312,0,20,225,16,10,90,0,0,0,0,0,2,1,1,4,369
24,"POORV MA. VI. MARKA ROOM NO.-2",555,377,0,932,216,168,0,384,382,0,69,247,7,15,32,0,0,1,0,1,0,3,4,5,384
25,"POORV MA. VI. MARKA ROOM NO.-3",790,606,0,1396,288,181,0,469,469,0,298,61,7,13,76,1,1,2,1,0,0,3,4,2,469
26,"KANYA PR. VI. MARKA ROOM NO.-1",704,503,0,1207,241,180,0,421,420,0,115,208,10,18,32,3,1,1,4,4,1,5,9,10,421
27,"KANYA PR. VI. MARKA ROOM NO.-2",433,308,0,741,164,117,0,281,264,0,30,181,9,25,28,0,0,0,0,0,0,0,3,5,281
28,"PR. VI. MIRZAPUR MAZRA MARKA",776,568,0,1344,368,253,0,621,603,0,205,178,11,39,153,4,3,0,3,2,3,4,8,8,621
29,"PR. VI. BAIRAF MAZRA MARKA",654,489,0,1143,323,258,0,581,580,0,165,309,14,9,45,3,1,6,3,1,2,6,9,8,581
30,"PR.VI. USARA MAZRA MARKA ROOM NO.-1",724,516,0,1240,296,226,0,522,250,0,138,221,31,18,66,5,3,1,1,1,2,9,18,8,522
31,"PR.VI. USARA MAZRA MARKA ROOM NO.-2",645,445,0,1090,258,114,0,372,342,0,50,160,6,2,131,1,5,0,2,2,0,6,1,6,372
32,"PR. VI. SANDA ROOM NO.-1",513,411,0,924,283,256,0,539,535,0,200,133,8,7,142,3,1,3,6,4,4,6,5,17,539
33,"PR. VI. SANDA ROOM NO.-2",591,457,0,1048,358,319,0,677,662,0,57,454,15,27,98,2,2,1,1,3,2,1,7,7,677
34,"POORV MA. VI. ARMAR",759,596,0,1355,434,303,0,737,721,0,81,381,19,29,191,2,3,2,3,3,0,4,7,12,737
35,"PR. VI. KUMEDHA",348,280,0,628,176,169,0,345,345,0,47,104,9,9,145,4,0,4,2,0,5,1,3,12,345
36,"PR. VI. KALANA",485,398,0,883,263,209,0,472,436,0,51,185,11,45,142,6,3,0,5,2,1,4,3,14,472
37,"PR. VI. KARHULI (PRATHAM)",641,515,0,1156,337,273,0,610,572,0,237,198,4,6,142,3,1,0,1,1,0,4,2,11,610
38,"PR. VI. ADHAON",740,614,0,1354,372,286,0,658,658,0,138,252,20,12,202,7,3,2,4,3,1,2,4,8,658
39,"A.K.INTER COLLEGE BHABHUWA ROOM NO.-1",716,564,0,1280,418,344,0,762,762,0,173,213,7,12,276,2,0,4,56,2,3,2,2,10,762
40,"A.K.INTER COLLEGE BHABHUWA ROOM NO.-2",627,527,0,1154,328,277,0,605,600,0,191,178,0,1,221,6,0,2,0,1,1,0,0,4,605
41,"PR.VI. GUJAINI ROOM NO.-1",491,400,0,891,248,155,0,403,397,0,144,86,3,1,141,6,1,1,3,1,2,3,2,9,403
42,"PR.VI. GUJAINI ROOM NO.-2",574,427,0,1001,202,99,0,301,301,0,167,86,4,1,26,0,0,0,0,1,1,4,3,8,301
43,"PR. VI. PRAS ROOM NO.-1",589,416,0,1005,270,141,0,411,411,0,153,167,6,7,53,3,0,6,2,2,0,2,5,5,411
44,"PR. VI. PRAS ROOM NO.-2",497,370,0,867,231,168,0,399,399,0,54,158,15,16,134,4,2,2,3,0,0,0,6,5,399
45,"PR. VI. ARTHARA",466,407,0,873,256,224,0,480,100,0,103,246,5,2,99,8,0,0,1,0,1,5,6,4,480
46,"PR. VI. THARTHUWA",487,403,0,890,239,193,0,432,432,0,111,118,4,10,173,2,1,1,0,1,0,2,1,8,432
47,"PR. VI. ANWAN",751,653,0,1404,389,321,0,710,705,0,90,368,12,18,207,0,1,2,1,0,1,2,6,2,710
48,"PR. VI. POON ROOM NO.-1",476,385,0,861,218,195,0,413,411,0,105,65,2,5,229,0,1,1,2,0,1,1,1,0,413
49,"PR. VI. POON ROOM NO.-2",425,356,0,781,172,118,0,290,290,0,62,170,7,5,15,0,0,1,18,0,2,3,4,3,290
50,"POORV MA. VI.   UMRAHNEE ROOM NO.-1",690,538,0,1228,301,219,0,520,1,0,94,285,5,11,111,3,0,2,0,1,0,2,3,3,520
51,"POORV MA. VI.   UMRAHNEE ROOM NO.-2",596,474,0,1070,314,216,0,530,503,0,225,156,8,31,97,3,1,1,1,0,1,1,1,4,530
52,"G.G.U.M. VIDYALAYA BABERU RAMLILA MAIDAN KE PAS ROOM NO.-1",701,548,0,1249,370,271,0,641,640,0,69,445,9,49,53,3,1,0,1,2,0,2,6,1,641
53,"G.G.U.M. VIDYALAYA BABERU RAMLILA MAIDAN KE PAS ROOM NO.-2",514,446,1,961,292,214,0,506,440,0,31,401,7,17,31,6,0,0,0,0,0,0,4,9,506
54,"G.G.U.M. VIDYALAYA BABERU RAMLILA MAIDAN KE PAS ROOM NO.-3",476,405,1,882,300,241,0,541,531,0,43,332,8,25,125,5,0,0,0,0,1,1,0,1,541
55,"G.G.U.M. VIDYALAYA BABERU RAMLILA MAIDAN KE PAS ROOM NO.-4",395,315,0,710,247,186,0,433,406,0,26,327,4,22,43,3,1,0,0,1,0,1,2,3,433
56,"PR. VI. BANTALWA (BABERU) ROOM NO.-1",500,424,0,924,267,212,0,479,479,0,91,173,10,19,148,0,1,1,5,2,2,5,4,18,479
57,"PR. VI. BANTALWA (BABERU) ROOM NO.-2",501,411,0,912,246,208,0,454,452,0,49,202,7,36,135,4,1,2,0,2,0,2,2,12,454
58,"KANYA POORV MA. VI. SHRINGAR THOK BABERU ROOM NO.-1",645,510,0,1155,370,330,0,700,625,0,36,517,11,50,64,7,1,2,0,0,1,1,3,7,700
59,"KANYA POORV MA. VI. SHRINGAR THOK BABERU ROOM NO.-2",816,713,0,1529,453,380,0,833,717,0,61,405,6,84,247,6,2,1,5,0,4,1,4,7,833
60,"B.R.C.BHAWAN BABERU ROOM NO.-1",556,483,0,1039,298,241,0,539,538,0,67,325,5,46,73,5,0,2,2,2,1,2,5,4,539
61,"B.R.C.BHAWAN BABERU ROOM NO.-2",578,480,0,1058,316,250,0,566,563,0,28,383,3,67,76,3,1,1,0,0,0,1,0,3,566
62,"PR.VI.CHAUBEN THOK FIRST BABERU ROOM NO.-1",409,317,0,726,195,149,0,344,343,0,77,197,5,8,37,3,0,1,0,1,1,3,5,6,344
63,"PR.VI.CHAUBEN THOK FIRST BABERU ROOM NO.-2",388,308,0,696,230,187,0,417,414,0,40,267,6,14,76,3,2,1,1,1,0,0,4,2,417
64,"PR. VI. KARUEHAPURWA FIRST BABERU ROOM NO.-1",508,402,0,910,290,223,0,513,512,0,60,182,6,30,208,5,2,2,0,2,1,3,5,7,513
65,"PR. VI. KARUEHAPURWA FIRST BABERU ROOM NO.-2",602,509,0,1111,329,288,0,617,156,0,36,110,1,23,420,2,1,1,1,2,2,4,6,8,617
66,"J.P. INTER COLLEGE BABERU ROOM NO.-1",615,461,0,1076,315,244,0,559,446,0,69,341,11,29,78,4,1,2,0,2,1,6,5,10,559
67,"J.P. INTER COLLEGE BABERU ROOM NO.-2",572,466,0,1038,328,240,0,568,568,0,33,376,13,13,103,0,0,2,4,1,2,1,8,12,568
68,"J.P. INTER COLLEGE BABERU ROOM NO.-3",740,615,0,1355,388,274,0,662,652,0,49,495,9,35,59,2,1,2,2,0,0,1,1,6,662
69,"J.P. INTER COLLEGE BABERU ROOM NO.-4",953,753,0,1706,500,398,0,898,699,0,57,542,17,53,191,7,3,1,8,1,2,5,5,6,898
70,"J.P. INTER COLLEGE BABERU ROOM NO.-5",433,345,0,778,234,185,0,419,418,0,34,278,8,25,63,5,1,0,1,1,0,0,1,2,419
71,"J.P. INTER COLLEGE BABERU ROOM NO.-6",470,372,1,843,241,193,0,434,299,0,50,249,3,31,90,4,0,1,1,0,0,0,1,4,434
72,"POORV MA. VI. AMBEDKARNAGAR ROOM NO.-1",601,474,0,1075,275,231,0,506,506,0,24,103,11,17,332,9,1,0,1,2,1,0,1,4,506
73,"POORV MA. VI. AMBEDKARNAGAR ROOM NO.-2",584,442,1,1027,332,261,0,593,593,0,23,186,10,19,332,5,0,0,0,0,5,3,2,8,593
74,"PR. VI. KARUIHA PURWA",282,263,0,545,162,141,0,303,287,0,27,41,0,5,222,0,0,0,1,0,1,2,2,2,303
75,"ISLAMIYA SCHOOL HARDAULI ROOM NO.-1",767,606,0,1373,307,325,0,632,630,0,176,117,11,12,292,3,2,4,4,3,2,0,2,4,632
76,"ISLAMIYA SCHOOL HARDAULI ROOM NO.-2",733,611,0,1344,278,347,0,625,622,0,180,44,7,15,363,2,2,1,1,0,0,2,1,7,625
77,"ISLAMIYA SCHOOL HARDAULI ROOM NO.-3",768,622,0,1390,322,287,0,609,7,0,231,51,7,11,290,3,2,2,0,3,1,4,1,3,609
78,"PR.VI. HARDAULI ROOM NO.-1",638,530,0,1168,301,281,0,582,582,0,99,234,9,21,202,0,0,0,0,0,2,8,3,4,582
79,"PR.VI. HARDAULI ROOM NO.-2",494,405,0,899,266,225,0,491,491,0,137,229,9,16,61,0,2,0,2,0,0,8,9,18,491
80,"PR. VI. BANSI PURWA ANS HARDAULI",240,209,0,449,147,147,0,294,294,0,78,19,14,12,166,2,2,1,0,0,0,0,0,0,294
81,"PR. VI. GAURIKHANPUR MAJRA HARDAULI ROOM NO.-1",586,486,0,1072,260,226,0,486,486,0,69,123,12,39,214,5,1,2,3,2,1,1,7,7,486
82,"PR. VI. GAURIKHANPUR MAJRA HARDAULI ROOM NO.-2",536,434,1,971,242,180,0,422,422,0,166,112,9,38,63,1,2,0,12,1,0,4,6,8,422
83,"INTER COLLEGE BYONJA ROOM NO.-1",511,394,0,905,229,191,0,420,420,0,16,144,8,20,204,1,2,3,5,3,1,1,4,8,420
84,"INTER COLLEGE BYONJA ROOM NO.-2",431,333,0,764,158,120,0,278,260,0,94,112,8,11,38,1,2,0,1,0,1,3,4,3,278
85,"PR.VI. BHADWARI",457,376,0,833,249,212,0,461,461,0,104,207,17,22,101,2,2,0,0,0,1,2,1,2,461
86,"PR. VI. PATWAN ROOM NO.-1",682,545,0,1227,307,126,0,433,432,0,153,199,9,37,14,0,1,1,1,0,1,1,8,8,433
87,"PR. VI. PATWAN ROOM NO.-2",818,641,0,1459,327,274,0,601,596,0,28,188,11,56,292,5,0,1,4,6,3,2,4,1,601
88,"PR. VI. BHADAUHAN PURWA MAJRA PATWAN",455,335,0,790,213,134,0,347,347,0,211,92,7,23,6,1,1,1,1,1,0,1,0,2,347
89,"PR. VI. GAHBARA PURWA MAJARA PATWAN",429,357,1,787,253,170,0,423,423,0,302,62,5,9,15,0,2,2,2,2,2,1,6,13,423
90,"PR. VI. MAJHEEWAN  ROOM NO.-1",772,574,0,1346,369,251,0,620,613,0,167,248,20,62,90,9,0,1,2,4,3,5,3,6,620
91,"PR. VI. MAJHEEWAN  ROOM NO.-2",562,383,0,945,268,158,0,426,426,0,65,245,10,10,68,2,2,2,1,3,0,5,8,5,426
92,"PR. VI. BHATAULI ANS MAJHEEWAN",417,333,0,750,196,148,0,344,338,0,98,196,12,4,17,0,0,2,2,0,0,2,5,6,344
93,"PR.VI. BADAULI",422,337,0,759,199,179,0,378,378,0,112,106,3,6,141,0,2,2,0,1,0,1,1,3,378
94,"PR. VI. KEWTRA MAJRA BADAULI",479,390,0,869,222,177,0,399,399,0,84,71,7,11,191,4,0,1,4,3,2,2,5,14,399
95,"POORV MA. VI. BAGHELA",576,472,0,1048,292,262,0,554,554,0,147,229,8,34,100,3,4,1,4,2,4,1,2,15,554
96,"PR. VI.TOLAKALAN ROOM NO.-1",636,484,1,1121,331,227,0,558,558,0,139,297,13,24,39,3,0,1,8,2,1,3,9,19,558
97,"PR. VI.TOLAKALAN ROOM NO.-2",697,601,0,1298,368,332,0,700,700,0,167,187,20,13,281,2,1,1,4,2,0,4,4,14,700
98,"POORV MA. VI. BAGHEHTA ROOM NO.-1",460,354,0,814,164,215,0,379,379,0,186,22,12,6,131,1,0,2,4,0,1,3,1,10,379
99,"POORV MA. VI. BAGHEHTA ROOM NO.-2",498,391,0,889,153,168,0,321,321,0,243,11,1,7,42,0,1,0,1,0,1,1,5,8,321
100,"PR. VI. BAGHEHTA",643,475,0,1118,280,241,0,521,521,0,177,127,8,17,165,6,2,1,1,4,2,3,2,6,521
101,"POORV MA. VI.SIMAUNI ROOM NO.-1",632,501,0,1133,300,256,0,556,486,0,98,357,6,8,78,1,0,0,0,1,1,1,3,2,556
102,"POORV MA. VI.SIMAUNI ROOM NO.-2",646,566,0,1212,256,284,0,540,539,0,227,44,6,13,210,4,1,2,1,3,3,5,4,17,540
103,"POORV MA. VI.SIMAUNI ROOM NO.-3",633,504,0,1137,255,247,0,502,502,0,219,141,10,8,91,8,2,4,1,0,0,1,6,11,502
104,"PR. VI. PADARI ROOM NO.-1",447,359,0,806,280,211,0,491,487,0,258,108,5,6,97,0,1,0,2,0,2,2,2,8,491
105,"PR. VI. PADARI ROOM NO.-2",478,347,0,825,267,218,0,485,1,0,165,97,6,4,182,2,3,0,12,1,0,1,3,9,485
106,"PR. VI. ANAUSA",474,356,0,830,232,217,0,449,449,0,139,66,7,15,192,3,4,2,4,3,2,6,2,4,449
107,"POORV MA. VI. RAGAULI",544,431,0,975,254,191,0,445,434,0,121,203,7,6,85,4,2,0,3,2,2,2,3,5,445
108,"PR. VI. BAGANDHA",416,297,0,713,174,140,0,314,314,0,82,110,7,9,82,5,0,2,12,0,0,0,2,3,314
109,"J.B. I.COLLEGE MURWAL ROOM NO.-1",750,560,0,1310,380,293,0,673,670,0,146,357,16,12,106,2,1,3,2,0,1,6,6,15,673
110,"J.B. I.COLLEGE MURWAL ROOM NO.-2",642,494,0,1136,290,228,0,518,518,0,62,367,13,16,30,2,1,3,2,3,4,5,4,6,518
111,"J.B. I.COLLEGE MURWAL ROOM NO.-3",608,475,0,1083,348,248,0,596,379,0,141,283,6,8,126,1,3,1,0,1,8,3,5,10,596
112,"PR. VIDYALAYA MURWAL",624,511,0,1135,302,276,0,578,576,0,105,213,12,4,188,6,1,3,2,3,1,5,10,25,578
113,"PR. VI. DEVARTHA ROOM NO.-1",449,355,0,804,223,175,0,398,329,0,102,194,17,11,66,1,2,1,3,0,0,1,0,0,398
114,"PR. VI. DEVARTHA ROOM NO.-2",432,353,0,785,211,175,0,386,386,0,60,101,17,6,178,0,1,0,0,0,3,3,7,10,386
115,"PR. VI. ALAMPUR",786,689,0,1475,272,393,0,665,664,0,109,70,10,23,423,4,0,1,2,3,1,3,5,11,665
116,"PR. VI. JUGRAHALI",366,294,0,660,165,131,0,296,292,0,148,63,12,6,52,0,0,0,5,1,2,1,1,5,296
117,"PR. VI. AHAR ROOM NO.-1",573,445,0,1018,270,233,0,503,503,0,123,166,8,11,167,12,1,0,2,2,0,4,7,0,503
118,"PR. VI. AHAR ROOM NO.-2",558,425,1,984,268,236,0,504,504,0,155,185,7,4,131,9,1,1,0,1,1,1,4,4,504
119,"KANYA PR. VI. ACHHAH",824,703,0,1527,382,355,0,737,737,0,177,198,10,15,309,5,5,0,3,2,1,4,4,4,737
120,"PR. VI. KORRAM ROOM NO.-1",653,551,0,1204,348,289,0,637,1,0,161,291,12,7,131,5,1,2,2,3,1,4,7,10,637
121,"PR. VI. KORRAM ROOM NO.-2",591,508,0,1099,275,276,0,551,549,0,91,108,4,3,324,7,4,0,3,1,0,2,4,0,551
122,"PR. VI.BHADEHDU",697,570,0,1267,335,302,0,637,540,0,119,265,8,15,182,6,2,4,1,7,6,2,11,9,637
123,"POORV MA. VI. BHADEHDU ROOM NO.-1",596,515,0,1111,291,270,0,561,550,0,315,52,7,10,167,3,1,0,1,2,1,1,1,0,561
124,"POORV MA. VI. BHADEHDU ROOM NO.-2",497,426,0,923,232,209,0,441,441,0,104,50,8,8,242,7,3,3,5,3,0,2,4,2,441
125,"PR. VI. PHUPHUNDI ROOM NO.-1",588,464,0,1052,280,258,0,538,530,0,98,202,9,9,195,4,0,1,1,2,1,6,5,5,538
126,"PR. VI. PHUPHUNDI ROOM NO.-2",395,318,0,713,188,167,0,355,313,0,60,196,10,11,51,3,0,1,7,1,4,1,3,7,355
127,"PR. VI. UMREE",397,358,0,755,191,225,0,416,416,0,78,128,2,7,190,1,0,1,7,1,0,0,1,0,416
128,"KANYA PR. VI. KUCHENDU ROOM NO.-1",479,391,0,870,253,236,0,489,1,0,97,209,7,41,113,3,0,2,4,0,1,1,3,8,489
129,"KANYA PR. VI. KUCHENDU ROOM NO.-2",477,385,0,862,260,210,0,470,465,0,144,107,5,41,158,3,2,1,2,0,0,3,0,4,470
130,"PR. VI. KAYAL",615,494,0,1109,316,252,0,568,21,0,103,263,12,17,137,4,2,0,0,3,5,10,8,4,568
131,"PR. VI. KAUHARA",358,307,0,665,204,194,0,398,398,0,89,147,3,10,145,0,0,1,0,0,0,0,2,1,398
132,"PR. VI.RAYAN ROOM NO.-1",603,480,0,1083,259,242,0,501,495,0,42,251,11,13,150,1,1,3,3,5,0,2,3,16,501
133,"PR. VI.RAYAN ROOM NO.-2",671,528,0,1199,309,298,0,607,606,0,212,196,5,9,134,4,0,2,4,3,1,8,8,21,607
134,"PR. VI. SANTAR",579,466,0,1045,344,318,0,662,662,0,81,275,10,18,246,11,3,1,1,0,0,5,3,8,662
135,"PR. VI. BINWAT",780,559,0,1339,412,335,0,747,747,0,245,278,12,22,130,1,0,6,0,8,7,6,13,19,747
136,"PR. VI. GURAULI SAPHAI",264,217,0,481,164,149,0,313,313,0,136,119,12,18,22,2,0,0,0,0,1,1,1,1,313
137,"PR. VI. DATAURA",424,369,0,793,223,198,0,421,421,0,166,136,15,5,76,10,0,0,1,2,3,1,2,4,421
138,"POORV MA. VI. SATNYAV ROOM NO.-1",667,531,0,1198,266,209,0,475,473,0,140,160,6,11,121,3,0,2,0,4,7,5,8,8,475
139,"POORV MA. VI. SATNYAV ROOM NO.-2",566,459,0,1025,238,232,0,470,8,0,30,235,11,9,147,15,3,2,3,0,1,4,5,5,470
140,"PR. VI. PAKHARAULI",324,251,1,576,153,150,0,303,291,0,97,76,6,17,82,2,1,1,2,2,2,1,5,9,303
141,"PR. VI. ANDAULI ROOM NO.-1",365,318,0,683,185,170,0,355,355,0,60,131,1,17,116,5,2,0,10,0,0,1,1,11,355
142,"PR. VI. ANDAULI ROOM NO.-2",408,360,0,768,222,198,0,420,417,0,229,93,5,5,73,2,0,0,1,2,0,1,2,7,420
143,"INTER COLLEGE BERRAUN ROOM NO.-1",752,617,0,1369,364,263,0,627,625,0,34,332,14,15,159,8,3,1,29,4,2,7,5,14,627
144,"INTER COLLEGE BERRAUN ROOM NO.-2",583,495,0,1078,314,234,0,548,528,0,275,155,10,11,64,10,0,4,1,1,1,4,6,6,548
145,"PR. VI. KHARAULI",868,651,1,1520,477,400,0,877,877,0,343,233,27,27,186,1,2,5,0,3,7,6,6,31,877
146,"PR. VI. PALI",621,520,0,1141,335,286,0,621,620,0,161,303,21,28,91,2,1,2,1,1,0,2,5,3,621
147,"POORV MA. VI. SUNAUHLI",258,197,0,455,126,98,0,224,224,0,55,105,6,0,50,2,1,0,1,0,0,0,2,2,224
148,"PR. VI. SUNAHULA",289,241,0,530,132,114,0,246,46,0,133,27,3,1,73,1,0,0,0,4,1,1,0,2,246
149,"PR. VI. PARA BANOO BEGUM",270,213,0,483,153,130,0,283,281,0,116,90,7,4,46,2,0,2,2,1,0,1,5,7,283
150,"PR. VI. BHANTI",450,349,0,799,207,150,0,357,355,0,90,84,9,101,35,6,1,4,3,1,0,7,6,10,357
151,"PR.VI. BUDHAULI",535,397,0,932,301,244,0,545,545,0,89,217,4,14,160,27,1,3,4,0,1,7,9,9,545
152,"PR. VI. BAMRAULA",283,230,0,513,183,153,0,336,334,0,143,88,5,14,59,3,1,0,2,0,2,7,3,9,336
153,"KANYA PR. VI. MAU ROOM NO.-1",545,445,0,990,270,237,0,507,505,0,39,267,9,6,164,4,1,1,1,2,2,2,4,5,507
154,"KANYA PR. VI. MAU ROOM NO.-2",512,440,0,952,272,270,0,542,540,0,29,256,11,8,213,3,0,1,1,0,0,3,4,13,542
155,"PR. VI. MAU ROOM NO.-1",604,427,0,1031,288,194,0,482,482,0,61,297,11,8,96,4,0,2,2,0,1,0,0,0,482
156,"PR. VI. MAU ROOM NO.-2",446,325,0,771,170,104,0,274,9,0,78,130,9,2,32,2,0,2,1,1,1,3,6,7,274
157,"PR. VI. KUREHA MAJRA MAU ROOM NO.-1",616,453,0,1069,321,225,0,546,512,0,82,238,9,7,181,4,0,2,3,4,2,1,1,12,546
158,"PR. VI. KUREHA MAJRA MAU ROOM NO.-2",697,482,0,1179,338,222,0,560,557,0,64,259,11,20,164,9,0,1,6,0,2,7,8,9,560
159,"PR. VI. ARWARI",311,211,0,522,146,102,0,248,235,0,34,132,7,6,54,0,0,1,8,0,1,0,2,3,248
160,"PR.VI. SINGWA DERA MAJRA ARWARI",554,419,0,973,287,226,0,513,380,0,316,73,5,12,90,2,2,2,0,0,0,5,1,5,513
161,"प्रा0वि0चरका कक्ष सं0-1	PR. VI. CHARKA ROOM NO.-1",585,433,0,1018,274,191,0,465,465,0,42,297,15,9,78,4,1,2,1,1,0,2,4,9,465
162,"PR. VI. CHARKA ROOM NO.-2",518,432,0,950,242,137,0,379,379,0,132,146,14,3,57,2,0,1,0,1,2,4,4,13,379
163,"PR. VI. MATEHNA",539,367,0,906,293,213,0,506,506,0,139,171,15,7,150,3,0,3,2,2,0,2,4,8,506
164,"PR. VI. MUDWARA",630,487,0,1117,361,230,0,591,96,0,169,252,24,20,74,6,2,2,3,4,0,4,9,22,591
165,"PO.MA.VI AUDAHA",844,586,0,1430,311,202,0,513,504,0,177,200,3,7,103,2,1,3,0,0,1,5,4,7,513
166,"POORV MA. VI. INGUWA ROOM NO.-1",662,485,0,1147,317,231,0,548,538,0,85,324,5,5,117,2,0,0,1,0,0,1,4,4,548
167,"POORV MA. VI. INGUWA ROOM NO.-2",701,542,0,1243,334,283,0,617,586,0,64,300,8,3,203,2,1,3,3,7,0,10,1,12,617
168,"PR.VI. CHANDELAN PURWA MAJARA INGUWA",352,254,0,606,218,193,0,411,411,0,22,172,5,7,185,3,2,1,1,0,1,0,3,9,411
169,"PR. VI. GONDA MAJRA INGUWA",693,513,0,1206,290,137,0,427,330,0,309,40,3,21,46,1,1,1,1,1,1,1,1,0,427
170,"PR. VI. KHEDA",691,520,0,1211,363,274,0,637,364,0,139,314,21,8,120,6,0,2,3,1,4,8,3,8,637
171,"PR. VI. KHATAN",393,316,0,709,232,188,0,420,419,0,74,234,15,9,72,1,0,2,3,3,1,1,3,2,420
172,"PR. VI. KATHAR",299,240,0,539,172,139,0,311,300,0,129,74,6,10,73,1,0,1,1,3,2,4,2,5,311
173,"PR. VI. DANDON",441,350,0,791,288,236,0,524,510,0,213,180,10,27,51,4,1,0,1,1,4,6,9,17,524
174,"PR. VI. RAGHAVPUR",653,504,0,1157,365,203,0,568,549,0,201,192,19,10,111,1,0,1,3,5,4,5,3,13,568
