"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BAL KUMAR PATEL ALIAS RAJKUMAR","2 - BHAIRON PRASAD MISHRA","3 - RAMCHANDRA SARAS","4 - VIVEK KUMAR SINGH","5 - R. K. SINGH PATEL","6 - AMAR SINGH RATHAUR","7 - PAPPU YADAV","8 - PRABHAKAR PRASAD","9 - VISHVAMBHAR NATH","10 - MO. SAGEER","11 - SUSHEELA SINGH","12 - NARENDRA KUMAR SHRIVASTAVA","13 - VIJAY PRAKASH","14 - None of the Above","Total Votes Secured"
1,"POORV MA. VI. JALALPUR",604,423,0,1027,337,249,0,586,586,0,17,349,19,59,112,1,4,2,3,3,3,5,4,5,586
2,PR.VI.PATHNAUDA,438,344,0,782,168,138,0,306,260,0,34,85,19,29,30,1,3,3,2,3,3,23,17,54,306
3,PR.VI.GAURA,266,204,0,470,126,127,0,253,253,0,25,120,11,8,78,0,4,0,0,1,2,0,1,3,253
4,"POORV MA.VI. AUGASI  ROOM NO.-1",489,359,1,849,224,176,0,400,58,0,72,198,7,34,61,1,0,1,1,0,2,2,10,11,400
5,"POORV MA.VI. AUGASI  ROOM NO.-2",771,648,0,1419,375,309,0,684,684,0,70,148,18,29,378,4,0,4,1,1,4,3,10,14,684
6,"PR.VI. TOLAKAZI",526,422,0,948,252,222,0,474,474,0,132,78,8,5,214,8,2,0,2,2,0,2,6,15,474
7,"POORV MA. VI. JAGMOHAN KA DERA TOLAKAJI",492,410,0,902,305,247,0,552,252,0,269,73,5,28,130,6,1,0,3,2,3,5,8,19,552
8,"PR.VI. NIBHAUR",852,697,0,1549,426,329,0,755,739,0,127,270,14,19,296,5,1,0,1,1,1,3,4,13,755
9,"PRY. VI.  KEVATARA ANS NIBHAUR",524,444,0,968,343,265,0,608,608,0,126,333,27,16,72,2,0,0,1,5,3,2,10,11,608
10,"PR. VI. SWAMI KA DERA BANBARAULI",419,331,0,750,187,156,0,343,327,0,184,6,1,9,130,2,1,1,2,4,0,1,1,1,343
11,"PR. VI. MIYABARAULI",747,593,0,1340,351,223,0,574,9,0,161,305,14,14,50,0,0,1,2,1,1,3,8,14,574
12,"PR. VI. MAJHILA NAWEEN",660,546,0,1206,300,203,0,503,502,0,134,149,9,14,185,5,0,1,1,1,2,1,1,0,503
13,"PR. VI. MANTHA",547,442,1,990,269,206,0,475,10,0,138,157,8,12,137,2,2,3,5,1,2,1,3,4,475
14,"PR. VI.PINDARAN ROOM NO.-1",479,361,0,840,258,176,0,434,434,0,145,203,2,3,72,1,0,1,0,0,0,2,2,3,434
15,"PR. VI.PINDARAN ROOM NO.-2",464,352,0,816,255,202,0,457,391,0,82,200,6,0,143,4,0,2,3,1,2,1,2,11,457
16,"KANYA PR. VI. PINDARAN ROOM NO.-1",490,353,0,843,236,216,0,452,452,0,90,76,3,1,267,3,3,1,1,2,0,1,1,3,452
17,"KANYA PR. VI. PINDARAN ROOM NO.-2",461,386,0,847,253,190,0,443,1,0,169,169,11,2,75,5,1,0,0,2,2,1,4,2,443
18,"PR. VI. SAMSUDDINPUR",623,466,0,1089,265,280,0,545,545,0,225,195,15,30,69,1,2,2,1,0,1,1,0,3,545
19,"PR. VI. BAKAL",762,587,0,1349,258,252,0,510,510,0,196,174,8,18,89,2,4,3,1,0,0,3,7,5,510
20,"PR. VI. SAMGARA ROOM NO.-1",622,447,1,1070,333,247,0,580,580,0,103,309,20,20,99,0,0,2,3,0,0,8,11,5,580
21,"PR. VI. SAMGARA ROOM NO.-2",550,405,0,955,246,191,0,437,434,0,64,182,15,5,137,1,0,1,5,2,0,6,6,13,437
