"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KARTAR SINGH BHADANA","2 - KANWAR HASAN","3 - NAHID HASAN","4 - HUKUM SINGH","5 - DIVAKAR KASHYAP","6 - PARDIP","7 - RAMKARAN KASHYAP","8 - SUNITA","9 - SUNIL KUMAR KASANA","10 - KRISHANPAL","11 - MOHANLAL","12 - None of the Above","Total Votes Secured"
1,"PRIMARY PATHSHALA ROOM N0. 1  BHADI",485,431,0,916,359,342,0,701,63,0,0,79,608,5,0,1,1,2,3,1,0,1,701
2,"PRIMARY PATHSHALA ROOM N0. 2 BHADI",491,476,0,967,346,350,0,696,513,0,5,87,493,107,1,0,1,0,1,0,0,1,696
3,"MADHYAMIK VIDYALAYA SALHAPUR",229,186,0,415,170,146,0,316,65,0,3,2,122,180,6,0,1,0,0,2,0,0,316
4,"JAI BHARAT KISAN UCHCHTAR MADHYAMIK VIDYALAYA  ROOM NO 1 CHAUSANA",864,693,0,1557,661,413,0,1074,170,0,9,89,268,681,9,2,0,0,3,0,2,11,1074
5,"JAI BHARAT KISAN UCHCHTAR MADHYAMIK VIDYALAYA ROOM NO  2 CHAUSANA",461,384,0,845,311,235,0,546,23,0,2,114,198,222,1,0,0,0,6,3,0,0,546
6,"JAI BHARAT KISAN UCHCHTAR MADHYAMIK VIDYALAYA ROOM NO 7 CHAUSANA",455,381,0,836,327,276,0,603,590,0,8,196,301,91,3,1,1,0,0,0,1,1,603
7,"JAI BHARAT KISHAN UCHCHTAR MADHYAMIK VIDYALAYA ROOM NO 3 CHAUSANA",538,480,0,1018,367,332,0,699,288,0,4,95,417,156,6,1,1,1,3,3,6,6,699
8,"JAI BHARAT KISAN UCHCHTAR MADHYAMIK VIDYALAYA ROOM NO 4 CHAUSANA",343,306,0,649,233,192,0,425,138,0,10,64,181,155,6,0,1,0,0,1,2,5,425
9,"JAI BHARAT KISAN UCHCHTAR MADHYAMIK VIDYALAYA ROOM NO 5 CHAUSANA",631,548,0,1179,458,409,0,867,780,0,9,270,293,270,6,1,0,1,3,3,3,8,867
10,"JAI BHARAT KISAN UCHCHTAR MADHYAMIK VIDYALAYA ROOM NO 6 CHAUSANA",436,380,0,816,302,268,0,570,238,0,4,147,178,221,6,1,2,1,1,2,0,7,570
