"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - COMANDO KAMAL KISHOR","2 - DR.VIJAY KUMAR","3 - SHABBIR AHMAD","4 - SADHVI SAVITRI BAI FOOLE","5 - JAGAT RAM","6 - MADHAV","7 - RAMASHANKER GOND","8 - VINOD KUMAR","9 - HIRA LAL RAO","10 - RAM NARESH","11 - None of the Above","Total Votes Secured"
1,HOLIYA,513,427,0,940,303,270,0,573,573,0,11,23,125,360,6,4,2,4,5,7,26,573
2,"LXMANPUR LAHSORWA",231,200,0,431,156,126,0,282,282,0,8,17,36,206,5,5,0,3,0,2,0,282
3,GULRIHA,403,360,0,763,306,255,0,561,561,0,9,87,78,361,3,4,0,2,1,6,10,561
4,GULRIHA,382,361,0,743,272,240,0,512,512,0,6,78,90,329,2,2,2,1,0,1,1,512
5,PHULTEKRA,483,432,0,915,376,296,0,672,672,0,18,120,93,384,12,3,5,4,5,8,20,672
6,JAMDAAN,506,417,0,923,402,247,0,649,649,0,15,33,244,311,7,4,8,4,7,3,13,649
7,JAMDAAN,466,397,1,864,279,242,0,521,521,0,4,15,64,402,10,1,1,6,4,4,10,521
8,MAJGAWA,670,585,0,1255,476,347,0,823,823,0,12,88,95,577,11,4,7,3,5,7,14,823
9,BIRAIGAAV,384,350,0,734,205,222,0,427,427,0,13,36,234,116,5,1,0,3,2,4,13,427
10,CHANAINI,676,529,0,1205,313,404,0,717,717,0,16,73,459,135,9,3,3,2,1,7,9,717
11,BANKASHI,551,477,0,1028,323,281,0,604,604,0,6,21,464,97,4,2,2,0,3,3,2,604
12,"BANKASHI (JAMADAAR)",561,518,0,1079,345,414,0,759,759,0,6,40,680,18,1,1,0,5,2,1,5,759
13,"GANESHPUR NIENIHARA",366,322,1,689,189,169,0,358,358,0,4,4,99,235,2,0,0,0,1,2,11,358
14,BHAGTAPUR,556,519,0,1075,325,297,0,622,622,0,17,27,196,352,3,1,7,3,2,3,11,622
15,"UMARIYA NANDA GAAV",533,483,0,1016,374,317,0,691,691,0,12,40,194,387,7,3,0,10,4,8,26,691
16,"UMARIYA NANDA GAAV",488,377,0,865,338,193,0,531,531,0,7,45,177,274,4,4,3,1,2,4,10,531
17,"RAHEEM NAGAR",562,500,0,1062,345,325,0,670,670,0,9,15,303,302,5,2,0,5,3,7,19,670
18,"RAM NAGAR GULRAIHA",598,517,1,1116,414,284,0,698,698,0,10,118,204,359,2,0,0,3,0,1,1,698
19,"HARIHARPUR PURAINA",621,545,0,1166,381,300,0,681,681,0,14,32,263,324,5,5,4,4,2,5,23,681
20,"CHAGOI BILASPUR",536,454,0,990,342,266,0,608,608,0,7,60,113,399,4,3,2,1,4,7,8,608
21,"CHAUGOI BILASPUR",475,379,0,854,280,183,0,463,463,0,3,44,140,257,3,0,0,0,2,4,10,463
22,JALALPUR,453,407,0,860,313,192,0,505,505,0,7,28,89,376,3,0,0,0,0,1,1,505
23,JALALPUR,500,451,0,951,329,254,0,583,583,0,8,15,54,473,6,1,5,0,3,10,8,583
24,"MADHAUPUR RAGHUNATH",610,514,0,1124,454,371,0,825,825,0,11,64,74,636,8,3,0,7,4,6,12,825
25,"CHAUGODWA NAWABGANJ",653,582,0,1235,322,281,0,603,603,0,9,33,322,221,4,0,1,1,3,1,8,603
26,"CHAUGODWA NAWABGANJ",661,538,0,1199,277,238,0,515,515,0,10,25,312,159,2,1,2,1,1,1,1,515
27,"CHAUGODWA NAWABGANJ",839,776,0,1615,442,364,0,806,806,0,13,35,504,229,3,1,1,3,2,6,9,806
28,"CHAUGODWA NAWABGANJ",589,520,1,1110,355,298,0,653,653,0,10,11,504,111,2,1,0,1,1,1,11,653
29,"CHAUGODWA NAWABGANJ",491,440,0,931,163,280,0,443,443,0,18,12,357,52,1,0,0,1,1,1,0,443
30,"BSANTPUR  KALIKA",489,437,0,926,329,287,0,616,616,0,13,8,164,399,7,1,4,4,2,5,9,616
31,"MIRZAPUR TILAK",760,665,0,1425,338,382,0,720,720,0,13,24,549,113,4,1,0,1,5,2,8,720
32,"MIRZAPUR TILAK",584,537,0,1121,317,301,0,618,618,0,4,4,350,238,4,1,2,2,0,4,9,618
33,SATTIJOR,641,514,0,1155,265,272,0,537,537,0,17,35,370,95,1,1,2,2,3,3,8,537
34,SATTIJOR,637,535,0,1172,323,286,0,609,609,0,14,31,399,144,5,1,1,2,2,1,9,609
35,"GOVINDPUR PANDIT",569,488,2,1059,331,279,0,610,610,0,5,30,252,295,4,1,2,1,1,4,15,610
