"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAYA PRADA NAHATA","2 - KUNWAR BHARTENDRA","3 - MALOOK NAGAR","4 - SHAHNAWAZ RANA","5 - UDAY ALIES UDAYVEER","6 - GAURAV","7 - PARVEZ AQIL","8 - MOHAMAD ADEEB","9 - MOHAMMAD MOOSA","10 - UMESH ALIES PANI","11 - KAMAL","12 - GAJRESH KUMAR","13 - None of the Above","Total Votes Secured"
1,"P.V. RAMSHAWALA",260,242,0,502,164,128,0,292,292,0,2,241,24,10,0,0,0,2,1,3,1,2,6,292
2,"P.V.SHUKHAPUR MARKANEYPURAM",336,311,0,647,247,257,0,504,479,0,10,457,17,6,0,3,2,0,0,3,0,3,3,504
3,"P.V. KUNDANPUR",332,309,0,641,230,227,0,457,457,0,8,158,179,75,1,2,0,1,28,0,2,1,2,457
4,"P.V. TIEP",612,542,0,1154,429,403,0,832,828,0,2,340,386,80,2,1,0,4,0,2,3,6,6,832
5,"PANCHAYAT GHAR BHARAKATPUR",653,578,0,1231,382,380,0,762,760,0,11,227,167,328,4,1,3,1,4,6,2,3,5,762
6,"P.V.  KHALIULLAPUR",825,724,0,1549,588,488,0,1076,1046,0,7,572,230,241,2,1,2,2,0,2,3,4,10,1076
7,"P.V.  MIRGIPUR",678,613,0,1291,488,456,0,944,927,0,7,217,534,169,3,1,2,0,1,3,2,1,4,944
8,"PANCHAYAT GHAR BHARUKA",705,647,0,1352,444,476,0,920,920,0,7,95,37,648,1,2,0,3,106,7,3,1,10,920
9,"P.V.  GOPALPUR",531,458,0,989,402,362,0,764,702,0,11,236,475,11,5,0,1,2,3,3,6,3,8,764
10,"P.V. CHHAKADA",707,647,0,1354,485,490,0,975,969,0,11,471,425,54,0,1,0,3,0,3,3,1,3,975
11,"P.V. RAMGIWAL",599,546,0,1145,420,406,0,826,826,0,24,574,132,78,2,1,0,0,2,4,3,5,1,826
12,"P.V. GABELIPUR",469,428,0,897,330,336,0,666,666,0,4,329,144,177,1,2,0,0,0,2,1,1,5,666
13,"PURV M.V. NARYANPUR KAKSH-1",628,577,0,1205,402,409,0,811,808,0,13,467,78,196,6,0,3,17,0,5,5,8,13,811
14,"PURV M.V. NARYANPUR KAKSH-2",747,691,0,1438,493,563,0,1056,1055,0,10,626,158,222,2,2,1,2,3,9,1,5,15,1056
15,"P.V. SADADKPUR URF BILASHPUR",464,424,0,888,376,353,0,729,729,0,22,283,303,109,1,0,0,1,1,0,0,8,1,729
16,"PURV M.V. KISHANPUR",679,647,0,1326,496,425,0,921,908,0,77,463,244,121,1,2,0,1,2,0,2,5,3,921
17,"PURV M.V. RAIPUR BERISAL KAKSH-1",729,643,0,1372,561,486,0,1047,1041,0,131,675,100,109,2,4,0,5,5,4,0,6,6,1047
18,"PURV M.V. RAIPUR BERISAL KAKSH-2",620,568,0,1188,423,386,0,809,806,0,19,237,505,17,2,6,1,1,1,4,8,3,5,809
19,"P.V. SAFEPUR BANGAR",217,199,0,416,176,171,0,347,341,0,1,6,338,1,0,0,0,0,0,0,0,0,1,347
20,"P.V. KABULPUR",277,263,0,540,195,188,0,383,381,0,19,185,165,2,0,0,1,0,0,1,3,4,3,383
21,"P.V. KHUDAHADE",732,640,0,1372,506,494,0,1000,998,0,24,287,351,295,5,1,3,4,10,5,3,4,8,1000
22,"P.V. BHADHARPUR JATT",479,411,0,890,412,339,0,751,745,0,44,315,347,19,3,1,3,2,0,6,3,0,8,751
23,"P.V. KARIPUR BAMNOLI",442,404,0,846,342,335,0,677,677,0,2,420,205,30,1,2,1,1,1,5,2,2,5,677
24,"P.V. MIRZAPUR BANGAR",580,524,0,1104,391,383,0,774,774,0,9,339,325,67,1,1,0,2,1,4,5,8,12,774
25,"PURV M.V. BHOJPUR BHOPATPUR",640,585,0,1225,458,472,0,930,900,0,10,304,336,250,4,2,0,7,1,2,4,1,9,930
26,"P.V. ZAGHIPUR",304,296,0,600,218,212,0,430,430,0,0,136,231,55,0,2,0,1,0,2,1,0,2,430
27,"P.V. MOHIDENPUR KAKSH-1",562,514,0,1076,327,349,0,676,669,0,5,89,38,524,3,1,2,0,10,1,0,1,2,676
