"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KRISHNA KUMAR OJHA","2 - BRIJ BHUSAN SHARAN SINGH","3 - MUKESH SRIVASTAV ALIAS GYANENDRA PRATAP","4 - VINOD KUMAR ALIAS  PANDIT SINGH","5 - GOVIND PRASAD","6 - CHAMAN LAL KASAUNDHAN","7 - NIRHU","8 - NIHALUDDIN AHAMAD","9 - RIZWAN AHMAD","10 - JAMEER AHMAD","11 - NISHANT KANCHAN","12 - PRAHLAD  NATH MISHRA","13 - MUNNI","14 - RAMPHER  ALIAS  CHUNTI","15 - None of the Above","Total Votes Secured"
1,"VIJAUWA PUR",294,218,0,512,217,168,0,385,385,0,41,196,5,122,3,0,0,0,1,1,2,1,3,2,8,385
2,KHAWJGIPUR,495,455,0,950,376,372,0,748,748,0,79,275,16,349,6,1,0,0,0,4,1,1,1,9,6,748
3,"UMARI DAHLO",460,418,0,878,300,275,0,575,575,0,18,441,20,68,2,1,0,0,2,1,1,0,3,11,7,575
4,"VIRAHIM DEEHA",564,448,0,1012,354,231,0,585,585,0,75,405,9,70,3,0,1,1,0,2,0,2,2,9,6,585
5,SINGAHI,556,549,0,1105,418,382,0,800,800,0,79,383,20,247,9,1,5,1,2,4,6,2,3,13,25,800
6,SINAHI,659,590,0,1249,406,326,0,732,732,0,48,282,14,352,8,0,0,0,0,3,3,3,3,8,8,732
7,RAIPURA,383,319,0,702,220,211,0,431,431,0,86,93,55,180,2,0,1,1,0,1,0,0,1,4,7,431
8,MAURCHA,520,463,0,983,294,270,0,564,564,0,28,147,15,327,10,1,1,3,1,4,5,4,3,6,9,564
9,MAURCHA`,435,348,0,783,266,172,0,438,438,0,46,262,17,87,1,0,0,0,1,2,1,5,1,6,9,438
10,MAURCHA,609,453,0,1062,342,225,0,567,567,0,37,208,11,273,2,2,0,1,1,3,1,2,6,11,9,567
11,ALADADPUR,347,295,1,643,235,173,0,408,408,0,43,233,8,90,1,2,1,1,3,3,2,2,3,10,6,408
12,KIRTANPUR,677,556,0,1233,364,285,0,649,649,0,166,278,36,120,5,2,0,2,1,4,3,1,5,4,22,649
13,SHIVPURA,562,526,0,1088,411,354,0,765,765,0,197,381,29,106,1,0,1,4,2,5,0,0,11,13,15,765
14,MOHAMMADPURKALAN,201,186,0,387,164,132,0,296,296,0,66,105,36,67,2,0,2,0,0,1,0,1,5,7,4,296
15,BUBKAPUR,845,685,0,1530,502,315,0,817,817,0,104,500,42,118,5,1,1,1,0,4,3,3,6,11,18,817
16,BUBKAPUR,426,369,0,795,253,224,0,477,477,0,96,187,36,112,3,1,1,0,2,4,1,1,3,14,16,477
17,BUBKAPUR,470,360,0,830,291,182,0,473,473,0,44,144,42,224,5,1,1,0,0,1,2,0,0,5,4,473
18,BUBKAPUR,753,625,0,1378,431,351,0,782,782,0,129,244,40,304,9,2,1,4,2,4,6,3,5,10,19,782
19,BATURAHA,719,617,0,1336,457,351,0,808,808,0,103,408,15,224,7,1,2,3,2,1,4,4,6,15,13,808
20,BAHELIYA,736,695,0,1431,442,447,0,889,889,0,62,534,24,221,4,2,0,3,3,2,4,4,2,12,12,889
21,TATEHARA,551,521,0,1072,349,354,0,703,703,0,42,323,9,296,3,2,1,0,0,4,3,1,6,9,4,703
22,MALOOKPUR,745,627,0,1372,365,447,0,812,812,0,75,215,29,472,1,2,1,1,0,1,4,1,4,4,2,812
23,MADHAUPUR,482,396,2,880,334,297,0,631,631,0,146,169,12,258,15,0,0,0,0,2,1,3,1,5,19,631
24,MADHAUPUR,630,555,0,1185,413,322,0,735,735,0,47,375,31,234,4,1,4,1,2,7,2,3,6,7,11,735
25,MADHAUPUR,446,350,0,796,256,250,0,506,506,0,10,53,9,423,3,1,1,0,1,1,1,1,0,1,1,506
26,MADHAUPUR,571,477,0,1048,200,386,0,586,586,0,17,96,11,454,0,0,0,0,1,1,0,2,1,3,0,586
27,MADHAUPUR,415,356,0,771,255,223,0,478,478,0,15,270,20,163,0,0,0,1,0,0,0,2,1,3,3,478
28,MADHAUPUR,510,462,0,972,238,237,0,475,475,0,19,150,3,298,2,0,0,0,0,0,0,0,1,2,0,475
29,HAIBATPUR,446,391,0,837,317,254,0,571,571,0,27,428,21,81,1,1,0,1,0,2,1,0,0,6,2,571
30,HAIBATPUR,450,431,0,881,332,278,0,610,610,0,25,517,38,17,2,0,0,0,1,0,1,2,0,1,6,610
31,"TENDWA MAHANT",587,480,0,1067,385,300,0,685,685,0,46,309,16,288,2,0,2,0,1,2,0,4,3,4,8,685
32,"TENDWA MAHANT",482,478,0,960,258,254,0,512,512,0,33,372,12,81,2,1,2,0,0,0,2,0,0,5,2,512
