"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BAL KUMAR PATEL ALIAS RAJKUMAR","2 - BHAIRON PRASAD MISHRA","3 - RAMCHANDRA SARAS","4 - VIVEK KUMAR SINGH","5 - R. K. SINGH PATEL","6 - AMAR SINGH RATHAUR","7 - PAPPU YADAV","8 - PRABHAKAR PRASAD","9 - VISHVAMBHAR NATH","10 - MO. SAGEER","11 - SUSHEELA SINGH","12 - NARENDRA KUMAR SHRIVASTAVA","13 - VIJAY PRAKASH","14 - None of the Above","Total Votes Secured"
1,"PR.VI.MAWAIBUJURG ROOM NO-1",730,555,0,1285,431,334,0,765,760,0,70,218,6,28,392,2,1,4,2,10,1,9,5,17,765
2,"PR.VI.MAWAIBUJURG ROOM NO-2",613,431,0,1044,337,214,0,551,373,0,67,216,12,40,176,3,3,1,4,7,2,3,3,14,551
3,"PR.VI.MAWAIBUJURG ROOM NO-3",551,435,0,986,323,184,0,507,500,0,139,235,12,30,63,1,4,0,0,0,2,8,2,11,507
4,"KANYA POORV MA.VI.MAWAI BUJURG",694,545,0,1239,353,261,0,614,601,0,120,236,12,14,208,5,2,2,3,1,1,1,3,6,614
5,PR.VI.PIPRI,537,424,0,961,355,254,0,609,609,0,89,343,21,64,64,3,1,2,0,2,1,2,5,12,609
6,"PR.VI.NAVEEN KANWARA",582,461,0,1043,346,232,0,578,574,0,53,444,8,25,31,1,2,0,0,1,0,3,7,3,578
7,"PR.VI.TIKARI MAZRA KANWARA",618,436,0,1054,379,232,0,611,271,0,59,231,16,15,203,7,2,0,49,1,1,4,8,15,611
8,"PR.VI.RAGHUBANSI DERA MAZRA KANWARA",436,337,0,773,245,201,0,446,342,0,142,251,0,19,17,0,1,0,5,0,0,3,3,5,446
9,"NAVEEN PR.VI.CHHAWNI MAZRA KANWARA",676,596,0,1272,395,351,0,746,735,0,258,358,22,10,51,4,1,2,1,2,4,4,13,16,746
10,"PR.VI.JHEEL KA PURWA",560,469,0,1029,320,248,0,568,568,0,79,324,7,82,60,3,2,0,0,0,1,4,1,5,568
11,"PR.VI.POLICE LINE BANDA ROOM NO-1",583,444,0,1027,213,153,0,366,363,0,80,214,3,23,36,3,0,0,2,0,0,1,1,3,366
12,"PR.VI.POLICE LINE BANDA ROOM NO-2",807,646,0,1453,417,328,0,745,713,0,55,583,8,46,38,3,1,0,1,0,2,1,2,5,745
13,"POORV MA.VI.POLICE LINE BANDA ROOM NO-1",561,433,0,994,250,163,0,413,410,0,162,98,2,14,120,0,0,1,2,0,1,4,1,8,413
14,"POORV MA.VI.POLICE LINE BANDA ROOM NO-2",639,488,0,1127,261,176,0,437,425,0,132,219,7,24,45,3,0,0,0,0,4,0,1,2,437
15,"KANYA POORV MA.VI.POLICE LINE BANDA ROOM NO-1",470,394,0,864,241,183,0,424,395,0,91,157,7,59,92,0,0,1,7,3,0,2,1,4,424
16,"KANYA POORV MA.VI.POLICE LINE BANDA ROOM NO-2",552,387,0,939,214,147,0,361,336,0,47,172,1,30,92,1,0,0,4,1,3,2,1,7,361
17,"KANYA POORV MA.VI.POLICE LINE BANDA ROOM NO-3",945,744,0,1689,419,362,0,781,700,0,71,442,4,62,168,10,1,0,3,1,9,1,5,4,781
18,"PT.J.N.P.G COLLAGE BANDA ROOM NO-1",443,366,0,809,179,177,0,356,355,0,15,232,3,41,56,5,0,0,0,1,0,0,0,3,356
19,"PT.J.N.P.G COLLAGE BANDA ROOM NO-2",513,417,0,930,216,198,0,414,409,0,17,294,2,38,57,2,0,0,1,0,0,0,0,3,414
20,"PT.J.N.P.G COLLAGE BANDA ROOM NO-3",744,570,0,1314,335,289,0,624,556,0,45,477,12,35,38,5,0,0,2,0,1,0,0,9,624
21,"PT.J.N.P.G COLLAGE BANDA ROOM NO-4",644,516,0,1160,299,263,0,562,562,0,32,442,8,29,44,2,0,0,0,0,1,1,1,2,562
22,"PT.J.N.P.G COLLAGE BANDA ROOM NO-5",760,565,0,1325,323,285,0,608,605,0,35,464,6,40,40,13,1,1,0,1,1,0,1,5,608
23,"PT.J.N.P.G COLLAGE BANDA ROOM NO-6",594,432,0,1026,241,221,0,462,453,0,20,281,3,17,129,5,1,1,0,1,0,1,1,2,462
24,"PT.J.N.P.G COLLAGE BANDA ROOM NO-7",602,475,0,1077,282,215,0,497,485,0,32,255,5,31,159,2,0,0,4,0,1,1,1,6,497
25,"G.I.C.BANDA(E)ROOM NO-1",532,382,0,914,265,196,0,461,457,0,79,248,5,47,67,2,1,1,2,0,2,0,1,6,461
26,"G.I.C.BANDA(E)ROOM NO-2",516,427,0,943,211,179,0,390,390,0,43,255,2,36,43,1,0,0,0,0,1,1,2,6,390
27,"G.I.C.BANDA(E)ROOM NO-3",787,609,0,1396,327,267,0,594,562,0,65,393,7,53,62,1,0,1,2,1,2,1,4,2,594
28,"G.I.C.BANDA(E)ROOM NO-4",436,383,0,819,155,206,0,361,155,0,25,269,2,40,12,4,0,2,0,0,0,1,1,5,361
29,"G.I.C.BANDA(E)ROOM NO-5",566,410,0,976,229,195,0,424,221,0,21,306,5,31,47,4,1,0,1,1,2,1,2,2,424
30,"G.I.C.BANDA(E)ROOM NO-6",430,359,0,789,196,162,0,358,352,0,32,152,6,18,141,3,0,1,0,1,3,0,1,0,358
31,"G.I.C.BANDA(E)ROOM NO-7",694,498,0,1192,273,244,0,517,200,0,30,178,5,40,230,7,2,0,7,1,3,1,3,10,517
32,"G.I.C.BANDA(N)ROOM NO-1",896,642,0,1538,346,255,0,601,569,0,58,248,10,62,197,11,0,1,5,2,1,1,0,5,601
33,"G.I.C.BANDA(N)ROOM NO-2",500,352,0,852,214,168,0,382,277,0,28,207,5,29,105,3,1,0,2,0,0,2,0,0,382
34,"G.I.C.BANDA(N)ROOM NO-3",670,527,0,1197,295,232,0,527,492,0,47,379,10,24,53,7,0,1,0,0,0,1,3,2,527
35,"G.I.C.BANDA(N)ROOM NO-4",574,519,0,1093,270,223,0,493,485,0,28,272,11,30,129,5,0,0,1,0,2,2,3,10,493
36,"G.I.C.BANDA(N)ROOM NO-5",324,296,0,620,148,123,0,271,270,0,7,204,0,40,12,1,0,0,0,0,0,0,1,6,271
37,"G.I.C.BANDA(N)ROOM NO-6",387,301,0,688,162,149,0,311,251,0,9,206,4,25,57,3,0,0,0,1,1,1,1,3,311
38,"G.I.C.BANDA(S)ROOM NO-1",563,440,0,1003,260,207,0,467,450,0,10,385,3,50,10,1,0,0,0,0,5,0,2,1,467
39,"G.I.C.BANDA(S)ROOM NO-2",547,436,0,983,262,189,0,451,451,0,38,304,4,36,50,10,2,0,4,0,0,0,2,1,451
40,"G.I.C.BANDA(S)ROOM NO-3",730,643,0,1373,327,313,0,640,612,0,23,530,8,29,35,10,0,0,0,0,0,0,1,4,640
41,"G.I.C.BANDA(S)ROOM NO-4",516,421,0,937,203,174,0,377,340,0,11,281,2,43,30,1,0,0,3,0,2,0,0,4,377
42,"G.I.C.BANDA(S)ROOM NO-5",317,246,0,563,131,79,0,210,174,0,21,146,1,28,7,2,0,0,0,1,1,0,0,3,210
