"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BAL KUMAR PATEL ALIAS RAJKUMAR","2 - BHAIRON PRASAD MISHRA","3 - RAMCHANDRA SARAS","4 - VIVEK KUMAR SINGH","5 - R. K. SINGH PATEL","6 - AMAR SINGH RATHAUR","7 - PAPPU YADAV","8 - PRABHAKAR PRASAD","9 - VISHVAMBHAR NATH","10 - MO. SAGEER","11 - SUSHEELA SINGH","12 - NARENDRA KUMAR SHRIVASTAVA","13 - VIJAY PRAKASH","14 - None of the Above","Total Votes Secured"
43,"G.I.C.BANDA(S)ROOM NO-6",785,651,0,1436,302,265,0,567,541,0,51,348,4,52,100,2,0,0,1,2,2,0,0,5,567
44,"PT.J.N.P.G COLLAGE BANDA(SHIKSHA DEPTT) ROOM NO-1",690,511,0,1201,245,197,0,442,442,0,46,305,6,42,28,3,2,1,2,0,2,1,1,3,442
45,"PT.J.N.P.G COLLEGE BANDA (SHIKSHA DEPTT)ROOM NO-2",627,491,0,1118,237,209,0,446,442,0,29,347,1,31,26,3,0,2,1,0,0,0,1,5,446
46,"PT.J.N.P.G COLLEGE BANDA (SHIKSHA DEPTT)ROOM NO-2",904,666,0,1570,352,281,0,633,633,0,39,464,8,51,57,2,0,0,3,0,2,2,0,5,633
47,"PT.J.N.P.G COLLEGE BANDA (SHIKSHA DEPTT)ROOM NO-4",940,755,0,1695,351,265,0,616,616,0,88,404,6,33,62,1,1,3,0,1,3,2,3,9,616
48,"SHARSWATI SHIKHA MANDIR KEN PATH ROAD KEWATARA BANDA ROOM NO-1",463,389,0,852,233,191,0,424,212,0,17,293,4,27,67,1,0,0,6,1,3,0,2,3,424
49,"SHARSWATI SHIKHA MANDIR KEN PATH ROAD KEWATARA BANDA ROOM NO-2",584,444,0,1028,253,206,0,459,445,0,22,314,8,26,63,3,0,0,13,0,2,1,2,5,459
50,"SHARSWATI SHIKHA MANDIR KEN PATH ROAD KEWATARA BANDA ROOM NO-3",553,424,0,977,262,179,0,441,433,0,36,285,7,43,58,2,1,0,3,1,2,0,0,3,441
51,"SHARSWATI SHIKHA MANDIR KEN PATH ROAD KEWATARA BANDA ROOM NO-5",460,322,0,782,185,136,0,321,317,0,22,234,6,28,24,3,1,0,0,0,0,1,1,1,321
52,"SHARSWATI SHIKHA MANDIR KEN PATH ROAD KEWATARA BANDA ROOM NO-5",769,557,0,1326,308,238,0,546,502,0,40,338,12,59,83,1,0,3,0,0,3,1,1,5,546
53,"SHARSWATI SHIKHA MANDIR KEN PATH ROAD KEWATARA BANDA ROOM NO-6",758,615,0,1373,357,237,0,594,588,0,39,395,16,66,64,1,0,1,1,0,2,2,2,5,594
54,"SHARSWATI SHIKHA MANDIR KEN PATH ROAD KEWATARA BANDA ROOM NO-7",619,499,0,1118,320,261,0,581,53,0,46,344,4,51,103,7,5,4,1,1,7,2,0,6,581
55,"ARYA KANYA INTER COLLEGE BANDA(N)",586,473,0,1059,321,247,0,568,568,0,11,361,3,68,103,9,1,0,0,2,3,1,0,6,568
56,"ARYA KANYA INTER COLLEGE BANDA (E)ROOM NO-1",452,357,0,809,255,185,0,440,437,0,16,301,2,70,27,6,0,1,1,0,3,1,8,4,440
57,"ARYA KANYA INTER COLLEGE BANDA (E)ROOM NO-2",551,435,0,986,263,218,0,481,461,0,25,175,5,137,128,3,1,1,2,0,0,2,2,0,481
58,"ARYA KANYA INTER COLLEGE BANDA (E)ROOM NO-3",439,385,0,824,166,140,0,306,297,0,25,175,3,55,40,1,1,2,0,0,1,0,0,3,306
59,"ARYA KANYA INTER COLLEGE BANDA (S)ROOM NO-1",683,500,0,1183,323,222,0,545,500,0,23,376,6,74,51,3,0,0,1,2,0,2,2,5,545
60,"ARYA KANYA INTER COLLEGE BANDA (S)ROOM NO-2",699,556,0,1255,260,329,0,589,468,0,32,442,8,63,22,12,1,0,0,0,3,1,0,5,589
61,"ARYA KANYA INTER COLLEGE BANDA (S)ROOM NO-3",761,687,0,1448,408,316,0,724,718,0,56,512,1,70,69,7,2,1,0,0,0,0,0,6,724
62,"ARYA KANYA INTER COLLEGE BANDA (S)ROOM NO-4",770,726,0,1496,368,350,0,718,715,0,93,460,5,89,56,4,1,0,2,0,1,2,0,5,718
63,"G.G.I.C.BANDA(E)ROOM NO-1",434,332,0,766,247,190,0,437,416,0,9,370,3,40,4,4,0,0,0,0,0,0,0,7,437
64,"G.G.I.C.BANDA(E)ROOM NO-2",625,525,0,1150,376,268,0,644,628,0,30,550,3,40,10,7,1,0,0,0,0,1,2,0,644
65,"G.G.I.C.BANDA(E)ROOM NO-3",460,414,0,874,248,235,0,483,470,0,24,370,4,44,25,5,0,1,1,4,0,2,0,3,483
66,"G.G.I.C.BANDA(E)ROOM NO-4",449,439,0,888,249,175,0,424,404,0,33,340,4,26,12,0,0,0,0,1,0,1,1,6,424
67,"G.G.I.C.BANDA(S)ROOM NO-1",396,345,0,741,214,165,0,379,377,0,60,229,1,41,35,4,1,0,1,0,0,1,3,3,379
68,"G.G.I.C.BANDA(S)ROOM NO-2",626,485,0,1111,365,259,0,624,29,0,118,307,3,33,157,4,0,0,0,0,0,0,0,2,624
69,"G.G.I.C.BANDA(S)ROOM NO-3",604,511,0,1115,451,251,0,702,697,0,16,625,6,45,4,3,0,0,1,0,0,0,1,1,702
70,"G.G.I.C.BANDA(S)ROOM NO-4",394,329,0,723,271,196,0,467,463,0,9,365,2,29,55,0,0,0,0,1,0,2,0,4,467
71,"PR.VIDYALAY CHHATRASAL STATION ROAD BANDA ROOM NO-1",822,678,0,1500,440,342,0,782,782,0,210,350,5,99,101,4,1,1,1,2,0,1,1,6,782
72,"PR.VIDYALAY CHHATRASAL STATION ROAD BANDA ROOM NO-2",514,393,0,907,226,161,0,387,267,0,86,158,2,47,91,2,0,0,0,0,0,1,0,0,387
73,"ADARSH BAJRANG INTER COLLEGE BANDA (N)ROOM NO-1",407,329,0,736,196,156,0,352,348,0,47,210,11,13,57,3,1,3,0,1,2,0,1,3,352
74,"ADARSH BAJRANG INTER COLLEGE BANDA (N)ROOM NO-2",475,388,0,863,216,172,0,388,384,0,35,255,3,21,65,0,1,1,1,0,3,0,1,2,388
75,"ADARSH BAJRANG INTER COLLEGE BANDA (N)ROOM NO-3",758,547,0,1305,349,232,0,581,475,0,56,373,9,25,100,2,1,0,2,6,6,0,0,1,581
76,"ADARSH BAJRANG INTER COLLEGE BANDA (N)ROOM NO-4",620,474,0,1094,296,218,0,514,514,0,83,290,7,27,78,11,1,1,7,2,0,2,1,4,514
77,"ADARSH BAJRANG INTER COLLEGE BANDA (N)ROOM NO-5",434,330,0,764,203,169,0,372,372,0,46,158,0,21,126,6,0,1,1,2,2,0,4,5,372
78,"ADARSH BAJRANG INTER COLLEGE BANDA (N)ROOM NO-6",507,391,0,898,208,154,0,362,359,0,65,79,2,34,174,1,0,1,0,2,4,0,0,0,362
79,"ADARSH BAJRANG INTER COLLEGE BANDA (S)ROOM NO-1",795,589,0,1384,392,274,0,666,362,0,58,241,6,22,301,5,3,0,4,2,18,1,2,3,666
80,"ADARSH BAJRANG INTER COLLEGE BANDA (S)ROOM NO-2",588,447,0,1035,310,233,0,543,540,0,83,299,6,45,92,2,0,3,0,2,2,1,3,5,543
81,"ADARSH BAJRANG INTER COLLEGE BANDA (S)ROOM NO-3",334,258,0,592,175,123,0,298,298,0,92,47,1,34,121,0,0,0,0,1,0,1,0,1,298
82,"ADARSH BAJRANG INTER COLLEGE BANDA (S)ROOM NO-4",656,493,0,1149,350,249,0,599,599,0,156,88,3,71,262,4,0,0,2,1,0,5,2,5,599
83,"PR.VI.ALIGANJ BALAK BANDA ROOM NO-1",571,447,0,1018,264,210,0,474,473,0,38,380,11,21,17,2,0,1,0,0,1,1,2,0,474
84,"PR.VI.ALIGANJ BALAK BANDA ROOM NO-2",540,416,0,956,235,166,0,401,100,0,22,274,4,22,69,1,0,1,0,0,1,2,1,4,401
85,"PR.VI.ALIGANJ BALAK BANDA ROOM NO-3",452,324,0,776,159,134,0,293,8,0,12,246,6,5,18,3,1,0,0,1,0,0,0,1,293
86,"PR.VI.ALIGANJ BALAK BANDA ROOM NO-4",693,570,1,1264,248,236,0,484,474,0,69,228,7,43,118,2,1,0,0,0,4,2,5,5,484
87,"PR.VI.ALIGANJ BALAK BANDA ROOM NO-5",564,400,1,965,296,206,0,502,502,0,43,352,11,29,53,1,0,0,2,1,3,1,1,5,502
88,"PR.VI.ALIGANJ BALAK BANDA ROOM NO-6",415,335,0,750,212,167,0,379,379,0,36,238,4,35,49,3,2,4,1,0,3,1,3,0,379
89,"KANYA POORV MA.VI.ALIGANJ BANDA ROOM NO-1",782,609,0,1391,505,329,0,834,822,0,41,616,10,77,69,5,1,0,2,1,1,0,0,11,834
90,"KANYA POORV MA.VI.ALIGANJ BANDA ROOM NO-2",671,511,0,1182,335,287,0,622,613,0,79,365,8,47,105,6,0,0,0,0,1,2,2,7,622
91,"KANYA POORV MA.VI.ALIGANJ BANDA ROOM NO-3",525,492,0,1017,289,258,0,547,511,0,61,377,5,34,56,6,0,0,0,1,1,0,2,4,547
92,"KANYA POORV MA.VI.ALIGANJ BANDA ROOM NO-4",492,439,0,931,301,235,0,536,535,0,129,230,3,32,128,6,0,1,1,0,0,1,1,4,536
93,"NAGAR PALIKA BALIKA INTER COLL BANDA ROOM NO-1",859,678,0,1537,368,308,0,676,665,0,147,74,3,42,401,2,2,0,0,1,1,0,1,2,676
94,"NAGAR PALIKA BALIKA INTER COLL BANDA ROOM NO-2",859,656,0,1515,432,333,0,765,760,0,91,356,11,78,210,6,3,1,1,3,0,2,1,2,765
95,"NAGAR PALIKA BALIKA INTER COLL BANDA ROOM NO-3",851,752,0,1603,473,360,0,833,833,0,115,314,5,62,308,5,3,2,1,0,4,2,3,9,833
96,"KHANKAH INTER COLLEGE BANDA ROOM NO-1",630,444,0,1074,380,162,0,542,539,0,121,254,4,50,98,6,1,1,0,1,0,1,2,3,542
97,"KHANKAH INTER COLLEGE BANDA ROOM NO-2",492,421,0,913,279,194,0,473,322,0,89,304,2,22,48,1,0,0,0,0,1,3,0,3,473
98,"KHANKAH INTER COLLEGE BANDA ROOM NO-3",438,369,0,807,196,145,0,341,322,0,85,168,5,30,49,0,1,0,1,0,2,0,0,0,341
99,"KHANKAH INTER COLLEGE BANDA ROOM NO-4",435,365,0,800,222,155,0,377,354,0,187,83,3,31,70,0,0,1,2,0,0,0,0,0,377
100,"KHANKAH INTER COLLEGE BANDA ROOM NO-5",706,615,0,1321,324,225,0,549,534,0,228,151,8,63,90,1,1,2,0,0,0,3,0,2,549
101,"GOVT.MAHILA DEGREE COLLEGE ROOM NO-1",768,629,0,1397,494,338,0,832,828,0,31,749,8,29,2,2,0,0,2,0,0,3,1,5,832
102,"GOVT.MAHILA DEGREE COLLEGE ROOM NO-2",467,407,0,874,212,200,0,412,411,0,95,123,5,38,138,1,3,1,0,2,0,0,4,2,412
103,"GOVT.MAHILA DEGREE COLLEGE ROOM NO-3",416,308,1,725,211,166,0,377,371,0,32,180,1,53,95,3,0,0,1,2,1,0,2,7,377
104,"GOVT.MAHILA DEGREE COLLEGE ROOM NO-4",698,514,1,1213,329,245,0,574,572,0,61,281,11,81,121,2,0,1,2,1,4,1,3,5,574
105,"D.A.V.INTER COLLEGE BANDA ROOM NO-1",695,551,0,1246,383,264,0,647,644,0,194,211,3,49,183,0,1,1,0,0,0,1,3,1,647
106,"D.A.V.INTER COLLEGE BANDA ROOM NO-2",715,550,0,1265,391,303,0,694,680,0,126,428,9,27,93,3,1,1,1,0,2,0,1,2,694
107,"D.A.V.INTER COLLEGE BANDA ROOM NO-3",303,258,0,561,182,139,0,321,289,0,5,266,2,19,17,4,1,0,0,0,0,1,2,4,321
108,"D.A.V.INTER COLLEGE BANDA ROOM NO-4",557,487,0,1044,330,248,0,578,578,0,17,489,8,37,17,2,1,1,1,0,0,1,1,3,578
109,"POORV MA.VI.BARADARI BANDA ROOM NO-1",597,454,0,1051,332,234,0,566,563,0,109,312,3,47,87,3,0,1,0,0,0,1,0,3,566
110,"POORV MA.VI.BARADARI BANDA ROOM NO-2",352,260,0,612,177,124,0,301,301,0,81,85,1,28,98,2,0,1,0,0,1,1,0,3,301
111,"POORV MA.VI.BARADARI BANDA ROOM NO-3",829,651,0,1480,439,307,0,746,730,0,235,256,3,65,175,8,1,0,0,0,1,0,1,1,746
112,"PR.VI.LODHORA BANDA ROOM NO-1",699,516,0,1215,361,249,0,610,10,0,231,126,2,32,197,8,0,0,3,1,0,1,3,6,610
113,"PR.VI.LODHORA BANDA ROOM NO-2",676,537,0,1213,339,211,0,550,410,0,272,46,2,47,173,5,0,0,1,0,0,0,1,3,550
114,"PR.VI.GULARNAKA BANDA ROOM NO-1",579,465,0,1044,290,216,0,506,402,0,149,210,9,32,89,1,1,0,3,1,2,0,6,3,506
115,"PR.VI.GULARNAKA BANDA ROOM NO-2",572,498,0,1070,289,215,0,504,504,0,248,63,5,51,125,2,0,0,4,0,1,2,1,2,504
116,"POORV MA.VI.KHINNINAKA BANDA ROOM NO-1",550,382,0,932,340,219,0,559,549,0,13,456,10,25,35,3,0,3,2,2,3,1,0,6,559
117,"POORV MA.VI.KHINNINAKA BANDA ROOM NO-2",336,296,1,633,204,161,0,365,365,0,15,294,2,22,21,1,1,0,1,1,0,0,5,2,365
118,"POORV.MA.VI.KHINNINAKA BANDA ROOM NO-1",660,556,0,1216,391,291,0,682,662,0,26,489,16,47,69,4,0,0,0,3,2,6,3,17,682
119,"PR.VI.KHINNINAKA BANDA ROOM NO-1",664,496,0,1160,355,253,0,608,605,0,36,330,12,52,150,4,2,1,2,0,2,5,4,8,608
120,"PR.VI.KHINNINAKA BANDA ROOM NO-2",550,412,0,962,317,227,0,544,540,0,58,298,2,29,147,3,0,0,0,1,1,0,1,4,544
121,"PR.VI.KHINNINAKA BANDA ROOM NO-3",641,524,0,1165,323,242,0,565,303,0,60,187,4,68,223,4,1,0,3,2,0,2,4,7,565
122,"PR.VI.KHINNINAKA BANDA ROOM NO-4",644,490,0,1134,364,260,0,624,417,0,93,232,3,43,226,4,1,4,2,2,0,3,5,6,624
123,"PR.VI.KAILASHPURI ROOM NO-1",460,370,0,830,282,202,0,484,450,0,104,303,3,19,40,3,1,1,0,0,0,2,3,5,484
124,"PR.VI.KAILASHPURI ROOM NO-2",397,344,0,741,190,160,0,350,349,0,86,192,5,17,47,0,0,0,0,0,0,1,1,1,350
125,"OMAR VAISH KANYA VI.BANDA ROOM NO-1",430,352,0,782,269,203,0,472,472,0,26,406,4,25,4,5,0,0,0,0,0,0,1,1,472
126,"OMAR VAISH KANYA VI.BANDA ROOM NO-2",595,463,0,1058,295,238,0,533,468,0,5,457,2,51,9,4,0,1,0,0,1,1,0,2,533
127,"OMAR VAISH KANYA VI.BANDA ROOM NO-3",658,535,0,1193,389,283,0,672,509,0,12,528,8,54,55,2,0,1,1,1,1,1,2,6,672
128,"OMAR VAISH KANYA VI.BANDA ROOM NO-4",612,491,0,1103,289,251,0,540,522,0,19,224,14,66,169,4,2,3,2,4,1,6,5,21,540
129,"GURURAM RAY PUBLIC SCHOOL BANDA ROOM NO-1",578,479,0,1057,371,288,0,659,652,0,36,410,2,107,88,2,1,0,2,2,1,1,2,5,659
130,"GURURAM RAY PUBLIC SCHOOL BANDA ROOM NO-2",530,420,0,950,305,227,0,532,532,0,58,398,5,29,24,4,0,2,0,1,1,1,1,8,532
131,"GURURAM RAY PUBLIC SCHOOL BANDA ROOM NO-3",693,584,0,1277,427,358,0,785,784,0,32,574,8,100,45,9,0,0,0,2,0,1,7,7,785
132,"GURURAM RAY PUBLIC SCHOOL BANDA ROOM NO-4",517,427,0,944,286,245,0,531,131,0,31,316,4,103,51,12,0,2,0,1,0,6,3,2,531
133,"PR.VI.NIMNIPAR BANDA ROOM NO-1",623,487,0,1110,388,291,0,679,588,0,84,297,3,41,223,2,0,4,2,1,2,4,6,10,679
134,"PR.VI.NIMNIPAR BANDA ROOM NO-2",466,374,0,840,288,240,0,528,527,0,74,325,6,21,75,2,0,1,1,4,1,4,2,12,528
135,"PR.VI.KAHLA MAZRA HATETIPURWA",795,661,0,1456,422,318,0,740,268,0,106,387,25,140,53,5,3,3,3,2,2,2,2,7,740
136,PR.VI.GANCHHA,503,419,0,922,339,195,0,534,526,0,28,367,20,35,28,0,2,2,3,0,1,12,19,17,534
137,"POORV MA.VI.BAJRANG PURWA",487,349,0,836,357,227,0,584,583,0,341,128,7,82,3,0,1,1,1,3,5,0,6,6,584
138,PR.VI.SOHANA,342,231,0,573,215,136,0,351,349,0,128,126,6,5,58,1,2,2,0,0,3,4,9,7,351
139,"PR.VI.PADUI ROOM NO-1",729,565,0,1294,395,318,0,713,709,0,123,379,19,33,125,4,1,0,5,2,0,3,9,10,713
140,"PR.VI.PADUI ROOM NO-2",296,257,0,553,165,175,0,340,295,0,26,50,5,8,238,1,0,1,4,2,0,2,2,1,340
141,PR.VI.BANDHAPURWA,569,437,0,1006,354,268,0,622,621,0,111,237,18,17,193,5,3,3,3,7,2,1,8,14,622
142,"U.M.V.TINDWARA ROOM NO-1",743,596,0,1339,433,331,0,764,763,0,136,319,13,23,237,2,1,2,2,6,1,5,4,13,764
143,"U.M.V.TINDWARA ROOM NO-2",721,626,0,1347,464,365,0,829,824,0,75,589,21,16,84,7,2,4,3,0,0,6,11,11,829
144,"U.M.V.TINDWARA ROOM NO-3",650,533,0,1183,416,317,0,733,732,0,70,307,17,53,229,3,4,1,4,6,2,8,14,15,733
145,"KANYA POORV.MA.VI.TINDWARA",646,518,0,1164,415,304,0,719,169,0,74,353,12,10,218,7,6,3,2,3,2,5,10,14,719
146,"PR.VI.BAGNAPURWA MAZRA TINDWARA",631,522,0,1153,400,260,0,660,645,0,131,439,12,9,58,0,0,0,1,0,0,3,3,4,660
147,"PR.VI.TINDWARA ROOM NO-1",545,444,0,989,276,223,0,499,499,0,97,115,4,17,247,0,1,0,0,1,3,3,1,10,499
148,"PR.VI.TINDWARA ROOM NO-2",477,363,0,840,268,190,0,458,457,0,105,165,5,24,120,0,3,3,3,6,2,4,12,6,458
149,"PR.VI.BADOKHAR KHURD ROOM NO-1",603,485,0,1088,383,258,0,641,640,0,17,276,11,95,198,7,1,1,6,5,9,3,5,7,641
150,"PR.VI.BADOKHAR KHURD ROOM NO-2",292,283,0,575,176,148,0,324,251,0,36,146,3,37,71,1,1,0,1,0,8,4,8,8,324
151,"PR.VI.PALHARI ROOM NO-1",552,450,0,1002,376,293,0,669,669,0,44,379,12,30,177,6,3,3,1,0,0,4,4,6,669
152,"PR.VI.PALHARI ROOM NO-2",591,533,0,1124,430,355,0,785,21,0,33,533,15,96,60,4,2,1,3,3,11,0,4,20,785
153,"PR.VI.BISANDA KHURD",477,410,0,887,324,252,0,576,546,0,114,258,8,9,161,3,1,4,1,0,1,3,5,8,576
154,PR.VI.ARBAI,736,588,0,1324,417,306,0,723,400,0,20,510,25,20,107,3,1,0,1,1,3,12,9,11,723
155,PR.VI.BHARKHARI,878,656,0,1534,547,420,0,967,965,0,98,330,14,7,500,4,3,4,2,0,1,1,1,2,967
156,PR.VI.REWNA,460,355,0,815,279,218,0,497,490,0,95,293,6,11,68,2,3,1,1,3,2,4,5,3,497
157,"PR.VI.DINGWAHI ROOM NO-1",692,608,0,1300,388,328,0,716,653,0,46,360,10,50,205,19,2,2,1,0,9,2,3,7,716
158,"PR.VI.DINGWAHI ROOM NO-2",278,245,0,523,180,124,0,304,210,0,30,211,6,17,37,0,0,0,0,0,0,0,1,2,304
159,"POORV MA.VI.KATRAWAL ROOM NO-1",399,361,0,760,260,198,0,458,451,0,63,219,7,85,62,4,2,3,0,0,5,0,6,2,458
160,"POORV MA.VI.KATRAWAL ROOM NO-2",438,399,0,837,247,168,0,415,408,0,103,161,12,85,42,0,1,1,0,0,2,1,4,3,415
161,PR.VI.KURAULI,511,411,0,922,263,190,0,453,450,0,57,240,6,7,123,2,2,0,0,2,1,4,2,7,453
162,"PR.VI. GHURAUNDA",438,349,0,787,268,210,0,478,465,0,19,196,6,49,191,5,1,0,0,2,1,2,2,4,478
163,"KANYA PR. VI. SAHEWA ROOM NO.1",865,696,0,1561,467,330,0,797,294,0,317,235,14,9,177,5,0,0,2,1,21,1,9,6,797
