"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR RATANJIT PRATAP NARAIN SINGH","2 - RAJESH PANDEY URF GUDDU","3 - RADHE SHYAM SINGH","4 - DR. SANGAM MISHRA","5 - AKHAND","6 - AMEERUDDIN","7 - ARVIND","8 - KASHEEM ALI","9 - GOBARDHAN PRASAD","10 - JAHID","11 - BACHCHOOLAAL","12 - MARKANDE","13 - RAMDHANEE","14 - RAMPRATAP","15 - None of the Above","Total Votes Secured"
32,"PRIMARY SCHOOL BABUIYAN HARPUR KHARSAR TOLA ROOMNU. 1",604,511,0,1115,392,342,0,734,734,0,280,387,34,14,0,4,0,0,1,2,0,1,6,5,0,734
33,"PRIMARY SCHOOL BABUIYAN HARPUR KHARSAR TOLA ROOM NU. 2",792,598,0,1390,518,426,0,944,944,0,361,395,24,96,3,9,2,5,2,1,3,5,9,9,20,944
34,"PRIMARY SCHOOL VISHUNPURA KHURD",307,263,1,571,201,167,0,368,351,0,11,201,83,50,1,6,1,0,0,0,1,0,5,3,6,368
35,"PRIMARY SCHOOL CHAITI MUSHARI ROOM NU. 1",348,283,0,631,170,157,0,327,327,0,96,95,13,104,4,4,1,2,0,1,0,2,3,1,1,327
36,"PRIMARY SCHOOL CHAITI MUSHARI ROOM NU. 2",649,536,0,1185,390,355,0,745,745,0,177,163,167,190,2,2,3,1,0,3,4,12,4,6,11,745
37,"PRIMARY SCHOOL MANIKAURA ROOM NU. 1",585,488,0,1073,376,293,0,669,669,0,182,236,70,120,6,2,3,2,2,18,1,5,4,6,12,669
38,"PRIMARY SCHOOL MANIKAURA ROOM NU. 2",449,399,0,848,260,248,0,508,508,0,76,227,153,29,2,3,1,0,0,3,2,2,4,3,3,508
39,"PRIMARY SCHOOL MANIKAURA ROOM NU. 3",536,416,0,952,300,279,0,579,513,0,53,364,66,56,0,5,1,2,2,2,5,4,3,7,9,579
40,"PRIMARY SCHOOL MANIKAURA ROOM NU. 4",498,444,0,942,300,256,0,556,556,0,80,209,70,150,0,5,3,7,1,2,7,0,6,6,10,556
41,"PRIMARY SCHOOL MANIKAURA ROOM NU. 5",261,185,0,446,137,84,0,221,221,0,59,100,23,18,0,3,0,9,1,0,1,3,1,2,1,221
42,"PRIMARY SCHOOL PADARI PIPARPATI ROOM NU. 1",524,452,0,976,284,278,0,562,562,0,98,139,103,115,2,3,2,75,0,1,1,4,6,4,9,562
43,"PRIMARY SCHOOL PADARI PIPARPATI ROOM NU. 2",473,389,0,862,249,220,0,469,469,0,107,197,16,62,0,5,4,46,0,0,1,13,3,5,10,469
44,"PRIMARY SCHOOL PADARI PIPARPATI ROOM NU. 3",593,449,0,1042,390,179,0,569,569,0,194,234,25,36,2,2,2,34,2,1,4,21,5,5,2,569
45,"PRIMARY SCHOOL PADARI PIPARPATI ROOM NU. 4",328,235,0,563,167,129,0,296,296,0,95,121,6,62,0,0,1,3,0,0,0,0,1,1,6,296
46,"PRIMARY SCHOOL BETIYA ROOM NU. 1",365,271,0,636,193,129,0,322,322,0,92,147,55,5,1,3,0,10,0,1,1,1,1,2,3,322
47,"PRIMARY SCHOOL BETIYA ROOM NU. 2",842,613,0,1455,395,390,0,785,775,0,239,230,15,176,4,1,1,74,4,1,0,6,17,7,10,785
48,"JUNIOR HIGH  SCHOOL  PATERIYA ABADKARI",376,333,0,709,224,209,0,433,433,0,124,55,38,107,4,2,2,88,2,2,4,2,0,1,2,433
49,"PRIMARY SCHOOL HIRNAHI ROOM NU. 1",581,479,0,1060,310,310,0,620,620,0,199,221,71,68,1,6,1,34,1,1,0,1,5,3,8,620
50,"PRIMARY SCHOOL HIRNAHI ROOM NU. 2",555,513,0,1068,276,253,0,529,529,0,112,265,27,42,6,8,3,50,1,1,1,2,5,2,4,529
51,"JUNIOR HIGH  SCHOOL HIRNAHI",517,396,0,913,262,239,0,501,501,0,198,158,31,56,5,1,1,18,2,6,2,4,4,7,8,501
52,"PRIMARY SCHOOL MOJHIDA KHAS",606,458,0,1064,361,306,0,667,667,0,237,148,110,128,4,3,4,13,1,0,2,0,4,2,11,667
53,"PRIMARY SCHOOL BAJU PATTI",431,312,0,743,261,215,0,476,476,0,64,228,77,83,1,2,0,1,1,0,2,0,4,6,7,476
54,"PRIMARY SCHOOL VISHUNPURA BUJURG",355,251,0,606,195,165,0,360,340,0,56,22,29,223,3,3,0,17,0,0,1,1,1,2,2,360
55,"PRIMARY SCHOOL VISHUNPURA BUJURG",799,606,0,1405,414,365,0,779,779,0,181,266,162,23,2,5,4,110,1,3,0,3,6,7,6,779
56,"PRIMARY SCHOOL KINNAR PATTI",382,304,0,686,251,193,0,444,444,0,218,90,64,28,2,0,1,4,2,15,3,1,3,5,8,444
57,"PRIMARY SCHOOL PURNAHAN MISHRA",458,370,0,828,274,276,0,550,550,0,130,226,37,87,3,6,3,46,0,0,1,3,3,3,2,550
58,"PRIMARY SCHOOL PURNAHA BUJURG",555,469,0,1024,385,334,0,719,719,0,111,306,77,112,2,2,6,60,4,1,3,2,9,4,20,719
59,"PRIMARY SCHOOL MATHIYA PRASIDDH TIWARI",785,693,0,1478,448,369,0,817,816,0,340,326,24,72,5,2,0,22,2,1,2,1,3,3,14,817
60,"PRIMARY SCHOOL CHIRGODA ROOM NU. 1",528,463,0,991,294,278,0,572,557,0,121,213,50,156,5,5,3,3,1,0,2,5,1,3,4,572
61,"PRIMARY SCHOOL CHIRGODA ROOM NU. 2",340,325,0,665,208,187,0,395,395,0,92,215,35,36,0,3,1,2,0,1,0,1,2,2,5,395
62,"PRIMARY SCHOOL CHIRGODA ROOM NU. 3",547,381,0,928,298,232,0,530,530,0,219,255,20,5,2,5,0,3,1,1,1,1,4,1,12,530
63,"PRIMARY SCHOOL CHIRGODA ROOM NU. 4",742,590,0,1332,419,294,0,713,712,0,232,236,43,108,8,3,3,14,1,5,3,29,6,7,15,713
64,"PRIMARY SCHOOL PARWAT CHHAPRA",336,272,0,608,207,186,0,393,393,0,140,57,26,153,0,2,1,4,2,1,2,2,0,1,2,393
65,"PRIMARY SCHOOL DUMARI",851,741,0,1592,474,383,0,857,857,0,160,499,28,90,2,5,5,5,4,1,4,10,20,12,12,857
66,"PRIMARY SCHOOL NANDLAL CHHAPRA",643,533,0,1176,387,351,0,738,738,0,344,158,122,45,2,3,2,17,1,2,5,3,8,9,17,738
67,"PRIMARY SCHOOL KHESIA ROOM NU. 1",513,431,0,944,285,259,0,544,544,0,147,240,13,109,8,0,3,5,2,2,0,5,3,1,6,544
68,"PRIMARY SCHOOL KHESIA ROOM NU. 2",368,291,0,659,213,204,0,417,412,0,140,197,7,36,1,7,4,15,3,0,1,1,4,0,1,417
69,"PRIMARY SCHOOL KHESIA ROOM NU. 3",781,648,0,1429,474,407,0,881,881,0,212,292,95,240,11,5,4,12,0,0,0,2,2,1,5,881
70,"NEHARU INTER COLLEGE MASHACHHAPRA ROOM NU. 1",666,562,0,1228,371,355,0,726,726,0,348,193,54,38,0,2,3,65,2,0,3,2,2,1,13,726
71,"NEHARU INTER COLLEGE MASHACHHAPRA ROOM NU. 2",341,302,0,643,169,183,0,352,352,0,135,129,17,51,1,1,0,16,1,0,0,1,0,0,0,352
72,"NEHARU INTER COLLEGE MASHACHHAPRA ROOM NU. 3",361,338,0,699,180,141,0,321,321,0,131,153,12,13,0,1,1,6,0,1,0,0,1,1,1,321
73,"PRIMARY SCHOOL AKABARPUR ROOM NU. 1",513,410,0,923,360,254,0,614,614,0,82,106,103,4,1,2,4,290,1,2,3,0,4,5,7,614
74,"PRIMARY SCHOOL AKABARPUR ROOM NU. 2",395,309,0,704,217,204,0,421,421,0,273,33,19,53,2,1,1,26,0,1,1,2,3,2,4,421
75,"PRIMARY SCHOOL AKABARPUR ROOM NU. 3",740,618,0,1358,522,406,0,928,928,0,255,378,13,195,5,6,3,35,4,4,4,5,2,10,9,928
76,"PRIMARY SCHOOL BALKUDIYA ROOM NU. 1",715,599,0,1314,386,375,0,761,761,0,188,219,73,236,6,3,7,4,2,2,0,4,8,5,4,761
77,"PRIMARY SCHOOL BALKUDIYA ROOM NU. 2",605,444,0,1049,389,251,0,640,640,0,195,366,25,23,3,2,2,8,1,0,1,2,2,2,8,640
78,"PRIMARY SCHOOL BALKUDIYA ROOM NU. 3",394,310,0,704,271,220,0,491,491,0,162,246,52,15,0,0,0,1,0,1,1,0,3,0,10,491
79,"PRIMARY SCHOOL DUBAULI ROOM NU. 1",651,492,0,1143,401,331,0,732,732,0,171,428,58,54,4,7,0,2,2,3,1,1,0,0,1,732
80,"PRIMARY SCHOOL DUBAULI ROOM NU. 2",341,312,0,653,193,185,0,378,378,0,62,153,37,103,3,6,2,6,1,0,1,0,4,0,0,378
81,"PRIMARY SCHOOL BABHNAULI",387,269,0,656,239,200,0,439,439,0,37,174,42,152,4,1,5,2,2,3,1,4,4,2,6,439
82,"PRIMARY SCHOOL NARCHOCWAN ROOM NU. 1",498,382,0,880,267,216,0,483,470,0,113,167,33,120,8,2,5,10,0,1,1,3,6,3,11,483
83,"PRIMARY SCHOOL NARCHOCWAN ROOM NU. 2",528,384,0,912,343,212,0,555,554,0,71,275,33,150,3,2,2,1,0,0,0,3,6,4,5,555
84,"PRIMARY SCHOOL NARCHOCWAN ROOM NU. 3",718,636,0,1354,462,345,0,807,807,0,228,337,84,103,7,3,4,16,4,2,0,2,6,1,10,807
85,"PRIMARY SCHOOL NARCHOCWAN ROOM NU. 4",298,236,0,534,178,98,0,276,276,0,54,76,80,4,0,0,2,51,2,1,0,0,1,3,2,276
86,"PRIMARY SCHOOL VIRAITH",478,418,0,896,279,259,0,538,526,0,142,178,99,93,1,3,1,2,1,0,0,1,7,5,5,538
87,"PRIMARY SCHOOL BAHORARAMNAGAR ROOM NU. 1",323,311,0,634,163,177,0,340,310,0,130,81,70,40,1,2,0,6,2,1,0,1,0,2,4,340
88,"PRIMARY SCHOOL BAHORARAMNAGAR ROOM NU. 2",672,583,0,1255,394,254,0,648,640,0,251,257,66,12,0,2,1,50,0,2,1,1,5,0,0,648
89,"PRIMARY SCHOOL BAHOCHHAPRA",187,195,0,382,118,137,0,255,253,0,33,32,5,150,1,1,0,24,0,0,2,1,2,1,3,255
90,"PRIMARY SCHOOL CHITAHAN",763,619,0,1382,443,404,0,847,755,0,72,421,17,119,5,2,3,188,2,1,1,3,4,1,8,847
91,"PRIMARY SCHOOL MUDMUDVA",292,283,0,575,190,216,0,406,406,0,122,80,21,158,2,1,3,5,0,0,2,4,2,2,4,406
92,"PRIMARY SCHOOL PIPRA BUJURG ROOM NU. 1",521,416,0,937,287,269,0,556,556,0,240,149,34,83,1,1,1,30,3,1,2,2,2,1,6,556
93,"PRIMARY SCHOOL PIPRA BUJURG ROOM NU. 2",436,318,0,754,299,192,0,491,491,0,93,271,51,58,1,1,1,0,1,0,2,3,5,2,2,491
94,"PRIMARY SCHOOL PIPRA BUJURG ROOM NU. 3",780,608,0,1388,430,362,0,792,781,0,274,314,83,51,4,3,4,42,2,1,0,2,3,2,7,792
95,"PRIMARY SCHOOL LILADHAR CHHAPRA",549,499,0,1048,337,297,0,634,634,0,175,167,91,158,0,1,4,11,1,1,3,3,8,4,7,634
96,"PRIMARY SCHOOL KHAJURIYA ROM NU. 1",446,421,0,867,287,275,0,562,562,0,207,160,31,121,5,5,2,0,0,1,3,9,5,1,12,562
97,"PRIMARY SCHOOL KHAJURIA ROOM NU. 2",365,324,0,689,206,182,0,388,359,0,191,108,18,49,0,0,1,3,0,1,4,6,2,2,3,388
98,"PRIMARY SCHOOL KHAJURIA ROOM NU. 3",509,432,0,941,300,232,0,532,532,0,184,161,76,74,4,2,1,3,0,4,1,1,5,8,8,532
99,"PRIMARY SCHOOL KHAJURIYA ROOM NU. 4",334,294,0,628,210,153,0,363,363,0,116,131,8,91,2,0,1,2,0,0,0,3,0,1,8,363
100,"PRIMARY SCHOOL PATERAHAN KHURD ROOM NU. 1",859,666,0,1525,462,404,0,866,866,0,263,222,65,139,4,3,4,138,2,2,1,2,4,5,12,866
101,"PRIMARY SCHOOL PATERAHAN KHURD ROOM NU. 2",528,433,0,961,322,275,0,597,597,0,104,300,16,157,2,2,3,4,0,0,1,3,0,2,3,597
102,"PRIMARY SCHOOL SARPATHIN BUJURG ROOM NU. 1",142,123,0,265,83,76,0,159,159,0,90,26,33,4,1,0,0,3,0,1,0,0,0,0,1,159
103,"PRIMARY SCHOOL SARPATHIN BUJURG ROOM NU. 2",790,647,0,1437,485,423,0,908,908,0,308,323,20,207,5,5,2,10,2,2,2,2,5,3,12,908
104,"JUNIOR HIGH SCHOOL SARPTAHIN KHURD ROOM NU. 1",377,323,0,700,234,178,0,412,412,0,84,163,30,126,1,0,0,2,1,1,1,0,0,1,2,412
105,"JUNIOR HIGH SCHOOL SARPATAHI KHURD ROOM NU. 2",503,447,0,950,292,262,0,554,554,0,137,169,28,190,1,2,3,1,16,0,0,0,1,1,5,554
106,"PRIMARY SCHOOL MITHAHA MAFI ROOM NU. 1",583,537,0,1120,359,384,0,743,743,0,376,121,77,131,1,2,2,9,2,1,3,4,5,3,6,743
107,"PRIMARY SCHOOL MITHAHA MAFI ROOM NU. 2",243,215,0,458,152,115,0,267,267,0,41,136,72,2,4,0,0,3,0,0,0,1,1,5,2,267
108,"PRIMARY SCHOOL PIPARA KHURD",456,365,0,821,264,243,0,507,507,0,216,124,64,87,0,1,0,6,0,2,0,3,1,0,3,507
109,"PRIMARY SCHOOL MOTIPUR",768,603,1,1372,393,417,0,810,809,0,250,185,51,288,4,0,3,2,0,0,1,2,7,6,11,810
110,"PRIMARY SCHOOL BAGHPARNA",669,570,0,1239,388,369,0,757,757,0,170,273,57,218,5,3,2,13,0,0,3,4,3,3,3,757
111,"PRIMARY SCHOOL ROANRI ROOM NU. 1",725,659,0,1384,410,373,0,783,783,0,319,253,105,64,3,2,1,8,1,2,6,3,7,7,2,783
112,"PRIMARY SCHOOL ROANRI ROOM NU. 2",535,451,0,986,325,268,0,593,593,0,204,234,58,64,4,1,0,5,1,1,2,7,3,3,6,593
113,"PRIMARY SCHOOL ROANRI ROOM NU. 3",371,300,0,671,189,140,0,329,329,0,117,132,16,55,1,4,1,1,2,0,0,0,0,0,0,329
114,"PRIMARY SCHOOL BHUISOHARA",463,376,0,839,279,251,0,530,530,0,151,270,49,27,9,5,1,1,1,1,2,2,2,5,4,530
115,"PRIMARY SCHOOL SEKHUI MISHRA",655,537,0,1192,347,270,0,617,617,0,54,237,117,194,0,0,1,1,1,1,1,2,4,1,3,617
116,"PRIMARY SCHOOL SEKHUI BAZAR",395,329,0,724,225,189,0,414,414,0,41,224,33,107,1,1,3,0,0,0,0,1,0,2,1,414
117,"PRIMARY SCHOOL BELAVA BABURAM ROM NU. 1",247,207,0,454,125,119,0,244,244,0,96,81,24,34,1,0,2,0,0,0,0,0,1,2,3,244
118,"PRIMARY SCHOOL BELAVA BABURAM तववउ दनण् 2",641,551,0,1192,367,310,0,677,677,0,160,258,188,33,2,5,1,8,0,1,3,8,3,1,6,677
119,"PRIMARY SCHOOL JADAHA",721,604,1,1326,404,379,0,783,783,0,365,235,14,142,2,6,4,5,3,1,3,0,1,0,2,783
120,"PRIMARY SCHOOL KUKURAHAN",586,473,0,1059,363,306,0,669,669,0,221,320,48,36,1,3,3,2,3,2,2,0,3,8,17,669
121,"PRIMARY SCHOOL BHUJAULI",518,393,0,911,318,253,0,571,567,0,34,369,12,126,1,1,3,0,1,0,3,3,6,4,8,571
122,"PRIMARY SCHOOL  BASDILLA",725,579,0,1304,422,388,0,810,810,0,302,226,55,183,3,5,0,0,3,1,3,6,4,4,15,810
123,"JUNIOR HIGH SCHOOL DANDOPUR तववउ दनण् 1",592,526,0,1118,305,254,0,559,559,0,378,145,25,1,0,0,0,0,0,0,0,1,0,2,7,559
124,"JUNIOR HIGH SCHOOL DANDOPUR ROOM NU. 2",482,385,0,867,260,224,0,484,470,0,305,128,1,30,0,2,1,1,1,0,2,2,2,1,8,484
125,"PRIMARY SCHOOL RAIGANJ",358,236,0,594,172,186,0,358,358,0,207,51,14,68,2,0,2,1,0,0,0,1,5,0,7,358
126,"PRIMARY SCHOOL MAGHI MATHIYA ROOM NU. 1",694,522,0,1216,391,329,0,720,720,0,403,120,52,10,0,6,4,106,2,1,3,0,1,5,7,720
127,"PRIMARY SCHOOL MAGHI MATHIYA ROOM NU. 2",231,162,0,393,129,110,0,239,239,0,55,97,51,34,0,1,0,0,0,0,0,0,1,0,0,239
128,"PRIMARY SCHOOL MAGHI MATHIYA ROOM NU. 3",283,204,0,487,168,155,0,323,323,0,32,155,1,123,2,1,2,0,1,0,0,0,4,0,2,323
129,"PRIMARY SCHOOL MADHOPUR GAUJAHIN",474,365,0,839,280,247,0,527,527,0,100,296,90,26,0,0,2,0,1,2,0,0,3,2,5,527
130,"PRIMARY SCHOOL PAKDIYAR ROOM NU. 1",837,681,0,1518,412,503,0,915,915,0,424,180,189,93,1,4,0,0,1,1,1,1,3,6,11,915
131,"PRIMARY SCHOOL PAKDIYAR ROOM NU. 2",388,334,0,722,211,221,0,432,432,0,93,142,116,70,1,0,3,1,0,0,0,2,2,0,2,432
132,"PRIMARY SCHOOL PATERHAN MANGALPUR",430,354,0,784,217,209,0,426,420,0,134,164,20,93,1,2,0,2,1,1,0,3,2,0,3,426
133,"PRIMARY SCHOOL MISHRAULI ROOM NU. 1",406,372,0,778,220,230,0,450,450,0,190,38,103,101,2,1,1,0,0,2,0,5,0,1,6,450
134,"PRIMARY SCHOOL MISHRAULI ROOM NU. 2",510,405,0,915,251,208,0,459,459,0,214,58,79,88,1,1,2,3,0,2,0,0,4,2,5,459
135,"PRIMARY SCHOOL MISHRAULI ROOM NU. 3",459,362,0,821,252,260,0,512,512,0,319,11,166,9,2,0,0,1,0,0,0,1,1,0,2,512
136,"JUNIOR HIGH SCHOOL ADHARCHHAPRA",716,557,0,1273,409,370,0,779,776,0,190,406,45,117,2,0,2,4,0,0,3,1,2,2,5,779
