"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KESHRI DEVI","2 - NAND GOPAL GUPTA NANDI","3 - SHYAMA CHARAN GUPTA","4 - KUNWAR REWATI RAMAN SINGH ALIAS MANI","5 - MOHD. AMEEN AZHAR ANSARI","6 - ADARSH SHASTRI","7 - GAYTRI PRASAD","8 - CHANDRA PRAKASH TIWARI ALIAS C. P. TIWARI ADVOCATE","9 - NISTHA DEV MAURYA","10 - MAHENDRA KUMAR","11 - SHYAM SUNDAR DAS","12 - RAJENDRA PRASAD","13 - WAHID ALI ALIAS WAJID ALI","14 - SANJAY ROBINSON","15 - AJEET KUMAR","16 - DRAUPADI DEVI","17 - PARMANAND","18 - BRIJESH KUMAR","19 - SHYAM CHARAN","20 - SHIV PRASAD AGRAHARI","21 - SHAILENDRA KUMAR PRAJAPATI","22 - HIRA LAL","23 - HANSRAJ","24 - None of the Above","Total Votes Secured"
24,"RANJEET PT. INTER COLLEGE NAINI ROOM NO. 2",767,595,0,1362,317,263,0,580,1,0,23,36,410,60,2,19,1,0,0,0,0,0,1,0,0,3,0,0,16,8,1,0,0,0,580
25,"RANJEET PT. INTER COLLEGE NAINI ROOM NO.3",940,701,0,1641,398,275,0,673,541,0,36,25,489,91,0,13,0,1,1,1,2,0,0,2,2,2,1,0,0,3,0,0,0,4,673
26,"RANJEET PT. INTER COLLEGE NAINI ROOM NO.4",941,732,1,1674,387,334,0,721,701,0,25,56,448,166,1,16,0,1,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,2,721
27,"RANJEET PT. INTER COLLEGE NAINI ROOM NO.5",677,568,0,1245,295,241,0,536,227,0,7,44,363,90,2,20,4,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,536
28,"PRATHMIK VIDYALAYA MADAUKA ROOM NO.1",715,550,0,1265,405,266,0,671,93,0,147,21,273,194,2,2,0,0,0,1,1,2,5,9,0,5,0,0,3,2,1,0,0,3,671
29,"PRATHMIK VIDYALAYA MADAUKA ROOM NO. 2",644,483,0,1127,354,230,0,584,106,0,95,33,156,275,4,0,0,0,0,1,0,1,4,2,2,2,0,1,4,0,1,0,2,1,584
30,"PRATHMIK VIDYALAYA TIGNAUTA ROOM NO. 1",436,349,0,785,267,192,0,459,317,0,65,22,278,61,2,1,0,0,2,0,0,1,0,5,6,9,0,0,4,1,0,0,1,1,459
31,"PRATHMIK VIDYALAYA TIGNAUTA ROOM NO.2",481,471,0,952,351,303,0,654,112,0,91,41,348,132,1,7,0,0,1,2,0,0,2,3,9,4,2,0,3,5,1,0,1,1,654
32,"PRATHMIK VIDYALAYA TIGNAUTA ROOM NO.3",591,428,0,1019,353,264,0,617,75,0,28,73,73,425,3,8,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,617
33,"PRATHMIK VIDYALAYA TIGNAUTA ROOM NO.4",535,445,0,980,262,230,0,492,100,0,26,48,248,148,0,5,1,0,1,2,0,2,0,2,0,2,0,0,3,1,0,0,1,2,492
