"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AQEEL UR REHMAN KHAN","2 - ACHARYA PRAMOD KRISHNAM","3 - DR SHAFIQ UR RAHMAN BARQ","4 - SATYAPAL SINGH","5 - MOHD ASLAM URF PASHA","6 - DHARAM YADAV","7 - DR. RASHID ALI","8 - REKHA DEVI YADAV","9 - AQEEL AHMAD","10 - NANAD RAM KHADAGVANSHI","11 - NUTAN VIJAY ADVOCATE","12 - FIROZ HAIDER","13 - RASHID","14 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL KHERA KHAAS ROOM  -1",845,758,0,1603,526,473,0,999,999,0,367,12,67,511,2,2,1,2,4,5,6,7,3,10,999
2,"PRIMARY SCHOOL BEHATA SAHU ROOM 1",478,409,0,887,337,266,0,603,603,0,377,5,18,165,3,0,0,2,3,6,9,2,3,10,603
3,"PRIMARY SCHOOL BEHATA SAHU ROOM  2",454,400,1,855,306,243,0,549,549,0,346,6,37,149,1,2,0,1,1,0,1,0,0,5,549
4,"PRIMARY SCHOOL ALAWALPUR ROOM 1",395,340,0,735,280,262,0,542,542,0,260,1,268,8,0,1,0,0,1,0,0,0,0,3,542
5,"PRIMARY SCHOOL SARAY SIKANDER ROOM 1",606,517,0,1123,448,388,0,836,836,0,804,4,8,3,1,0,0,0,1,1,2,2,0,10,836
6,"PRIMARY SCHOOL SARAY SIKANDER ROOM 2",531,446,0,977,372,299,0,671,671,0,647,5,0,13,0,0,0,0,0,0,2,0,1,3,671
7,"PRIMARY SCHOOL BHATAUR  ROOM 1",327,261,0,588,264,222,0,486,486,0,466,0,0,4,0,8,0,0,0,0,0,0,2,6,486
8,"SARDAR SINGH INTER  COLLEGE NARAULI  ROOM 1",467,397,0,864,243,180,0,423,423,0,93,16,11,277,3,2,0,0,0,2,6,3,5,5,423
9,"SARDAR SINGH INTER COLLEGE  NARAULI ROOM 2",679,590,3,1272,399,317,0,716,716,0,23,3,16,634,3,12,0,2,3,0,8,3,4,5,716
10,"SARDAR SINGH INTER COLLEGE  NARAULI ROOM 3",448,401,0,849,228,176,0,404,404,0,4,8,19,348,5,16,0,0,1,0,2,1,0,0,404
11,"SARDAR SINGH INTER COLLEGE  NARAULI ROOM 4",384,357,0,741,212,182,0,394,394,0,12,0,150,211,1,5,2,1,0,0,4,3,3,2,394
12,"NAYA NAGAR PANCHAYAT BHAVAN  NARAULI ROOM  1",759,610,0,1369,391,313,0,704,704,0,26,40,326,280,0,20,8,0,0,1,0,1,0,2,704
13,"BASIC PRIMARY SCHOOL  NARAULI ROOM 1",805,702,0,1507,483,400,0,883,883,0,656,14,58,124,1,3,0,1,4,0,8,4,1,9,883
14,"BASIC PRIMARY SCHOOL NARAULI ROOM 2",592,465,0,1057,314,184,0,498,498,0,19,5,456,8,0,0,4,0,1,1,0,1,2,1,498
15,"BASIC PRIMARY SCHOOL NARAULI ROOM 3",474,348,0,822,247,148,0,395,395,0,11,3,330,33,4,0,2,1,2,3,1,2,1,2,395
16,"BASIC PRIMARY SCHOOL NARAULI ROOM 4",824,697,0,1521,436,274,0,710,710,0,79,33,483,89,3,4,8,1,0,1,1,1,0,7,710
17,"PRIMARY KANYA PATHSHALA NARAULI ROOM 1",736,575,0,1311,400,333,0,733,733,0,62,10,548,89,1,6,1,0,0,0,0,8,1,7,733
18,"PRIMARY KANYA PATHSALA NARAULI ROOM 2",475,373,0,848,242,206,0,448,448,0,87,11,202,129,2,2,0,2,2,1,5,2,1,2,448
19,"PRIMARY KANYA PATHSALA NARAULI ROOM 3",686,540,0,1226,395,264,0,659,659,0,108,36,441,47,2,1,2,3,1,0,1,3,1,13,659
20,"PRIMARY SCHOOL FARIDPUR KHAS ROOM 1",847,731,0,1578,535,517,0,1052,1052,0,409,14,226,307,8,67,0,2,1,8,7,2,1,0,1052
21,"PRIMARY SCHOOL PACHAAK ROOM 1",550,451,0,1001,328,306,0,634,634,0,460,10,25,112,2,3,0,2,1,1,4,0,4,10,634
22,"PRIMARY SCHOOL PACHAAK ROOM 2",348,273,0,621,233,162,0,395,395,0,16,0,21,345,0,5,0,1,0,3,2,1,0,1,395
23,"PRIMARY SCHOOL RAMRAIPUR ROOM 1",233,207,0,440,208,177,0,385,385,0,3,1,26,337,3,7,0,0,0,1,3,0,2,2,385
24,"PRIMARY SCHOOL NASIRPUR NAROAUI ROOM 1",295,246,0,541,186,152,0,338,338,0,8,5,6,302,4,3,0,0,1,2,0,2,1,4,338
25,"WALI MOHAMMAD SEVAK SAMAJ JUNIOUR HIGH SCHOOL GUMTHAL ROOM 1",615,485,0,1100,379,281,0,660,660,0,156,5,76,366,5,6,0,3,1,7,16,7,2,10,660
26,"WALI MOHAMMAD SEVAK SAMAJ JUNIOUR HIGH SCHOOL GUMTHAL ROOM 2",329,282,0,611,181,150,0,331,331,0,149,6,33,133,1,2,0,0,0,1,4,0,0,2,331
27,"WALI MOHAMMAD SEVAK SAMAJ JUNIOUR HIGH SCHOOL GUMTHAL ROOM 3",633,509,0,1142,367,249,0,616,616,0,35,7,129,417,2,8,0,0,2,1,5,4,3,3,616
28,"WALI MOHAMMAD SEVAK SAMAJ JUNIOUR HIGH SCHOOL GUMTHAL ROOM 4",395,291,0,686,244,157,0,401,401,0,12,9,45,307,3,8,0,1,0,0,7,7,0,2,401
29,"PRIMARY SCHOOL GUMTHAL ROOM 1",541,451,0,992,276,240,0,516,516,0,18,16,39,397,2,23,2,1,1,2,11,3,1,0,516
30,"PRIMARY SCHOOL GUMTHAL ROOM 2",454,360,0,814,215,167,0,382,382,0,10,1,23,306,3,5,0,2,3,1,6,8,5,9,382
31,"PRIMARY SCHOOL BHULAWAI ROOM 1",491,471,0,962,323,285,0,608,608,0,160,12,31,367,5,3,2,2,0,0,12,8,2,4,608
32,"PRIMARY SCHOOL BHULAWAEE ROOM 2",348,356,0,704,236,225,0,461,461,0,81,4,157,205,0,1,1,1,2,2,2,3,1,1,461
33,"PRIMARY SCHOOL BHULAWAEE ROOM 3",194,173,0,367,84,55,0,139,139,0,22,4,1,100,0,0,0,0,0,2,6,1,0,3,139
34,"PRIMAY SCHOOL DEVARKHERA ROOM 1",539,423,0,962,335,268,0,603,603,0,106,6,77,381,4,12,1,2,0,2,6,0,4,2,603
35,"PRIMAR SCHOOL DEVARKHERA ROOM 2",433,371,0,804,308,258,0,566,566,0,29,5,19,465,2,8,2,2,2,1,15,5,4,7,566
36,"PRIMARY SCHOOL DEVARKHERA ROOM 3",979,778,0,1757,478,354,0,832,832,0,138,8,22,622,6,22,1,2,0,0,5,1,1,4,832
37,"PRIMARY SCHOOL AKBARPUR CHITAURI ROOM 1",431,360,0,791,271,239,0,510,510,0,418,30,6,49,0,0,0,0,2,0,0,1,0,4,510
38,"PRIMARY SCHOOL AKBARPUR CHITAURI ROOM 2",529,420,0,949,262,229,0,491,491,0,310,29,10,127,2,4,0,0,2,0,2,2,1,2,491
39,"PRIMARY SCHOOL MAULAGARH ROOM 1",690,568,0,1258,436,325,0,761,761,0,128,4,7,574,4,6,2,2,3,3,9,3,3,13,761
40,"PRIMARY  SCHOOL MAULAGARH ROOM 2",710,579,1,1290,435,340,0,775,775,0,689,6,5,43,1,7,0,1,1,2,0,2,3,15,775
41,"PRIMARY SCHOOL MAULHAGAD ROOM 3",677,563,0,1240,408,259,0,667,667,0,19,15,8,605,2,7,0,1,2,1,4,1,0,2,667
42,"PRIMARY SCHOOL MAULAGARH ROOM 4",470,340,0,810,283,161,0,444,444,0,5,5,3,414,1,0,0,0,1,1,9,0,1,4,444
43,"KANYA PRIMARY PATHSHALA MAULAGARH ROOM 1",709,563,2,1274,355,274,2,631,631,0,90,15,22,460,1,28,0,3,0,0,5,2,1,4,631
44,"KANYA PRIMARY PATHSHALA MAULAGARH ROOM 2",703,647,0,1350,342,329,0,671,671,0,226,6,24,399,1,8,0,0,0,0,3,2,1,1,671
45,"KANYA PRIMARY PATHSHALA MAULAGARH ROOM 3",185,162,0,347,91,89,0,180,180,0,13,3,1,159,0,4,0,0,0,0,0,0,0,0,180
46,"KANYA PRIMARY PATHSHALA MAULAGARH ROOM 4",393,336,0,729,199,151,0,350,350,0,107,10,12,204,1,10,0,0,0,1,4,0,1,0,350
47,"KANYA PRIMARY PATHSHALA MAULAGARH ROOM 5",609,531,0,1140,309,291,0,600,600,0,77,15,7,481,0,15,0,0,1,1,3,0,0,0,600
48,"PRIMARY SCHOOL MOHAMMADGUNJ ROOM 1",653,475,0,1128,476,301,0,777,777,0,300,6,444,2,2,1,1,2,0,0,0,6,3,10,777
49,"PRIMARY SCHOOL MOHAMMADPUR KASHI ROOM 1",749,599,0,1348,420,343,0,763,763,0,153,18,540,13,5,2,0,2,2,1,5,5,4,13,763
