"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLESH PASWAN","2 - GORAKH PRASAD PASWAN","3 - SADAL PRASAD","4 - SANJAI KUMAR","5 - ARJUN PRASAD RAW","6 - CHANDRIKA PRASAD BHARATI","7 - RAMNARESH","8 - RAMNIVAS  PASWAN","9 - RAMPRIT JAKHMEE","10 - LALCHAND PRASAD JATAV","11 - KUNJAWATI","12 - SHEO SHANKAR","13 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL CHADI PURAV",683,503,1,1187,307,302,0,609,609,0,120,34,349,73,1,2,4,0,4,7,8,2,5,609
2,"PRIMARY SCHOOL CHADI PASHCHIM",378,305,0,683,160,142,0,302,302,0,221,1,56,18,1,0,0,1,0,2,0,0,2,302
3,"PRIMARY SCHOOL  RANIPUR",626,478,0,1104,274,257,0,531,531,0,318,7,193,8,0,0,0,1,0,1,2,1,0,531
4,"PURVA MADHYAMIC  SCHOOL NEWAS",891,714,0,1605,353,388,0,741,741,0,437,24,228,27,1,1,1,1,2,8,2,2,7,741
5,"PRIMARY  SCHOOL BATHUA BUJURG",350,260,0,610,170,151,0,321,321,0,211,20,62,6,1,0,2,2,3,5,1,1,7,321
6,"PRIMARY SCHOOL HARIHARPUR",507,399,0,906,253,230,0,483,479,0,278,19,128,35,4,0,1,6,2,5,0,0,5,483
7,"PRIMARY SCHOOL MARCHA",710,567,0,1277,250,286,0,536,370,0,253,11,212,14,1,0,4,4,6,9,8,4,10,536
8,"PRIMARY SCHOOL MARCHI",394,312,0,706,203,176,0,379,376,0,179,27,130,15,1,0,2,5,1,3,6,3,7,379
9,"PRIMARY SCHOOL VAIDAULI DAKSHIN",565,403,0,968,244,228,0,472,471,0,192,4,110,150,4,0,0,2,1,4,1,0,4,472
10,"PRIMARY SCHOOL  VAIDAULI UTTAR",422,356,1,779,180,198,0,378,378,0,113,14,214,20,0,0,3,2,1,3,2,2,4,378
11,"PURV MADHYAMIC SCHOOL BARIYAR UTTAR",431,363,0,794,191,183,0,374,374,0,306,11,24,19,1,1,0,1,4,2,0,1,4,374
12,"PURV MADHYAMIC SCHOOL BARIYAR DAKSHIN",635,475,0,1110,241,235,0,476,476,0,136,31,260,37,1,1,0,4,0,3,1,0,2,476
13,"PRIMARY SCHOOL GAURKHAS PURAV",626,466,1,1093,258,226,0,484,475,0,319,44,76,22,2,0,2,4,1,1,3,0,10,484
14,"PRIMARY SCHOOL GAURKHAS PASHCHIM",626,526,0,1152,243,234,0,477,477,0,152,94,186,11,2,0,0,4,0,3,5,4,16,477
15,"PRIMARY SCHOOL NARAYANPUR KHURD",520,445,0,965,248,226,0,474,474,0,175,70,186,30,0,0,0,1,3,3,1,1,4,474
16,"PRIMARY SCHOOL NARAYANPUR BUJURG",508,374,0,882,219,210,0,429,429,0,189,43,158,29,1,0,0,0,0,0,5,0,4,429
17,"PRIMARY SCHOOL KESHWAPAR",699,618,1,1318,351,329,0,680,680,0,451,56,120,21,0,0,3,1,4,8,1,4,11,680
18,"PRIMARY  SCHOOL SIDHARI UTTAR",606,454,0,1060,273,231,0,504,491,0,274,145,47,18,1,1,4,1,0,5,3,1,4,504
19,"PRIMARY  SCHOOL SIDHARI DAKSHIN",325,244,0,569,163,169,0,332,332,0,17,7,293,10,0,0,0,0,0,0,3,0,2,332
20,"PRIMARY SCHOOL BHUPGARH PURAV",657,537,0,1194,285,277,0,562,551,0,272,176,89,14,0,1,1,1,0,3,2,1,2,562
21,"PRIMARY SCHOOL BHUPGARH  PASHCHIM",671,581,0,1252,271,229,0,500,500,0,119,130,230,10,3,0,0,0,1,2,2,0,3,500
22,"PRIMARY SCHOOL GENUWADIH",486,374,0,860,165,160,0,325,325,0,133,111,31,25,3,2,0,5,0,7,0,3,5,325
23,"PRIMARY SCHOOL SAKRDEIYA",684,516,1,1201,365,258,0,623,605,0,40,503,67,5,1,0,0,2,0,2,0,0,3,623
24,"PRIMARY SCHOOL  DEAHRIBHAR",728,554,0,1282,298,271,0,569,554,0,233,81,175,38,2,3,7,6,0,6,6,2,10,569
25,"PRIMARY SCHOOL  KUSAHA",288,240,0,528,142,123,0,265,240,0,111,67,81,3,1,0,0,0,0,0,1,0,1,265
26,"PRIMARY SCHOOL DHAURARAHRA",656,578,0,1234,311,325,0,636,636,0,288,55,258,19,1,0,3,7,1,1,2,0,1,636
27,"PRIMARY SCHOOL  HARPUR PURAV",750,636,0,1386,331,301,0,632,631,0,384,47,105,49,2,0,4,1,4,7,6,4,19,632
28,"PRIMARY SCHOOL  HARPUR PASHCHIM",516,399,0,915,213,208,0,421,421,0,109,3,275,10,0,1,1,0,4,3,5,1,9,421
29,"PRIMARY SCHOOL  SARAM",851,652,0,1503,373,306,0,679,679,0,146,217,272,16,0,0,3,4,1,2,0,5,13,679
30,"L.B.S. PURV MADHYMIC SCHOOL  DEIDIHA",426,341,0,767,181,162,0,343,343,0,80,36,178,31,4,0,0,4,0,0,0,1,9,343
31,"PRIMARY SCHOOL GAJPUR UTTAR",709,590,0,1299,303,263,0,566,253,0,252,119,141,29,4,1,0,2,2,5,1,1,9,566
32,"PRIMARY  SCHOOL GAJPUR DAKSHIN",272,199,0,471,115,100,0,215,215,0,156,15,36,2,2,0,0,1,0,0,1,0,2,215
33,"PURAV MADHAYMIC SCHOOL DUBRIPURA",285,246,0,531,134,131,0,265,265,0,39,143,55,5,2,1,0,0,0,1,3,9,7,265
34,"PRIMARY  SCHOOL NAKAUJHA",851,613,0,1464,374,307,0,681,679,0,292,73,238,45,2,2,2,1,1,4,9,2,10,681
35,"PRIMARY  SCHOOL SULTANPUR",531,442,1,974,260,256,0,516,516,0,150,121,204,22,3,0,1,2,2,3,3,3,2,516
36,"R.R.I.C. URUWA PURAV",809,601,0,1410,435,318,0,753,753,0,552,68,99,15,1,0,1,3,0,5,1,0,8,753
37,"R.R.I.C.URUWA MADHAY",702,556,0,1258,326,270,0,596,594,0,317,132,107,23,0,1,0,1,0,4,2,0,9,596
38,"R.R.I.C.URUWA UTTAR",442,331,0,773,172,159,0,331,329,0,165,43,83,36,0,0,0,0,1,0,0,1,2,331
39,"R.R. I. C.URUWA PASHCHIM",856,667,2,1525,423,311,0,734,734,0,259,93,334,25,5,0,1,1,0,6,4,1,5,734
40,"PRIMARY  SCHOOL ARAWJAGDISH",685,612,0,1297,341,371,0,712,676,0,309,15,361,18,0,0,1,1,0,1,0,3,3,712
41,"PRIMARY  SCHOOL PARSA BUJURG",710,588,0,1298,346,310,0,656,656,0,244,128,227,27,2,1,1,5,2,4,3,3,9,656
42,"PRIMARY SCHOOL AMODHA",555,469,0,1024,273,263,0,536,536,0,227,100,183,14,0,1,4,0,0,0,4,1,2,536
43,"PRIMARY  SCHOOL TADI",707,512,0,1219,302,293,0,595,595,0,286,91,169,25,0,0,2,5,1,5,1,1,9,595
44,"PRIMARY  SCHOOL DUGHRA UTTAR",670,589,0,1259,287,305,0,592,592,0,428,20,81,34,2,1,0,4,2,8,1,4,7,592
45,"PRIMARY  SCHOOL DUGHRA MADHAY",686,570,0,1256,299,297,0,596,595,0,214,12,316,29,3,1,0,1,1,1,4,4,10,596
46,"PRIMARY SCHOOL DUGHRA DAKSHIN",840,721,0,1561,347,329,0,676,676,0,389,12,229,19,1,2,2,0,2,11,0,2,7,676
47,"PRIMARY  SCHOOL RAHDAUWLI UTTAR",681,539,0,1220,325,310,0,635,635,0,289,43,247,23,1,0,0,1,0,5,9,4,13,635
48,"PRIMARY  SCHOOL RAHDAUWLI DAKSHIN",381,280,0,661,134,145,0,279,279,0,182,30,53,8,0,0,1,0,0,1,2,0,2,279
49,"PRIMARY  SCHOOL BHUIDHRA KHURD",672,555,1,1228,451,204,0,655,654,0,241,14,338,37,3,1,0,2,0,6,3,3,7,655
50,"PRIMARY  SCHOOL BHAURDIH KHURD",737,486,0,1223,288,259,0,547,547,0,244,93,171,7,1,1,2,3,3,4,6,1,11,547
51,"PRIMARY  SCHOOL RSULPUR MAFI",397,290,0,687,223,205,0,428,428,0,90,55,248,9,1,1,6,1,3,8,1,1,4,428
52,"PRIMARY  SCHOOL PIPARI BUJURG",567,450,1,1018,268,298,0,566,566,0,166,103,221,21,3,2,3,8,2,10,5,5,17,566
53,"PRIMARY  SCHOOL MOHANPUR",444,337,0,781,188,173,0,361,360,0,144,55,144,10,2,1,0,0,0,2,0,0,3,361
54,"PRIMARY  SCHOOL RUKUNPUR",468,362,0,830,222,215,0,437,364,0,75,112,227,16,0,1,1,0,0,1,1,0,3,437
55,"A. PRIMARY  SCHOOL SIDHWANA",248,182,0,430,101,118,0,219,215,0,41,37,131,8,0,0,0,0,0,0,1,1,0,219
56,"PRIMARY  SCHOOL CHAIPUR MAFI",202,159,0,361,117,116,0,233,214,0,51,11,150,9,0,0,1,0,0,2,4,1,4,233
57,"PRIMARY  SCHOOL RAUTPAR BUJURG",378,290,0,668,146,144,0,290,288,0,57,158,42,22,0,0,0,5,1,1,1,1,2,290
58,"K.PRIMARY  SCHOOL KURAWAL BUJURG UTTAR",556,414,0,970,251,216,0,467,466,0,182,113,137,13,1,0,0,1,1,3,2,1,13,467
59,"K. PRIMARY  SCHOOL KURAWAL BUJURG DAKSHIN",231,197,0,428,111,113,0,224,224,0,86,17,101,17,0,0,0,1,0,2,0,0,0,224
60,"PRIMARY  SCHOOL MADHUPATTI",256,198,0,454,96,104,0,200,200,0,85,13,69,14,1,1,0,4,0,4,1,2,6,200
61,"PRIMARY  SCHOOL PALHWAPUR",354,284,0,638,189,119,0,308,308,0,194,57,33,14,0,0,0,2,0,3,0,0,5,308
