"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANSHUL VERMA","2 - USHA VERMA","3 - SHIVE PRASAD VERMA","4 - SARVESH KUMAR","5 - CHANDRAPAL","6 - RAMDAYAL","7 - RAMLAKHAN GAUTAM","8 - SANJAY KUMAR","9 - SANTRAM","10 - HIRA LAL VERMA","11 - RAMPAL","12 - SHIVEKUMAR","13 - SAROJ KUMAR","14 - SARVESH","15 - SUNIL BHARTI","16 - None of the Above","Total Votes Secured"
166,SURJIPUR,496,429,0,925,317,263,0,580,576,0,244,19,293,4,2,0,0,0,1,0,2,3,4,2,4,2,580
167,AGAPUR,795,679,0,1474,537,395,0,932,832,0,429,219,216,29,2,0,3,3,1,0,2,5,3,7,5,8,932
168,GHURAHA,404,345,0,749,300,230,0,530,11,0,412,39,55,10,1,0,1,0,1,0,0,2,1,2,3,3,530
169,GAURIYA,244,217,0,461,148,147,0,295,259,0,47,8,218,7,2,2,1,1,1,0,0,1,0,2,0,5,295
170,HARRAI,689,575,0,1264,496,316,0,812,812,0,110,98,554,37,1,0,0,0,2,0,3,2,0,3,0,2,812
171,VARIPUR,352,306,0,658,245,208,0,453,453,0,202,16,209,12,0,1,0,1,1,0,0,4,1,2,1,3,453
172,HAIBATPUR,251,217,0,468,189,154,0,343,343,0,136,43,144,11,3,2,0,0,0,0,0,2,0,0,1,1,343
173,"HUSAINAPUR H/0 HARRAI",460,422,0,882,303,307,0,610,610,0,353,9,177,51,1,0,2,0,1,0,3,1,2,1,3,6,610
174,HASANAPUR,496,435,0,931,339,246,0,585,320,0,356,17,133,58,3,1,0,1,1,1,1,3,2,2,2,4,585
175,HAIDARPUR,400,339,0,739,283,171,0,454,454,0,377,12,53,1,0,1,0,0,0,1,0,1,1,0,1,6,454
176,RAIGAWAN,756,661,0,1417,501,354,0,855,855,0,520,109,198,14,0,5,0,0,0,0,1,2,1,3,1,1,855
177,KHUMARIPUR,323,278,0,601,231,159,0,390,390,0,95,44,234,4,0,1,0,0,0,0,0,1,3,3,3,2,390
178,SARAIRANAK,567,496,0,1063,406,350,0,756,756,0,165,25,480,38,1,1,0,0,2,0,2,5,5,13,7,12,756
179,BARELA,278,246,0,524,211,180,0,391,391,0,264,55,20,38,3,0,0,0,1,0,0,2,2,0,2,4,391
180,JAMURA,725,607,0,1332,427,170,0,597,597,0,20,260,197,106,3,1,0,0,1,0,0,2,1,1,1,4,597
181,JAMURA,655,573,0,1228,294,99,0,393,125,0,9,141,169,74,0,0,0,0,0,0,0,0,0,0,0,0,393
182,JAMURA,710,616,0,1326,400,194,0,594,594,0,41,236,221,85,2,0,0,0,0,2,2,1,2,0,1,1,594
183,"DHIYARA H/0 JAMURA",387,336,0,723,286,208,0,494,464,0,136,137,153,54,1,1,0,0,2,0,0,3,2,2,1,2,494
184,"DHIYARA H/0 JAMURA",477,416,0,893,234,137,0,371,371,0,62,122,125,53,1,1,0,1,0,0,0,4,1,1,0,0,371
185,"PALIYADEV SALEMPUR",545,474,0,1019,381,271,0,652,620,0,316,96,203,19,2,0,0,1,1,0,2,2,4,0,3,3,652
186,PALIYAKOT,447,383,0,830,303,267,0,570,570,0,176,170,197,8,2,0,1,0,2,0,0,5,2,3,1,3,570
187,"FATTEPUR GAJI",532,443,0,975,231,354,0,585,585,0,345,151,69,7,3,1,0,1,1,1,1,2,1,0,1,1,585
188,"GAJIPUR H/0 FATTEPUR GAJI",290,250,0,540,229,191,0,420,236,0,129,85,199,3,1,0,0,0,0,0,0,1,0,0,1,1,420
189,"BENDHUA H/0 FATTEPUR GAJI",650,530,0,1180,428,262,0,690,687,0,312,183,124,12,3,3,2,1,5,0,3,10,1,5,8,18,690
190,JAMALPUR,359,298,0,657,247,207,0,454,454,0,259,25,154,10,0,1,0,0,0,0,0,0,0,3,0,2,454
191,BUDHANPUR,459,390,0,849,297,245,0,542,308,0,148,173,200,10,0,1,0,1,0,0,0,2,4,2,1,0,542
192,PEDHWA,755,645,0,1400,527,376,0,903,903,0,350,111,389,20,2,0,2,0,0,2,0,5,5,7,4,6,903
193,"FATTEPUR GAYAND",557,482,0,1039,404,315,0,719,719,0,404,48,239,10,0,1,0,0,0,1,0,2,1,1,2,10,719
194,"FATTEPUR GAYAND",590,490,0,1080,397,288,0,685,495,0,297,111,247,8,3,0,1,0,1,1,0,5,1,2,1,7,685
195,KATHMA,686,603,0,1289,500,399,0,899,899,0,128,285,447,24,0,0,0,0,1,1,1,3,1,4,2,2,899
196,HATHIPUR,350,295,0,645,254,196,0,450,450,0,405,16,13,9,0,0,0,0,0,1,0,0,0,0,0,6,450
197,"SARAI PAIGU",226,199,0,425,156,136,0,292,280,0,114,69,104,0,0,0,0,0,0,0,0,1,1,0,2,1,292
198,AIGAWAN,609,512,0,1121,335,291,0,626,606,0,82,154,343,34,1,0,0,1,0,1,0,2,2,0,0,6,626
199,AIGAWAN,479,417,0,896,292,226,0,518,518,0,137,159,190,18,1,0,0,0,0,0,0,0,3,5,2,3,518
200,NAVIPUR,655,565,0,1220,394,288,0,682,682,0,96,232,295,45,0,0,1,0,1,1,0,2,2,0,3,4,682
201,KACHURA,316,269,0,585,202,172,0,374,369,0,166,16,179,1,1,0,0,2,0,0,0,2,1,3,2,1,374
202,JATPURA,418,367,0,785,276,207,0,483,483,0,320,5,143,6,0,0,0,1,0,1,1,0,1,3,1,1,483
203,"NAYA GAUN",418,354,0,772,334,252,0,586,586,0,130,15,403,10,18,0,0,0,0,0,0,2,1,5,1,1,586
204,"SIKANDARPUR KALLU",603,533,0,1136,402,313,0,715,715,0,571,37,68,23,1,2,3,0,0,0,2,4,1,1,1,1,715
205,"SIKANDARPUR KALLU",523,461,0,984,367,270,0,637,637,0,312,32,270,11,1,0,0,1,1,0,1,3,1,3,0,1,637
206,"DAULATPUR GANGA DAS",328,278,0,606,223,208,0,431,406,0,153,53,206,9,0,0,0,1,0,0,2,0,1,4,1,1,431
207,"REBHA MURADPUR",524,450,0,974,392,337,0,729,727,0,417,76,199,9,0,0,0,1,2,0,1,7,1,4,4,8,729
208,"DAMHIYA H/0 NAGLA GANESH",529,451,0,980,358,233,0,591,591,0,230,59,276,9,0,0,0,0,2,1,0,5,2,2,0,5,591
209,MISHRIPUR,363,315,0,678,268,207,0,475,475,0,287,148,31,2,2,0,0,0,0,0,0,1,0,2,0,2,475
210,LONI,428,372,0,800,341,264,0,605,605,0,328,30,210,18,1,2,1,2,1,1,0,1,2,2,4,2,605
211,LONI,474,400,0,874,352,198,0,550,525,0,251,126,135,21,0,4,0,0,1,3,2,1,1,2,0,3,550
212,"BAHIRMA HASHIMPUR",318,271,0,589,204,179,0,383,289,0,217,18,118,17,2,0,0,1,0,0,1,2,4,1,1,1,383
213,TUMURKI,905,746,0,1651,503,277,0,780,755,0,35,335,352,29,1,3,0,1,0,3,0,7,2,1,7,4,780
214,TUMURKI,304,266,0,570,209,128,0,337,337,0,44,216,74,0,0,0,0,0,0,0,1,1,0,0,0,1,337
215,TUMURKI,502,426,0,928,293,164,0,457,457,0,16,233,166,25,1,1,1,1,0,0,0,3,2,1,1,6,457
216,TUMURKI,546,444,0,990,282,163,0,445,300,0,53,193,185,9,1,1,0,0,1,0,0,0,1,0,0,1,445
217,"DAULATPUR H/0 TUMURKI",686,583,1,1270,391,167,0,558,558,0,10,330,167,43,1,1,1,0,0,1,0,2,1,0,0,1,558
218,TEDHWACHATURPUR,260,235,0,495,189,161,0,350,350,0,225,12,89,17,0,0,0,2,0,2,0,1,0,0,2,0,350
219,ANJHI,663,581,0,1244,471,383,0,854,854,0,647,39,125,9,4,0,0,0,0,1,1,3,6,6,6,7,854
220,"ADAMPUR H/0 ANJHI",348,297,0,645,268,214,0,482,482,0,251,203,7,9,2,1,0,0,0,0,1,1,2,0,0,5,482
221,RATANPUR,253,223,1,477,185,132,0,317,317,0,180,39,83,5,0,0,2,0,3,1,1,0,1,1,0,1,317
222,NAGLABHAGWAN,400,348,0,748,311,230,0,541,531,0,345,25,156,6,0,1,1,1,0,1,0,0,1,3,0,1,541
223,SHARMA,613,528,0,1141,431,304,0,735,412,0,435,38,219,13,1,2,0,0,0,1,1,4,1,6,5,9,735
224,SHARMA,440,352,0,792,293,202,0,495,495,0,260,13,202,8,2,1,2,1,0,0,0,2,1,1,1,1,495
225,MITHNAPUR,533,445,0,978,380,305,0,685,100,0,569,17,72,4,0,0,0,1,1,1,1,3,2,2,1,11,685
226,"JHARSA ALAMPUR",313,273,0,586,200,161,0,361,21,0,73,80,150,36,4,1,0,1,2,0,0,3,1,2,4,4,361
227,"FATTEPUR SHIVGULAM",217,188,0,405,168,152,0,320,320,0,136,3,168,1,1,0,0,0,1,0,1,1,0,1,0,7,320
228,DHARAMPUR,325,285,0,610,272,210,0,482,482,0,148,73,18,230,5,3,0,0,0,1,0,1,0,0,1,2,482
229,"HUSEPUR LUKMAN",689,586,0,1275,427,358,0,785,775,0,426,86,218,22,1,0,0,2,1,1,3,7,1,6,4,7,785
230,BILHARI,476,396,0,872,317,259,0,576,576,0,304,23,220,7,2,0,1,0,1,0,1,4,2,0,0,11,576
231,MIYANPUR,479,414,0,893,311,261,0,572,572,0,207,167,176,6,1,1,1,0,1,0,0,3,0,2,5,2,572
232,PASIGAWAN,415,359,0,774,290,255,0,545,431,0,226,135,163,4,3,1,0,0,0,0,2,3,2,5,1,0,545
233,"KAPOORPUR BAHORAN",725,626,1,1352,405,317,0,722,700,0,327,23,344,11,0,0,1,2,1,0,0,4,1,3,2,3,722
234,KHWAJGIPUR,309,272,0,581,177,155,0,332,332,0,204,59,41,5,1,0,2,0,2,0,4,1,2,4,4,3,332
235,"KOTHILA SARAIYAN",615,517,0,1132,409,296,0,705,47,0,243,123,295,14,3,1,3,0,1,2,0,3,4,2,2,9,705
236,KAJIBAADI,440,365,0,805,274,222,0,496,490,0,170,92,220,5,1,0,0,0,1,0,0,2,1,2,1,1,496
237,BAKSHIPUR,358,324,0,682,221,184,0,405,405,0,180,76,125,6,2,0,0,3,2,2,0,5,1,0,3,0,405
238,SAIDPUR,840,712,0,1552,518,386,0,904,904,0,478,202,197,13,0,1,1,0,1,1,0,2,1,4,1,2,904
239,TONDARPUR,792,668,0,1460,436,315,0,751,460,0,355,142,225,6,0,0,1,1,0,2,0,4,3,3,4,5,751
240,TONDARPUR,539,473,0,1012,317,228,0,545,29,0,138,190,162,12,3,5,3,3,2,4,3,6,4,1,3,6,545
241,ASAGARPUR,649,569,0,1218,427,337,0,764,719,0,142,114,478,8,0,0,2,0,1,0,0,4,3,6,4,2,764
242,SADATNAGAR,602,496,1,1099,365,292,0,657,657,0,339,51,220,27,0,1,0,0,1,0,3,6,1,1,1,6,657
243,SADATNAGAR,310,284,0,594,176,184,0,360,306,0,146,42,160,5,0,0,0,0,0,1,0,4,0,1,0,1,360
244,SADATNAGAR,333,287,1,621,210,162,0,372,19,0,113,66,182,1,2,0,0,1,0,0,1,3,1,1,0,1,372
245,"BAHEDA RASULPUR",497,422,0,919,309,233,0,542,542,0,145,108,259,2,2,0,1,1,1,3,3,1,2,5,5,4,542
246,"PANYORA BALLIYA",748,641,0,1389,450,375,0,825,5,0,104,131,554,4,3,0,2,0,1,1,2,5,4,4,3,7,825
247,"CHATHIYA DHANWAR",802,685,0,1487,515,495,0,1010,870,0,359,347,262,20,0,1,0,1,1,0,0,4,5,2,5,3,1010
248,"DHANWAR H/0 CHATHIYA DHANWAR",648,566,0,1214,400,277,0,677,124,0,150,127,353,11,4,2,1,2,1,3,1,6,4,3,4,5,677
249,DHANWAR,255,205,0,460,175,123,0,298,43,0,81,52,153,2,0,2,1,0,0,1,1,2,0,0,1,2,298
250,"DHANWAR H/0 CHATHIYA DHANWAR",664,582,0,1246,435,303,0,738,25,0,240,132,335,7,2,1,0,0,1,1,0,4,5,2,3,5,738
251,KAIMI,513,442,0,955,321,230,0,551,551,0,159,200,162,14,5,1,0,1,1,0,2,2,0,3,0,1,551
252,AUDERI,420,360,0,780,300,257,0,557,95,0,334,82,114,15,0,0,1,1,0,0,1,1,1,3,1,3,557
253,TARAGANW,480,422,0,902,321,299,0,620,618,0,94,143,337,18,2,1,0,1,0,1,1,5,6,5,1,5,620
254,DHAKIYA,577,507,0,1084,441,366,0,807,807,0,78,285,378,17,3,0,1,0,2,4,0,8,7,7,5,12,807
255,UMRAULI,462,391,0,853,219,137,0,356,355,0,225,77,19,31,0,0,0,0,1,0,0,1,0,0,0,2,356
256,UMRAULI,537,443,0,980,282,205,0,487,487,0,258,36,161,9,0,3,1,1,2,1,1,4,2,2,2,4,487
257,"SUNDARPUR H/0 UMRAULI",427,356,0,783,271,203,0,474,466,0,177,138,118,33,0,1,0,1,1,0,0,2,1,1,1,0,474
258,MOHADDINPUR,436,371,0,807,285,207,0,492,492,0,209,25,225,16,1,3,1,1,0,1,0,5,0,3,0,2,492
259,"SIKANDARPUR BAZAR",737,631,0,1368,446,343,0,789,789,0,388,56,307,17,3,1,0,0,2,0,3,2,2,2,2,4,789
260,"SIKANDARPUR BAZAR",499,431,1,931,213,190,0,403,403,0,97,67,220,7,2,0,1,0,1,2,0,1,0,3,0,2,403
261,SALEMPUR,544,466,1,1011,391,263,0,654,2,0,204,218,176,35,3,1,1,1,2,0,1,1,3,0,1,7,654
262,KAMALPUR,605,543,0,1148,389,274,0,663,580,0,136,97,371,25,3,3,0,0,2,2,1,3,6,4,5,5,663
263,SAMTHARI,358,310,0,668,245,204,0,449,449,0,186,50,139,30,0,0,0,2,1,0,1,4,7,3,8,18,449
264,PEELAMAHUA,788,671,1,1460,475,295,0,770,6,0,253,188,289,13,2,1,0,1,3,1,0,8,3,3,2,3,770
265,MASFANA,601,517,0,1118,334,215,0,549,549,0,226,23,256,13,2,0,2,2,1,1,1,4,3,5,2,8,549
266,BEEHAT,517,440,0,957,318,265,0,583,583,0,95,78,369,9,1,1,2,0,1,2,1,3,3,10,3,5,583
267,CHANDELI,410,352,0,762,222,203,0,425,425,0,277,15,89,25,1,0,1,1,0,1,0,4,6,1,2,2,425
268,CHANDELI,472,396,0,868,299,181,0,480,150,0,32,20,344,49,1,2,0,1,6,3,1,3,2,6,1,9,480
269,CHANDELI,441,393,0,834,307,246,0,553,553,0,23,32,461,21,2,1,0,0,0,1,3,8,0,1,0,0,553
270,AHEMI,840,709,0,1549,628,498,0,1126,1126,0,99,459,475,41,3,0,0,1,2,2,3,5,5,9,12,10,1126
271,KODA,558,479,0,1037,353,318,0,671,671,0,160,46,410,35,4,2,0,4,1,1,1,3,1,0,1,2,671
272,RAMPUR,508,424,1,933,354,314,0,668,668,0,229,38,334,34,0,0,0,2,2,2,1,3,2,6,1,14,668
273,AYARI,506,411,0,917,288,244,0,532,532,0,176,86,148,91,1,1,2,1,1,1,2,5,2,6,3,6,532
274,AYARI,504,433,0,937,331,240,0,571,571,0,99,145,221,83,1,0,0,0,0,0,2,6,1,5,4,4,571
275,"NEWADA CHATHIYA",730,611,0,1341,443,348,0,791,791,0,164,95,466,27,5,1,1,0,1,3,1,5,5,10,1,6,791
276,URLI,300,260,0,560,222,195,0,417,417,0,63,61,246,34,0,0,1,1,2,0,0,4,0,1,1,3,417
277,REAURI,298,261,0,559,267,171,0,438,438,0,17,73,321,16,1,0,0,0,0,0,0,3,0,5,2,0,438
278,JALALPUR,434,344,0,778,349,251,0,600,600,0,140,254,149,22,2,0,0,1,0,0,1,2,0,1,4,24,600
279,ANTORA,419,353,0,772,313,254,0,567,567,0,212,20,291,12,1,1,2,0,1,2,1,6,3,6,3,6,567
280,SINGOHA,698,592,0,1290,462,369,0,831,831,0,314,136,323,9,5,2,1,2,2,2,3,6,9,11,1,5,831
281,SINGOHA,550,478,0,1028,319,233,0,552,552,0,150,63,283,32,1,1,1,3,1,2,0,7,1,5,1,1,552
282,ANDAUA,565,482,0,1047,346,247,0,593,593,0,218,109,239,8,1,1,0,0,0,2,1,4,0,2,2,6,593
283,MAJHILA,556,473,0,1029,307,213,0,520,107,0,164,47,214,71,1,2,0,0,0,1,3,0,3,3,3,8,520
284,MAJHILA,738,636,0,1374,451,322,0,773,27,0,350,106,237,37,1,0,0,0,2,0,2,4,5,9,3,17,773
285,"SIKANDARPUR MISHRA H/0 MAJHILA",729,603,0,1332,412,223,0,635,635,0,144,64,385,12,6,0,1,1,1,1,3,4,1,5,3,4,635
286,"SIKANDARPUR MISHRA H/0 MAJHILA",444,387,0,831,251,173,0,424,9,0,229,22,153,6,0,2,0,1,0,0,1,3,0,1,2,4,424
287,"BHUPPAPURWA H/0 KUSUMA",402,339,0,741,278,255,0,533,533,0,97,4,418,0,2,2,0,1,0,2,0,3,1,2,1,0,533
288,KUSUMA,568,476,0,1044,386,259,0,645,645,0,219,85,292,40,0,1,1,0,1,1,0,2,0,1,1,1,645
289,PISTIYA,393,343,0,736,289,222,0,511,511,0,250,32,214,2,0,3,1,0,0,0,0,3,1,1,1,3,511
290,SAHARUA,480,419,0,899,275,250,0,525,225,0,147,27,304,28,2,1,0,0,2,0,1,2,2,2,0,7,525
291,PARSAI,698,600,0,1298,447,346,0,793,611,0,211,56,449,41,3,1,0,4,8,0,1,7,1,5,3,3,793
292,PARSAI,650,555,0,1205,362,269,0,631,8,0,64,11,530,10,3,0,1,1,0,0,0,3,2,1,3,2,631
293,DIGHIYA,321,273,0,594,227,178,0,405,341,0,192,20,177,3,0,0,0,0,1,0,0,2,1,1,2,6,405
294,BIJGAWAN,529,431,0,960,361,258,0,619,1,0,286,62,238,12,1,2,0,0,1,0,1,7,0,6,2,1,619
295,BIJGAWAN,456,359,0,815,287,185,0,472,472,0,159,129,162,5,1,0,0,0,1,2,2,1,2,5,2,1,472
296,RASOOLAPUR,481,409,0,890,331,243,0,574,554,0,88,92,351,8,1,0,2,1,1,2,2,4,3,9,0,10,574
297,PATRAS,461,393,0,854,248,214,0,462,461,0,120,238,58,26,1,0,0,2,1,1,0,3,2,1,6,3,462
298,GAURAWA,391,339,0,730,290,215,0,505,495,0,280,27,173,5,0,1,0,0,2,0,1,5,3,3,2,3,505
299,"KUSWARI H/0 TAWAKKALPUR",584,518,0,1102,389,271,0,660,658,0,149,214,257,7,1,1,0,0,0,1,4,4,3,3,2,14,660
300,"KUSWARI H/0 TAWAKKALPUR",335,269,0,604,213,96,0,309,309,0,18,143,135,0,0,4,0,0,0,0,1,4,2,1,0,1,309
301,JAMUHI,598,510,0,1108,414,332,0,746,746,0,241,46,392,22,4,1,1,1,1,2,2,9,2,5,9,8,746
302,YANTHAKHEDA,287,246,0,533,262,213,0,475,289,0,49,14,397,6,0,0,0,0,1,0,1,1,1,4,1,0,475
303,ITARA,607,516,0,1123,499,342,0,841,786,0,460,73,277,8,0,0,0,2,0,1,1,5,4,3,1,6,841
304,ITARA,657,564,0,1221,451,330,0,781,781,0,51,134,554,14,3,1,1,0,1,1,2,2,3,5,2,7,781
305,ITARA,407,358,0,765,293,208,0,501,501,0,5,94,365,9,2,1,0,0,1,0,0,4,5,5,5,5,501
306,GAURIYA,621,549,0,1170,373,327,0,700,502,0,248,147,267,10,1,0,0,1,2,2,0,3,7,3,4,5,700
307,KARAWAN,608,520,0,1128,327,190,0,517,517,0,132,35,297,7,1,4,2,0,0,2,1,6,2,4,3,21,517
308,KARAWAN,255,209,0,464,151,116,0,267,267,0,111,53,88,3,0,0,0,1,0,0,1,1,2,1,3,3,267
309,KARAWAN,503,438,0,941,273,217,0,490,490,0,97,77,288,7,0,1,0,0,0,0,1,0,5,6,2,6,490
310,KARAWAN,607,527,0,1134,343,287,0,630,583,0,274,113,201,4,2,1,0,1,2,0,0,6,0,2,5,19,630
311,NIJAMPUR,342,288,0,630,240,191,0,431,431,0,93,81,231,15,0,1,0,0,1,0,1,4,1,1,0,2,431
312,PARA,522,451,0,973,315,258,0,573,425,0,387,59,83,11,1,1,2,0,1,1,1,1,2,3,9,11,573
313,PARA,571,503,0,1074,315,262,0,577,55,0,85,70,387,13,3,0,1,0,1,10,0,1,1,3,2,0,577
314,SENDHA,794,705,0,1499,507,397,0,904,904,0,199,57,582,23,1,1,2,0,1,0,6,8,5,5,0,14,904
315,SEMRAWAN,735,647,0,1382,479,384,0,863,26,0,77,385,283,83,2,2,1,1,3,2,2,2,1,8,6,5,863
316,KUMHARUA,286,248,0,534,224,202,0,426,403,0,141,28,236,6,0,0,0,0,2,2,1,0,1,0,3,6,426
317,"BHOGIPUR GRANT",649,545,0,1194,398,291,0,689,598,0,190,52,393,33,1,2,2,0,0,0,2,4,2,4,0,4,689
318,"BASBHERWA RAWAT",246,214,0,460,202,157,0,359,359,0,222,38,86,5,0,0,0,0,0,0,0,2,0,0,1,5,359
319,BANJARIYA,274,249,0,523,184,166,0,350,346,0,81,24,224,5,2,1,1,0,0,1,0,0,0,2,1,8,350
320,BASBHERIYA,403,347,0,750,267,168,0,435,219,0,286,21,101,1,2,0,0,0,2,0,1,5,1,3,3,9,435
321,SAHIJANA,426,380,0,806,260,176,0,436,418,0,60,40,304,16,4,1,0,0,0,0,0,4,4,0,0,3,436
322,SAHIJANA,494,416,0,910,270,188,0,458,410,0,45,72,297,21,2,4,0,0,1,1,1,3,3,3,2,3,458
323,"LAMHARA H/0 SANTRAHA",403,350,1,754,257,204,0,461,399,0,42,52,354,7,1,1,1,0,0,0,0,1,0,2,0,0,461
324,ALAMNAGAR,761,661,0,1422,550,313,0,863,863,0,152,61,582,48,5,0,0,1,0,3,0,3,4,2,1,1,863
325,ALAMNAGAR,780,662,0,1442,493,326,0,819,819,0,147,68,546,25,6,1,1,2,1,0,1,6,3,4,3,5,819
326,CHENA,682,579,0,1261,461,304,0,765,315,0,276,94,304,47,5,0,0,0,3,1,3,2,9,5,5,11,765
327,LONA,826,668,0,1494,548,413,0,961,861,0,216,109,572,33,3,2,2,1,4,0,1,7,4,0,1,6,961
328,KARSUAGRANT,736,621,0,1357,439,358,0,797,660,0,18,120,564,76,0,1,1,2,1,1,1,5,1,2,2,2,797
329,RARI,515,423,0,938,358,279,0,637,503,0,263,135,199,7,1,1,0,0,2,0,2,6,3,5,2,11,637
330,KUNCHIKHEDA,595,495,0,1090,321,289,0,610,510,0,212,48,282,18,2,3,2,0,3,2,3,5,7,4,4,15,610
331,NAGARIYA,724,628,0,1352,535,442,0,977,977,0,188,212,493,38,0,4,3,1,1,1,2,9,7,11,4,3,977
332,SAKARA,365,293,0,658,251,203,0,454,454,0,172,42,222,3,1,1,2,1,1,1,0,1,1,4,0,2,454
333,"AMIRTA CHOWKI",812,683,0,1495,515,390,0,905,800,0,226,174,399,73,1,6,1,1,1,1,0,2,0,7,3,10,905
334,SEMAUR,584,498,0,1082,397,343,0,740,55,0,124,280,294,20,1,2,1,0,0,1,1,2,1,3,4,6,740
335,SEMAUR,276,243,0,519,212,159,0,371,361,0,15,130,190,15,1,1,0,0,1,0,0,6,2,3,2,5,371
336,PADRA,326,283,0,609,250,140,0,390,390,0,57,71,231,12,0,0,2,0,1,8,0,2,0,0,0,6,390
337,MANSOORNAGAR,846,697,0,1543,569,417,0,986,986,0,230,113,577,29,2,2,2,2,4,0,2,4,2,8,3,6,986
338,MANSOORNAGAR,647,504,0,1151,404,202,0,606,506,0,137,84,327,17,1,0,3,0,1,2,0,3,5,13,5,8,606
339,MANSOORNAGAR,573,464,0,1037,394,261,0,655,640,0,304,29,278,16,1,1,0,2,2,3,1,3,0,2,1,12,655
340,MANSOORNAGAR,475,415,0,890,288,221,0,509,509,0,365,35,83,1,0,0,0,0,0,1,0,1,3,2,2,16,509
341,UCHWAL,719,620,0,1339,580,230,0,810,810,0,59,244,443,33,4,0,3,1,2,0,2,8,3,4,1,3,810
342,UCHWAL,209,178,0,387,138,82,0,220,11,0,15,131,68,0,0,0,0,0,0,0,0,0,0,1,3,2,220
343,ARUA,690,588,0,1278,493,289,0,782,4,0,410,85,171,83,3,4,4,3,2,1,1,2,4,2,3,4,782
344,"BANAWAN H/0 ARUA",728,622,0,1350,485,377,0,862,862,0,119,40,639,13,1,0,1,2,3,2,1,13,2,4,10,12,862
