"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANSHUL VERMA","2 - USHA VERMA","3 - SHIVE PRASAD VERMA","4 - SARVESH KUMAR","5 - CHANDRAPAL","6 - RAMDAYAL","7 - RAMLAKHAN GAUTAM","8 - SANJAY KUMAR","9 - SANTRAM","10 - HIRA LAL VERMA","11 - RAMPAL","12 - SHIVEKUMAR","13 - SAROJ KUMAR","14 - SARVESH","15 - SUNIL BHARTI","16 - None of the Above","Total Votes Secured"
35,"SHAHABAD N.P.P.",521,441,0,962,333,252,0,585,298,0,232,88,237,17,0,0,1,1,2,0,0,0,0,2,1,4,585
36,"SHAHABAD N.P.P.",679,565,0,1244,409,343,0,752,750,0,485,50,165,34,1,2,1,1,1,5,0,2,1,2,0,2,752
37,"SHAHABAD N.P.P.",653,566,0,1219,397,300,0,697,697,0,569,30,33,47,2,1,1,0,6,0,0,1,2,0,1,4,697
38,"SHAHABAD N.P.P.",407,387,0,794,256,169,0,425,335,0,338,15,10,57,0,1,0,0,1,2,0,0,0,0,0,1,425
39,"SHAHABAD N.P.P.",525,456,0,981,303,199,0,502,300,0,372,45,71,10,0,0,1,0,0,0,0,0,0,0,2,1,502
40,"SHAHABAD N.P.P.",486,428,0,914,323,273,0,596,595,0,524,15,14,26,1,0,0,0,1,5,1,0,0,3,1,5,596
41,"SHAHABAD N.P.P.",637,559,0,1196,417,312,0,729,52,0,431,121,136,7,2,1,0,0,0,3,3,5,4,5,7,4,729
42,"SHAHABAD N.P.P.",839,688,0,1527,512,350,0,862,58,0,483,110,178,65,2,0,0,0,0,1,0,2,1,4,4,12,862
43,"SHAHABAD N.P.P.",422,394,0,816,321,254,0,575,575,0,369,100,34,67,1,1,0,0,0,1,0,0,1,0,0,1,575
44,"SHAHABAD N.P.P.",805,708,0,1513,482,348,0,830,830,0,576,48,136,53,3,1,1,0,0,1,0,2,1,2,2,4,830
45,"SHAHABAD N.P.P.",727,644,0,1371,523,350,0,873,873,0,740,42,62,18,1,0,1,0,0,2,0,0,0,3,0,4,873
46,"SHAHABAD N.P.P.",188,191,0,379,104,68,0,172,172,0,157,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,172
47,"SHAHABAD N.P.P.",555,479,1,1035,310,230,0,540,540,0,311,79,106,35,3,1,0,0,1,1,0,0,1,1,1,0,540
48,"SHAHABAD N.P.P.",435,403,0,838,266,210,0,476,410,0,154,118,166,34,0,0,0,1,0,1,0,0,0,0,1,1,476
49,"SHAHABAD N.P.P.",389,336,0,725,254,194,0,448,448,0,305,43,67,31,0,0,0,0,0,0,0,0,0,0,1,1,448
50,"SHAHABAD N.P.P.",604,518,1,1123,374,271,0,645,640,0,385,108,105,38,2,0,0,1,1,2,1,0,0,0,1,1,645
51,"SHAHABAD N.P.P.",568,488,0,1056,363,266,0,629,456,0,371,79,95,63,5,0,0,0,0,0,2,0,4,1,2,7,629
52,"SHAHABAD N.P.P.",496,431,0,927,258,221,0,479,465,0,295,62,69,40,1,2,0,0,0,1,0,1,1,4,1,2,479
53,"SHAHABAD N.P.P.",562,505,0,1067,366,254,0,620,620,0,204,117,241,48,1,2,0,0,0,0,2,2,0,0,0,3,620
54,"SHAHABAD N.P.P.",591,480,0,1071,321,200,0,521,521,0,174,82,157,102,1,0,0,0,0,1,0,0,1,2,0,1,521
55,"SHAHABAD N.P.P.",294,272,0,566,189,147,0,336,336,0,244,13,48,28,0,0,0,0,1,0,0,0,1,0,0,1,336
56,"SHAHABAD N.P.P.",668,584,0,1252,328,243,0,571,571,0,51,137,314,63,0,0,0,0,0,0,1,0,1,1,1,2,571
