"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BHAL CHANDRA YADAV","2 - BHISM SHANKAR ALIAS KUSHAL TIWARI","3 - ROHIT KUMAR PANDEY","4 - SHARAD TRIPATHI","5 - AFTAB ALAM KHAN","6 - JANTRI LAL CHAUHAN","7 - JYOTI SINGH","8 - PREM PRAKASH","9 - SANT SIROMANI BABOOLAL YADAV MAHARAJ JI","10 - MOHAMMAD ALI","11 - RAVIKANT","12 - RAJMANI","13 - RAJARAM","14 - RAJENDRA KUMAR","15 - LOTAN URF LAUTAN PRASAD","16 - SHABBEER HUSEN","17 - APARNA","18 - AMIT","19 - KRIPANARAYAN RAI","20 - KAILASH NATH BELDAR","21 - JAIYANTRI PRASAD","22 - MOHAMMAD IRFAN","23 - SHAYAM LAL","24 - SUBODH CHANDRA","25 - SURENDRA KUMAR CHAUDHARY","26 - None of the Above","Total Votes Secured"
1,"P.S. ATRI NANKAR UTTARI  KACHH",560,461,0,1021,245,259,0,504,492,0,125,21,20,224,5,1,2,3,7,4,3,3,52,2,3,9,2,0,1,1,2,1,1,4,2,6,504
2,"P.S. ATRI NANKAR DASHINI KACHH",405,298,0,703,237,180,0,417,413,0,25,148,8,217,2,0,0,1,0,2,0,2,3,0,2,1,1,0,0,0,0,0,0,1,1,3,417
3,"P.S. EMILIYA",660,539,0,1199,237,289,0,526,466,0,115,117,14,57,5,2,2,2,4,4,2,4,151,0,2,3,4,6,0,6,4,4,2,5,4,7,526
4,"J.H.S. UDSAAR PRATHAM KACHH",280,233,0,513,106,120,0,226,213,0,22,92,4,52,5,0,2,1,0,0,1,1,36,0,1,1,2,0,0,0,1,0,0,1,2,2,226
5,"P.S. UDSAAR DIVTIYA KACHH",303,234,0,537,104,116,0,220,179,0,113,53,2,21,1,0,1,1,1,0,0,0,24,2,0,0,1,0,0,0,0,0,0,0,0,0,220
6,"P.S. CHAVRAHI UTTARI KACHH",548,448,0,996,213,275,0,488,485,0,56,219,32,126,5,1,3,7,2,2,3,3,13,2,1,4,0,0,0,0,1,1,2,1,1,3,488
7,"P.S. CHAVRAHI DAKSHINI KACHH",246,201,0,447,102,114,0,216,179,0,66,54,27,22,6,2,0,0,0,2,0,1,34,0,0,2,0,0,0,0,0,0,0,0,0,0,216
8,"J.H.S. BHANPUR MAFI",415,329,0,744,204,198,0,402,402,0,40,122,14,134,5,0,0,1,2,1,2,1,52,1,2,3,1,1,1,1,2,3,2,1,6,4,402
9,"P.S. CHHIBRA UTTARI KACHH",446,342,0,788,189,199,0,388,388,0,179,94,2,74,2,1,0,0,1,3,0,0,17,0,1,1,6,0,1,1,0,0,0,1,3,1,388
10,"P.S. CHHIBRA DAKSHINI KACHH",438,351,0,789,186,176,0,362,310,0,209,34,6,27,7,1,1,1,0,2,1,1,25,0,3,4,10,3,0,4,1,4,1,4,4,9,362
11,"J.H.S. SIKRI UTTARI KACHH",516,390,0,906,179,207,0,386,361,0,118,119,40,20,3,2,1,1,1,2,1,1,22,0,0,7,11,16,4,4,0,1,0,3,5,4,386
12,"J.H.S. SIKRI DAKSHINI KACHH",443,345,0,788,144,145,0,289,242,0,78,50,100,23,2,0,0,1,0,2,2,0,22,1,1,0,1,0,0,0,1,1,0,0,1,3,289
13,"J.H.S. DHARMSINGHWA UTTARI KACHH",812,578,0,1390,392,332,0,724,627,0,213,60,9,367,11,0,1,1,0,2,2,3,19,3,1,15,2,1,1,3,1,0,1,3,3,2,724
14,"J.H.S. DHARMSINGHWA DAKSHINI KACHH",899,704,0,1603,442,382,0,824,824,0,260,216,19,228,10,0,3,1,0,5,1,6,31,2,10,15,1,0,0,1,1,0,1,7,1,5,824
15,"SADHAN SAHKARI SAMITI GAURIRAI",555,478,0,1033,274,273,0,547,547,0,116,72,16,244,8,0,5,7,4,7,5,7,16,1,5,16,3,1,1,1,1,3,1,0,2,5,547
16,"P.S. BADHAYA",452,341,0,793,204,196,0,400,400,0,57,104,19,114,3,0,1,1,2,6,0,2,81,1,0,1,1,0,1,1,1,0,1,1,1,1,400
17,"P.S. MANJHARIYA",165,127,0,292,48,50,0,98,44,0,6,11,2,73,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,98
18,"J.H.S. BELRAI STHITH BADHAYA",196,143,0,339,71,70,0,141,136,0,30,34,3,45,0,2,0,0,1,0,0,1,20,0,1,2,1,0,1,0,0,0,0,0,0,0,141
19,"P.S. SEVAICHPAAR",863,653,0,1516,394,417,0,811,603,0,161,130,22,319,6,2,3,4,3,7,4,6,50,7,9,37,3,4,2,4,1,4,3,9,6,5,811
20,"P.S. HAKIMRAI",413,380,0,793,177,207,0,384,383,0,115,67,24,99,10,2,3,2,0,2,0,0,51,1,2,1,0,0,0,1,0,1,1,0,2,0,384
21,"P.S. BARGADWA MAFI",222,213,0,435,123,108,0,231,175,0,42,35,6,132,1,0,0,0,1,1,0,0,0,0,2,1,1,0,3,1,0,1,1,0,1,2,231
22,"P.S. PUNYA",319,243,0,562,157,143,0,300,298,0,19,91,5,169,2,0,0,2,1,2,1,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,300
23,"J.H.S. BARGADWA",694,516,0,1210,247,321,0,568,568,0,53,57,2,11,7,1,1,2,1,3,0,2,411,2,0,1,1,1,0,2,1,1,2,3,2,1,568
24,"P.S. KECHUAKHOR",609,482,2,1093,244,282,0,526,523,0,61,53,12,180,15,4,2,2,2,4,2,1,160,1,2,1,3,2,0,1,2,2,1,3,8,2,526
25,"P.S. MEHNDUPAAR UTTARI KACHH",611,481,0,1092,251,227,0,478,394,0,122,74,14,82,2,1,2,1,3,1,1,22,142,3,1,3,1,0,1,0,0,1,0,1,0,0,478
26,"P.S. MEHNDUPAAR MADHYA KACHH",539,466,0,1005,175,241,0,416,414,0,118,65,10,40,0,1,6,3,5,4,0,8,137,0,2,5,3,0,0,0,0,1,0,3,4,1,416
27,"P.S. MEHNDUPAAR DAKSHINI KACHH",483,439,0,922,223,197,0,420,377,0,39,25,22,283,5,0,1,0,3,1,0,0,1,1,0,2,2,1,3,14,2,1,1,2,5,6,420
28,"P.S. KASYA",471,381,0,852,195,243,0,438,438,0,76,65,7,90,1,0,3,0,2,2,2,4,142,8,3,7,3,2,1,1,1,2,0,3,6,7,438
29,"P.S. MEHNDUPAAR DIVTIYA",265,251,0,516,109,113,0,222,214,0,7,5,7,165,2,0,0,0,3,1,1,15,1,2,2,7,0,0,0,1,0,0,0,0,0,3,222
30,"AGANBADI KENDRA JAMYA",389,276,0,665,198,150,0,348,348,0,113,130,5,66,2,0,1,2,1,1,0,0,12,0,2,4,2,1,1,3,1,0,0,0,0,1,348
31,"P.S. JAKHINIYA",329,294,0,623,166,173,0,339,339,0,60,130,5,103,1,0,1,2,1,1,2,2,5,2,2,5,2,0,0,1,1,1,1,3,7,1,339
32,"J.H.S. BARGHAT PRATHAM KACHH",205,179,0,384,108,107,0,215,190,0,85,16,7,95,0,0,0,1,0,2,0,0,0,0,1,2,2,0,0,0,1,0,1,0,0,2,215
33,"J.H.S. BARGHAT DIVTIYA KACHH",222,162,0,384,114,90,0,204,204,203,22,28,2,106,1,0,0,0,1,2,0,0,3,0,0,0,34,0,2,1,0,0,0,1,1,0,204
34,"P.S. SEVHA CHAUBEY",333,229,0,562,147,107,0,254,247,0,44,67,7,126,2,0,0,0,0,1,0,1,0,0,1,0,0,2,0,2,0,0,0,0,1,0,254
35,"P.S. MUSAHRA PURVI KACHH",578,436,0,1014,215,310,0,525,248,0,73,7,7,389,4,0,0,0,4,6,2,0,3,1,1,3,2,1,1,3,0,0,3,1,11,3,525
36,"P.S. MUSAHARA PASCHIMI KACHH",464,355,0,819,217,244,0,461,461,0,116,65,8,234,4,1,3,1,0,2,2,2,4,2,1,3,1,2,0,1,0,1,0,1,4,3,461
37,"P.S. TOTHA",460,327,0,787,251,188,0,439,435,0,61,14,4,295,43,2,0,0,1,1,1,0,4,0,2,2,1,0,1,3,0,0,0,0,3,1,439
38,"P.S. SINGHA",254,191,0,445,114,102,0,216,216,0,12,45,8,126,2,0,0,3,2,2,1,0,5,3,0,3,1,1,0,0,0,0,0,0,2,0,216
39,"P.S. HARRAIYA STHITH PTHARAHAT UTTARI KACHH",595,508,2,1105,294,224,0,518,518,0,41,73,12,357,6,1,2,4,0,0,2,0,1,1,0,2,0,0,0,1,0,1,0,1,8,5,518
