"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLA PRASAD RAWAT","2 - P. L. PUNIA","3 - PRIYANKA SINGH RAWAT","4 - RAJRANI RAWAT","5 - KISHAN LAL","6 - P. C. KUREEL","7 - DINESH CHANDRA GAUTAM","8 - NITIN SINGH","9 - BABU LAL","10 - MEDI LAL","11 - RAJESH KUMAR VIDYARTHI","12 - ABHILAKH RAWAT","13 - KHANJAN LAL","14 - MAHESH","15 - None of the Above","Total Votes Secured"
1,"J.H.S. DAULATPUR ROOM NO- 1",617,528,0,1145,494,320,0,814,814,0,63,26,398,287,11,3,2,1,2,4,1,2,4,2,8,814
2,"J.H.S. DAULATPUR ROOM NO- 2",378,288,0,666,274,177,0,451,5,0,48,31,91,268,2,0,4,0,2,0,1,0,0,0,4,451
3,"J.H.S. MANJHARI ROOM NO- 1",502,400,0,902,349,223,0,572,572,0,145,116,164,118,5,4,0,1,3,1,7,1,3,3,1,572
4,"P.S. BALLOPUR ROOM NO 1",489,398,0,887,325,245,0,570,570,0,58,58,374,52,6,4,0,0,1,0,4,2,8,0,3,570
5,"P.S. BALLOPUR ROOM NO 2",549,398,0,947,387,221,0,608,10,0,66,93,222,179,7,0,1,1,3,1,1,1,7,12,14,608
6,"P.S. DURGAPUR NAUBASTA ROOM NO 1",765,614,0,1379,543,358,0,901,901,0,220,165,287,171,5,4,2,4,1,3,4,2,15,1,17,901
7,"PANCHAYAT BHAVAN K‍YOTLI ROOM NO 1",398,319,0,717,255,151,0,406,21,0,8,31,287,56,0,0,2,2,1,1,3,2,6,2,5,406
8,"P.S. CHHANGEPUR ROOM NO 1",351,302,0,653,250,211,0,461,461,0,177,52,193,14,1,0,0,3,1,8,0,1,1,3,7,461
9,"P.S. DHAKHAVA ROOM NO 1",327,245,0,572,238,161,0,399,326,0,7,40,253,68,3,1,0,0,6,2,2,3,5,1,8,399
10,"P.S. PIPARI GHAT ROOM NO 1",471,397,0,868,395,279,0,674,192,0,8,13,472,154,5,1,0,0,2,1,0,1,5,6,6,674
11,"P.S. JHANJHARA ROOM NO 1",541,426,0,967,404,330,0,734,730,0,88,263,267,99,2,2,0,0,3,0,4,2,3,1,0,734
12,"P.S. JIGANI ROOM NO 1",299,259,0,558,227,184,0,411,9,0,65,91,213,36,1,0,0,0,1,1,0,0,1,0,2,411
13,"ANGANVADI KEN‍DRA UTRAVAN ROOM NO 1",459,346,0,805,236,330,0,566,10,0,114,13,385,33,2,1,1,1,2,0,0,1,5,2,6,566
14,"P.S. KHADEHRA ROOM NO 1",585,453,0,1038,419,313,0,732,530,0,60,242,147,265,6,1,0,0,1,1,1,0,2,0,6,732
15,"P.S. MATEHNA ROOM NO 1",345,281,0,626,301,219,0,520,160,0,46,28,317,112,1,2,1,0,2,2,0,1,1,0,7,520
16,"P.S. KASAUNJA ROOM NO 1",684,539,0,1223,451,307,0,758,509,0,122,57,379,157,5,1,1,1,2,0,6,7,6,6,8,758
17,"P.S. MARAUCHAISH‍WRI SINGH",363,274,0,637,274,176,0,450,250,0,26,38,317,56,1,1,0,0,0,1,1,2,4,0,3,450
18,"P.S. RICHHLA",592,488,0,1080,467,388,0,855,105,0,163,86,556,25,4,3,2,2,2,0,0,1,5,2,4,855
19,"P.S.  EN‍DAURA",341,282,0,623,296,242,0,538,538,0,6,11,485,32,0,1,0,0,0,0,0,2,0,1,0,538
20,"P.S.  SURATGANJ ROOM NO.1",521,349,0,870,368,224,0,592,10,0,1,185,203,185,1,1,0,1,0,2,10,0,2,0,1,592
21,"P. S. SURATGANJ ATI. KAKSH",471,378,0,849,275,204,0,479,478,0,4,176,123,156,0,3,2,1,0,0,8,0,3,1,2,479
22,"P.S. SURATGANJ ATI. KAKSH",773,616,0,1389,503,384,0,887,205,0,11,352,239,248,4,3,5,1,1,2,8,2,2,3,6,887
23,"J.J.H.S. SURATGANJ ROOM NO.1",731,635,0,1366,508,417,0,925,925,0,78,213,355,231,8,2,1,2,3,2,13,6,6,2,3,925
24,"J.J.H. S. SURATGANJ  ROOM NO. 2",428,319,0,747,401,108,0,509,150,0,11,61,354,65,6,1,0,0,1,2,0,0,1,3,4,509
25,"J.J.H.S. SURATGANJ  ROOM NO. 2",440,361,1,802,292,214,0,506,10,0,21,294,42,142,1,0,0,3,0,0,2,1,0,0,0,506
26,"P.S.  BAIRANAMAU ROOM NO.1",697,591,0,1288,527,332,0,859,8,0,39,88,508,179,1,2,0,1,3,2,2,4,5,7,18,859
27,"P.S.  BAIRANAMAU ROOM NO.2",612,545,0,1157,439,273,0,712,1,0,170,12,410,89,3,3,0,2,3,1,1,3,3,2,10,712
28,"P.S.  KAJIYAPUR",488,434,0,922,310,291,0,601,1,0,31,7,263,259,3,3,3,1,0,0,3,7,7,4,10,601
29,"P.S.  BASANTPUR MANJHARA",616,466,0,1082,359,232,0,591,591,0,29,44,277,202,5,4,0,1,3,2,0,4,7,4,9,591
30,"P.S.  CHANDRA SIHALI",762,661,0,1423,552,323,0,875,875,0,37,58,609,112,2,4,5,2,4,4,2,6,11,5,14,875
31,"P.S. BABHNAWA",225,187,0,412,188,162,0,350,350,0,40,23,205,76,1,0,0,1,0,0,1,0,2,0,1,350
32,"P.S.  SALPUR",277,237,0,514,228,184,0,412,12,0,31,18,278,67,3,0,2,1,2,0,2,3,3,0,2,412
33,"P.S.  MASURIHA",527,338,0,865,352,226,0,578,290,0,64,30,273,187,3,4,3,0,1,0,2,1,4,1,5,578
34,"P.S. GOVA MANJHARA",581,490,0,1071,449,363,0,812,50,0,31,77,510,166,3,2,1,0,4,3,2,6,3,2,2,812
35,"P.S. GOVA",416,291,0,707,347,232,0,579,10,0,96,10,290,151,6,4,1,1,1,3,1,0,4,1,10,579
36,"P.S.  LALPUR KARAUTA ROOM NO.1",795,600,0,1395,485,357,0,842,828,0,26,332,233,229,4,1,3,2,0,1,3,1,4,3,0,842
37,"P.S.  LALPUR KARAUTA ROOM NO.2",400,299,2,701,271,205,0,476,476,0,85,136,120,117,2,4,0,2,0,0,2,1,3,0,4,476
38,"J.H.S. LALPUR KARAUTA",904,740,0,1644,455,567,0,1022,30,0,18,369,104,504,9,2,3,1,1,0,4,3,3,0,1,1022
39,"P.S.  HARAKKA",664,499,0,1163,439,307,0,746,100,0,49,102,418,134,5,1,3,0,3,0,7,4,13,3,4,746
40,"P.S. BATNERA ROOM NO.1",719,518,0,1237,466,307,0,773,773,0,137,59,336,214,8,2,2,1,2,0,1,0,4,3,4,773
41,"P.S. BATNERA ROOM NO.2",304,236,0,540,188,119,0,307,307,0,50,10,186,49,0,1,0,3,0,0,0,0,3,2,3,307
42,"J.H.S. HETMAPUR MAJRE UDHIYA",332,275,0,607,216,174,0,390,325,0,49,82,111,127,0,1,0,2,0,1,2,0,5,3,7,390
43,"P.S. SARASANDA",523,378,0,901,333,248,0,581,10,0,38,96,265,151,6,1,1,0,0,1,3,2,4,4,9,581
44,"P.S. JAMKA",446,355,0,801,266,227,0,493,218,0,7,11,263,159,7,3,1,3,0,1,3,3,7,4,21,493
45,"P.S. KHUJHI",444,278,0,722,216,161,0,377,280,0,48,8,245,60,2,1,0,0,2,0,0,1,5,1,4,377
46,"P.S. MADARHA MAJRE DIHUWA",365,286,0,651,251,171,0,422,407,0,61,28,203,94,1,3,0,2,3,2,6,2,6,3,8,422
47,"P.S. TULSIPUR MAJRE PARVATPUR",710,537,0,1247,477,347,0,824,395,0,160,51,490,74,4,5,5,3,3,1,2,3,10,2,11,824
48,"P.S. AKAUNA",21,11,0,32,21,11,0,32,1,0,1,0,25,2,0,0,2,0,0,0,0,0,0,1,1,32
49,"P.S. BALLOPUR",516,370,0,886,285,199,0,484,20,0,76,67,270,51,2,1,2,3,2,0,2,1,2,2,3,484
50,"P.S. VIJHLA ROOM NO.1",711,544,0,1255,458,324,0,782,10,0,181,188,303,26,4,3,3,4,7,3,4,2,17,14,23,782
51,"P.S. VIJHLA ROOM NO.2",296,208,0,504,184,104,0,288,36,0,9,12,120,124,3,0,0,0,2,1,0,1,5,2,9,288
52,"P.S. GODA",462,321,0,783,307,258,0,565,55,0,88,23,245,179,7,2,0,1,0,1,4,3,7,2,3,565
53,"P.S. MOHADWA",561,391,0,952,374,248,0,622,2,0,65,28,259,221,10,3,2,2,2,1,2,1,4,7,15,622
54,"P.S. BASANTPUR ROOM NO.1",322,216,0,538,208,112,0,320,64,0,30,36,168,74,2,1,1,3,0,0,1,0,2,0,2,320
