"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KESHRI DEVI","2 - NAND GOPAL GUPTA NANDI","3 - SHYAMA CHARAN GUPTA","4 - KUNWAR REWATI RAMAN SINGH ALIAS MANI","5 - MOHD. AMEEN AZHAR ANSARI","6 - ADARSH SHASTRI","7 - GAYTRI PRASAD","8 - CHANDRA PRAKASH TIWARI ALIAS C. P. TIWARI ADVOCATE","9 - NISTHA DEV MAURYA","10 - MAHENDRA KUMAR","11 - SHYAM SUNDAR DAS","12 - RAJENDRA PRASAD","13 - WAHID ALI ALIAS WAJID ALI","14 - SANJAY ROBINSON","15 - AJEET KUMAR","16 - DRAUPADI DEVI","17 - PARMANAND","18 - BRIJESH KUMAR","19 - SHYAM CHARAN","20 - SHIV PRASAD AGRAHARI","21 - SHAILENDRA KUMAR PRAJAPATI","22 - HIRA LAL","23 - HANSRAJ","24 - None of the Above","Total Votes Secured"
1,"JUNIOR HIGH SCHOOL PAL PATTI",598,427,0,1025,329,265,0,594,1,0,50,6,229,269,6,2,0,1,1,0,1,2,2,0,0,9,1,1,4,5,1,0,2,2,594
2,"PRA0 VIDYALAY LOHARA",681,483,0,1164,354,321,0,675,22,0,6,20,359,228,6,2,3,0,8,2,4,6,3,6,2,6,1,0,1,6,0,0,1,5,675
3,"PRA0VIDYALAY harvari yakhapur",455,345,0,800,249,183,0,432,431,0,36,52,137,147,3,1,0,2,6,3,2,2,3,4,2,6,5,4,7,4,3,0,1,2,432
4,"PRA0VIDYALAY BADIDHA",674,499,0,1173,386,254,0,640,2,0,71,73,180,246,11,2,0,2,2,1,4,1,1,5,4,12,2,1,1,6,2,2,4,7,640
5,"PRA0VIDYALAY  PIPRAHTA BISAURA",510,367,0,877,314,229,0,543,16,0,155,13,149,180,1,1,0,1,1,1,1,2,3,4,2,11,4,0,0,3,1,2,1,7,543
6,"PRA0VIDYALAY PIPRANON",685,625,0,1310,362,305,0,667,667,0,157,183,87,191,5,2,1,1,3,0,3,3,1,5,6,4,1,2,0,1,1,2,4,4,667
7,"PRA0VIDYALAY KAKRAHI",615,459,0,1074,276,156,0,432,300,0,125,40,89,162,0,2,0,0,1,0,0,0,0,0,1,2,5,1,1,0,0,2,0,1,432
8,"PRA0VIDYALAY JHADIYAHI",677,464,0,1141,367,249,0,616,616,0,188,63,48,288,4,2,0,0,2,3,1,0,2,1,0,5,1,0,2,0,1,1,2,2,616
9,"PRA0 VIDYALAY  DHANDHUUA",522,395,0,917,314,236,0,550,550,0,223,10,42,224,4,8,0,2,2,0,3,1,4,3,5,5,5,0,2,2,0,1,1,3,550
10,"PRA0 VIDYALAYSHAHAPUR KALA",856,688,0,1544,432,392,0,824,34,0,304,77,64,324,3,2,3,1,2,6,1,2,4,2,3,11,4,2,2,3,0,0,2,2,824
11,"PRA0 PATHSHALA  MAIKALA",648,462,0,1110,324,309,0,633,281,0,34,28,203,333,3,3,0,0,1,1,1,0,0,2,2,0,1,2,11,4,1,1,1,1,633
12,"PRA0 PATHSHALA PATAIDADI",487,397,0,884,279,211,0,490,490,0,127,32,189,93,2,1,2,1,5,3,0,1,0,1,2,11,6,2,0,5,4,0,0,3,490
13,"PRA0 PATHSHALA ISAUTA",828,697,0,1525,437,388,0,825,11,0,135,161,204,277,2,4,2,0,1,4,3,1,1,3,3,9,7,2,1,2,0,1,2,0,825
14,"PRA0 PATHSHALA KOHDAR PURAV BHAG",797,641,0,1438,477,354,0,831,50,0,87,198,393,84,7,3,2,3,0,2,1,0,2,1,2,5,5,6,10,5,1,0,2,12,831
15,"PRA0 PATHSHALA KOHDAR PASHICHAM BHAG-1",447,385,0,832,280,221,0,501,3,0,4,81,274,113,2,2,2,2,0,3,1,1,3,1,1,2,0,0,3,1,1,0,2,2,501
16,"PRA0 PATHSHALA KOHDAR PASHICHAM BHAG-2",609,523,0,1132,366,273,0,639,636,0,23,199,188,163,5,1,2,1,5,2,2,0,2,1,2,12,0,8,4,6,1,0,3,9,639
17,"PRA0 PATHSHALA GADEVRA",431,382,0,813,256,220,0,476,166,0,154,28,126,106,11,0,0,0,4,1,0,3,0,0,2,7,11,1,2,4,4,2,3,7,476
18,"PRA0 PATHSHALA BERI",714,598,0,1312,393,274,0,667,567,0,196,61,267,113,1,2,0,1,1,1,0,1,3,2,5,8,1,0,0,1,1,1,1,0,667
19,"PRA0 PATHSHALA MAMAOLI",738,607,0,1345,386,281,0,667,667,0,92,146,177,165,5,3,1,3,5,7,2,4,2,1,8,13,8,3,1,7,4,0,9,1,667
20,"JUNIOR HIGH SCHOOL MADARHA",634,513,0,1147,351,283,0,634,634,0,28,176,318,75,2,2,0,1,1,1,0,4,0,9,7,4,0,0,0,2,1,0,1,2,634
21,"PRA0 PATHSHALA MEJA KHASH PUVIRBHAG",700,569,0,1269,377,284,0,661,10,0,163,82,179,190,3,3,0,1,3,5,3,2,0,4,1,4,3,1,1,3,2,0,2,6,661
22,"PRA0 PATHSHALA  MEJA KHASH MADHAY BHAG",594,464,0,1058,292,207,0,499,307,0,59,29,172,211,0,4,3,0,0,4,3,1,0,0,1,2,1,0,0,5,0,0,0,4,499
23,"PRA0 PATHSHALA MEJA KHASH PASHICHM BHAG-1",489,372,0,861,269,189,0,458,30,0,27,68,221,116,0,7,0,0,1,0,2,1,2,4,2,2,0,0,0,1,3,0,0,1,458
24,"PRA0 PATHSHALA MEJA KHASH PASHICHAM BHAG-2",516,361,0,877,274,207,0,481,481,0,79,69,207,99,3,1,3,0,0,2,1,0,0,2,4,3,3,1,0,3,0,0,0,1,481
25,"JUNIOR HIGH SCHOOL MEJA KHASH",712,596,0,1308,498,246,0,744,1,0,123,99,164,309,6,8,2,2,5,0,0,0,3,2,2,3,2,0,0,1,3,2,8,0,744
26,"PANCHAYAT BHAVAN GEDURAHI",542,446,0,988,291,236,0,527,527,0,161,22,28,239,7,1,1,0,4,0,0,29,1,1,0,6,8,2,1,9,3,1,1,2,527
27,"PRA0 PATHSHALA JAMOOVA PURVIBHAG",699,552,0,1251,366,291,0,657,71,0,189,51,212,150,5,1,3,0,0,3,3,3,2,3,1,6,6,3,4,4,0,2,3,3,657
28,"PRA0 PATHSHALA JAMOOVA PASHICHAM BHAG",259,201,0,460,120,84,0,204,31,0,29,28,41,97,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,1,0,204
29,"PRA0 PATHSHALA MEDRA PURVI BHAG",407,348,0,755,211,201,0,412,10,0,92,46,191,58,4,1,0,1,0,0,0,0,1,0,0,3,1,1,2,7,3,0,1,0,412
30,"PRA0 PATHSHALA  MEDRA PASHICHAM BHAG",391,330,0,721,220,176,0,396,4,0,87,88,116,82,3,1,1,1,0,0,3,1,1,1,2,2,3,1,0,2,0,1,0,0,396
31,"PRA0 PATHSHALA KUKRIKALA PURVI BHAG -2",542,411,0,953,246,204,0,450,450,0,59,36,135,189,5,2,0,0,1,1,2,0,1,0,0,3,1,2,2,6,2,2,0,1,450
32,"PRA0 PATHSHALA KUKRIKALA PURVI BHAG -2",530,435,0,965,210,212,0,422,20,0,69,18,189,120,4,5,2,0,1,1,2,1,0,2,0,3,0,0,0,2,2,0,0,1,422
33,"PRA0 PATHSHALA KUKARIKALA PASHICHAMBHAG",407,358,0,765,200,200,0,400,12,0,76,15,99,152,8,2,2,0,5,2,7,5,4,1,3,7,1,1,0,3,1,1,2,3,400
