"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NEERAJ SHEKHAR","2 - BHARAT SINGH","3 - VIRENDRA KUMAR PATHAK","4 - SUDHA RAI","5 - AFZAL ANSARI","6 - AVADHESH VERMA","7 - COL RETD. BHARAT SINGH SHAURYA CHAKRA","8 - MANNU YADAV","9 - RAMJI","10 - RAMROOP","11 - SUCHIT GOND","12 - BHOLA NATH","13 - MANISH","14 - MANOJ","15 - SHESHNATH","16 - None of the Above","Total Votes Secured"
1,"P.P. BHOPALPUR   PURVI",619,536,0,1155,416,245,0,661,657,0,454,49,138,3,9,0,2,1,1,1,0,1,1,1,0,0,661
2,"P.P. BHOPALPUR PASCHIMI NORTH",681,570,0,1251,364,261,0,625,625,0,408,105,85,4,5,3,4,0,1,1,1,0,0,1,3,4,625
3,"P.P. BHOLAPUR PASHCHIMI SOUTH",577,455,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"P.P. RAMPURMAGRIV SATHIT BHOPALPUR",301,296,0,597,192,171,0,363,363,0,242,92,12,1,0,1,0,0,1,0,2,0,2,5,2,3,363
5,"JUNIOR HIGH SCHOOL DATTAHA WEST",574,454,0,1028,299,226,0,525,525,0,256,146,94,1,7,0,1,1,2,1,1,1,6,2,4,2,525
6,"JUNIOR HIGH SCHOOL MIDDLE",288,242,0,530,167,120,0,287,287,0,174,53,49,2,3,0,0,0,0,0,0,0,1,3,2,0,287
7,"JUNIOR HIGH SCHOOL DATAHA EAST",848,663,0,1511,382,213,0,595,595,0,349,54,68,0,92,3,1,0,1,6,1,1,6,4,0,9,595
8,"P.P. SHIVPUR SATHIT JAMDHARWA",467,397,0,864,226,193,0,419,419,0,164,94,136,6,8,0,0,1,0,1,0,0,0,4,2,3,419
9,"P.P. SHIVPUR SATHIT GRAM JAMDHARWAR SOUTH PART",319,300,0,619,175,158,0,333,333,0,123,61,91,2,49,0,0,0,0,2,0,0,2,1,1,1,333
10,"P.P. CHHAPARA SARIW EAST",477,414,0,891,285,205,0,490,338,0,295,80,82,2,12,0,1,1,0,1,1,1,1,2,4,7,490
11,"P.P. CHHAPARA SARIW WEST",438,350,1,789,196,142,0,338,338,0,115,86,49,12,35,1,3,1,0,5,2,1,1,16,1,10,338
12,"P.P. CHHAPARA SARIW MIDDLE",413,367,0,780,191,151,0,342,342,0,100,108,82,2,24,3,1,2,0,1,2,1,5,7,0,4,342
13,"P.P. ASMAPUR SATHIT GRAM DATAHA",279,243,0,522,126,98,0,224,224,0,160,21,30,0,1,0,0,0,1,0,0,0,1,2,1,7,224
14,"JUNIOR HIGH SCHOOL NAVAKA GAO",709,612,0,1321,382,259,0,641,641,0,210,120,218,4,54,2,1,1,3,2,2,5,5,6,2,6,641
15,"P.P. JAMDHARWA",737,632,0,1369,544,385,0,929,929,0,453,227,177,4,38,2,2,0,0,5,1,1,4,2,5,8,929
16,"JUNIOR HIGH SCHOOL GOPALNAGAR NORTH",793,560,0,1353,382,224,0,606,606,0,375,116,42,1,37,0,3,0,2,4,2,2,6,7,4,5,606
17,"JUNIOR HIGH SCHOOL GOPALNAGAR MIDDLE",843,646,0,1489,500,310,0,810,810,0,348,227,160,8,12,8,1,1,1,3,2,4,4,15,7,9,810
18,"JUNIOR HIGH SCHOOL GOPALNAGAR  SOUTH",807,654,0,1461,395,250,0,645,645,0,466,94,24,6,15,2,3,0,5,2,1,2,4,6,4,11,645
19,"P.P. VIASHISHATH NAGAR",585,489,0,1074,336,264,0,600,600,0,353,102,31,5,70,2,2,1,1,3,5,2,4,2,3,14,600
20,"JUNIOR HIGH SCHOOL JHARKATTAHA WEST",506,442,0,948,225,192,0,417,417,0,68,292,44,2,1,1,1,1,1,0,0,0,2,2,0,2,417
21,"JUNIOR HIGH SCHOOL JHARKATTAHA EAST",661,604,0,1265,302,247,0,549,549,0,139,246,131,1,2,1,0,1,1,1,3,3,3,8,3,6,549
22,"JUNIOR HIGH SCHOOL JHARKATAHA NAYA BHAWAN",637,538,0,1175,380,297,0,677,677,0,390,154,95,6,5,1,0,0,1,0,6,0,0,8,1,10,677
23,"P.P. BHAKHAR",470,444,0,914,216,190,0,406,406,0,44,283,20,9,14,2,2,0,2,0,1,0,7,13,6,3,406
24,"PANCHAYAT BHAWAN KHARIKA",621,525,1,1147,341,325,0,666,666,0,105,306,41,3,160,1,0,1,1,26,2,4,4,6,4,2,666
25,"P.P. KHARIKA",696,596,0,1292,320,254,0,574,574,0,386,108,14,2,8,1,7,1,1,3,1,0,9,13,3,17,574
26,"P.P. CHAUBEY CHHAPARA NORTH",417,383,0,800,181,149,0,330,330,0,27,172,101,21,4,0,0,1,0,0,1,1,1,1,0,0,330
27,"P.P. CHAUBEY CHHAPARA SOUTH",395,363,1,759,183,167,0,350,350,0,109,132,91,3,1,1,1,0,1,2,1,1,1,2,2,2,350
28,"P.P. KANCHAPUR WEST",272,227,0,499,126,113,0,239,239,0,30,157,31,5,0,1,8,0,0,0,0,0,2,5,0,0,239
29,"P.P. KANCHAPUR EAST",259,239,0,498,130,97,0,227,227,0,15,91,88,15,12,0,0,0,0,1,1,0,2,0,2,0,227
30,"P.P. CHHERIDIH SOUTH",673,582,0,1255,338,286,0,624,624,0,237,330,43,3,2,0,2,0,0,0,4,0,1,1,0,1,624
31,"P.P. CHHERIDIH WEST",217,176,0,393,103,87,0,190,190,0,53,90,37,1,4,0,0,0,0,1,0,0,0,2,1,1,190
32,"P.P. CHHERDIH MIDDLE",603,509,0,1112,300,305,0,605,605,0,166,192,187,9,35,1,0,1,0,2,1,0,2,5,2,2,605
33,"P.P. RAMPUR EAST",626,523,0,1149,365,269,0,634,634,0,115,380,59,17,28,3,3,3,0,4,0,0,7,4,3,8,634
34,"P.P. RAMPUR WEST",497,403,0,900,316,186,0,502,502,0,41,210,87,7,137,2,3,1,0,0,2,2,1,1,4,4,502
35,"P.P. MUNCHHAPARA EAST",757,592,0,1349,376,295,0,671,671,0,40,379,154,9,42,2,4,2,1,1,1,4,3,7,8,14,671
36,"P.P. MUNCHHAPARA WEST",802,628,0,1430,386,297,0,683,683,0,36,417,79,18,82,0,2,1,0,8,3,4,12,10,3,8,683
37,"P.P. GANGA PANDEY KA TOLA",334,241,0,575,182,107,0,289,289,0,91,116,59,1,12,1,3,0,0,1,0,1,3,1,0,0,289
38,"P.P. LAXMIPUR",687,587,1,1275,343,277,0,620,621,0,132,332,101,10,32,1,1,0,1,3,1,0,3,2,1,0,620
39,"P.P. MANSHINGH CHHAPARA URF ACHALAGAR NORTH",422,370,1,793,200,147,0,347,347,0,92,167,40,42,0,0,1,0,0,0,0,0,2,1,1,1,347
40,"P.P. MANSHINGH CHHAPARA URF ACHALAGAR SOUTH",480,361,0,841,241,206,0,447,447,0,195,109,107,15,4,2,3,0,1,0,2,1,2,2,0,4,447
41,"JUNIOR HIGH SCHOOL VIGAHI EAST",545,447,0,992,306,206,0,512,512,0,45,359,68,14,10,0,0,1,0,0,1,1,0,8,3,2,512
42,"JUNIOR HIGH SCHOOL VIGAHI WEST",401,326,0,727,187,138,0,325,325,0,75,142,35,5,51,1,0,0,0,2,1,3,4,2,0,4,325
43,"JUNIOR HIGH SCHOOL VIGAHI MIDDLE",434,346,0,780,202,172,0,374,374,0,36,210,61,9,21,0,15,0,2,0,0,2,2,8,2,6,374
44,"P.P. VIGAHI",518,451,0,969,298,204,0,502,502,0,36,323,126,4,1,3,2,0,0,0,0,3,0,4,0,0,502
45,"P.P. KATHAHI NORTH",538,432,0,970,240,166,0,406,406,0,21,211,105,53,2,1,1,0,0,1,1,0,4,3,2,1,406
46,"P.P. KATHAHI SOUTH",607,473,0,1080,252,182,0,434,434,0,141,189,37,24,26,0,2,0,0,1,1,2,4,3,1,3,434
47,"P.P. SONVANI EAST",626,450,0,1076,242,167,0,409,409,0,45,242,73,20,22,0,1,0,1,0,1,1,2,1,0,0,409
48,"P.P. SONWANI MIDDLE",702,525,0,1227,277,221,0,498,498,0,64,279,77,8,46,0,1,1,1,3,1,0,5,3,4,5,498
49,"P.P. SONWANI EAST",438,313,0,751,165,164,0,329,329,0,23,52,25,2,214,1,1,0,0,1,2,0,3,2,2,1,329
50,"P.P. SAMARTHPAH",373,295,0,668,231,172,0,403,403,0,22,210,55,2,100,0,0,0,1,5,0,3,2,2,0,1,403
51,"P.P. KRIPALPUR",629,508,0,1137,266,210,0,476,476,0,24,267,76,31,54,0,4,1,2,4,1,1,0,1,1,9,476
52,"PURV M.V. DUDHAILA EAST",575,428,0,1003,328,200,0,528,528,0,55,348,101,8,9,1,2,1,0,1,0,0,0,1,0,1,528
53,"PURV M.V. DUDHAILA WEST",552,456,0,1008,329,180,0,509,509,0,173,266,37,1,2,0,2,2,0,0,2,1,3,9,5,6,509
54,"P.P. DUDHAILA",476,393,0,869,248,195,0,443,443,0,163,245,17,3,0,0,0,0,1,1,0,1,2,3,3,4,443
55,"P.P. BADILPUR EAST",378,297,0,675,193,142,0,335,335,0,78,63,138,6,37,0,0,0,0,0,0,1,3,5,1,3,335
56,"P.P. HRIDAYCHAK",146,106,0,252,106,59,0,165,165,0,105,44,6,5,1,0,0,0,0,0,0,0,0,0,3,1,165
57,"P.P. BADILPUR SATHIT BHARKHOKHA",450,346,0,796,193,130,0,323,323,0,148,129,13,4,19,0,1,0,0,3,1,1,1,2,0,1,323
58,"P.P. GAIGHAT WEST",628,511,1,1140,301,236,0,537,537,0,89,314,55,13,41,0,3,0,1,0,0,0,7,3,6,5,537
59,"P.P. GAIGHAT MIDDLE",696,515,0,1211,450,103,0,553,553,0,138,136,118,9,116,2,2,2,2,3,2,6,1,6,4,6,553
60,"P.P. MUDADIH SATHIT MUDADIH",766,597,0,1363,368,273,0,641,641,0,100,420,67,4,18,1,3,0,2,0,2,2,9,9,1,3,641
61,"P.P. MUDADIH SATHIT MUDADIH",694,522,0,1216,306,221,0,527,527,0,229,206,47,6,29,1,0,1,0,1,0,0,1,4,0,2,527
62,"P.P. GAIGHAT SATHIT MUDADIH",797,654,0,1451,343,231,0,574,574,0,137,155,226,11,13,3,2,3,0,1,2,4,5,5,0,7,574
63,"P.P. RUDRAPUR",325,252,0,577,173,169,0,342,342,0,166,107,55,1,2,0,1,2,0,1,0,0,1,5,0,1,342
64,"P.P. MUDADIH",747,618,0,1365,327,295,0,622,622,0,62,410,113,7,9,0,7,0,2,1,0,0,3,5,2,1,622
65,"P.P. BABUBEL SATHIT BAGHAUCH NORTH",394,329,0,723,211,145,0,356,356,0,175,149,14,5,10,0,0,0,0,1,0,0,1,0,0,1,356
