"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KRISHNA KUMAR OJHA","2 - BRIJ BHUSAN SHARAN SINGH","3 - MUKESH SRIVASTAV ALIAS GYANENDRA PRATAP","4 - VINOD KUMAR ALIAS  PANDIT SINGH","5 - GOVIND PRASAD","6 - CHAMAN LAL KASAUNDHAN","7 - NIRHU","8 - NIHALUDDIN AHAMAD","9 - RIZWAN AHMAD","10 - JAMEER AHMAD","11 - NISHANT KANCHAN","12 - PRAHLAD  NATH MISHRA","13 - MUNNI","14 - RAMPHER  ALIAS  CHUNTI","15 - None of the Above","Total Votes Secured"
1,GODWA,723,669,0,1392,429,397,0,826,826,0,29,304,56,371,8,5,1,2,2,7,2,6,3,12,18,826
2,PUREDAYAL,279,275,0,554,175,141,0,316,311,0,30,196,10,60,3,4,0,0,0,1,2,3,2,3,2,316
3,THADAKKIPATTI,478,412,0,890,352,280,0,632,632,0,40,316,13,240,3,0,0,0,1,1,0,2,5,7,4,632
4,"THADAKKI PATTI",418,383,0,801,304,197,0,501,501,0,77,206,12,187,3,0,1,0,2,1,1,1,0,6,4,501
5,DHANAEPATTI,779,685,0,1464,507,393,0,900,900,0,136,415,29,265,2,3,2,1,4,4,1,2,8,15,13,900
6,HARKHAPUR,467,386,0,853,253,171,0,424,424,0,69,278,20,47,1,1,0,0,1,0,0,0,2,4,1,424
7,BAGAHIYANISCHAL,233,213,0,446,161,117,0,278,278,0,55,140,5,68,1,2,0,0,0,0,0,0,0,3,4,278
8,VEERSINGHPUR,470,387,0,857,231,180,0,411,411,0,43,221,21,92,4,2,1,0,1,1,2,1,3,12,7,411
9,MADHAVPUR,648,534,0,1182,395,288,0,683,683,0,86,264,8,306,3,0,0,0,1,2,1,1,2,7,2,683
10,MADHAVPUR,613,548,0,1161,345,246,0,591,559,0,80,270,15,182,4,1,1,4,3,3,2,3,4,8,11,591
11,LAUVATEPRA,650,551,0,1201,416,289,0,705,705,0,108,374,17,181,2,0,0,1,0,2,0,1,3,12,4,705
12,LAUVATEPRA,829,714,0,1543,462,346,0,808,808,0,107,339,28,298,13,1,0,1,1,1,6,3,2,1,7,808
13,DIDISIYAKALA,600,535,0,1135,244,242,0,486,485,0,62,126,22,254,3,0,0,0,5,1,2,2,1,3,5,486
14,DIDISIYAKALA,644,535,0,1179,377,261,0,638,638,0,118,189,35,259,6,5,1,2,3,3,2,1,3,2,9,638
15,DIDISIYAKALA,853,683,0,1536,470,318,0,788,788,0,243,323,30,123,1,0,0,0,8,3,6,7,10,11,23,788
16,BADALPUR,474,440,0,914,300,205,0,505,505,0,200,151,6,125,0,0,1,0,1,1,2,2,2,5,9,505
17,GOPIPUR,454,431,0,885,281,211,0,492,492,0,158,167,12,118,2,2,1,1,4,5,2,2,1,6,11,492
18,KURHA,283,255,0,538,170,153,0,323,316,0,77,101,26,111,0,1,0,0,0,0,1,0,0,0,6,323
19,SINGHPUR,416,364,0,780,238,134,0,372,372,0,83,183,19,66,0,1,0,1,2,2,1,1,4,4,5,372
20,SINGHPUR,484,410,0,894,221,166,0,387,386,0,74,238,19,45,1,1,1,0,0,0,1,3,1,2,1,387
21,BELSAR,786,694,0,1480,478,373,0,851,851,0,50,386,23,354,12,1,1,0,7,2,1,0,1,5,8,851
22,BELSAR,652,579,0,1231,447,287,0,734,734,0,31,379,8,303,3,1,0,0,0,0,2,1,2,3,1,734
23,BELSAR,826,720,0,1546,457,402,0,859,859,0,242,341,31,189,1,2,1,0,5,6,5,9,2,9,16,859
24,BELSAR,443,400,0,843,238,192,0,430,430,0,136,183,17,75,5,0,0,0,0,1,0,3,0,6,4,430
25,BELSAR,794,729,0,1523,366,309,0,675,675,0,83,303,15,246,10,0,2,1,1,3,0,1,3,3,4,675
26,BELSAR,311,273,0,584,176,139,0,315,313,0,71,161,13,55,2,1,0,0,0,2,1,0,2,5,2,315
27,BELSAR,358,332,0,690,226,201,0,427,427,0,102,164,29,105,2,2,2,0,0,1,1,6,3,5,5,427
28,BELSAR,577,478,0,1055,341,302,0,643,643,0,107,247,55,173,9,4,1,1,7,5,0,4,3,10,17,643
29,BELSAR,644,597,0,1241,369,341,0,710,710,0,126,218,24,305,4,1,2,1,2,1,4,4,1,3,14,710
30,CHANDPUR,731,590,0,1321,427,299,0,726,726,0,65,299,64,224,12,1,0,1,2,2,8,6,7,22,13,726
