"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MAHENDRA KUMAR","2 - VINOD KUMAR SONKAR","3 - SHAILENDRA KUMAR","4 - SURESH PASI","5 - MALTI DEVI","6 - RAJENDRA SONKAR","7 - SHRIPAL","8 - SWARNALATA SUMAN","9 - CHHEDDOO","10 - BEENA RANI","11 - MOHAN LAL","12 - None of the Above","Total Votes Secured"
1,"P.S. BARAULA",387,339,0,726,249,185,0,434,434,0,4,196,33,176,5,1,3,1,2,1,2,10,434
2,"P.S. KHERWA",354,300,0,654,230,187,0,417,417,0,9,250,41,94,2,2,1,5,0,3,2,8,417
3,"P.S. UNO UTTARI BHAG",678,521,0,1199,349,276,0,625,625,0,11,338,13,215,6,1,1,0,7,0,6,27,625
4,"P.S. UNO DAKSHINI BHAG",669,430,0,1099,305,192,0,497,497,0,10,280,24,124,9,3,4,4,3,5,13,18,497
5,"P.S. BABHANPURWA",606,495,0,1101,340,300,0,640,640,0,14,276,41,254,6,5,4,0,4,6,9,21,640
6,"P.S. UMRA",482,376,0,858,306,250,0,556,556,0,8,266,73,161,6,5,3,0,6,1,12,15,556
7,"P.S. DEVRA",686,526,0,1212,372,307,0,679,679,0,23,296,6,297,3,6,1,2,5,4,17,19,679
8,"P.S. CHAK UTTARI BHAG",409,342,0,751,240,183,0,423,423,0,11,290,55,45,4,6,1,1,2,2,1,5,423
9,"P.S. CHAK DAKSHINI BHAG",483,401,0,884,239,195,0,434,434,0,10,275,67,49,1,5,5,3,1,2,7,9,434
10,"P.S. THAMBHA",434,352,0,786,251,213,0,464,464,0,9,151,21,240,8,6,6,2,5,1,8,7,464
11,"P.S. NAYAPURWA",393,305,0,698,202,147,0,349,349,0,10,168,66,80,4,4,0,2,2,2,3,8,349
12,"P.S. TENSHAHALMABAD UTTARI BHAG",761,633,1,1395,428,393,0,821,821,0,63,356,40,311,6,6,17,0,4,4,7,7,821
13,"P.S. TENSHAHALMABAD MADHYA BHAG",742,656,1,1399,477,410,0,887,887,0,40,472,24,305,7,8,1,3,2,8,11,6,887
14,"P.S. BHADDURPUR",836,671,0,1507,447,427,0,874,874,0,25,481,70,216,10,5,1,9,5,5,14,33,874
15,"P.S. MADUKI",475,416,0,891,328,270,0,598,598,0,12,349,17,182,8,4,3,0,5,0,7,11,598
16,"P.S. GAUSPUR TIKRI",661,584,0,1245,421,346,0,767,767,0,33,289,32,370,8,6,4,0,5,4,8,8,767
17,"U.P.S BHELKHA PURVI BHAG",673,646,0,1319,336,378,0,714,714,0,21,224,34,374,9,9,2,3,1,6,6,25,714
18,"U.P.S BHELKHA PASCHIMI BHAG",775,641,0,1416,419,389,0,808,808,0,20,481,43,224,4,4,2,4,1,3,8,14,808
19,"P.S. PATA",708,558,0,1266,387,271,0,658,658,0,17,513,65,25,3,6,2,3,1,1,7,15,658
20,"P.S. MAHUAKHADA",372,324,0,696,195,184,0,379,379,0,18,260,4,79,1,3,4,3,3,1,0,3,379
21,"P.S. MANJHANPUR NAVNIRMIT BHAWAN PURVI BHAG",747,590,0,1337,308,285,0,593,593,0,25,43,137,364,3,1,2,2,0,1,6,9,593
