"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK SINGH","2 - RAKESH PANDEY","3 - RAM MURTI VERMA","4 - HARI OM PANDEY","5 - GOPAL NISHAD","6 - JAHAR SINGH KASHYAP","7 - BALMUKUND DHURIYA","8 - BRIJESH KUMAR","9 - RAM BAHAL VERMA","10 - SREERAM","11 - SURENDRA KUMAR","12 - SURESH KUMAR BAUDDH","13 - TIGER RAMNIHOR PATEL","14 - VINOD KUMAR TIWARI","15 - None of the Above","Total Votes Secured"
1,"P.V. MAHRIPUR UTTARI KAKSH",468,377,0,845,345,261,0,606,606,0,8,60,73,428,9,0,1,1,1,3,4,8,3,6,1,606
2,"P.V. MAHRIPUR DAKSHNI KAKSH",363,313,0,676,254,206,0,460,456,0,5,124,175,154,1,1,0,0,0,0,0,0,0,0,0,460
3,"P.V. KAKRAHI",660,573,0,1233,486,397,0,883,883,0,11,366,183,299,3,2,0,4,0,1,1,5,3,1,4,883
4,"P.V. SAMHARIYA",513,454,0,967,387,329,0,716,711,0,17,289,40,347,2,3,0,2,1,2,1,5,3,2,2,716
5,"P.V. CHAK ASOPUR",388,323,0,711,278,230,0,508,508,0,7,133,64,282,3,2,2,2,0,6,1,2,2,0,2,508
6,"P.V. HAKEEMPUR",223,180,0,403,185,148,0,333,333,0,2,70,5,250,1,0,0,0,1,1,0,0,3,0,0,333
7,"P.V. ASOPUR PURVI KAKSH",663,567,0,1230,480,378,0,858,858,0,14,468,59,288,5,5,1,2,1,1,1,5,4,3,1,858
8,"P.V. ASOPUR PASCHIMI KAKSH",442,342,0,784,314,205,0,519,516,0,9,94,79,321,7,0,1,2,0,0,0,1,1,1,3,519
9,"P.V. ASOPUR ATIRIKT KAKSH",720,561,0,1281,492,379,0,871,871,0,11,264,246,289,4,1,0,0,1,1,8,6,18,13,9,871
10,"P.V. ARKHAPUR UTTARI KAKSH",588,538,0,1126,395,364,0,759,659,0,6,156,49,512,3,0,3,0,3,6,3,5,7,1,5,759
11,"P.V. ARKHAPUR DAKSHNI KAKSH",559,439,0,998,352,310,0,662,660,0,12,270,142,201,3,1,0,4,0,1,1,13,4,4,6,662
