"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLESH PASWAN","2 - GORAKH PRASAD PASWAN","3 - SADAL PRASAD","4 - SANJAI KUMAR","5 - ARJUN PRASAD RAW","6 - CHANDRIKA PRASAD BHARATI","7 - RAMNARESH","8 - RAMNIVAS  PASWAN","9 - RAMPRIT JAKHMEE","10 - LALCHAND PRASAD JATAV","11 - KUNJAWATI","12 - SHEO SHANKAR","13 - None of the Above","Total Votes Secured"
1,"P.V. KARAHAKOL",756,646,0,1402,376,347,0,723,723,0,350,43,232,47,4,1,2,3,0,28,2,3,8,723
2,"P.V TIGHARA KHAIRAWA",602,509,0,1111,310,296,0,606,606,0,275,166,129,12,1,2,4,2,4,5,1,1,4,606
3,"P.V. HOULI BALIYA",703,566,0,1269,330,378,0,708,708,0,295,80,254,24,5,2,6,7,2,6,4,3,20,708
4,"P.V. HADAHA",643,537,0,1180,269,287,0,556,556,0,134,327,18,53,2,1,2,0,2,2,4,6,5,556
5,"P.V. MAJHANARAYAN",401,349,0,750,165,162,0,327,327,0,190,35,17,65,1,0,3,2,1,1,1,4,7,327
6,"P.V. JAGARNATHPUR",257,219,0,476,117,110,0,227,227,0,62,6,69,77,5,1,0,2,1,1,0,3,0,227
7,"P.V. LEELAPUR BHAISAHA",481,419,0,900,168,157,0,325,325,0,132,48,96,26,2,2,1,4,1,4,1,2,6,325
8,"P.V. KHOPA",482,365,0,847,213,211,0,424,424,0,148,103,69,63,0,1,3,5,10,6,4,3,9,424
9,"P.V. ANUSA",334,298,0,632,153,192,0,345,345,0,199,4,117,1,1,0,2,2,1,8,1,2,7,345
10,"P.V. KODAR.",712,589,0,1301,376,297,0,673,673,0,137,201,280,35,1,0,3,1,0,3,2,1,9,673
11,"P.V. NEEBA",641,513,0,1154,251,273,0,524,524,0,229,50,158,52,4,0,1,3,1,7,2,5,12,524
12,"P.V. DHARAMPUR",735,588,0,1323,282,302,0,584,584,0,134,135,260,28,2,0,3,4,2,6,3,0,7,584
13,"P.V.SARAAW KHURD",696,586,0,1282,331,292,0,623,623,0,227,127,204,35,1,1,4,3,1,11,2,2,5,623
14,"P.V.CHHAPARA KHURD",619,439,0,1058,254,220,0,474,474,0,157,104,165,25,0,0,0,3,0,2,3,3,12,474
15,"P.V. SARAAW BUJURG",445,329,0,774,169,178,0,347,347,0,88,66,155,22,2,2,1,0,0,4,1,2,4,347
16,"P.V. SARAAW BUJURG",534,437,0,971,229,189,0,418,418,0,196,54,95,47,2,2,2,6,3,6,1,2,2,418
17,"P.V. EKAUNA R.N.1",656,502,0,1158,236,390,0,626,626,0,207,93,249,38,7,4,2,2,2,7,8,1,6,626
18,"P.V. EKAUNA R.N. 2",362,305,0,667,145,166,0,311,311,0,139,79,66,14,1,2,1,2,0,2,0,0,5,311
19,"P.V. BAKARUAA",277,194,0,471,121,87,0,208,208,0,83,49,52,16,1,0,1,0,0,3,1,0,2,208
20,"P.V. KAULKESHAV",319,274,0,593,156,144,0,300,300,0,56,146,75,8,1,2,0,0,1,4,0,2,5,300
21,"P.V. BHEDI",613,516,0,1129,334,271,0,605,605,0,199,132,198,44,2,0,0,3,0,6,3,8,10,605
22,"P.V. NAGAWA KHAS R.N.1",625,526,0,1151,219,253,0,472,472,0,268,126,40,13,1,2,2,1,2,11,0,1,5,472
23,"P.V. NAGAWA KHAS R.N.2",717,571,0,1288,338,309,0,647,647,0,288,19,254,49,3,2,2,5,4,4,3,3,11,647
24,"P.V. NAGAWA KHAS R.N.3",603,482,0,1085,254,223,0,477,477,0,291,24,75,64,0,0,0,2,2,4,1,3,11,477
25,"P.V. DADHIYA R.N.1",619,460,0,1079,276,237,0,513,513,0,176,136,133,26,2,0,3,3,5,19,3,2,5,513
26,"P.V. DADHIYA R.N.2",558,436,0,994,217,149,0,366,366,0,83,216,41,4,0,0,2,1,0,4,2,4,9,366
27,"P.V. BHIRWA",509,424,0,933,200,241,0,441,441,0,209,88,83,29,1,2,3,3,2,5,0,3,13,441
28,"P.V.CHHAPARA BUJURG",384,261,0,645,204,148,0,352,352,0,132,24,188,5,1,1,0,0,0,0,1,0,0,352
29,"P.V. SACHAULI PATAWANIYA",605,468,0,1073,279,218,0,497,497,0,190,238,23,12,1,0,0,1,1,9,0,2,20,497
30,"J.H.SCHOOL  NARAYANPUR AURAI  R.N. 1",421,321,0,742,176,156,0,332,332,0,244,16,38,23,1,0,1,2,0,5,0,0,2,332
31,"J.H.SCHOOL NARAYANPUR AURAI R.N.2",668,529,0,1197,296,265,0,561,561,0,256,68,135,74,3,0,1,4,2,10,2,1,5,561
32,"P.V. BAHORA DALPATPUR",362,298,0,660,185,166,0,351,351,0,182,74,62,28,0,0,1,0,0,1,0,0,3,351
33,"P.V. JAGDISHPUR",311,255,0,566,158,146,0,304,304,0,156,45,83,10,1,0,1,4,0,1,0,0,3,304
34,"P.V. BHELAUR",744,619,0,1363,365,358,0,723,723,0,394,151,119,32,3,1,1,1,1,8,4,2,6,723
35,P.V.PALIYA,675,543,0,1218,300,340,0,640,608,0,300,72,221,24,1,1,1,2,2,8,1,5,2,640
36,"RAMAYAN SINGH H.S. SCHOOL PACHALADI KRITPURA R.N. 1",655,517,0,1172,311,308,0,619,619,0,289,39,211,41,1,1,2,3,2,4,4,1,21,619
37,"RAMAYAN SINGH H.S. SCHOOL PACHLADI KRITPURA R.N.2",708,595,0,1303,351,333,0,684,684,0,332,103,199,29,1,0,1,2,1,6,0,3,7,684
38,"P.V. ISHWARPURA",465,354,0,819,195,185,0,380,380,0,120,84,137,26,2,2,0,3,1,1,2,0,2,380
39,"P.V. RAMPURAWA",485,392,0,877,211,228,0,439,439,0,215,42,150,17,1,0,1,2,0,7,0,0,4,439
40,"P.V. KODARI",291,244,0,535,150,153,0,303,303,0,103,2,168,14,0,2,2,0,0,5,1,0,6,303
41,"P.V.BAIDA R.N. 1",313,275,0,588,166,182,0,348,348,0,152,46,63,67,0,1,1,3,1,4,2,4,4,348
42,"P.V. BAIDA R.N. 2",723,531,0,1254,317,347,0,664,664,0,321,22,216,47,4,0,2,5,0,21,4,4,18,664
43,"P.V. PACHARUKHA",406,335,0,741,173,185,0,358,358,0,128,16,97,105,1,1,1,2,1,2,1,1,2,358
44,"P.V. VISHUNPUR BAGAHI",551,430,0,981,265,258,0,523,523,0,226,61,181,32,1,2,2,4,0,8,3,2,1,523
45,"P.V. BELAWA DUBAULI",543,378,0,921,232,239,0,471,471,0,230,68,147,7,3,1,0,2,1,7,0,0,5,471
46,"J.H.SCHOOL BELAWA DUBAULI",633,487,0,1120,304,250,0,554,554,0,371,58,69,29,1,6,1,1,2,10,2,2,2,554
