"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NIRANJAN SINGH DHANGAR","2 - MANOJ KUMAR SONI","3 - RAJESH KUMAR DIWAKER","4 - RAMJI LAL SUMAN","5 - SUNHARI LAL","6 - OMPRKASH","7 - DALVIR SINGH","8 - NIRANJAN SINGH","9 - RAJA RAM","10 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL.	INAYTAPUR BAJHEDA R.N.1",226,198,0,424,174,132,0,306,306,0,1,49,161,94,0,0,0,1,0,0,306
2,"PRAIMARI SCHOOL ASNETA JAHANGIRABAD R.N.1",307,266,0,573,220,161,0,381,378,0,10,207,157,6,0,0,0,1,0,0,381
3,"PRIMARY SCHOOL.	SHAHAPUR KUTUB R.N.1",741,637,0,1378,588,499,0,1087,1070,0,3,1022,27,28,2,0,0,3,1,1,1087
4,"PRIMARY SCHOOL.	IBRAHIMAPUR R.N.1",543,484,0,1027,386,305,0,691,732,0,195,338,150,3,0,2,0,1,0,2,691
5,"PRIMARY SCHOOL.	ALAHADADAPUR NIVRI R.N. 1",599,543,0,1142,401,356,0,757,757,0,5,156,371,216,3,2,1,1,1,1,757
6,"PRIMARY SCHOOL.	ALAHADADAPUR NIVRI R.N.2",622,604,0,1226,284,253,0,537,208,0,6,109,68,333,6,1,0,1,3,10,537
7,"PRIMARY SCHOOL.	ALAHADADAPUR NIVRI R.N. 3",654,572,0,1226,327,263,0,590,558,0,10,85,26,450,10,0,1,0,3,5,590
8,"PRIMARY SCHOOL.	ALAHADADAPUR NIVRI R.N.4",669,624,0,1293,271,215,0,486,316,0,6,41,4,422,2,1,1,2,2,5,486
9,"PRIMARY SCHOOL.	TALASPUR KHURD R.N.1",496,396,0,892,256,163,0,419,387,0,5,116,9,276,2,1,0,0,2,8,419
10,"PRIMARY SCHOOL.	TALASPUR KHURD R.N.2",549,443,0,992,273,180,0,453,406,0,13,132,14,280,2,0,1,2,0,9,453
11,"PRIMARY SCHOOL.	RORAVAR R.N.1",777,646,0,1423,212,164,0,376,375,0,28,25,10,306,4,0,0,0,2,1,376
12,"PRIMARY SCHOOL.	RORAVAR R.N.1",781,671,0,1452,206,137,0,343,152,0,2,13,19,299,4,0,1,0,1,4,343
13,"PRIMARY SCHOOL.	GOVINDAPUR FAGOI R.N.1",741,600,0,1341,533,425,0,958,954,0,25,202,689,17,3,5,2,2,1,12,958
14,"PRIMARY SCHOOL.	HAIBTAPUR FAGOI R.N.1",277,234,0,511,212,195,0,407,407,0,2,229,173,2,0,0,0,0,0,1,407
15,"PRIMARY SCHOOL.	AMARPUR KONDARA R.N.1",742,608,0,1350,505,412,0,917,917,0,9,256,549,89,4,1,2,3,2,2,917
16,"PRIMARY SCHOOL.	NOGVA ARJUN R.N.1",716,626,0,1342,499,431,0,930,930,0,5,207,83,622,5,1,0,1,3,3,930
17,"PRIMARY SCHOOL.	KAITHAVARI	R.N.1",573,501,0,1074,398,342,0,740,740,0,62,262,364,41,1,2,0,2,1,5,740
18,"PRIMARY SCHOOL.	NURAPUR R.N.1",236,199,0,435,159,148,0,307,307,0,13,128,145,16,2,0,0,2,1,0,307
19,"PRIMARY SCHOOL.	MADAR KHEDA R.N.1",358,305,0,663,256,227,0,483,310,0,214,138,89,30,3,0,0,0,2,7,483
20,"PRIMARY SCHOOL.	BITHNA R.N.	1",571,502,0,1073,444,340,0,784,746,0,51,168,523,39,0,1,1,0,0,1,784
21,"PRIMARY SCHOOL.	BITHNA R.N.2",253,247,0,500,211,203,0,414,409,0,4,363,32,9,0,1,0,1,1,3,414
22,"PRIMARY SCHOOL.	LALGADHI	R.N.1",424,345,0,769,307,251,0,558,532,0,28,332,184,3,1,1,0,3,1,5,558
23,"PRIMARY SCHOOL.	VAD VAMANI R.N.1",441,378,0,819,308,243,0,551,551,0,51,92,394,8,0,2,0,2,0,2,551
24,"PRIMARY SCHOOL.	BAROLI BHIKAM R.N.1",243,211,0,454,144,76,0,220,220,0,3,25,190,1,0,0,0,0,1,0,220
25,"PRIMARY SCHOOL.	BHAMAROLA R.N.1",353,304,0,657,219,184,0,403,401,0,35,138,219,3,1,1,0,2,3,1,403
26,"JUNIOR HIGH SCHOOL SHAHARI MADNAGDHI R.N. 1",468,398,0,866,306,235,0,541,541,0,36,15,470,16,1,0,1,1,0,1,541
27,"PRIMARY SCHOOL.	RANIHAL R.N.1",340,293,0,633,261,181,0,442,441,0,29,50,345,4,8,0,0,2,1,3,442
28,"PRIMARY SCHOOL.	KARAHALA GOURWA R.N.	1",400,327,0,727,263,193,0,456,456,0,52,79,242,68,2,2,2,5,0,4,456
29,"PRIMARY SCHOOL.	KARAHLA BAGRI R.N.1",173,156,0,329,114,108,0,222,222,0,23,77,118,0,0,0,0,2,0,2,222
30,"PRIMARY SCHOOL.	SHAHARI MADNGRI R.N.	1",634,519,0,1153,432,314,0,746,746,0,27,262,425,20,1,4,0,2,2,3,746
31,"JUNIOR HIGH SCHOOL BAHMATI R.N.1",680,583,0,1263,440,345,0,785,784,0,69,237,409,50,1,1,1,3,3,11,785
32,"PRIMARY SCHOOL.	DHORRAPALAN R.N.1",294,289,0,583,205,182,0,387,384,0,15,59,308,0,4,0,0,1,0,0,387
33,"PRIMARY SCHOOL.	AKBARPUR	R.N.1",438,366,0,804,308,269,0,577,493,0,131,294,130,15,0,1,1,3,0,2,577
34,"PRIMARY SCHOOL.	AKBARAPUR  R.N.2",467,363,0,830,310,238,0,548,538,0,103,182,231,21,4,2,0,1,0,4,548
35,"PRIMARY SCHOOL.	MANDALA	R.N.1",343,304,0,647,198,166,0,364,364,0,25,45,284,7,0,0,0,1,0,2,364
36,"PRIMARY SCHOOL.	BALBHADRAPUR R.N.1",357,308,0,665,279,221,0,500,435,0,6,101,340,45,2,3,1,2,0,0,500
37,"PRIMARY SCHOOL.	RANA R.N. 1",490,398,0,888,340,243,0,583,582,0,77,91,381,23,2,3,0,1,1,4,583
38,"PRIMARY SCHOOL.	DIGSI R.N. 1",497,448,0,945,329,303,0,632,704,0,3,61,477,82,2,0,1,4,1,1,632
39,"PRIMARY SCHOOL.	CHANDAPURA R.N.1",156,139,0,295,106,95,0,201,201,0,0,37,163,0,0,0,0,0,1,0,201
40,"KANYA PRIMARY SCHOOL. BINUPUR R.N.1",639,558,0,1197,421,308,0,729,727,0,29,106,555,20,12,2,2,0,0,3,729
41,"PRIMARY SCHOOL.PINJARI NAGRI	R.N.1",483,408,0,891,300,245,0,545,540,0,22,72,360,81,5,0,0,1,0,4,545
42,"MOHANI INTER COLAGE	BADHON	R.N.1",448,392,0,840,223,155,0,378,357,0,9,52,288,17,6,3,1,1,0,1,378
43,"PRIMARY SCHOOL.	BADHOLA HAJI R.N.1",254,223,0,477,155,120,0,275,257,0,12,166,88,3,3,1,0,1,0,1,275
44,"PRIMARY SCHOOL.	BHARTAPUR	R.N.1",508,447,0,955,378,308,0,686,686,0,54,75,516,29,1,0,0,1,3,7,686
45,"PRIMARY SCHOOL.	RUSTAMPUR NAIMABAD R.N. 1",246,214,0,460,215,177,0,392,361,0,179,3,196,7,0,0,0,2,1,4,392
46,"JUNIOR HIGH SCHOOL HIRAPUR HUSAINAPUR R.N.1",467,394,0,861,301,235,0,536,451,0,158,112,233,29,0,3,0,0,0,1,536
47,"JUNIOR HIGH SCHOOL HIRAPUR HUSAINAPUR R.N.2",369,293,0,662,246,183,0,429,427,0,118,3,291,15,0,0,0,0,0,2,429
48,"JUNIOR HIGH SCHOOL KIRTAPUR NIMANA R.N.1",489,412,0,901,293,223,0,516,516,0,96,81,310,22,1,2,0,2,0,2,516
49,"PRIMARY SCHOOL.	LHORRA NAGLA BADHON	R.N.1",459,386,0,845,297,207,0,504,504,0,69,7,411,15,0,0,0,2,0,0,504
50,"PRIMARY SCHOOL.	DUNAI R.N.1",620,513,0,1133,369,253,0,622,558,0,1,98,476,39,3,1,1,1,0,2,622
51,"PRIMARY SCHOOL.	PARSAHARA	R.N.1",375,331,0,706,270,219,0,489,486,0,3,81,385,14,4,0,1,0,0,1,489
52,"PRIMARY SCHOOL.	NAHARA R.N.1",546,475,0,1021,394,331,0,725,694,0,18,113,542,47,0,2,0,1,2,0,725
53,"PRIMARY SCHOOL.	AMRAPUR NAHARA R.N.1",396,337,0,733,268,217,0,485,481,0,10,128,312,24,4,2,0,1,2,2,485
54,"PRIMARY SCHOOL	KESHONPUR JOFRI R.N. 1",831,747,0,1578,546,360,0,906,899,0,96,248,549,6,1,0,0,3,0,3,906
55,"PRIMARY SCHOOL.	KARILIYA R.N.1",433,378,0,811,321,262,0,583,578,0,15,9,544,9,0,0,0,1,0,5,583
56,"PRIMARY SCHOOL.	LHAUSRA BISAVAN R.N.1",446,374,0,820,316,255,0,571,556,0,11,1,541,6,3,3,1,2,2,1,571
57,"PRIMARY SCHOOL.	RUSTAMAPUR AKHAN .N.1",270,234,0,504,212,181,0,393,355,0,1,205,179,3,2,0,0,0,3,0,393
58,"JUNIOR HIGH SCHOOL LHAUSRA BISAVAN	R.N.1",177,156,0,333,117,106,0,223,200,0,3,191,24,1,1,0,1,0,1,1,223
59,"PRIMARY SCHOOL.	VAJIDAPUR NADA R.N.1",875,752,0,1627,570,452,0,1022,1021,0,52,30,741,159,8,5,3,5,1,18,1022
60,"PRIMARY SCHOOL.HAYATPUR HINGOTIYA R.N.1",401,355,0,756,312,268,0,580,579,0,2,213,349,8,2,2,0,1,1,2,580
61,"PRIMARY SCHOOL.	SALEMAPUR MAFI R.N.1",241,230,0,471,206,186,0,392,392,0,33,273,36,46,2,1,0,0,0,1,392
62,"PRIMARY SCHOOL.	TAJPUR RASULPUR R.N.1",456,383,0,839,364,301,0,665,654,0,1,29,631,2,0,0,0,1,1,0,665
63,"PRIMARY SCHOOL.	TAJAPUR RASULAPUR R.N.2",629,592,0,1221,507,448,0,955,955,0,4,6,905,27,1,1,0,4,1,6,955
64,"SARSWATI VIDYA MANDIR ASRAFAPUR JALAL R.N.1",814,729,0,1543,440,401,0,841,635,0,19,107,685,10,3,2,3,5,2,5,841
65,"SARSWATI VIDYA MANDIR ASRAFAPUR JALAL R.N.4",833,709,0,1542,474,290,0,764,764,0,12,69,661,7,7,1,1,0,1,5,764
66,"SARSWATI VIDYA MANDIR ASRAFAPUR JALAL R.N.2",533,451,0,984,273,234,0,507,460,0,13,136,295,45,2,3,4,3,0,6,507
67,"SARSWATI VIDYA MANDIR ASRAFAPUR JALAL R.N.5",545,454,0,999,260,200,0,460,460,0,9,131,212,95,0,0,2,1,4,6,460
68,"SARSWATI VIDYA MANDIR ASRAFAPUR JALAL R.N.3",679,531,0,1210,323,267,0,590,545,0,9,254,185,112,8,2,6,2,5,7,590
69,"SARSWATI VIDHYA MANDIR ASRAFAPUR JALAL R.N.6",710,537,0,1247,337,264,0,601,527,0,16,133,249,187,10,1,0,1,3,1,601
