"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK KUMAR KANNAOUJIYA","2 - CHHOTELAL","3 - PAKAUDI LAL KOL","4 - BHAGWATI PRASAD CHAUDHARY","5 - SHARADA PRASAD","6 - GUN DEVI GYANI DEVI","7 - S. R. DARAPURI","8 - MANGOI","9 - RAVI SHANKAR KANNAUJIA","10 - RAJKUMAR","11 - SHANKAR KOL","12 - ARUN SINGH CHERO","13 - RAMBRIKSHA","14 - LAWRENCE ANTHONY","15 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDYALAY DHOLO",353,304,0,657,222,161,0,383,355,0,15,105,78,85,52,3,1,2,1,1,8,7,9,5,11,383
2,"PRATHMIK VIDYALAY AMILIPOKHAR",336,279,0,615,189,149,0,338,337,0,7,103,147,5,32,2,0,2,0,2,4,4,11,6,13,338
3,"PRATHMIK VIDYALAY MURTIYA",823,712,0,1535,517,387,0,904,904,0,13,311,243,90,135,4,0,1,5,4,11,9,24,21,33,904
4,"PRATHMIK VIDYALAY UBHBHA",454,395,0,849,253,235,0,488,487,0,9,48,34,265,61,3,0,1,1,2,5,15,17,6,21,488
5,"PRATHMIK VIDYALAY BABHANI",409,374,0,783,287,266,0,553,540,0,15,109,98,261,22,6,2,2,4,2,7,6,8,6,5,553
6,"PRATHMIK VIDYALAY KANHARI  ROOM NO. 1",543,473,0,1016,372,314,0,686,686,0,12,316,122,23,180,3,3,1,4,0,4,3,3,6,6,686
7,"PRATHMIK VIDYALAY KANHARI ROOM NO. 2",407,334,0,741,242,166,0,408,408,0,10,165,70,20,116,2,2,1,3,2,6,4,3,0,4,408
8,"PRATHMIK VIDYALAY LALI",418,384,0,802,286,239,0,525,520,0,12,201,158,70,17,6,1,2,3,2,4,0,17,11,21,525
9,"PRATHMIK VIDYALAY TENDUHAR",540,440,0,980,298,264,0,562,562,0,15,55,166,171,81,5,2,4,2,5,9,10,16,8,13,562
10,"PRATHMIK VIDYALAY PARASAONA (NORTH PART)",545,455,1,1001,307,224,0,531,511,0,14,163,141,40,129,8,2,1,0,2,4,3,9,6,9,531
