"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KANWAR SINGH TANWAR","2 - FARHAT HASAN","3 - RAKESH TIKAIT","4 - HUMERA AKHTAR","5 - KHAJAN SINGH","6 - BRAJLAL","7 - MAHESH","8 - RAKESH","9 - RAJPAL","10 - SARVESH KUMAR SAINI","11 - SYED KALBE RUSHAID RIZVI","12 - HUSNEIN RAZAA","13 - NARESH KUMAR","14 - NARESH CHAND","15 - SURENDRA SINGH","16 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL",454,392,0,846,364,306,0,670,656,0,4,9,1,646,3,0,0,1,1,0,1,0,2,0,0,2,670
2,"PRIMARY SCHOOL, ROOM 1",612,517,0,1129,440,371,0,811,811,0,8,62,4,729,2,0,1,1,0,0,1,0,0,0,0,3,811
3,"PRIMARY SCHOOL, ROOM 2",513,456,0,969,319,276,0,595,590,0,15,12,3,558,0,0,1,0,0,1,0,0,2,1,0,2,595
4,"JUNIOR HIGH SCHOOL, ROOM 1",495,465,0,960,251,232,0,483,477,0,21,26,4,415,4,0,0,0,0,0,1,0,3,0,5,4,483
5,"JUNIOR HIGH SCHOOL, ROOM 2",455,403,0,858,228,188,0,416,60,0,7,10,1,381,4,1,1,2,0,0,0,1,1,1,1,5,416
6,"PRIMARY SCHOOL",409,364,0,773,332,297,0,629,629,0,9,54,1,559,0,1,1,0,0,0,2,0,2,0,0,0,629
7,"PRIMARY SCHOOL",520,487,0,1007,473,429,0,902,830,0,0,4,1,894,1,0,0,0,0,0,0,0,1,0,0,1,902
8,"PRIMARY SCHOOL",639,589,0,1228,550,448,0,998,995,0,3,11,2,973,2,0,0,0,0,0,2,1,0,0,0,4,998
9,"PRIMARY SCHOOL, ROOM 1",655,554,1,1210,488,406,0,894,886,0,43,53,6,767,7,2,0,5,0,0,2,0,3,0,1,5,894
10,"PRIMARY SCHOOL, ROOM 2",613,589,0,1202,468,378,0,846,846,0,6,81,7,736,4,1,1,0,0,1,0,2,2,0,0,5,846
11,"JUNIOR HIGH SCHOOL, ROOM 1",835,721,0,1556,670,448,0,1118,1107,0,103,21,6,961,9,1,1,1,2,0,3,0,5,1,0,4,1118
12,"JUNIOR HIGH SCHOOL, ROOM 3",551,497,0,1048,456,402,0,858,858,0,41,147,5,650,1,1,2,0,2,0,1,0,5,1,0,2,858
13,"JUNIOR HIGH SCHOOL, ROOMM 2",718,704,0,1422,415,608,0,1023,1023,0,7,10,10,968,3,1,0,0,0,1,2,1,6,5,4,5,1023
14,"PRIMARY SCHOOL",693,630,0,1323,564,491,0,1055,1054,0,385,128,18,516,0,0,2,0,0,0,0,1,0,1,1,3,1055
15,"PRIMARY SCHOOL",205,188,0,393,172,151,0,323,323,0,179,121,11,9,0,0,0,0,0,0,0,0,0,1,0,2,323
16,"PRIMARY SCHOOL",257,222,0,479,221,173,0,394,390,0,291,79,2,9,1,0,1,0,0,0,2,0,2,1,2,4,394
17,"PRIMARY SCHOOL",666,569,0,1235,553,359,0,912,912,0,334,416,2,144,2,0,0,0,0,1,1,1,2,4,2,3,912
18,"KISAN INTER COLLEGE, ROOM 1",324,309,0,633,267,253,0,520,501,0,170,267,1,69,1,0,0,0,0,0,0,0,0,2,5,5,520
19,"KISAN INTER COLLEGE, ROOM 2",526,453,0,979,410,374,0,784,778,0,317,253,4,200,0,0,0,0,0,1,1,0,3,0,2,3,784
20,"PRIMARY SCHOOL",597,546,0,1143,425,421,0,846,846,0,245,361,17,196,4,1,1,1,1,1,4,0,2,4,2,6,846
21,"PRIMARY SCHOOL, ROOM 1",439,402,0,841,358,315,0,673,672,0,323,288,8,35,2,12,0,1,0,0,1,0,0,0,2,1,673
