"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ABHISHEK MISRA","2 - NAKUL DUBEY","3 - RAJ NATH SINGH","4 - PROF. RITA BAHUGUNA JOSHI","5 - SYED JAVED AHMED JAFRI","6 - TARA PATKAR","7 - NAND KUMAR LODHI RAJPOOT","8 - RABI DUBEY","9 - RAJ KUMAR SINGH","10 - RADHA KRISHNAN","11 - RAMPHAL RAWAT","12 - VIJAY BAHADUR SINGH","13 - SHISHU PAL YADAV","14 - MOHD. SARWAR MALIK","15 - SUNIL SINGH","16 - SUMAN VERMA","17 - SANJEEV MEHROTRA ALIAS PIKKU BHAI","18 - HARI RAM ALIAS HARIBHAI PATEL","19 - SYED ALI HUSAIN","20 - ASOK PANDE","21 - ADARSH SHASTRI","22 - GHANSHYAM SINGH","23 - PADAM CHANDRA GUPTA","24 - MANOJ SINGH","25 - YOGESH CHANDRA BHATT","26 - RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI","27 - VINAY PRAKASH MISHRA","28 - SHAILENDRA SINGH YADAV","29 - SUBHASH CHANDRA LEHRI","30 - None of the Above","Total Votes Secured"
1,"U.P.AGRO INDUSTRIAL AG.WORKSHOP HALL/1",802,606,0,1408,382,249,0,631,388,0,54,30,360,153,8,3,0,0,1,0,0,0,2,3,0,4,1,0,1,1,0,0,0,2,0,0,2,3,1,2,631
2,"U.P.AGRO INDUSTRIAL AG.WORKSHOP HALL/2",590,430,1,1021,243,130,0,373,373,0,38,37,208,78,6,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,373
3,"U.P.AGRO INDUSTRIAL AG.WORKSHOP HALL/3",577,421,0,998,265,189,0,454,442,0,47,32,249,104,5,0,0,0,0,0,1,1,1,0,1,2,4,0,1,0,0,0,0,1,0,1,0,2,1,1,454
4,"U.P.AGRO INDUSTRIAL AG.WORKSHOP HALL/4",486,378,0,864,169,107,0,276,273,0,19,78,94,67,3,0,0,1,2,1,0,0,0,0,1,1,0,1,2,1,1,0,0,0,0,1,1,1,1,0,276
5,"U.P.AGRO INDUSTRIAL AG.WORKSHOP HALL/5",778,559,0,1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"U.P.AGRO INDUSTRIAL AG.WORKSHOP ROOM NO.2",606,445,0,1051,316,173,0,489,300,0,38,160,155,112,9,0,0,0,0,0,0,0,0,5,0,1,0,1,2,0,0,1,0,0,0,0,1,0,2,2,489
7,"U.P.AGRO INDUSTRIAL AG.WORKSHOP ROOM NO.3",919,688,0,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"GOVT.PRESS WALFARE CENTER AISHBAGH ROOM NO.1",680,523,1,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"GOVT.PRESS WALFARE CENTER AISHBAGH ROOM NO.2",509,382,0,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"BAPU SIKCHA KENDRA CHITTAKHEDA ROOM NO 1",659,531,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"BAPU SIKCHA KENDRA CHITTAKHEDA ROOM NO 2",255,177,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"BAPU SIKCHA KENDRA CHITTAKHEDA ROOM NO 3",668,451,1,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"BAPU SIKCHA KENDRA CHITTAKHEDA ROOM NO 4",780,598,0,1378,333,243,0,576,250,0,72,66,117,265,6,0,0,0,2,0,1,3,2,2,4,7,4,4,5,3,1,0,0,1,1,3,2,2,1,2,576
14,"BAPU SIKCHA KENDRA CHITTAKHEDA ROOM NO 5",619,465,0,1084,240,158,0,398,382,0,24,184,91,71,12,1,0,0,0,0,0,1,0,2,2,2,0,1,1,0,1,0,1,0,0,0,0,1,0,3,398
15,"BAPU SIKCHA KENDRA CHITTAKHEDA ROOM NO 6",428,299,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"BAPU SIKCHA KENDRA CHITTAKHEDA ROOM NO 7",921,716,0,1637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
