"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UMED SINGH KASHYAP","2 - KRISHNA RAJ","3 - CHETRAM","4 - MITHILESH KUMAR","5 - KISHAN LAL","6 - PYARE ALIAS RAJKUMAR GAUTAM","7 - MEVARAM","8 - RAMMURTI","9 - RAMLAL VERMA","10 - SMT REETA SINGH ALIAS REETA BHARTI","11 - SUNITA SUJATA NAGPAL","12 - RAKESH","13 - ROSHAN LAL ALIAS ROSHAN KANAUJIYA","14 - None of the Above","Total Votes Secured"
1,"PRI. SCHOOLGOPALPUR TA0 NAGARIA",725,608,0,1333,508,387,0,895,587,0,62,684,16,113,1,0,0,2,2,1,0,1,4,9,895
2,"PRI. SCHOOL R/NO. 1 BHURSANDI",571,509,0,1080,440,340,0,780,518,0,185,475,8,76,1,1,2,2,2,3,3,1,10,11,780
3,"PRI. SCHOOL R/NO. 1 NAGARIA TA.GOPALPUR",425,409,0,834,335,282,0,617,617,0,157,426,2,20,0,0,0,0,0,1,0,1,2,8,617
4,"PRI. SCHOOL GOBARSANDA",712,540,1,1253,452,310,0,762,762,0,182,394,16,150,5,2,3,1,0,0,1,0,4,4,762
5,"PRI. SCHOOL R/NO. 1 DALELAPUR",210,217,1,428,199,166,0,365,365,0,20,329,12,2,1,0,0,0,0,0,0,0,1,0,365
6,"PRI. SCHOOL R/NO. 1 PARASIN",505,391,0,896,333,252,0,585,397,0,26,259,10,270,9,0,1,1,0,3,0,0,3,3,585
7,"PRI. SCHOOL  PIPRAULI",663,602,0,1265,434,313,0,747,747,0,170,480,15,57,1,2,1,2,2,1,3,0,6,7,747
8,"PRI. SCHOOL R/NO. 1 SIYURA E.GOBARSANDA",388,322,0,710,297,229,0,526,526,0,257,192,4,49,0,3,0,1,3,2,0,2,6,7,526
9,"PRI. SCHOOL R/NO. 1 PINGRA PINGRI",493,381,0,874,306,225,0,531,531,0,113,242,8,158,1,3,0,0,0,0,1,1,3,1,531
10,"PRI. SCHOOL R/NO. 1 PINGRA PINGRI",467,335,1,803,268,195,0,463,463,0,58,220,12,153,3,1,0,1,1,0,2,1,5,6,463
11,"PRI. SCHOOL R/NO. 1 KOHNI",275,184,0,459,190,117,0,307,233,0,198,37,2,62,0,0,0,0,0,0,2,1,1,4,307
12,"PRI. SCHOOL R/NO. 1 DHANYORA",511,412,2,925,308,202,0,510,357,0,82,330,7,76,1,0,1,1,1,1,2,2,1,5,510
13,"PRI. SCHOOL R/NO. 2 DHANYORA",430,343,0,773,250,146,0,396,396,0,35,289,2,51,1,0,1,1,1,0,1,2,4,8,396
14,"PRI. SCHOOL R/NO. 1 SUNAORA AJMATPUR",452,356,0,808,325,225,0,550,380,0,60,427,4,46,0,0,0,0,1,3,1,0,1,7,550
