"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ABHISHEK MISRA","2 - NAKUL DUBEY","3 - RAJ NATH SINGH","4 - PROF. RITA BAHUGUNA JOSHI","5 - SYED JAVED AHMED JAFRI","6 - TARA PATKAR","7 - NAND KUMAR LODHI RAJPOOT","8 - RABI DUBEY","9 - RAJ KUMAR SINGH","10 - RADHA KRISHNAN","11 - RAMPHAL RAWAT","12 - VIJAY BAHADUR SINGH","13 - SHISHU PAL YADAV","14 - MOHD. SARWAR MALIK","15 - SUNIL SINGH","16 - SUMAN VERMA","17 - SANJEEV MEHROTRA ALIAS PIKKU BHAI","18 - HARI RAM ALIAS HARIBHAI PATEL","19 - SYED ALI HUSAIN","20 - ASOK PANDE","21 - ADARSH SHASTRI","22 - GHANSHYAM SINGH","23 - PADAM CHANDRA GUPTA","24 - MANOJ SINGH","25 - YOGESH CHANDRA BHATT","26 - RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI","27 - VINAY PRAKASH MISHRA","28 - SHAILENDRA SINGH YADAV","29 - SUBHASH CHANDRA LEHRI","30 - None of the Above","Total Votes Secured"
1,"DOOR SANCHAR BAL SHIKSHA NIKETAN  ROOM NO-1",734,683,0,1417,434,323,0,757,754,0,9,5,552,160,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,757
2,"DOOR SANCHAR BAL SHIKSHA NIKETAN  ROOM NO-2",633,551,0,1184,365,277,0,642,642,0,31,23,387,168,14,1,0,0,1,1,2,2,3,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,642
3,"DOOR SANCHAR BAL SHIKSHA NIKETAN  ROOM NO-3",421,415,0,836,256,248,0,504,495,0,24,15,335,104,21,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,504
4,"PRATHMIK VIDHALAYA KEREHTA ROOM  NO-1                 3",660,560,0,1220,334,242,0,576,562,0,32,26,349,142,11,1,0,0,0,0,0,0,0,0,1,0,0,4,1,2,1,0,3,0,0,0,0,0,2,1,576
5,"MADARSA TALEEMUL QURAN ROOM NO-1",830,627,0,1457,496,357,0,853,841,0,32,129,276,381,8,2,0,1,0,0,0,1,1,1,1,7,1,0,3,2,1,1,0,1,0,1,1,0,0,2,853
6,"PIONEER MONTESSORY ROOM NO-1",785,718,0,1503,437,339,0,776,762,0,45,221,367,111,7,1,0,1,2,1,1,1,0,0,3,2,2,3,2,0,0,0,0,1,0,0,0,0,0,5,776
7,"PIONEER MONTESSORY ROOM NO-2",668,628,0,1296,381,337,0,718,718,0,39,110,467,65,19,0,1,0,0,5,1,0,1,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,3,718
8,"PIONEER MONTESSORY ROOM NO-3",360,357,0,717,276,232,0,508,508,0,33,6,429,27,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508
9,"POONAM SHIKSHA NIKETAN ROOM NO-01",514,448,0,962,272,202,0,474,474,0,31,7,269,151,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,474
10,"POONAM SHIKSHA NIKETAN ROOM NO-02",506,429,0,935,273,233,0,506,506,0,10,9,368,96,13,0,0,1,0,0,1,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,506
11,"PRATHMIK VIDHYALAYA ROOM -1",793,705,0,1498,492,400,0,892,517,0,28,102,464,218,22,2,0,0,0,0,1,1,2,5,0,3,3,5,6,5,1,1,3,2,2,0,4,2,3,7,892
12,"PRATHMIK VIDHYALAYA ROOM -2",805,710,0,1515,433,325,0,758,574,0,74,24,244,384,4,1,1,0,0,1,0,0,1,2,0,4,3,0,1,3,3,2,1,3,0,0,0,0,1,1,758
13,"GOPINATH LAXMANDAS RASTOGI INTER COLLEGE ROOM NO. 1",516,443,0,959,232,146,0,378,309,0,28,17,154,166,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,378
14,"GOPINATH LAXMANDAS RASTOGI INTER COLLEGE ROOM NO. 2",509,467,0,976,323,273,0,596,192,0,8,17,440,102,16,0,0,0,0,0,0,0,1,0,1,2,2,1,0,0,0,1,0,0,0,0,2,0,0,3,596
15,"GOPINATH LAXMANDAS RASTOGI INTER COLLEGE ROOM NO. 3",460,396,0,856,238,191,0,429,405,0,22,13,249,130,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,429
16,"GOPINATH LAXMANDAS RASTOGI INTER COLLEGE ROOM NO. 4",435,389,0,824,196,178,0,374,374,0,13,7,217,116,16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,374
17,"GOPINATH LAXMANDAS RASTOGI INTER COLLEGE ROOM NO. 5",513,559,0,1072,325,342,0,667,640,0,28,11,494,88,34,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,5,667
18,"N.C. CHATURVEDI BADHIR VIDHYALAY ROOM NO. 1",679,624,0,1303,388,381,0,769,695,0,10,231,192,291,8,2,0,1,0,0,0,0,1,1,1,1,2,3,4,2,1,0,1,0,2,1,5,2,1,6,769
19,"N.C. CHATURVEDI BADHIR VIDHYALAY ROOM NO. 2",628,513,0,1141,332,255,0,587,586,0,66,12,34,442,13,0,0,0,1,2,2,1,4,2,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,587
20,"N.C. CHATURVEDI BADHIR VIDHYALAY ROOM NO. 3",729,560,0,1289,295,216,0,511,508,0,12,27,254,195,15,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,511
21,"N.C. CHATURVEDI BADHIR VIDHYALAY ROOM NO. 4",711,574,0,1285,484,301,0,785,785,0,28,154,416,155,10,2,0,0,0,0,0,1,3,2,2,1,1,3,1,1,0,0,0,2,0,0,0,1,0,2,785
