"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GIRISH CHANDRA","2 - YASHWANT SINGH","3 - YASHVIR SINGH","4 - OMPRAKASH RAVI","5 - TEJ SINGH","6 - BHAGWAN DASS RATHOR","7 - MANJU DEVI","8 - VINOD KUMAR","9 - SHARISHTHA KUMAR SINGH","10 - SHEESHRAM SINGH RAVI","11 - SARIKA","12 - ASARPAT SINGH","13 - SHAMSHER","14 - SUNIL","15 - None of the Above","Total Votes Secured"
1,"P.V. TIBRI",857,645,0,1502,458,402,0,860,860,0,34,298,486,3,2,0,0,0,0,19,1,3,6,3,5,860
2,P.V.TIBRI,763,604,0,1367,488,406,0,894,886,0,136,152,573,8,2,0,1,1,0,15,2,1,1,1,1,894
3,"P.V.BURHAN NAGAR",178,151,0,329,168,143,0,311,311,0,12,293,1,0,0,3,0,0,0,0,0,1,0,1,0,311
4,"P.V.HAKIMPUR MEGHA",154,165,0,319,143,130,0,273,273,0,69,185,19,0,0,0,0,0,0,0,0,0,0,0,0,273
5,"P.V.OURANGSHAHPUR BANWARI",389,358,0,747,230,294,0,524,524,0,143,175,195,2,0,0,1,0,0,0,1,0,3,2,2,524
6,"P.V. HUSAINPUR HAMEED",720,584,0,1304,279,354,0,633,605,0,55,4,546,4,0,4,0,0,0,1,10,0,4,2,3,633
7,P.V.DHURARA,551,475,0,1026,379,343,0,722,722,0,391,296,6,5,2,3,1,1,1,0,1,1,3,7,4,722
8,P.V.KOPA,451,355,0,806,300,285,0,585,585,0,60,372,121,3,0,2,0,0,0,2,2,5,2,10,6,585
9,"P.V.SHAHALIPUR NICHAL",851,719,0,1570,572,499,0,1071,1059,0,352,488,165,0,1,5,2,1,0,32,5,2,4,6,8,1071
10,"PANCHAYAT GHAR NATHADOI",685,568,0,1253,527,429,0,956,956,0,673,234,19,1,2,0,3,1,1,0,2,2,1,6,11,956
11,P.V.KODUPURA,503,452,0,955,401,358,0,759,719,0,359,368,10,2,0,3,0,0,1,8,1,0,4,1,2,759
12,"P.V. NOORPUR CHHIBRI R.NO.1",793,672,0,1465,535,473,0,1008,1008,0,632,45,162,5,2,1,0,2,1,145,3,0,0,3,7,1008
13,"P.V. NOORPUR CHHIBRI R.NO.2",631,550,0,1181,380,368,0,748,748,0,16,436,273,6,0,0,2,1,0,1,1,0,3,4,5,748
14,"P.V.BADSHAHPUR LAXMISAIN",494,443,0,937,347,331,0,678,654,0,192,445,32,2,0,2,0,0,0,1,0,0,1,2,1,678
15,"P.V.MOHD.ALIPUR LALMAN",664,552,0,1216,412,394,0,806,788,0,129,361,277,5,1,4,2,0,1,10,1,0,3,8,4,806
16,"P.V.AZAMPUR JAMNIBHAN R.NO.1",714,632,0,1346,475,431,0,906,816,0,291,534,52,2,0,1,1,1,2,3,0,1,1,8,9,906
17,"P.V.AZAMPUR JAMNIBHAN R.NO.2",488,431,0,919,311,288,0,599,580,0,236,281,48,1,3,3,0,0,0,22,1,1,0,1,2,599
18,P.V.SADTABAD,283,259,0,542,202,225,0,427,427,0,198,111,113,1,1,0,0,0,0,0,0,0,1,1,1,427
19,"P.V.NWADA SAIDPUR JALAL URF BHOOTPURI",799,653,0,1452,574,440,0,1014,1014,0,244,540,204,1,0,0,2,1,0,3,6,0,4,6,3,1014
20,"P.V.FAHTEHPUR JAMAL",541,440,0,981,375,354,0,729,704,0,230,146,319,4,1,1,0,0,0,9,4,1,6,4,4,729
21,"P.V.FAHTEHPUR JAMAL",339,289,0,628,253,233,0,486,486,0,266,4,196,11,0,0,0,1,0,2,0,0,0,1,5,486
22,"P.V.MOHD.PUR JAMAL",403,341,0,744,237,246,0,483,469,0,142,189,114,1,1,1,0,1,0,31,0,1,1,0,1,483
23,"P.V.HAFIZABAD SHRKI R.NO.1",711,611,0,1322,473,441,0,914,884,0,134,639,117,5,3,0,0,1,0,2,0,1,3,2,7,914
24,"P.V.HAFIZABAD SHRKI R.NO.2",554,456,0,1010,391,342,0,733,642,0,394,299,17,0,2,2,1,0,0,5,1,0,1,4,7,733
25,"P.V.HAFIZABAD SHRKI R.NO.3",518,470,0,988,283,308,0,591,568,0,143,309,120,0,0,0,0,1,1,7,2,0,3,1,4,591
26,"P.V.LAIDER PUR",279,223,0,502,192,154,0,346,337,0,124,198,14,0,0,0,1,1,0,0,1,0,0,2,5,346
27,"KISAN J.H.SCHOOL MUBARAKPUR TAPPA BHARTI",435,399,0,834,288,278,0,566,566,0,149,304,85,2,3,0,0,0,2,5,1,3,3,4,5,566
28,"P.V.ASPHABAD BHAWAN",619,515,0,1134,386,371,0,757,757,0,383,145,209,1,3,1,1,0,0,8,2,1,0,1,2,757
29,"P.V.UMARPUR BANGAR",342,305,0,647,277,234,0,511,511,0,389,93,23,1,1,0,0,0,1,0,0,0,0,1,2,511
30,"PANCHYAT GHAR MOHD.PUR SADA",347,320,0,667,268,222,0,490,481,0,63,379,42,1,0,0,1,1,0,0,1,0,0,2,0,490
31,P.V.GAJRAULA,462,410,0,872,363,307,0,670,670,0,390,224,38,0,2,1,0,0,0,1,1,2,1,4,6,670
32,"P.V.PHATEHPUR LAL",443,382,0,825,327,302,0,629,629,0,344,261,13,0,1,0,0,0,0,1,0,0,0,3,6,629
33,"P.V.SHEKHPUR BHAVRA",427,362,0,789,321,284,0,605,605,0,273,296,23,3,5,1,0,0,0,0,0,0,0,1,3,605
