"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DIMPLE YADAV","2 - NIRMAL TIWARI","3 - SUBRAT PATHAK","4 - IMRAN BIN ZAFAR","5 - GANGA CHARAN","6 - PUSHPA DEVI","7 - SUBODH KUMAR","8 - SURENDRA NATH","9 - PRADEEP KUMAR","10 - MUHAR SINGH AMVADI","11 - RAKESH KUMAR TIWARI ADVOCATE","12 - SANJAY SHAKYA","13 - None of the Above","Total Votes Secured"
1,"PRAIMARI PATHSALA MIRJAPUR LAKOTHIYA",518,419,0,937,343,266,0,609,609,0,268,65,267,1,0,0,0,0,0,1,1,1,5,609
2,"PANCHAYAT GHAR FATTEHPUR BAKOTHIYA",482,394,0,876,339,270,0,609,576,0,271,61,274,1,0,1,0,0,0,0,0,0,1,609
3,"PRATHMIC PATHSALA REWRI",272,229,0,501,209,142,0,351,351,0,302,35,8,0,0,0,0,0,1,2,0,2,1,351
4,"PRATHMIC PATHSALA MAIJU SAMASTPUR",486,398,0,884,390,325,0,715,715,0,398,238,70,2,1,0,0,0,0,3,2,0,1,715
5,"PRATHMIC PATHSALA SAMASTPUR NYORAJ",751,599,0,1350,541,340,0,881,881,0,715,25,116,1,1,1,1,0,1,13,2,1,4,881
6,"PURWA MADHYAMIC VIDYALAYA SIKANDARPUR BILLHAUR",433,358,0,791,335,242,0,577,8,0,384,69,116,0,1,0,2,0,0,0,2,0,3,577
7,"PRATHMIC PATHSALA NAILA UATARI KASH",830,660,0,1490,488,358,0,846,846,0,435,245,123,6,1,0,6,1,1,2,7,8,11,846
8,"PRATHMIC PATHSALA NAILA DACHIDI KASHH",480,394,0,874,285,205,0,490,83,0,174,141,150,3,0,0,1,0,0,8,4,4,5,490
9,"PRATHMIC PATHSALA NAILA MADHYA KASHH",437,364,0,801,256,195,0,451,451,0,68,4,360,5,0,1,1,0,1,5,5,1,0,451
10,"PRATHMIC PATHSALA GADAIPUR",460,374,0,834,322,235,0,557,357,0,527,4,13,4,0,1,0,0,0,1,2,0,5,557
11,"PRATHMIC PATHSALA LAGHPURWA MAJRA GADANPUR RASULABAD",214,169,0,383,156,114,0,270,270,0,245,1,22,0,0,0,0,0,0,1,0,0,1,270
12,"PRATHMIC PATHSALA GUDAR MAJRA TISAH",257,207,0,464,257,194,0,451,451,0,391,18,38,2,0,0,0,0,0,0,0,1,1,451
13,"PRATHMIC PATHSALA KHIRIYA",323,264,0,587,198,174,0,372,90,0,201,110,55,0,0,0,0,1,0,0,2,2,1,372
14,"PRATHMIC PATHSALA GHAGHU",412,334,0,746,263,203,0,466,466,0,215,50,192,1,0,0,1,0,1,2,0,0,4,466
15,"PRATHMIC PATHSALA ANTTA",765,701,0,1466,524,435,0,959,959,0,391,148,399,4,2,1,1,2,2,2,5,1,1,959
16,"PRATHMIC PATHSALA GUDAILA",340,306,0,646,271,235,0,506,506,0,345,47,102,5,1,0,0,0,0,0,3,2,1,506
17,"PRATHMIC PATHSALA NIWADA ANI",464,393,0,857,345,273,0,618,618,0,274,37,293,2,1,1,2,2,0,1,3,0,2,618
18,"PRATHMIC PATHSALA RAMPUR TALUKA",357,296,0,653,293,226,0,519,519,0,428,33,50,0,0,0,0,0,0,1,6,0,1,519
19,"PRATHMIC PATHSALA MALHPUR",413,337,0,750,296,254,0,550,550,0,403,9,121,2,2,1,0,2,1,0,2,1,6,550
20,"PRATHMIC PATHSALA PALIYA BANSKHEDA",880,715,0,1595,536,415,0,951,926,0,458,98,388,2,0,1,0,1,0,0,2,0,1,951
21,"PRATHMIC PATHSALA GOPALPUR TALUKA",715,595,0,1310,474,424,0,898,298,0,468,336,70,4,1,0,1,0,2,0,5,3,8,898
22,"PRATHMIC PATHSALA MURRA",597,484,0,1081,409,295,0,704,295,0,419,173,102,2,1,0,0,1,1,0,1,0,4,704
23,"PRATHMIC PATHSALA DHARMUPUR",420,328,0,748,311,256,0,567,401,0,173,319,53,1,0,0,0,2,0,1,8,1,9,567
24,"PRATHMIC PATHSALA BARIGAUN",807,603,0,1410,594,354,0,948,940,0,696,58,176,8,0,0,0,1,0,1,4,1,3,948
25,"PRATHMIC PATHSALA RASULPUR RASULABAD",529,445,0,974,395,289,0,684,11,0,551,95,25,1,3,0,0,0,0,0,3,1,5,684
26,"PRATHMIC PATHSALA NAUHANAUGANW UTARI KACHH",587,448,0,1035,366,241,0,607,607,0,379,87,127,3,3,1,1,1,0,1,4,0,0,607
27,"PRATHMIC PATHSALA NAUHANAUGANW DACHILI KACHH",670,534,0,1204,421,247,0,668,125,0,405,74,171,2,0,0,0,2,1,2,4,0,7,668
28,"PRATHMIC PATHSALA MAHBOOBPUR",239,199,0,438,186,159,0,345,345,0,247,67,19,1,0,0,0,0,1,1,2,1,6,345
29,"PRATHMIC PATHSALA KASMADA UTTARI KACHH",529,415,0,944,341,249,0,590,590,0,349,34,203,1,0,0,0,0,0,0,0,3,0,590
30,"PRATHMIC PATHSALA KASMADA DACHIDI KACHH",537,431,0,968,337,282,0,619,419,0,480,51,79,0,2,1,1,0,2,0,1,0,2,619
31,"PURWA MADHYAMIC VIDYALAYA VIRHUN",829,625,0,1454,554,407,0,961,472,0,637,21,294,1,0,0,0,1,0,1,1,2,3,961
32,"PURWA MADHYAMIC VIDYALAYA VIRHUN PACHIMI KACHH",904,674,0,1578,562,437,0,999,512,0,405,192,380,9,0,0,2,0,2,4,4,0,1,999
33,"PRATHMIC PATHSALA BAHELIYANPURWA MAJRA BIRHUN",511,413,0,924,365,287,0,652,67,0,430,88,104,4,2,0,1,1,0,3,6,6,7,652
34,"PRATHMIC PATHSALA BARAPUR",377,307,0,684,268,217,0,485,485,0,362,14,102,0,1,0,0,1,0,1,3,0,1,485
35,"PRATHMIC PATHSALA MUNAVVARPUR RASULABAD",380,315,0,695,285,211,0,496,491,0,304,127,62,0,0,0,0,1,0,0,2,0,0,496
