"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DIMPLE YADAV","2 - NIRMAL TIWARI","3 - SUBRAT PATHAK","4 - IMRAN BIN ZAFAR","5 - GANGA CHARAN","6 - PUSHPA DEVI","7 - SUBODH KUMAR","8 - SURENDRA NATH","9 - PRADEEP KUMAR","10 - MUHAR SINGH AMVADI","11 - RAKESH KUMAR TIWARI ADVOCATE","12 - SANJAY SHAKYA","13 - None of the Above","Total Votes Secured"
1,"G.P.P.NORTH SIDE NAYA BAHAVAN SAURIKH",572,471,0,1043,409,317,0,726,726,0,569,5,140,0,1,0,0,0,0,0,4,0,7,726
2,"G.P.P SOUTH SIDE NAYA BAHAVAN SAURIKH",427,375,0,802,291,223,0,514,94,0,423,11,71,4,0,0,0,0,0,0,2,1,2,514
3,"P.P. PURANA BHAVAN SAURIKH",410,345,0,755,174,143,0,317,317,0,193,12,111,0,0,0,0,0,0,0,1,0,0,317
4,"P.P. NAYA BAHAVAN SAURIKH",441,331,0,772,224,143,0,367,166,0,184,6,172,0,0,0,0,0,0,1,1,0,3,367
5,"P.P. NAYA BAHAVAN SAURIKH",465,428,0,893,220,192,0,412,362,0,142,5,259,1,1,0,1,0,0,0,0,1,2,412
6,"RISHI BHOMI INTER COLLEGE SAURIKH",423,362,0,785,278,229,0,507,370,0,265,9,232,0,0,0,0,0,0,0,1,0,0,507
7,"RISHI BHOMI INTER COLLEGE SAURIKH",578,489,0,1067,341,278,0,619,1,0,370,46,170,3,2,1,3,5,0,2,4,0,13,619
8,"BARATGHAR SAURIKH",419,357,0,776,288,232,0,520,12,0,300,23,189,1,1,0,2,0,0,0,3,0,1,520
9,"J.H.SCHOOL NORTH SIDE SAURILH",359,253,0,612,179,137,0,316,155,0,251,7,55,3,0,0,0,0,0,0,0,0,0,316
10,"J.H.SCHOOL MIDLE SIDE SAURILH",314,236,0,550,173,121,0,294,200,0,262,8,21,2,0,0,0,0,0,0,1,0,0,294
11,"RISHI BHOMI INTER COLLEGE SAURIKH",518,425,0,943,276,213,0,489,6,0,104,16,362,3,1,0,1,0,0,1,0,0,1,489
12,"P.S. PURANA BHAVAN P.BHAG SAURIKH",632,483,0,1115,260,209,0,469,17,0,171,49,241,2,0,0,0,1,0,1,0,0,4,469
13,"J.H.SCHOOL SAURILH EXTRA ROOM N.2",532,419,0,951,253,227,0,480,470,0,230,52,183,8,0,0,0,0,1,1,0,1,4,480
14,"J.H SCHOOL ALIPUR",303,221,0,524,208,153,0,361,27,0,199,13,140,1,0,0,0,0,1,0,6,0,1,361
15,"P.P SARADAPUR",479,451,0,930,418,368,0,786,572,0,758,15,5,0,0,0,0,0,0,0,3,1,4,786
16,"P.P. EAST SIDE RAJAPUR",440,390,0,830,325,328,0,653,45,0,490,36,113,8,0,0,0,0,0,1,2,1,2,653
17,"P.P. EXTRA ROOM RAJAPUR",362,297,0,659,279,200,0,479,222,0,289,113,57,6,1,0,1,1,2,0,2,1,6,479
18,"P.P. KAYAMPUR",629,535,0,1164,454,329,0,783,10,0,168,30,561,4,1,1,1,2,1,2,6,2,4,783
19,"P.P AGHARANPUR",510,447,0,957,426,319,0,745,45,0,31,111,591,1,0,1,0,0,0,2,4,0,4,745
20,"P.P. KATHIGARA",554,417,0,971,368,255,0,623,600,0,222,158,232,0,0,0,0,0,0,0,4,2,5,623
21,"P.P. FOOLANPUR",245,198,0,443,201,152,0,353,140,0,119,35,186,2,0,0,0,2,0,1,3,2,3,353
22,"P.P. NAGALA SAMADHAN",217,171,0,388,195,139,0,334,4,0,300,0,32,0,0,0,0,0,0,0,0,0,2,334
