"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KANWAR SINGH TANWAR","2 - FARHAT HASAN","3 - RAKESH TIKAIT","4 - HUMERA AKHTAR","5 - KHAJAN SINGH","6 - BRAJLAL","7 - MAHESH","8 - RAKESH","9 - RAJPAL","10 - SARVESH KUMAR SAINI","11 - SYED KALBE RUSHAID RIZVI","12 - HUSNEIN RAZAA","13 - NARESH KUMAR","14 - NARESH CHAND","15 - SURENDRA SINGH","16 - None of the Above","Total Votes Secured"
40,"PRIMARY SCHOOL",435,380,0,815,296,271,0,567,567,0,281,32,9,234,1,2,0,0,0,2,0,1,0,1,0,4,567
41,"PRIMARY SCHOOL",677,599,0,1276,402,456,0,858,858,0,279,191,10,333,6,0,3,3,0,0,1,3,5,6,9,9,858
42,"PRIMARY SCHOOL",242,202,0,444,217,176,0,393,393,0,345,9,1,20,0,0,0,0,1,2,0,0,3,1,2,9,393
43,"PRIMARY SCHOOL",259,211,0,470,213,195,0,408,408,0,328,52,0,23,0,0,0,1,0,0,0,0,1,1,1,1,408
44,"PRIMARY SCHOOL",516,464,0,980,434,377,0,811,811,0,622,43,48,88,0,0,0,0,0,0,0,1,1,0,2,6,811
45,"PRIMARY SCHOOL",475,442,0,917,361,360,0,721,721,0,278,430,2,8,0,0,0,0,0,0,0,0,0,1,1,1,721
46,"PRIMARY SCHOOL ROOM 1",438,418,0,856,356,350,0,706,706,0,667,4,0,15,0,1,0,1,0,2,0,0,1,0,2,13,706
47,"PRIMARY SCHOOL ROOM 2",475,420,0,895,378,362,0,740,740,0,407,21,6,289,1,0,1,0,0,0,2,0,0,2,2,9,740
48,"JUNIOR HIGH SCHOOL",614,538,0,1152,469,415,0,884,884,0,286,480,8,90,0,0,1,0,0,0,1,0,3,3,6,6,884
49,"PRIMARY SCHOOL",454,393,0,847,384,337,0,721,721,0,620,68,2,8,0,1,0,1,0,2,0,0,1,0,3,15,721
50,"PRIMARY SCHOOL ROOM 1",465,405,0,870,316,326,0,642,642,0,83,316,8,219,4,0,0,0,0,1,2,1,3,0,2,3,642
51,"PRIMARY SCHOOL ROOM 2",432,376,0,808,349,269,0,618,618,0,112,412,10,66,0,2,2,1,1,0,1,1,1,2,3,4,618
52,"JUNIOR HIGH SCHOOL ROOM 1",500,421,0,921,404,335,0,739,739,0,119,326,13,268,3,0,3,0,0,0,0,1,1,1,2,2,739
53,"JUNIOR HIGH SCHOOL ROOM 3",389,358,0,747,307,289,0,596,596,0,130,47,3,397,3,2,1,1,0,0,0,0,3,3,2,4,596
54,"JUNIOR HIGH SCHOOL ROOM 2",544,439,0,983,328,238,0,566,566,0,264,79,2,212,1,1,1,0,0,0,0,0,1,0,2,3,566
55,"JUNIOR HIGH SCHOOL ROOM 4",556,424,0,980,348,276,0,624,624,0,91,407,5,109,0,0,0,0,2,0,1,0,1,0,6,2,624
56,"PRIMARY SCHOOL",497,369,0,866,364,299,0,663,663,0,179,288,5,173,2,2,1,2,1,2,0,0,1,3,2,2,663
57,"PRIMARY SCHOOL",742,535,0,1277,369,505,0,874,874,0,626,178,4,49,0,0,1,1,1,2,0,1,1,1,2,7,874
58,"PRIMARY SCHOOL",660,552,0,1212,512,404,0,916,916,0,485,264,5,144,4,1,0,1,1,1,1,1,1,2,2,3,916
59,"PRIMARY SCHOOL",611,538,0,1149,392,366,0,758,758,0,496,182,1,58,0,1,0,1,0,1,2,0,4,1,2,9,758
60,"JUNIOR HIGH SCHOOL ROOM 1",630,550,0,1180,469,436,0,905,905,0,369,422,7,92,2,0,1,1,1,1,2,0,1,2,1,3,905
61,"JUNIOR HIGH SCHOOL ROOM 2",785,721,0,1506,576,529,0,1105,1105,0,334,182,4,553,7,2,5,1,2,0,0,0,4,1,2,8,1105
62,"PRIMARY SCHOOL",656,548,0,1204,441,392,0,833,833,0,432,46,6,322,0,1,0,0,1,2,3,0,5,3,2,10,833
63,"PRIMARY SCHOOL",238,200,0,438,230,179,0,409,409,0,406,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,409
64,"PRIMARY SCHOOL",507,454,0,961,387,352,0,739,739,0,287,131,4,297,6,2,2,0,1,0,0,1,4,0,1,3,739
65,"PRIMARY SCHOOL",551,498,0,1049,452,407,0,859,859,0,580,119,20,114,1,2,1,1,2,1,0,1,3,1,1,12,859
66,"PRIMARY SCHOOL",580,566,0,1146,475,445,0,920,920,0,420,196,0,294,0,0,0,1,0,0,1,0,4,2,1,1,920
67,"PRIMARY SCHOOL",243,205,0,448,184,162,0,346,346,0,263,8,2,69,0,0,0,0,0,0,0,0,2,1,0,1,346
68,"PRIMARY SCHOOL",516,468,0,984,412,386,0,798,798,0,606,9,1,168,2,1,1,1,0,1,2,0,1,0,1,4,798
69,"PRIMARY SCHOOL",282,258,0,540,234,224,0,458,458,0,241,17,3,192,2,0,0,1,0,0,0,0,1,0,1,0,458
70,"PRIMARY SCHOOL",318,288,0,606,277,247,0,524,524,0,457,3,5,53,0,0,0,0,1,1,0,2,0,0,0,2,524
