"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY RAI","2 - KAILASH CHAURASIYA","3 - NARENDRA MODI","4 - VIJAY PRAKASH JAISAWAL","5 - HIRALAL YADAV","6 - A.K. AGGARWAL","7 - ABHIMANYU SINGH PATEL","8 - ARVIND KEJRIWAL","9 - ARUN","10 - INDIRA TIWARI","11 - USMAN","12 - OM GURU CHARAN DAS ALIAS VIMAL KUMAR SINGH","13 - DEVI PRASAD NAND","14 - NARENDRA NATH DUBEY ADIG","15 - BACHCHELAL","16 - RAJESH BHARTI SURYA","17 - RAM LAKHAN GUPTA","18 - LALLAN","19 - SHIVHARI AGARWAL","20 - SANTOSH KUMAR","21 - HARI LAL","22 - HEMANT KUMAR YADAV","23 - AHMED SOHEL SIDDIQUI","24 - IFTEKHAR KURAISHI","25 - GHANSHYAM","26 - JOHNSON THOMAS","27 - NARENDRA BAHADUR SINGH","28 - PRAKASH PRASAD","29 - PRABHAT KUMAR","30 - PRAMOD KUMAR","31 - BACHCHAN PRASAD YADAV","32 - BASEER KINNAR","33 - MANOJ KUMAR CHAUBEY","34 - MAHENDRA MISHRA","35 - RAVINDRA KUMAR","36 - RAJIV KUMAR MISHRA","37 - RAJENDRA PRASAD GARIB DAS","38 - RAMPYARE SINGH","39 - SHIV KUMAR SHAH","40 - SATISH SHANKAR JAYASWAL","41 - SATYAPRAKASH SRIVASTAVA","42 - SARVESH KUMAR GUPTA","43 - None of the Above","Total Votes Secured"
17,"UDAI PRATAP DEGREE CCOLLEGE BHOJUBIR R.NO.2",731,589,0,1320,345,300,0,645,600,35,16,18,461,38,0,1,1,75,3,1,0,0,2,0,1,1,0,2,2,0,1,1,2,0,1,2,0,2,1,4,0,0,0,0,1,0,1,1,0,0,0,4,2,645
18,"UDAI PRATAP DEGREE CCOLLEGE BHOJUBIR R.NO.3",713,587,0,1300,396,309,0,705,640,65,33,16,542,27,0,1,0,64,1,2,1,1,0,1,0,3,1,2,1,1,0,0,1,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,705
19,"UDAI PRATAP DEGREE CCOLLEGE BHOJUBIR R.NO.4",736,573,0,1309,430,321,0,751,739,12,24,13,583,18,1,1,2,71,3,2,1,1,0,3,0,3,0,0,4,0,0,0,0,5,1,1,3,1,1,2,0,0,2,2,0,0,2,0,0,0,0,1,0,751
20,"UDAI PRATAP DEGREE CCOLLEGE BHOJUBIR R.NO.5",465,401,0,866,279,195,0,474,434,40,15,5,352,31,0,2,1,59,1,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,474
21,"UDAI PRATAP DEGREE CCOLLEGE BHOJUBIR R.NO.6",607,479,0,1086,284,203,0,487,462,25,25,4,339,57,0,1,0,44,0,1,0,0,1,1,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,2,487
22,"UDAI PRATAP INTER COLLEGE .BHOJUBIR R.NO.1",735,592,0,1327,435,339,0,774,763,11,51,9,568,20,2,1,0,103,3,1,0,0,1,2,1,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,774
23,"UDAI PRATAP INTER COLLEGE .BHOJUBIR R.NO.2",633,567,0,1200,330,241,0,571,571,0,22,7,375,11,0,0,1,113,3,0,0,1,1,1,5,3,0,0,1,0,2,1,0,4,2,3,1,2,2,0,2,3,0,1,0,0,0,0,1,0,0,0,3,571
24,"UDAI PRATAP INTER COLLEGE .BHOJUBIR R.NO.3",682,614,0,1296,431,327,0,758,724,34,30,17,558,36,2,5,0,81,2,2,0,1,0,1,1,4,0,2,2,1,0,0,0,0,0,2,0,2,2,0,0,3,0,1,0,0,1,0,0,1,1,0,0,758
25,"UDAI PRATAP INTER COLLEGE .BHOJUBIR R.NO.4",664,551,0,1215,381,316,0,697,697,0,37,3,539,31,1,1,0,55,3,1,1,3,2,1,1,7,1,0,0,1,0,0,0,0,2,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,697
26,"UDAI PRATAP INTER COLLEGE .BHOJUBIR R.NO.5",583,481,0,1064,352,226,0,578,578,0,14,17,390,91,2,0,0,52,1,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,578
27,"UDAI PRATAP INTER COLLEGE .BHOJUBIR R.NO.6",428,443,0,871,254,214,0,468,423,43,23,4,308,63,1,1,1,49,2,1,0,1,2,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,468
28,"P.P BHAGATPUR R.NO. 1",659,560,0,1219,384,275,0,659,576,83,28,20,465,10,0,0,1,113,5,1,0,2,3,2,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,659
29,"P.P BHAGATPUR R.NO. 2",555,469,0,1024,294,238,0,532,480,52,13,5,421,5,0,0,1,66,3,3,1,0,1,1,0,4,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,532
30,"SANT ATULANAND CONVENT SCHOOL GILAT BAZAR SHIVPUR R.NO.1",537,462,1,1000,259,228,0,487,419,68,19,7,386,5,0,0,0,61,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,487
31,"SANT ATULANAND CONVENT SCHOOL GILAT BAZAR SHIVPUR R.NO.2",426,361,0,787,243,178,0,421,421,0,24,24,233,28,1,3,0,64,3,2,1,0,0,1,2,2,2,1,2,2,2,1,0,1,5,1,2,3,1,0,1,3,0,1,0,0,2,0,0,0,1,0,2,421
32,"SANT ATULANAND CONVENT SCHOOL GILAT BAZAR SHIVPUR R.NO.3",500,367,0,867,269,158,0,427,419,8,16,11,243,41,1,3,0,93,3,3,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,427
33,"SANT ATULANAND CONVENT SCHOOL GILAT BAZAR SHIVPUR R.NO.4",561,453,0,1014,303,225,0,528,505,23,25,10,396,12,1,1,0,76,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,528
34,"SANT ATULANAND CONVENT SCHOOL GILAT BAZAR SHIVPUR R.NO.5",524,421,0,945,264,199,0,463,463,0,19,14,262,24,0,1,2,118,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,2,1,2,0,1,0,1,1,1,0,0,0,0,0,0,1,3,2,463
35,"K. P. M.V. SHIVPUR R.NO.1",730,551,0,1281,417,308,0,725,702,23,63,13,492,16,3,1,0,112,7,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,1,0,0,0,0,0,0,1,0,1,3,725
36,"K. P. M.V. SHIVPUR R.NO.2",967,766,0,1733,515,431,0,946,946,0,84,30,697,11,0,2,3,98,9,1,1,0,0,1,0,1,3,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,946
37,"K. P. M.V. SHIVPUR R.NO.3",505,390,0,895,313,232,0,545,517,28,46,19,417,13,0,1,0,30,1,2,0,0,0,1,2,4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,545
38,"K. P. M.V. SHIVPUR R.NO.4",775,643,1,1419,438,366,0,804,729,75,40,49,592,27,1,0,0,46,4,1,0,0,0,2,1,6,3,1,5,0,0,0,0,1,2,1,0,0,1,3,3,3,3,0,1,2,0,0,3,1,0,0,2,804
39,"K. P. M.V. SHIVPUR R.NO.5",748,637,0,1385,496,409,0,905,724,181,55,10,765,11,0,2,0,33,10,4,1,2,0,0,1,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,905
40,"K. P. M.V. SHIVPUR R.NO.6",489,409,0,898,293,214,0,507,499,8,78,6,288,13,1,0,0,98,12,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,507
41,"K. P. M.V. SHIVPUR R.NO.1",473,377,0,850,217,158,0,375,363,12,52,13,190,30,0,0,0,68,3,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,2,0,1,1,0,1,3,0,0,0,0,1,1,0,1,1,0,2,375
42,"P.V.SHIVPUR R.NO.1",523,410,0,933,340,257,0,597,547,20,14,7,194,306,1,2,1,41,2,3,0,2,0,0,0,3,2,0,2,2,1,0,1,2,0,0,1,2,1,0,0,0,1,0,0,2,1,0,1,1,0,1,0,597
43,"P.V.SHIVPUR R.NO.2",547,507,0,1054,297,247,0,544,534,10,12,22,267,166,1,1,0,59,2,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,544
44,"P.V.SHIVPUR R.NO.3",686,623,0,1309,329,272,0,601,552,28,28,16,207,234,0,2,0,69,4,1,1,0,3,0,0,7,1,2,1,4,1,0,0,4,1,0,2,2,1,1,1,3,0,0,0,0,4,0,0,0,0,0,1,601
