"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJIT SINGH","2 - GHULAM MOHAMMED","3 - PRASHANT CHAUDHRI","4 - DR. SATYA PAL SINGH","5 - ANIL KUMAR","6 - KRISHAN PAL","7 - YUNUSH","8 - SOMENDAR DHAKA","9 - AJAY PAL","10 - ARVIND","11 - JAIVINDRA KUMAR","12 - NISHANT","13 - RUKSANA","14 - SUBHASH CHAND KASHYAP","15 - None of the Above","Total Votes Secured"
1,"JAIN INTER COLLEGE  EAST ROOM NO1BAGHPAT",664,516,0,1180,430,319,0,749,575,0,20,583,25,115,0,0,0,0,0,0,1,0,1,1,3,749
2,"JAIN INTER COLLEGE EAST ROOM NO2 BAGHPAT",321,247,0,568,249,161,0,410,280,0,8,100,10,286,1,0,0,1,1,0,2,1,0,0,0,410
3,"JAIN INTER COLLEGE  BAGHPAT",850,690,0,1540,546,297,0,843,726,0,56,512,64,199,0,0,1,7,0,0,1,0,0,1,2,843
4,"JAIN INTER COLLEGE BAGHPAT",567,485,0,1052,393,269,0,662,662,0,21,99,87,442,0,0,0,8,1,0,1,0,1,1,1,662
5,"JAIN INTER COLLEGE BAGHPAT",278,218,0,496,186,140,0,326,322,0,27,5,48,237,0,0,0,2,0,0,2,2,1,0,2,326
6,"JAIN INTER COLLEGE ROOM NO3 BAGHPAT",530,390,0,920,363,219,0,582,539,0,11,479,44,42,2,0,1,1,0,1,1,0,0,0,0,582
7,"JAIN INTER COLLEGE ROOM NO4 BAGHPAT",466,354,0,820,293,218,0,511,482,0,13,436,51,6,0,0,0,1,0,1,0,0,1,1,1,511
8,"YAMUNA INTER COLLEGE PASHICHAM BAGH BAGHPAT",812,651,0,1463,499,348,0,847,711,0,23,516,44,255,0,0,0,1,2,0,1,1,0,1,3,847
9,"YAMUNA INTER COLLEGE PASHICHAM BAGH BAGHPAT",517,377,0,894,343,233,0,576,503,0,19,266,31,250,0,0,0,3,0,1,1,1,0,0,4,576
10,"YAMUNA INTER COLLEGE PASHICHAM BAGH BAGHPAT",888,687,0,1575,511,368,0,879,879,0,7,759,78,24,1,0,0,1,0,1,1,0,0,5,2,879
11,"YAMUNA INTER COLLEGE BAGHPAT",451,395,0,846,333,259,0,592,514,0,19,9,10,542,1,0,0,8,0,1,0,0,0,0,2,592
12,"YAMUNA INTER COLLEGE BAGHPAT",737,624,0,1361,540,276,0,816,134,0,50,130,47,566,3,0,0,8,0,2,3,2,0,1,4,816
13,"YAMUNA INTER COLLEGE BAGHPAT",733,632,0,1365,485,425,0,910,906,0,37,320,26,509,1,0,0,10,0,1,2,0,1,1,2,910
14,"YAMUNA INTER COLLEGE BAGHPAT",940,732,0,1672,549,367,0,916,116,0,39,425,97,336,1,1,2,2,1,0,5,0,1,2,4,916
15,"KANYA JUNIOR HIGH SCHOOL BAGHPAT",534,499,0,1033,386,324,0,710,544,0,45,62,9,583,0,0,0,6,0,1,1,1,1,0,1,710
16,"ISLAMIYA MADRSA ASRAFUL ULOOM ROOM NO 1 BAGHPAT",565,317,0,882,383,161,0,544,544,0,38,329,165,0,0,0,1,0,1,1,0,1,0,6,2,544
17,"ISLAMIYA MADRSA ASRAFUL ULOOM ROOM NO 2 BAGHPAT",563,383,0,946,313,210,0,523,523,0,20,402,64,17,3,0,1,0,2,2,0,1,2,4,5,523
18,"ISLAMIYA MADRSA ASRAFUL ULOOM ROOM NO 3 BAGHPAT",530,341,0,871,337,173,0,510,376,0,10,401,40,49,0,1,0,4,0,1,0,0,2,1,1,510
19,"ISLAMIYA MADRSA ASRAFUL ULOOM ROOM NO 4 BAGHPAT",477,287,0,764,317,149,0,466,119,0,13,325,107,8,1,0,0,1,0,1,0,3,1,2,4,466
20,"PRIMARY PATHSHALA NO 2 ROOM NO 1 BAGHPAT",557,459,0,1016,412,322,0,734,734,0,7,258,28,435,1,0,0,1,0,1,1,1,0,1,0,734
21,"PRIMARY PATHSHALA NO 2 ROOM NO 2 BAGHPAT",487,383,1,871,390,292,0,682,676,0,10,349,28,282,0,0,0,4,0,0,2,3,0,1,3,682
22,"PRIMARY PATHSHALA NO 2 ROOM NO 3 BAGHPAT",620,473,0,1093,449,339,0,788,782,0,35,384,31,330,1,1,1,0,1,0,0,1,0,2,1,788
23,"BLOCK BILDING ROOM HOOL BAGHPAT",681,591,0,1272,455,362,0,817,667,0,49,145,164,428,0,0,0,26,0,0,3,1,0,1,0,817
24,"BLOCK BILDING UTTRE ROOM BAGHPAT",302,242,0,544,195,162,0,357,350,0,20,75,54,197,0,0,0,11,0,0,0,0,0,0,0,357
25,"D.A.V.PUBLIC SCHOOL ROOM NO1 MEERUT ROAD BAGHPAT",917,716,0,1633,590,436,0,1026,495,0,91,371,97,455,1,0,1,4,0,2,2,1,0,0,1,1026
26,"CHOPAL CHOHANAN UTTAR BAGHPAT",693,477,0,1170,567,387,0,954,947,0,8,186,28,723,1,0,1,0,1,0,1,0,1,1,3,954
27,"CHOPAL CHOHANAN DAKSHIN BAGHPAT",849,624,0,1473,583,433,0,1016,295,0,12,38,178,764,9,3,3,3,0,1,2,1,1,0,1,1016
28,"PRIMARY PATHSHALA EAST HAMIDABAD URF NAYA GANW",498,339,0,837,191,290,0,481,469,0,123,20,47,285,3,0,0,0,0,0,0,1,0,0,2,481
29,"PRIMARY PATHSHALA PASHICHAM HAMIDABAD URF NAYA GANW",783,550,0,1333,538,375,0,913,913,0,44,136,50,653,4,0,1,0,2,0,8,5,3,0,7,913
30,"VEDIC KANYA INTER COLLEGE ROOM NO 9 AGARWAL MANDI TATIRI",706,581,0,1287,530,395,0,925,825,0,54,102,56,699,3,0,0,1,0,0,3,3,1,0,3,925
31,"VEDIC KANYA INTER COLLEGE ROOM NO 13 AGARWAL MANDI TATIRI",810,624,0,1434,484,318,0,802,784,0,32,98,50,611,0,0,0,5,0,0,1,2,2,0,1,802
32,"VEDIC KANYA INTER COLLEGE ROOM NO 18 AGARWAL MANDI TATIRI",351,301,0,652,241,194,0,435,73,0,12,15,3,402,0,0,0,3,0,0,0,0,0,0,0,435
33,"VEDIC KANYA INTER COLLEGE ROOM NO 4 AGARWAL MANDI TATIRI",473,428,0,901,350,313,0,663,262,0,11,72,10,554,0,0,0,6,1,1,4,3,1,0,0,663
34,"D.A.V.INTER COLLEGE ROOM NO 5 AGARWAL MANDI TATIRI",653,552,0,1205,427,326,0,753,653,0,36,67,6,630,2,0,0,10,0,0,0,0,0,0,2,753
35,"D.A.V.INTER COLLEGE ROOM NO 6 AGARWAL MANDI TATIRI",704,563,0,1267,448,361,0,809,709,0,29,113,14,636,1,0,0,7,1,1,4,2,0,1,0,809
36,"D.A.V.INTER COLLEGE ROOM NO 7 AGARWAL MANDI TATIRI",649,551,0,1200,441,355,0,796,782,0,30,68,7,665,3,2,0,13,0,0,2,3,1,1,1,796
37,"RAVIDAS DHARMSHALA SCHOOL ROOM NO 1 AGARWAL MANDI TATIRI",894,739,0,1633,583,485,0,1068,870,0,17,52,619,360,1,0,1,1,0,0,1,3,3,1,9,1068
38,"RAVIDAS DHARMSHALA SCHOOL BRANDA ME AGARWAL MANDI TATIRI",400,332,0,732,263,204,0,467,460,0,13,5,260,169,0,1,0,11,0,0,2,1,0,2,3,467
39,"PURV MADHAYMIK VIDHALAYA ROOM NO 1 SURAJPUR MAHNWA",523,435,0,958,416,317,0,733,699,0,24,70,27,600,0,0,1,3,0,0,3,2,0,1,2,733
40,"PURV MADHAYMIK VIDHALAYA  ROOM NO 2 SURAJPUR MAHNWA",412,315,0,727,279,253,0,532,522,0,1,26,185,310,0,0,0,3,0,0,2,0,1,2,2,532
41,"PARIMARY PATHSHALA KASMABAD URF DUDBHA",313,245,0,558,214,150,0,364,345,0,6,3,25,327,1,0,0,0,0,0,0,0,1,0,1,364
42,"PARIMARY PATHSHALA PALI",874,651,0,1525,673,490,0,1163,1163,0,6,160,161,820,0,0,0,1,0,0,6,2,4,1,2,1163
43,"PARIMARY PATHSHALA NO1 EAST AHEDA",642,518,0,1160,475,398,0,873,855,0,31,56,452,306,2,0,0,4,1,2,4,5,6,3,1,873
44,"PARIMARY PATHSHALA NO1 PASHICHAM AHEDA",705,484,0,1189,512,312,0,824,790,0,8,16,483,280,2,0,0,5,1,2,5,4,4,2,12,824
45,"PARIMARY PATHSHALA  CHOHALDA",762,554,0,1316,639,446,0,1085,5,0,25,302,172,572,2,1,0,1,0,0,5,2,3,0,0,1085
46,"PARIMARY PATHSHALA NO1 UTTAR PAWLA BEGMABED",471,288,0,759,279,167,0,446,408,0,17,13,155,245,1,0,0,3,2,0,4,2,1,2,1,446
47,"PARIMARY PATHSHALA NO1 DAKSHIN  PAWLA BEGMABED",618,410,0,1028,343,212,0,555,533,0,9,27,202,305,1,0,0,1,0,2,5,0,1,1,1,555
48,"PARIMARY PATHSHALA NO2 ROOM NO1 PAWLA BEGMABED",508,369,0,877,304,222,0,526,477,0,6,76,111,308,3,0,2,6,0,3,7,2,1,1,0,526
49,"PARIMARY PATHSHALA NO2 ADD ROOM PAWLA BEGMABED",828,604,0,1432,568,350,0,918,883,0,18,9,264,603,4,2,0,1,0,0,7,5,0,1,4,918
50,"PARIMARY PATHSHALA SALAWATPUR KHERI",818,594,0,1412,590,410,0,1000,960,0,7,439,30,516,1,0,1,0,1,0,1,0,0,1,3,1000
51,"DEVNAGRI INTER COLLEGE DAKSHIN KHATTA PRAHLADPUR",640,499,0,1139,476,369,0,845,845,0,16,159,125,524,2,0,1,4,1,2,7,0,1,0,3,845
52,"DEVNAGRI INTER COLLEGE DAKSHIN KHATTA PRAHLADPUR",648,516,0,1164,482,362,0,844,244,0,9,17,25,772,7,0,1,1,0,0,5,4,1,0,2,844
53,"BARAT GHAR RIVIDAS MANDIR KHATTA PRAHLADPUR",750,600,0,1350,508,385,0,893,879,0,2,230,88,543,4,0,2,2,1,1,10,5,0,2,3,893
54,"PARIMARY PATHSHALA NO 1 UTTAR KHATTA PRAHLADPUR",475,392,0,867,310,227,0,537,500,0,4,29,137,357,0,0,0,2,0,0,3,4,0,0,1,537
55,"PRIMARY PATHSHALA NO 1 DAKSHIN KHATTA PRAHLADPUR",558,416,0,974,355,282,0,637,607,0,4,119,20,479,4,0,1,1,0,1,3,2,0,3,0,637
56,"PRIMARY PATHSHALA BASA TKRI",681,492,0,1173,458,297,0,755,727,0,10,172,72,480,1,0,0,0,0,0,7,5,4,1,3,755
57,"PRIMARY PATHSHALA NO2 PURV DOULA",744,638,0,1382,585,495,0,1080,7,0,35,519,135,360,4,1,0,1,1,2,4,5,2,8,3,1080
58,"PRIMARY PATHSHALA NO2 MADYA DOULA",629,541,0,1170,535,407,0,942,892,0,14,587,24,295,0,1,0,3,0,1,5,2,2,6,2,942
59,"PRIMARY PATHSHALA NO2 PASCHIM DOULA",568,488,0,1056,440,383,0,823,297,0,9,463,24,312,0,1,1,1,1,1,0,2,2,3,3,823
60,"AAGANWADI CANDR DOULA",573,401,0,974,439,290,0,729,721,0,5,84,5,625,0,0,0,0,0,0,2,6,0,0,2,729
61,"PRIMARY PATHSHALA UTTAR DOULA",577,427,0,1004,408,293,0,701,650,0,2,24,123,537,5,0,0,0,0,1,2,4,2,0,1,701
62,"PRIMARY PATHSHALA DAKSHIN DOULA",712,511,0,1223,484,333,0,817,816,0,9,307,205,271,8,0,1,2,1,2,3,1,2,3,2,817
63,"PRIMARY PATHSHALA AMARPUR GARHI MAJRA BASOUD",743,560,0,1303,585,439,0,1024,1020,0,34,399,13,556,2,0,0,1,0,0,3,8,3,4,1,1024
