"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK KUMAR KANNAOUJIYA","2 - CHHOTELAL","3 - PAKAUDI LAL KOL","4 - BHAGWATI PRASAD CHAUDHARY","5 - SHARADA PRASAD","6 - GUN DEVI GYANI DEVI","7 - S. R. DARAPURI","8 - MANGOI","9 - RAVI SHANKAR KANNAUJIA","10 - RAJKUMAR","11 - SHANKAR KOL","12 - ARUN SINGH CHERO","13 - RAMBRIKSHA","14 - LAWRENCE ANTHONY","15 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDHAYALAY  BARWAN",424,346,0,770,256,197,0,453,453,0,2,87,72,79,198,2,1,1,1,0,2,1,3,1,3,453
2,"PRATHMIK VIDHAYALAY JAMGAVAN",787,660,0,1447,303,206,0,509,499,0,9,283,16,65,105,0,1,2,2,3,3,2,3,5,10,509
3,"PRATHMIK VIDHAYALAY KAITHI",528,438,0,966,303,206,0,509,499,0,9,283,16,65,105,0,1,2,2,3,3,2,3,5,10,509
4,"PRATHMIK VIDHAYALAY PIPARI",427,369,0,796,256,174,0,430,429,0,12,260,47,47,41,1,4,1,6,0,3,1,2,0,5,430
5,"PRATHMIK VIDHAYALAY DHARNIPUR",208,189,0,397,149,119,0,268,266,0,7,185,22,15,27,0,3,0,2,0,0,0,1,4,2,268
6,"PRATHMIK VIDHAYALAY SAJUAR",695,580,0,1275,286,216,0,502,41,0,12,240,64,37,123,2,0,0,3,1,3,1,7,4,5,502
7,"PRATHMIK VIDHAYALAY VIJAULI",394,316,0,710,227,161,0,388,364,0,2,214,72,10,72,0,0,0,10,0,2,0,0,2,4,388
8,"PRATHMIK VIDHAYALAY VITHGAVAN NISF(V0)",676,558,0,1234,417,303,0,720,100,0,8,319,60,44,241,4,2,2,21,3,0,3,4,6,3,720
9,"PRATHMIK VIDHAYALAY PITHA",325,284,0,609,222,203,0,425,418,0,3,171,13,35,181,4,1,1,0,0,0,3,3,4,6,425
10,"PRATHMIK VIDHAYALAY PALI",208,198,0,406,136,123,0,259,240,0,2,83,10,10,145,1,0,1,0,1,3,0,2,0,1,259
11,"ADARSH INTER COLLEGE ROBERTSGANJ, R.NO. 1",933,704,0,1637,322,239,0,561,556,0,4,188,15,35,297,1,1,1,3,2,5,0,0,1,8,561
12,"ADARSH INTER COLLEGE ROBERTSGANJ, R.NO. 2",986,699,1,1686,220,309,0,529,516,0,6,239,58,39,165,1,2,2,12,0,1,0,0,2,2,529
13,"ADARSH INTER COLLEGE ROBERTSGANJ, R.NO. 3",767,638,0,1405,309,189,0,498,375,0,5,325,53,64,25,1,1,0,15,0,0,2,2,1,4,498
14,"ADARSH INTER COLLEGE ROBERTSGANJ, R.NO. 4",488,333,0,821,201,118,0,319,313,0,3,202,31,47,17,11,0,0,6,0,1,0,0,0,1,319
15,"ADARSH INTER COLLEGE ROBERTSGANJ, R.NO. 5",630,485,0,1115,268,170,0,438,329,0,5,280,27,29,81,0,0,0,12,1,0,0,0,1,2,438
16,"ADARSH INTER COLLEGE ROBERTSGANJ, R.NO. 6",647,452,0,1099,164,124,0,288,237,0,2,197,18,25,35,0,1,0,5,0,1,1,0,2,1,288
17,"ADARSH INTER COLLEGE ROBERTSGANJ, R.NO. 4 NAYA BHAWAN",517,389,0,906,166,129,0,295,212,0,2,239,19,12,17,0,0,1,2,0,0,0,0,1,2,295
18,"ADARSH INTER COLLEGE ROBERTSGANJ, R.NO. 5 NAYA BHAWAN",538,397,0,935,195,133,0,328,328,0,5,277,17,11,12,0,0,0,5,0,0,0,0,0,1,328
19,"SANSKRIT MAHAVIDHAYALAY ROBERTSGANJ, R.NO.-1",843,720,0,1563,392,298,0,690,369,0,15,470,21,91,64,2,1,0,14,1,2,3,3,1,2,690
20,"SANSKRIT MAHAVIDHAYALAY ROBERTSGANJ, R.NO.-2",401,336,0,737,222,160,0,382,265,0,3,265,12,50,44,2,0,0,0,1,1,0,1,0,3,382
21,"SANSKRIT MAHAVIDHAYALAY ROBERTSGANJ, R.NO.-2A",767,651,0,1418,365,259,0,624,553,0,5,480,36,45,26,2,3,0,5,2,1,1,10,3,5,624
22,"SANSKRIT MAHAVIDHAYALAY ROBERTSGANJ, R.NO.-3",724,600,0,1324,264,192,0,456,329,0,7,357,20,35,23,2,0,0,9,0,1,0,0,1,1,456
23,"SANSKRIT MAHAVIDHAYALAY ROBERTSGANJ, R.NO.-4",473,383,0,856,184,156,0,340,292,0,1,272,11,33,17,1,0,0,2,0,0,0,1,0,2,340
24,"NAGAR PALIKA HALL, ROBERTSGANJ R. NO.1",534,458,0,992,269,191,0,460,378,0,4,252,27,72,82,1,1,2,6,2,3,1,1,0,6,460
25,"NAGAR PALIKA HALL, ROBERTSGANJ, R.NO.-2",515,410,0,925,223,142,0,365,265,0,5,287,9,38,6,2,2,0,5,0,3,0,1,4,3,365
26,"RAJA SHARDA MAHESH INTER COLLEGE ROBERTSGANJ, R.NO.-1",730,624,0,1354,406,270,0,676,598,0,4,469,85,77,19,9,0,0,9,1,0,1,0,0,2,676
27,"RAJA SHARDA MAHESH INTER COLLEGE ROBERTSGANJ, R.NO.-2",359,319,0,678,145,117,0,262,259,0,4,141,43,49,20,0,1,0,2,0,0,0,0,0,2,262
28,"R S M INTER COLLEGE ROBERTSGANJ R. NO. 3",484,420,0,904,124,77,0,201,168,0,3,120,8,21,44,0,1,0,0,0,0,1,0,0,3,201
29,"R S M INTER COLLEGE ROBERTSGANJ R. NO. 4",793,590,0,1383,279,187,0,466,431,0,9,314,30,49,44,1,3,0,3,0,0,1,2,6,4,466
30,"R S M INTER COLLEGE ROBERTSGANJ SANSAD BHAVAN",560,425,0,985,226,151,0,377,364,0,6,259,35,20,41,0,0,1,8,0,0,1,2,0,4,377
31,"R S M INTER COLLEGE ROBERTSGANJ R. NO. 5",681,575,0,1256,262,198,0,460,339,0,2,281,49,79,32,0,1,1,10,0,1,0,1,1,2,460
32,"R S M INTER COLLEGE ROBERTSGANJ R. NO. 6",653,498,0,1151,252,166,0,418,306,0,4,242,43,63,56,0,1,0,7,0,1,0,0,0,1,418
33,"R S M INTER COLLEGE ROBERTSGANJ R. NO. 5A",450,406,0,856,172,169,0,341,268,0,4,87,69,91,83,0,0,0,3,0,1,0,0,0,3,341
34,"R S M INTER COLLEGE ROBERTSGANJ R. NO. 7",490,462,0,952,239,163,0,402,95,0,3,144,73,124,47,0,0,0,7,0,1,0,0,0,3,402
35,"RAJKIYA KANYA  INTER COLLEGE ROBERTSGANJ R. NO. 8",717,564,0,1281,227,127,0,354,240,0,3,231,43,48,20,0,0,1,6,0,0,0,0,0,2,354
36,"RAJKIYA KANYA  INTER COLLEGE ROBERTSGANJ R. NO. 9",474,315,0,789,140,93,0,233,173,0,1,195,11,8,7,0,0,1,7,0,0,0,0,1,2,233
37,"RAJKIYA KANYA  INTER COLLEGE ROBERTSGANJ R. NO. 1",816,661,0,1477,253,193,0,446,304,0,2,284,22,65,51,1,0,0,10,1,1,0,1,1,7,446
38,"RAJKIYA KANYA  INTER COLLEGE ROBERTSGANJ R. NO. 2",775,606,0,1381,259,206,0,465,190,0,3,281,38,46,84,0,0,0,7,1,0,0,1,0,4,465
39,"RAJKIYA KANYA  INTER COLLEGE ROBERTSGANJ R. NO. 5",912,698,0,1610,372,266,0,638,628,0,5,439,40,43,94,4,0,0,7,0,2,0,0,0,4,638
40,"RAJKIYA KANYA  INTER COLLEGE ROBERTSGANJ R. NO. 6",760,529,0,1289,289,165,0,454,454,0,9,269,20,66,73,1,0,0,6,0,2,0,1,0,7,454
41,"JUNIOR HIGH SCHOOL SAHIJANKALA DVITIYA R. NO. 1",632,523,0,1155,430,358,0,788,73,0,19,417,62,131,137,2,1,4,4,2,2,2,3,0,2,788
42,"JUNIOR HIGH SCHOOL SAHIJANKALA DVITIYA R. NO. 2",391,329,0,720,218,170,0,388,388,0,19,127,36,154,41,1,2,0,3,0,1,0,2,1,1,388
43,"PRATHMIK VIDYALAY CHURK(PU. PA.)",642,569,0,1211,329,277,0,606,599,0,8,304,82,136,51,0,2,2,9,1,0,1,2,1,7,606
44,"PRATHMIK VIDYALAY CHURK(P. PA.)",794,494,0,1288,301,183,0,484,461,0,4,281,62,73,48,1,1,0,5,0,1,1,2,1,4,484
45,"PRATHMIK VIDYALAY CHURK(M. PA.)",887,570,0,1457,271,166,0,437,325,0,6,252,54,89,17,0,0,0,9,0,1,1,0,2,6,437
