"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - VIPNESH","2 - RAVI PRAKASH VERMA","3 - RAMGOPAL MISHRA","4 - AJAY KUMAR","6 - ARVIND GIRI","7 - ZAFAR ALI NAQVI","10 - DINESH KUMAR","11 - KRISHNA ADHIKARI","12 - ASHRAF ALI","14 - ASHOK","16 - RAMESHWARI","17 - None of the Above","Total Votes Secured"
1,"MALHPUR GADARIYA",304,279,0,583,218,182,0,400,380,0,4,14,2,119,184,63,2,0,2,4,1,5,400
2,"KHAMBAR KHEDA",384,320,0,704,217,190,0,407,407,0,1,26,0,199,170,9,0,0,0,1,0,1,407
3,UMARPUR,393,335,0,728,303,240,0,543,524,0,6,131,1,235,141,23,1,0,0,0,2,3,543
4,KOTRI,416,374,0,790,256,185,0,441,441,0,4,58,1,139,215,9,4,1,0,3,0,7,441
5,"SONOURA M. MIRJAPUR",751,634,0,1385,485,379,0,864,864,0,8,51,0,449,285,50,4,1,0,0,4,12,864
6,"DHAKHIYA KHURD",354,337,0,691,236,201,0,437,435,0,1,9,1,51,360,6,0,0,0,0,2,7,437
7,"DHAKHIYA BUJURG",298,271,0,569,210,161,0,371,309,0,5,57,0,147,133,23,0,0,0,0,0,6,371
8,KOTRA,334,301,0,635,249,184,0,433,423,0,3,21,3,122,260,8,4,0,1,2,5,4,433
9,"LALLTA BEHAD",328,288,0,616,241,180,0,421,420,0,17,80,1,155,112,51,2,0,1,1,0,1,421
10,BHADURI,643,560,0,1203,471,350,0,821,795,0,13,99,2,401,175,106,3,1,1,3,3,14,821
11,KORAI,140,142,0,282,124,123,0,247,247,0,1,4,2,52,169,9,1,1,0,0,7,1,247
12,DHUMRA,327,299,0,626,266,183,0,449,449,0,2,104,3,249,65,21,2,0,1,0,0,2,449
13,"RAIPUR BUJURG",817,725,0,1542,558,367,0,925,913,0,9,94,3,290,432,47,1,4,4,14,8,19,925
14,MUDABUJURG,536,481,0,1017,406,338,0,744,744,0,17,98,3,287,209,122,1,0,1,1,0,5,744
15,KISHUNPUR,466,386,0,852,226,350,0,576,557,0,2,14,1,367,184,4,0,0,0,0,2,2,576
16,KISHUNPUR,485,375,0,860,328,209,0,537,532,0,5,13,2,138,349,15,1,0,2,2,1,9,537
