"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.MURLI MANOHAR JOSHI","2 - SALEEM AHMAD","3 - SURENDRA MOHAN AGARWAL","4 - SRIPRAKASH JAISWAL","5 - ANIL AWASTHI","6 - ANAND MEHROTRA","7 - DEVENDRA KUMAR SHARMA","8 - MOHD.NASIR KHAN","9 - DR.NIKHIL GUPTA","10 - MAHMOOD HUSAIN RAHMANI","11 - MOHAMMAD ATEEQ","12 - RAMESH KUMAR GUPTA","13 - VINAYAK RAO TOPE","14 - HIMMAT LAL","15 - ASHOK PASWAN ADVOCATE","16 - KISHOR BAJPAI","17 - PREM CHANDRA PANDEY","18 - BETALAL DIWAKAR","19 - MUZAFFAR HUSAIN KHAN","20 - VISHWANATH KATARIA","21 - KUMARI SARASWATI","22 - None of the Above","Total Votes Secured"
1,"KENDRIYA VIDHYALAY  OEF/2 TURNER ROAD CANTT. ROOM NO.1",436,369,0,805,182,122,0,304,304,0,148,28,4,114,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,1,304
2,"KENDRIYA VIDHYALAY  OEF/2 TURNER ROAD CANTT. ROOM NO.2",522,412,0,934,348,227,0,575,567,0,375,30,51,90,1,0,2,0,0,13,2,0,0,2,2,1,1,0,1,0,0,4,575
3,"KENDRIYA VIDHYALAY  OEF/2 TURNER ROAD CANTT.ROOM NO.3",404,309,0,713,187,137,0,324,315,0,154,22,7,94,0,0,0,0,1,40,0,0,2,1,1,2,0,0,0,0,0,0,324
4,"KENDRIYA VIDHYALAY  OEF/2 TURNER ROAD CANTT. ROOM NO.4",680,546,0,1226,359,211,0,570,535,0,319,63,12,150,4,0,0,0,2,7,0,0,0,0,0,6,3,0,2,0,0,2,570
5,"KENDRIYA VIDHYALAY  OEF/2 TURNER ROAD CANTT. ROOM NO.5",563,436,0,999,320,209,0,529,479,0,251,43,3,157,3,0,0,0,1,59,0,1,0,0,5,1,3,1,0,1,0,0,529
6,"KENDRIYA VIDHYALAY  OEF/2 TURNER ROAD CANTT. ROOM NO.6",405,340,0,745,258,190,0,448,435,0,205,21,4,189,1,0,1,0,0,19,0,0,0,1,1,2,1,0,0,0,0,3,448
7,"KENDRIYA VIDHYALAY  OEF/2 TURNER ROAD CANTT. ROOM NO.7",246,162,0,408,111,66,0,177,161,0,76,15,5,74,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,177
8,"KENDRIYA VIDHYALAY  OEF/2 TURNER ROAD CANTT. ROOM NO.8",726,630,0,1356,336,246,0,582,572,0,250,53,9,235,1,0,0,2,1,6,1,1,0,1,3,7,7,0,0,2,2,1,582
9,"KENDRIYA VIDHYALAY  OEF/2 TURNER ROAD CANTT. ROOM NO.9",504,387,0,891,198,101,0,299,264,0,165,36,2,88,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,299
10,"KENDRIYA VIDHYALAY  OEF/2 TURNER ROAD CANTT. ROOM NO.10",545,425,0,970,239,162,0,401,359,0,264,16,4,105,0,0,0,1,1,3,0,0,0,1,1,1,3,0,0,0,0,1,401
