"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK KUMAR KANNAOUJIYA","2 - CHHOTELAL","3 - PAKAUDI LAL KOL","4 - BHAGWATI PRASAD CHAUDHARY","5 - SHARADA PRASAD","6 - GUN DEVI GYANI DEVI","7 - S. R. DARAPURI","8 - MANGOI","9 - RAVI SHANKAR KANNAUJIA","10 - RAJKUMAR","11 - SHANKAR KOL","12 - ARUN SINGH CHERO","13 - RAMBRIKSHA","14 - LAWRENCE ANTHONY","15 - None of the Above","Total Votes Secured"
1,"JAY JYOTI INTER COLLEGE GHURMA ROOM NO. 1",720,550,0,1270,359,252,0,611,520,0,27,291,87,78,100,0,2,0,7,2,5,2,2,2,6,611
2,"JAY JYOTI INTER COLLEGE GHURMA ROOM NO. 2",654,496,0,1150,375,328,0,703,587,0,9,163,64,55,366,2,3,1,7,1,4,3,6,4,15,703
3,"JAY JYOTI INTER COLLEGE GHURMA ROOM NO.3",819,674,0,1493,457,301,0,758,758,0,16,279,240,117,65,1,1,2,7,0,2,3,10,5,10,758
4,"JAY JYOTI INTER COLLEGE GHURMA ROOM NO. 4",706,633,0,1339,359,298,0,657,654,0,11,69,98,166,227,4,2,0,3,6,4,9,17,12,29,657
5,"JAY JYOTI INTER COLLEGE GHURMA ROOM NO.5",723,537,0,1260,320,242,0,562,509,0,10,87,74,135,198,0,1,1,2,2,3,7,3,8,31,562
6,"JAY JYOTI INTER COLLEGE GHURMA ROOM NO.6",464,389,0,853,166,150,0,316,315,0,7,147,41,99,9,0,0,2,1,0,0,1,1,1,7,316
7,"PRA. VI. KEVATA",435,320,0,755,292,238,0,530,215,0,6,146,43,14,290,5,0,1,0,2,3,3,2,7,8,530
8,"PRA0 VI0 SHIVALLATOLA ROOM N0. 1",456,377,0,833,269,229,0,498,476,0,2,100,25,65,289,2,1,1,2,0,3,1,1,1,5,498
9,"PRA0 VI0 SHIVL‍LATOLA ROOM N0.2",463,432,0,895,302,275,0,577,568,0,6,69,34,103,337,2,2,2,4,4,2,1,1,4,6,577
10,"PANCHAYT BHAVAN SALAKHAN",640,549,0,1189,392,307,0,699,699,0,17,239,79,241,56,6,2,3,1,2,7,7,6,11,22,699
11,"PRATHMIK VIDYALYA SALAKHAN ROOM N0. -1",612,512,0,1124,291,202,0,493,493,0,9,180,139,77,46,2,1,1,4,1,4,2,4,6,17,493
12,"PRATHMIK VIDYALYA SALAKHAN ROOM N0.-2",459,355,0,814,259,149,0,408,328,0,5,151,34,126,68,1,0,1,2,2,2,2,2,5,7,408
13,"PRATHMIK VIDYALYA SALAKHAN ROOM N0.-3",446,414,0,860,208,157,0,365,327,0,4,44,44,71,147,1,5,2,2,2,2,5,8,5,23,365
14,"PRA. VI. LALGANJ",572,527,0,1099,357,321,0,678,630,0,10,159,13,129,326,6,1,2,1,5,5,4,2,4,11,678
15,"PRA.VI. GANGATI",246,202,0,448,175,143,0,318,199,0,3,131,51,26,98,3,2,1,0,0,0,0,3,0,0,318
16,PRA.VI.PAIKA,309,259,0,568,218,146,0,364,110,0,7,173,43,22,99,2,0,2,2,0,4,0,0,5,5,364
17,"PRA. VI. MAHUA KHURD",177,145,0,322,127,102,0,229,77,0,6,91,79,32,6,1,0,1,0,2,1,1,3,3,3,229
18,"PRA.VI. MAHUAVKALA",534,469,0,1003,405,320,0,725,719,0,7,157,182,144,201,9,1,1,1,2,6,2,2,0,10,725
19,"PRA0 VI0 KURUHUL ROOM N0. 1",614,553,0,1167,405,287,0,692,691,0,14,209,25,253,141,2,1,2,4,2,7,2,6,9,15,692
20,"PRA. VI. KURUHULROOM N0.2",842,688,0,1530,495,333,0,828,828,0,20,359,75,138,113,8,5,3,6,10,11,6,16,19,39,828
21,"JU. HI. KARGARA ROOM NO.1",527,475,0,1002,330,241,0,571,571,0,27,325,118,24,9,3,1,1,3,5,3,5,12,6,29,571
22,"JU. HI. KARGARA ROOM NO.2",595,530,0,1125,412,344,0,756,756,0,17,194,168,10,273,8,5,3,2,2,9,9,21,12,23,756
23,"PRA. VI. MITAPUR",790,705,0,1495,544,453,0,997,756,0,38,561,143,43,78,3,7,5,5,2,9,15,19,15,54,997
24,"PRA.VI. CHIRHULI",761,663,0,1424,454,355,0,809,809,0,23,226,254,180,38,2,1,1,6,4,5,12,15,11,31,809
25,"PRA. VI. VADHNAARI",453,375,0,828,318,233,0,551,550,0,5,93,233,40,143,2,0,0,2,2,4,4,10,6,7,551
26,"PRA. VI. VELKAP",592,524,0,1116,383,266,0,649,390,0,25,194,280,92,33,1,2,3,2,1,4,2,5,3,2,649
27,"PRA. VI. RAJDHAN",379,316,0,695,268,219,0,487,182,0,5,86,88,87,201,2,2,0,4,0,3,1,2,1,5,487
28,"PRA.VI. BHABHAICH",871,646,0,1517,442,291,0,733,726,0,20,230,159,32,220,5,2,3,3,7,2,4,11,6,29,733
29,"PRA. VI. GURDAH ROOM NO-1",543,445,0,988,292,225,0,517,360,0,29,137,67,208,21,2,3,2,4,5,6,5,7,7,14,517
30,"PRA. VI. GURDAH ROOM. N. 2",751,610,1,1362,482,354,0,836,641,0,32,316,165,48,111,6,27,4,12,11,11,3,24,26,40,836
31,"PANCHAYAT BHAVAN BADGAVA",560,515,0,1075,373,294,0,667,598,0,27,41,140,304,42,5,5,8,5,9,12,18,13,12,26,667
32,"JU. HI. BADGAVA",677,532,0,1209,438,323,0,761,580,0,15,197,184,68,198,3,5,5,7,6,10,9,14,15,25,761
