"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK KUMAR KANNAOUJIYA","2 - CHHOTELAL","3 - PAKAUDI LAL KOL","4 - BHAGWATI PRASAD CHAUDHARY","5 - SHARADA PRASAD","6 - GUN DEVI GYANI DEVI","7 - S. R. DARAPURI","8 - MANGOI","9 - RAVI SHANKAR KANNAUJIA","10 - RAJKUMAR","11 - SHANKAR KOL","12 - ARUN SINGH CHERO","13 - RAMBRIKSHA","14 - LAWRENCE ANTHONY","15 - None of the Above","Total Votes Secured"
33,"PRA.VI. AGORIKHASH",715,578,0,1293,277,286,0,563,178,0,27,217,130,56,50,1,2,3,1,5,5,10,17,19,20,563
34,"PRA. VI. GHATIHATA",349,285,0,634,259,164,0,423,376,0,12,235,40,8,105,2,5,1,4,2,0,0,3,3,3,423
35,"PRA. VI. GOTHANI",622,509,0,1131,418,353,0,771,151,0,39,412,17,30,173,4,6,3,4,3,10,9,13,14,34,771
36,"PRA.VI. MAHALPUR",150,135,0,285,115,101,0,216,212,0,2,122,8,6,69,2,1,0,0,1,1,2,1,0,1,216
37,"PRA.VI. KHEVANDHA",481,389,0,870,345,268,0,613,613,0,27,257,67,35,146,6,1,4,9,4,8,8,14,9,18,613
38,"PRA. VI. TAAPU",619,462,0,1081,358,267,0,625,625,0,33,197,178,28,88,5,1,6,7,7,12,5,25,15,18,625
39,"PRA.VI. GOSARI",362,268,0,630,211,162,0,373,373,0,12,182,29,6,112,0,4,0,5,0,2,3,6,8,4,373
40,"PRA. VI. GAYGHAT",336,310,0,646,224,191,0,415,375,0,18,223,92,4,30,0,1,2,1,0,4,2,16,5,17,415
41,"PRA. VI. RA. VI. PRI. OBRA SECTOR1 ROOM NO. 1",526,393,0,919,162,104,0,266,197,0,2,143,28,49,29,0,0,0,14,0,0,1,0,0,0,266
42,"PRA. VI. RA. VI. PRI. OBRA SECTOR 1 ROOM NO.2",305,231,0,536,118,79,0,197,197,0,2,84,23,46,25,0,1,0,6,1,0,0,1,2,6,197
43,"PRA. VI. RA. PRI. OBRA SECTOR1 ROOM.NO.3",676,489,0,1165,220,118,0,338,238,0,2,186,37,64,37,0,0,0,5,0,2,0,3,2,0,338
44,"PRA. VI. RA. VI. PRI. OBRA SECTOR1 ROOM.NO.4",305,237,0,542,62,30,0,92,77,0,2,54,8,23,1,0,0,0,2,0,0,0,0,1,1,92
45,"PRA. VI. RA. VI. PRI. OBRA SECTOR1 R00M.NO.5",511,328,0,839,140,96,0,236,236,0,2,128,17,54,25,0,0,0,7,0,1,0,0,1,1,236
46,"OBARA INTER COLLEGE OBARA ROOM.N0.1",805,589,0,1394,210,141,0,351,323,0,3,194,51,58,32,0,0,0,10,0,0,0,1,1,1,351
47,"OBARA INTER COLLEGE OBARA ROOM.N0.2",789,545,0,1334,272,117,0,389,347,0,2,171,31,90,73,0,6,1,12,0,0,0,1,0,2,389
48,"OBARA INTER COLLEGE OBARA ROOM.N0.3",256,189,0,445,128,28,0,156,128,0,4,71,17,28,23,0,3,0,6,0,1,0,1,0,2,156
49,"OBARA INTER COLLEGE OBARA ROOM.N0.4",625,368,0,993,221,153,0,374,163,0,11,198,37,75,35,0,0,0,13,0,1,1,0,2,1,374
50,"OBARA INTER COLLEGE OBARA ROOM.N0.5",493,349,0,842,152,138,0,290,287,0,4,147,40,48,36,0,0,0,3,1,1,1,2,3,4,290
51,"SHIKSHA NIKETAN INTER COLLEGE  OBARA  ROOM.N0.1",520,344,0,864,190,121,0,311,300,0,5,188,28,56,20,0,0,0,12,0,0,1,1,0,0,311
52,"SHIKSHA NIKETAN INTER COLLEGE  OBARA  ROOM.N0.2",452,324,0,776,160,103,0,263,203,0,2,185,22,41,9,0,0,0,2,0,0,0,1,0,1,263
53,"SHIKSHA NIKETAN INTER COLLEGE  OBARA  ROOM.N0.3",522,404,0,926,274,198,0,472,472,0,1,365,31,37,17,1,1,0,14,1,1,0,0,2,1,472
54,"SHIKSHA NIKETAN INTER COLLEGE  OBARA  ROOM.N0.4",459,337,0,796,244,179,0,423,260,0,8,265,32,89,11,0,0,0,14,0,1,0,0,2,1,423
55,"RA0 SNA0 MAHA0 VI0 OBARA ROOM.N0.1",711,516,0,1227,224,155,0,379,236,0,4,172,72,84,30,3,0,1,9,0,1,0,0,1,2,379
56,"RA. SNA. MAHA. VI. OBARA ROOM.N0.2",827,597,0,1424,293,124,0,417,367,0,4,228,77,64,22,0,0,1,15,0,0,0,2,2,2,417
57,"PRA. VI. RA. VI. PA. OBARA SECTOR 4 ROOM. N0.1",788,510,0,1298,261,152,0,413,229,0,5,188,88,82,34,0,0,0,7,0,0,0,6,1,2,413
58,"PRA. VI. RA.VI. PA. OBARA SECTOR4 ROOM. N0.2",679,452,0,1131,146,77,0,223,223,0,2,110,25,52,20,2,0,0,8,1,0,1,0,0,2,223
59,"RA. VA. VI. OBARA  ROOM. N0.1",522,340,0,862,123,91,0,214,214,0,5,92,20,73,16,0,0,0,1,0,1,2,2,1,1,214
60,"RA. VA. VI. OBARA . ROOM. N0.2",467,326,0,793,161,115,0,276,276,0,7,107,51,76,26,0,3,0,4,0,0,1,0,1,0,276
61,"RA. VA. VI. OBARA ROOM NO.3",654,502,0,1156,181,140,0,321,265,0,3,147,31,85,25,1,1,0,16,1,1,3,4,1,2,321
62,"PRA. VI. RA. VI. PA. OBARA SECTOR 8",661,507,0,1168,226,155,0,381,270,0,5,292,18,35,21,3,0,0,7,0,0,0,0,0,0,381
63,"PRA. VI. RA. V. P. OBARA SECTOR 7ROOM NO.1",765,540,0,1305,252,171,0,423,269,0,7,232,59,82,16,0,0,0,20,1,1,0,1,0,4,423
64,"PRA. VI. RA. VI. P. OBARA SECTOR 7 ROOM. NO. 2",932,622,0,1554,468,287,0,755,276,0,11,483,74,108,58,0,1,0,9,1,1,3,1,0,5,755
65,"PRA. VI. RA. VI. P. OBARA SECTOR 7 ROOM. NO. 3",679,449,0,1128,345,213,0,558,278,0,8,238,110,94,74,3,1,0,12,2,2,2,4,2,6,558
66,"PRA. VI. SINDURIYA",685,610,1,1296,377,339,0,716,278,0,21,214,269,75,82,3,3,2,1,1,6,10,13,5,11,716
67,"PRA. VI. GADAIDEEH(PU. PA.)",377,316,0,693,242,195,0,437,356,0,11,207,26,26,131,3,3,1,3,1,1,5,5,0,14,437
68,"PRA. VI. GADAIDEEH(P. PA.)",452,305,0,757,232,123,0,355,355,0,3,185,51,56,45,1,1,0,3,0,1,2,2,2,3,355
69,"PRA. VI. GADAIDEEH(M. PA.)",879,708,0,1587,460,334,0,794,225,0,21,262,131,227,95,4,2,1,2,2,3,8,4,8,24,794
70,"PANCHAYAT BHAVAN BARDIYA",689,575,0,1264,401,328,0,729,215,0,34,281,39,108,173,7,4,2,6,2,7,6,15,8,37,729
71,"CHOPAN RAILWAY U.M.VI. CHOPAN ROOMNO.1",597,394,0,991,283,175,0,458,214,0,3,373,25,45,9,0,0,0,0,0,0,0,2,0,1,458
72,"CHOPAN RAILWAY U.M.VI. CHOPAN ROOM NO.2",602,458,1,1061,306,180,0,486,243,0,4,318,84,45,20,0,2,0,4,0,2,0,3,1,3,486
73,"CHOPAN RAILWAY U.M.VI. CHOPAN ROOMNO.3",522,374,0,896,204,155,0,359,277,0,5,186,66,53,35,0,1,0,1,0,1,1,3,1,6,359
74,"CHOPAN RAILWAY VI. CHOPAN ROOM NO.4",467,360,0,827,153,109,0,262,262,0,3,174,33,29,16,0,0,0,2,0,0,0,1,2,2,262
75,"SENTRAL SCHOOL CHOPAN ROOM NO.1",804,562,0,1366,347,222,0,569,272,0,2,428,77,33,14,0,0,0,10,0,0,2,1,1,1,569
76,"SENTRAL SCHOOL CHOPAN ROOM NO.2",729,495,0,1224,257,169,0,426,277,0,2,293,67,35,15,0,0,1,4,0,0,0,0,2,7,426
77,"SENTRAL SCHOOL CHOPAN ROOM NO. 3",780,517,0,1297,261,155,0,416,226,0,5,267,51,34,41,0,1,0,14,0,1,0,0,0,2,416
78,"CENTRAL SCHOOL CHOPAN R. NO. 4",514,411,0,925,143,104,0,247,247,0,5,147,49,25,12,0,0,1,6,0,0,1,0,0,1,247
79,"CENTRAL SCHOOL CHOPAN ROOM. NO. 5",736,450,0,1186,240,147,0,387,225,0,3,255,28,51,40,0,0,0,4,1,1,0,0,0,4,387
80,"CENTRAL SCHOOL CHOPAN ROOM. NO. 6",862,471,0,1333,296,161,0,457,250,0,7,332,42,31,37,0,0,0,5,0,0,0,0,1,2,457
81,"JUNIOR HIGH SCHOOL BHARHARI(P.PA.)",617,448,0,1065,288,171,0,459,262,0,12,338,33,8,35,1,3,0,0,1,1,1,7,5,14,459
82,"PRA. VI. BHARHARI",590,438,0,1028,315,172,0,487,269,0,16,349,35,9,31,3,2,2,2,3,3,3,11,9,9,487
83,"PRA. VI. CHAKDAHIYA",628,545,0,1173,332,223,0,555,262,0,27,131,39,195,79,6,1,3,4,1,9,12,9,9,30,555
84,"PRA0 VI0 BELGARDHI U. PRA.",750,628,0,1378,396,277,0,673,282,0,15,90,197,191,61,4,2,1,3,4,8,12,27,21,37,673
85,"PRA. VI. BELGARHI D. PA.",728,638,0,1366,394,314,0,708,271,0,13,160,115,230,70,2,0,2,4,4,5,12,32,25,34,708
86,"PRA. VI. KANHARA ROOM NO.1",608,511,0,1119,334,232,0,566,260,0,31,291,134,12,28,2,1,5,0,1,2,4,20,9,26,566
87,"PRA.VI. KANHARA ROOM NO.2",599,504,0,1103,327,223,0,550,254,0,32,250,189,15,23,4,5,2,2,2,2,3,11,3,7,550
88,"PRA. VI. KANHARA ROOM NO.3",622,492,0,1114,334,249,0,583,265,0,34,280,117,28,43,4,5,3,4,1,2,3,19,8,32,583
89,"PRA.VI. KANHARA ROOM NO.4",647,500,0,1147,277,141,0,418,250,0,28,212,70,51,27,1,1,2,2,2,1,3,7,6,5,418
90,"PRA.VI. PARSOI(PU. PA.)",678,550,0,1228,431,307,0,738,229,0,39,440,72,39,20,4,7,7,6,5,13,14,17,17,38,738
91,"PRA. VI. PARSOI(D. PA.)",387,309,0,696,196,111,0,307,261,0,24,129,12,50,12,2,2,0,3,4,2,4,14,17,32,307
92,"PRA. PA. PARSOI(U. PA.)",481,374,0,855,274,199,0,473,238,0,29,238,47,45,9,3,1,4,1,2,2,6,15,18,53,473
93,"PRA. VI.. NAVATOLA PARSOI(PRA. PA.)",759,661,0,1420,426,316,0,742,234,0,71,383,34,69,116,8,6,4,3,4,4,4,11,8,17,742
94,"PRA0 VI0 NAVATOLA PARSOI(DI. PA.)",679,528,0,1207,288,128,0,416,227,0,37,195,31,49,50,4,2,1,0,3,3,4,7,9,21,416
95,"PRA. VI. CHAKADI PANARI(U. PA.)",604,528,0,1132,275,194,0,469,261,0,62,155,57,59,72,4,10,7,14,3,2,1,7,3,13,469
96,"PRA. PA. CHAKADI PANARI(D. PA.)",566,447,0,1013,320,94,0,414,270,0,21,114,170,74,14,3,4,2,2,0,0,3,5,1,1,414
97,"PRA. VI. KASHPANI",688,554,0,1242,357,247,0,604,158,0,47,281,12,63,68,5,5,9,6,5,11,12,12,21,47,604
98,"PRA. VI. PIYRA JUGAIL PU. PA.",539,484,0,1023,357,255,0,612,175,0,28,128,17,107,171,11,7,4,5,4,12,13,23,18,64,612
99,"PRA. PA.PIYRA  JUGAIL P. PA.",518,418,0,936,311,233,0,544,445,0,26,91,28,231,70,5,3,2,7,4,8,12,13,9,35,544
100,"PRA.VI. GARDA TOLA JUGAIL",650,605,0,1255,319,292,0,611,163,0,46,153,41,264,25,5,7,5,3,6,4,4,9,8,31,611
101,"PRATHMIK VIDYALAY CHAKRIYA",801,661,0,1462,382,306,0,688,189,0,41,269,24,222,20,4,4,5,1,6,4,13,20,18,37,688
102,"PRATHMIK VIDYALAY JUGAIL U.PA",775,746,0,1521,431,373,0,804,187,0,16,218,204,88,168,6,5,2,3,5,11,11,20,17,30,804
103,"PRATHMIK VIDYALAY JUGAIL D. PA.",806,675,0,1481,396,320,0,716,158,0,15,109,116,202,177,6,4,3,3,3,13,13,17,9,26,716
104,"PRATHMIK VIDYALAY JUGAIL  ATRIKATKACH",525,470,0,995,137,93,0,230,196,0,17,106,15,47,8,0,1,2,1,2,2,2,4,5,18,230
105,"PRATHMIK VIDYALAY BHITARI",671,566,0,1237,302,208,0,510,174,0,59,177,91,100,46,2,5,2,5,3,2,5,3,3,7,510
106,"PRATHMIK VIDYALAY JORVA",900,759,0,1659,342,233,0,575,185,0,38,250,56,122,17,0,4,2,3,0,4,6,20,18,35,575
107,"PRATHMIK VIDYALAY KHARHARA TOLA DEVKHAR(P. PA.)",808,663,0,1471,481,440,0,921,185,0,28,106,93,213,326,19,5,8,7,6,21,10,22,16,41,921
108,"PRATHMIK VIDYALAY KHARHARA TOLA DEVKHAR(PU. PA.)",376,298,0,674,186,130,0,316,181,0,23,207,22,3,10,2,0,0,0,2,1,4,7,13,22,316
109,"PRATHMIK VIDYALAY VIJAURA",326,244,0,570,184,145,0,329,169,0,9,78,177,9,28,0,1,2,0,4,4,2,6,5,4,329
110,"PRATHMIK VIDYALAY TEDHITEN VAIRPUR 1",508,392,0,900,261,199,0,460,280,0,9,51,79,77,142,6,8,2,1,4,11,12,13,13,32,460
111,"PRATHMIK VIDYALAY TEDHITEN  VAIRPUR 2",531,464,0,995,212,133,0,345,147,0,8,72,85,43,84,3,0,2,5,2,3,7,16,6,9,345
112,"PRATHMIK VIDYALAY SAGARDAH",338,274,1,613,192,148,0,340,166,0,18,44,123,20,91,4,1,3,2,2,4,3,6,7,12,340
113,"PRATHMIK VIDYALAY PHAPHRAKHUND PU.PA.",813,705,0,1518,395,278,0,673,502,0,31,133,73,231,34,8,5,7,5,9,9,14,29,20,65,673
114,"PRATHMIK VIDYALAY PHAPHRAKHUND P.PA.",739,642,0,1381,390,299,0,689,256,0,31,196,74,189,89,6,6,7,6,6,9,7,16,9,38,689
115,"MILINIYAM VANVASI SEVA ASHRAM(PU. PA.)",457,369,0,826,210,92,0,302,202,0,15,122,28,40,28,2,1,4,8,1,2,9,7,11,24,302
116,"MILINIYAM VANVASI SEVA ASHRAM(P. PA.)",525,427,0,952,204,142,0,346,202,0,25,130,28,55,46,3,5,3,2,5,3,7,8,7,19,346
117,"MILINIYAM VANVASI SEVA ASHRAM(D. PA.)",644,474,0,1118,225,142,0,367,154,0,22,174,65,49,9,1,4,1,5,4,4,4,7,4,14,367
118,"PRATHMIK VIDYALAY NINGA(PR.PA.)",836,650,0,1486,487,356,0,843,185,0,24,109,330,171,75,2,6,5,5,6,8,12,39,10,41,843
119,"PRATHMIK VIDYALAY NINGA (D.PA.)",477,402,0,879,240,134,0,374,186,0,13,160,96,12,11,2,4,2,1,1,5,8,9,11,39,374
120,"PRATHMIK VIDYALAY VILLI ROOM NO.1",791,635,0,1426,404,320,0,724,158,0,7,197,193,223,66,3,1,0,8,0,2,3,7,5,9,724
121,"PRATHMIK VIDYALAY BILLI  ROOM NO2",861,664,0,1525,396,254,0,650,169,0,17,170,185,161,80,2,0,0,16,1,0,1,7,2,8,650
122,"PRATHMIK VIDYALYA BIL‍LI  ROOM N0 3",637,515,0,1152,239,162,0,401,185,0,5,227,66,72,12,0,1,0,13,0,0,0,1,1,3,401
123,"PRATHMIK VIDYALAY BILLI ROOM NO.4",611,440,0,1051,261,161,0,422,173,0,5,201,77,79,29,0,1,1,14,0,1,0,7,2,5,422
124,"PRATHMIK VIDYALAY BILLI ROOM NO. 5",852,630,0,1482,338,200,0,538,169,0,1,323,52,61,67,0,0,0,33,0,0,0,0,0,1,538
125,"PRATHMIK VIDYALAY BILLI ROOM NO. 6",713,473,0,1186,198,94,0,292,162,0,1,179,30,31,24,0,0,0,21,1,0,1,0,0,4,292
126,"PRATHMIK VIDYALAY BILLI ROOM NO.  7",541,395,0,936,182,116,0,298,168,0,0,196,17,37,32,0,1,0,13,0,0,0,0,0,2,298
127,"PRATHMIK VIDYALYA BIL‍LI MARKUN‍DI ROOM NO.1",623,424,0,1047,230,123,0,353,173,0,6,204,30,81,17,0,0,0,7,1,1,0,1,1,4,353
128,"PRATHMIK VIDYALYA BIL‍LI MARKUN‍DI  ROOM NO.2",681,519,0,1200,207,152,0,359,152,0,3,159,36,44,92,0,0,0,7,0,1,3,4,4,6,359
129,"PRATHMIK VIDYALYA BIL‍LI  SECTOR 10  U.PA.",752,487,0,1239,292,174,0,466,196,0,4,270,52,73,47,0,2,1,11,0,1,1,1,3,0,466
130,"PRATHMIK VIDYALYA BIL‍LI SEK‍TAR 10 D.PA.",723,530,0,1253,236,200,0,436,152,0,4,264,46,58,32,0,5,1,10,1,0,2,3,1,9,436
131,"PNCHAYT BHAVAN BIL‍LI PU.PA.",549,413,0,962,238,160,0,398,187,0,4,126,21,41,187,0,1,0,2,2,2,1,2,3,6,398
132,"POORV MADH‍YMIK VIDYALYA BIL‍LI  ROOM NO.1",655,525,0,1180,321,261,0,582,182,0,5,110,13,19,389,4,1,1,8,3,12,3,3,2,9,582
133,"POORV MADH‍YMIK VIDYALYA BIL‍LI ROOM NO. 2",525,368,0,893,237,147,0,384,169,0,6,172,28,39,125,1,0,0,6,0,3,1,0,2,1,384
134,"POORV MADH‍YMIK VIDYALYA BIL‍LI ROOM NO.3",431,359,0,790,181,146,0,327,159,0,2,94,11,35,168,3,1,0,3,0,1,0,2,2,5,327
135,"POORV MADH‍YMIK VIDYALYA BIL‍LI ROOM NO.4",601,381,0,982,202,145,0,347,186,0,7,118,16,33,158,5,1,0,2,0,3,0,1,1,2,347
136,"POORV MADH‍YMIK VIDYALYA BIL‍LI ROOM NO.5",618,450,0,1068,232,163,0,395,171,0,6,210,40,44,82,0,0,1,10,0,0,0,0,1,1,395
137,"POORV MADH‍YMIK VIDYALYA BIL‍LI   ROOM NO. 6",798,645,0,1443,302,225,0,527,162,8,8,299,70,39,71,2,2,1,16,0,3,3,5,2,6,527
138,"PRATHMIK VIDYALYA KHAIRTIYA  (P.PA.)",744,552,0,1296,400,254,0,654,185,0,21,335,155,57,23,3,3,3,5,3,5,7,13,7,14,654
139,"PRATHMIK VIDYALYA KHAIRTIYA  (PU.PA.)",589,471,0,1060,376,259,0,635,165,0,22,240,62,59,208,4,1,2,3,4,5,4,8,6,7,635
140,"PRAHMIK VIDYALYA KHAIRTI‍YA SEK‍TAR N0 9 ROOM NO. 1",500,384,0,884,203,164,0,367,185,0,10,154,23,74,72,0,1,0,11,0,5,2,3,2,10,367
141,"PRAHMIK VIDYALYA KHAIRTI‍YA SEK‍TAR N0 9 ROOM NO.2",483,364,0,847,266,174,0,440,159,0,7,163,27,133,73,3,4,0,10,0,2,2,4,5,7,440
142,"PRAHMIK VIDYALYA VADI  ROOM NO.1",497,439,0,936,241,188,0,429,185,0,4,69,119,137,54,3,0,0,5,8,3,3,13,1,10,429
143,"PRAHMIK VIDYALYA VADHI  ROOM NO. 2",479,375,3,857,208,161,0,369,169,0,7,98,94,71,61,3,2,2,4,1,4,3,6,3,10,369
144,"PRAHMIK VIDYALYA VADI  ROOM NO 3",714,511,0,1225,268,173,0,441,210,0,4,186,65,105,29,3,1,1,8,2,3,3,6,7,18,441
145,"PRAHMIK VIDYALYA VADI ROOM NO. 4",811,556,0,1367,246,182,0,428,150,0,5,221,64,95,16,2,2,3,5,1,1,0,4,3,6,428
146,"PRATHMIK VIDYALYA PANARI ROOM N0. 1",465,392,0,857,286,204,0,490,180,0,21,89,46,164,50,4,1,3,6,6,7,9,14,18,52,490
147,"PRATHMIK VIDYALYA PANARI  ROOM N0. 2",567,503,0,1070,358,248,0,606,187,0,32,184,44,129,64,3,7,7,6,5,12,12,26,26,49,606
148,"PRATHMIK VIDYALYA BELHAT‍THI TOLA KODRA (PU0 PA0 )",736,586,0,1322,339,248,0,587,179,0,17,207,34,23,208,9,10,4,1,7,5,7,9,21,25,587
149,"PRATHMIK VIDYALYA BELHAT‍THI TOLA KODRA (P0 PA0 )",539,407,0,946,259,159,0,418,196,0,9,168,44,32,72,1,21,3,2,3,6,6,10,14,27,418
150,"PRATHMIK VIDYALYA ASANAHAR",263,207,0,470,140,102,0,242,195,0,15,171,6,6,7,2,1,0,2,0,0,1,9,11,11,242
151,"PRATHMIK VIDYALYA PATI ( U0 PA0 )",827,623,0,1450,504,302,0,806,286,0,40,600,21,26,44,6,4,2,1,3,2,2,10,18,27,806
152,"PRATHMIK VIDYALYA BENADAH",554,415,0,969,297,230,0,527,250,0,20,170,21,45,160,1,2,3,2,4,6,11,18,18,46,527
153,"PRATHMIK VIDYALYA SIDHAVANDAD",851,648,0,1499,514,378,0,892,185,0,30,401,263,27,77,2,6,1,8,5,8,8,20,10,26,892
154,"PRATHMIK VIDYALYA DIBULGANJ  ROOM NO. 1",755,632,0,1387,396,299,0,695,285,0,8,177,33,289,113,2,12,2,10,4,4,8,7,4,22,695
155,"PRATHMIK VIDYALYA DIBULGANJ  ROOM NO. 2",704,489,0,1193,339,221,0,560,296,0,10,210,56,114,139,1,7,0,3,2,8,3,2,0,5,560
156,"PRATHMIK VIDYALYA DIBULGANJ  ROOM N0. 3",392,291,0,683,285,93,0,378,169,0,5,192,19,100,37,0,2,0,1,3,3,5,3,3,5,378
157,"POORV MADH‍YMIK VIDYALYA AURADAND S‍THIT GRAM DIBULGANJ  ROOM N0. 1",633,451,0,1084,315,202,0,517,185,0,6,197,35,99,156,0,5,1,2,1,2,0,2,3,8,517
158,"POORV MADH‍YMIK VIDYALYA AURADAND S‍THIT GRAM DIBULGANJ  ROOM N0 2",658,482,0,1140,372,292,0,664,174,0,12,190,52,175,177,2,5,3,4,1,7,5,8,2,21,664
159,"PRATHMIK VIDYALYA  LOJHARA U. PA.",728,568,0,1296,445,293,0,738,356,0,31,328,30,38,255,4,8,2,4,1,6,5,8,3,15,738
