"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR AHMAD DUMPY","2 - OM PRAKASH","3 - KIRTI VARDHAN SINGH","4 - NANDITA SHUKLA","5 - BENI PRASAD VERMA","6 - AJAY  KUMAR  PRABHAKAR","7 - PREM KUMAR","8 - MASOOD ALAM KHAN","9 - MAHESH KUMAR","10 - MASHOOQ AHMAD","11 - RAJENDRA PRASAD","12 - RAJESH  KUMAR  MAURYA","13 - SATYA PRAKASH","14 - TILAK RAM","15 - BRIJNANDAN TIWARI","16 - None of the Above","Total Votes Secured"
1,"JAGANNATHPUR GRANT",533,468,0,1001,257,201,0,458,458,0,76,4,102,205,35,3,0,10,2,0,5,0,2,5,2,7,458
2,"JAGANNATHPUR GRANT",491,396,0,887,240,127,0,367,367,0,23,15,167,133,12,0,2,2,0,0,1,0,1,0,3,8,367
3,"BASTI KHAS",618,562,0,1180,387,287,0,674,674,0,77,12,234,281,38,2,0,0,0,3,1,2,6,5,2,11,674
4,"BASTI KHAS",670,583,0,1253,366,304,0,670,670,0,131,21,215,237,17,1,1,8,2,5,4,0,5,5,6,12,670
5,"HAJI JOT",499,452,0,951,284,246,0,530,530,0,31,19,198,229,12,2,0,13,2,0,1,2,5,7,3,6,530
6,"HAJI JOT",425,341,0,766,213,162,0,375,375,0,35,5,72,201,34,0,0,18,1,0,2,0,1,2,1,3,375
7,MOHAMMADPUR,536,422,0,958,236,202,0,438,438,0,39,5,83,135,18,1,6,130,1,3,2,0,9,2,0,4,438
8,"CHANDRDEEP GHAAT",346,276,0,622,212,153,0,365,365,0,85,4,94,155,15,3,1,3,0,1,1,0,1,0,1,1,365
9,"SEETARAMPUR GRANT",573,482,0,1055,252,217,0,469,469,0,61,13,151,193,31,2,1,6,1,1,1,0,3,0,0,5,469
10,"SEETARAMPUR GRANT",481,395,0,876,191,167,0,358,358,0,59,15,119,86,68,3,0,0,1,2,1,0,2,1,0,1,358
11,"SEETARAMPUR GRANT",702,579,0,1281,322,306,0,628,628,0,133,10,292,139,14,0,2,9,1,5,0,1,3,3,2,14,628
12,"SEETARAMPUR GRANT",230,193,0,423,103,113,0,216,216,0,62,9,60,72,10,0,1,0,0,0,0,0,1,1,0,0,216
