"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GHANSHAYAM ANURAGI","2 - BRIJLAL KHABRI","3 - BHANU PRATAP SINGH VERMA","4 - VIJAY CHAUDHARI","5 - GANGASINGH","6 - JAYRAM","7 - DALCHANDRA ANURAGI","8 - MANOJ KUMAR","9 - RAJKUMAR","10 - RAMNARAYAN","11 - RAM SINGH","12 - None of the Above","Total Votes Secured"
38,"PATALESHWAR INTER COLLEGE  SOUTH KAKSH DOHARAPUR",430,367,0,797,246,196,0,442,234,0,23,14,375,11,1,2,11,0,1,1,1,2,442
39,"PRIMARY SCHOOL DERA H. BEDAMAU",631,550,0,1181,315,309,0,624,620,0,83,171,334,13,0,1,0,3,3,5,1,10,624
40,"PRIMARY SCHOOL TUTUICHAND",315,272,0,587,197,159,0,356,356,0,22,128,191,10,1,0,1,0,0,0,1,2,356
41,"PRIMARY SCHOOL NERAKRAPALPUR",569,464,0,1033,321,209,0,530,15,0,156,82,262,18,0,1,0,1,1,1,2,6,530
42,"PRIMARY SCHOOL DEVIPUR",359,277,0,636,162,177,0,339,339,0,122,41,153,8,1,1,2,3,2,1,2,3,339
43,"PRIMARY SCHOOL DEVBRAHMAPUR",614,494,0,1108,354,245,0,599,294,0,78,98,344,59,2,0,8,2,1,0,2,5,599
44,"PRIMARY SCHOOL MADARIPUR",322,243,0,565,177,136,0,313,313,0,8,58,203,41,0,0,0,0,1,2,0,0,313
45,"PRIMARY SCHOOL EAST KAKSH  TATARPUR",556,445,0,1001,210,266,0,476,476,0,239,30,182,4,1,0,3,3,2,2,1,9,476
46,"PRIMARY SCHOOL WEST KAKSH  TATARPUR",545,444,0,989,315,223,0,538,538,0,145,127,239,16,0,0,2,2,1,1,2,3,538
47,"PRIMARY SCHOOL KUNVARPUR",473,389,0,862,268,202,0,470,470,0,30,88,312,24,0,1,2,3,1,4,4,1,470
48,"PRIMARY SCHOOL NORTH KAKSH  PACHLAKH",434,366,0,800,228,197,0,425,350,0,74,87,245,6,1,3,0,2,1,1,0,5,425
49,"PRIMARY SCHOOL SOUTH KAKSH   PACHLAKH",486,393,0,879,274,234,0,508,10,0,145,153,197,6,1,0,0,1,0,0,1,4,508
50,"PRIMARY SCHOOL NORTH KAKSH  GAURIKARAN",492,403,0,895,270,200,0,470,149,0,49,81,322,7,0,0,2,0,0,2,3,4,470
51,"PRIMARY SCHOOL  SOUTH KAKSH   GAURIKARAN",455,385,0,840,309,207,0,516,21,0,100,102,260,21,0,0,25,2,0,0,1,5,516
52,"PRIMARY SCHOOL BIRMA",698,567,0,1265,415,316,0,731,475,0,31,233,367,64,3,0,14,7,0,5,3,4,731
53,"PRIMARY SCHOOL  EAST KAKSH  SITHARA BUJURG",433,374,0,807,187,215,0,402,24,0,109,94,180,2,2,0,0,2,3,2,0,8,402
54,"PRIMARY SCHOOL   WEST  KAKSH SITHARA BUJURG",484,400,0,884,135,226,0,361,361,0,176,5,174,2,0,0,0,0,0,1,0,3,361
55,"PRIMARY SCHOOL SITHARA KHURD",397,305,0,702,216,200,0,416,416,0,68,153,151,36,0,0,0,1,1,1,3,2,416
56,"MAILAN KEDRA CHANDANAMAU",326,295,0,621,178,166,0,344,319,0,20,136,176,7,0,0,0,1,0,0,2,2,344
57,"PRIMARY SCHOOL ARAHARIAMAU",603,487,0,1090,339,256,0,595,595,0,44,157,360,20,1,1,3,0,1,1,1,6,595
58,"JUNIOR HIGH SCHOOL NORTH  KAKSH  AKODHI",451,391,0,842,273,181,0,454,165,0,108,97,235,6,0,0,0,2,2,2,1,1,454
59,"JUNIOR HIGH SCHOOL MIDDLE  KAKSH AKODHI",443,393,0,836,238,217,0,455,455,0,98,75,237,36,0,0,4,0,0,0,1,4,455
60,"JUNIOR HIGH SCHOOL SOUTH  KAKSH  AKODHI",562,455,0,1017,311,250,0,561,32,0,69,266,189,27,0,0,0,2,1,3,3,1,561
61,"JUNIOR HIGH SCHOOL EAST  KAKSH GURUGAON",524,430,0,954,271,199,0,470,120,0,56,144,213,35,2,1,3,2,1,2,1,10,470
62,"JUNIOR HIGH SCHOOL  WEST KAKSH GURUGAON",459,421,0,880,246,235,0,481,481,0,26,137,274,24,1,0,12,1,1,2,0,3,481
63,"PRIMARY SCHOOL  PRAHLADPUR H. GURUGAON",599,443,0,1042,227,224,0,451,148,0,98,98,244,8,1,0,0,0,0,1,0,1,451
64,"PRIMARY SCHOOL MAKARANDAPUR",402,351,0,753,316,153,0,469,469,0,58,162,215,20,1,0,4,2,0,1,1,5,469
65,"PRIMARY SCHOOL ANANTAPUR",418,357,0,775,220,175,0,395,394,0,28,165,180,10,1,0,0,0,1,3,3,4,395
66,"PRIMARY SCHOOL  SURYAPUR  H. ANANTAPUR",149,131,0,280,122,97,0,219,90,0,182,2,28,1,0,0,0,0,1,0,0,5,219
67,"PRIMARY SCHOOL HARAMAU",768,671,0,1439,447,363,0,810,810,0,15,240,494,42,2,1,2,2,2,3,4,3,810
68,"PRIMARY SCHOOL DOBHA",329,306,0,635,166,139,0,305,105,0,7,44,239,9,0,1,1,1,0,1,0,2,305
69,"PRIMARY SCHOOL ANDVAN",554,469,0,1023,327,267,0,594,13,0,16,155,404,6,1,0,0,3,1,3,3,2,594
70,"PRIMARY SCHOOL HAIDARPUR",638,556,0,1194,329,275,0,604,6,0,161,301,108,16,2,0,10,0,0,1,1,4,604
71,"PRIMARY SCHOOL  HAIDARAPUR  H.  HAIDARPUR",330,303,0,633,180,156,0,336,336,0,68,137,109,3,0,1,1,2,1,4,3,7,336
72,"PRIMARY SCHOOL BADHAULI",697,586,0,1283,451,351,0,802,802,0,98,372,289,28,0,0,2,1,2,2,1,7,802
73,"PRIMARY SCHOOL PILKHINI",609,514,1,1124,386,341,0,727,33,0,56,439,209,10,0,1,0,3,0,2,1,6,727
74,"G.G.I.C. EAST KAKSH OF NOTH PART NAGAR PALIKA PARISHAD  PUKHRAYAN",577,491,0,1068,345,287,0,632,21,0,130,126,332,32,0,0,1,1,0,3,4,3,632
75,"G.G.I.C. WEST KAKSH OF NOTH PART NAGAR PALIKA PARISHAD  PUKHRAYAN",674,608,0,1282,394,342,0,736,736,0,222,169,264,66,6,0,4,0,3,1,0,1,736
76,"G.G.I.C. WEST KAKSH OF NOTH MIDDLE PART NAGAR  PALIKA PARISHAD PUKHRAYAN",756,655,0,1411,441,399,0,840,281,0,106,265,404,53,2,0,1,1,2,3,1,2,840
77,"PRIMARY SCHOOL EAST KAKSH DEEKSHA SCHOOL GROUND NAGAR PALIKA PARISHAD PUKHRAYAN",646,557,0,1203,382,299,0,681,107,0,128,268,200,43,0,0,2,1,2,32,3,2,681
78,"PRIMARY SCHOOL WEST KAKSH DEEKSHA SCHOOL GROUND NAGAR PALIKA PARISHAD PUKHRAYAN",631,533,0,1164,304,222,0,526,151,0,113,165,203,21,1,1,3,2,2,4,5,6,526
79,"SHRI RAMSWAROOP GRAM UDYOG INTER COLLEGE FIRST KAKSH OF NORTH PART NAGAR PALIKA PARISHAD PUKHRAYAN",615,562,1,1178,387,332,0,719,484,0,54,81,523,50,0,0,3,6,0,2,0,0,719
80,"SHRI RAMSWAROOP GRAM UDYOG INTER COLLEGE SECOND KAKSHOF NORTH PART NAGAR PALIKA PARISHAD PUKHRAYAN",683,597,0,1280,419,339,0,758,25,0,37,338,329,32,1,0,0,1,1,7,6,6,758
81,"SHRI RAMSWAROOP GRAM UDYOG INTER COLLEGE THIRD KAKSH OF NORTH PART NAGAR PALIKA PARISHAD PUKHRAYAN",539,491,0,1030,363,281,0,644,389,0,158,133,271,56,3,1,1,4,1,1,2,13,644
82,"SHRI RAMSWAROOP GRAM UDYOG INTER COLLEGE FOURTH KAKSHOF NORTH PART NAGAR PALIKA PARISHAD PUKHRAYAN",506,428,1,935,296,259,0,555,137,0,59,19,452,16,0,0,1,1,1,4,0,2,555
83,"SHRI RAMSWAROOP GRAM UDYOG INTER COLLEGE FIVE KAKSH OF NORTH PART NAGAR PALIKA PARISHAD PUKHRAYAN",431,417,0,848,232,216,0,448,54,0,159,54,148,76,1,1,2,2,1,0,1,3,448
84,"SHRI RAMSWAROOP GRAM UDYOG INTER COLLEGE SIX KAKSHOF NORTH PART NAGAR PALIKA PARISHAD PUKHRAYAN",455,398,0,853,265,205,0,470,470,0,33,6,375,47,1,0,5,1,0,0,1,1,470
85,"DEEKSHA VIDYALAY DIET TRAINING KAKSH EAST KAKSH  NAGAR PALIKA PARISHAD PUKHRAYAN",398,334,0,732,225,155,0,380,275,0,82,51,177,62,0,0,1,0,0,4,0,3,380
86,"DEEKSHA VIDYALAY DIET TRAINING KAKSH WEST KAKSH  NAGAR PALIKA PARISHAD PUKHRAYAN",473,425,0,898,307,271,0,578,382,0,49,103,329,81,2,1,2,2,4,1,1,3,578
87,"DEEKSHA VIDYALAY  LAB DIET  NAGAR PALIKA PARISHAD PUKHRAYAN",439,374,0,813,299,222,0,521,17,0,38,23,414,38,2,0,4,0,0,0,0,2,521
88,"DEEKSHA VIDYALAY DIET NAGAR PANCHAYAT SANSDHAN  KENDRA NORTH KAKSH NAGAR PALIKA PARISHAD PUKHRAYAN",385,335,0,720,260,196,0,456,108,0,67,11,349,24,0,0,4,0,0,0,0,1,456
89,"DEEKSHA VIDYALAY DIET NAGAR PANCHAYAT SANSDHAN  KENDRA SOUTH  KAKSH NAGAR PALIKA PARISHAD PUKHRAYAN",463,411,1,875,310,257,0,567,64,0,49,37,452,21,0,0,5,0,0,2,0,1,567
90,"MILAN KENDRA NORTH KAKSH  RAJENDRA  NAGAR   NAGAR PALIKA PARISHAD PUKHRAYAN""",414,366,0,780,238,217,0,455,455,0,44,17,364,13,3,0,11,1,0,1,0,1,455
91,"MILAN KENDRA SOUTH  KAKSH RAJENDRA  NAGAR  NAGAR PALIKA PARISHAD  PUKHRAYAN""",403,364,0,767,211,167,0,378,378,0,90,34,205,29,0,0,6,2,0,12,0,0,378
92,"JUNIOR HIGH SCHOOL RAJENDRA NAGAR NAGAR PALIKA  PARISHADPUKHRAYAN",837,764,0,1601,453,400,0,853,353,0,172,59,582,17,0,1,13,4,1,0,0,4,853
93,"JUNIOR HIGH SCHOOL  WEST KAKSH MEERPUR",568,490,0,1058,333,265,0,598,598,0,90,11,474,19,0,0,3,0,0,0,0,1,598
94,"JUNIOR HIGH SCHOOL MIDDLE KAKSH MEERPUR",376,300,0,676,213,182,0,395,395,0,73,21,274,19,1,0,4,0,0,1,1,1,395
95,"PRIMARY SCHOOL NORTH  KAKSH AHRAULISHEKH",559,484,0,1043,400,268,0,668,668,0,291,199,146,17,0,0,0,2,3,3,2,5,668
96,"PRIMARY SCHOOL SOUTH   KAKSH AHRAULISHEKH",741,654,0,1395,398,317,0,715,495,0,239,191,216,64,1,1,0,1,0,1,1,0,715
97,"VIVEKANAND INTER COLLEGE NORTH KAKSH   AHRAULISHEKH",674,588,0,1262,406,334,0,740,740,0,185,154,260,131,1,2,0,2,0,0,1,4,740
98,"VIVEKANAND INTER COLLEGE SOUTH   KAKSH AHRAULISHEKH",642,571,0,1213,304,253,0,557,20,0,184,83,247,31,1,0,1,5,1,2,1,1,557
99,"PRIMARY SCHOOL HARDUA AIMA",490,446,0,936,342,258,0,600,600,0,443,68,34,36,2,3,1,2,0,2,4,5,600
100,"PRIMARY SCHOOL KUSARJAPUR",407,368,0,775,240,216,0,456,456,0,48,128,245,27,1,1,2,0,1,1,0,2,456
101,"PRIMARY SCHOOL NORTH KAKSH MANCHA",497,420,1,918,308,269,0,577,45,0,19,177,351,15,2,4,0,1,1,0,1,6,577
102,"PRIMARY SCHOOL SOUTH  KAKSH MANCHA",527,437,0,964,357,277,0,634,571,0,17,199,397,8,0,0,6,2,0,1,3,1,634
103,"PRIMARY SCHOOL ALLAPUR",340,278,0,618,202,181,0,383,382,0,3,215,143,12,0,0,0,2,1,1,5,1,383
104,"PRIMARY SCHOOL KALLA",546,466,0,1012,370,285,0,655,646,0,15,284,322,14,1,0,14,0,0,3,0,2,655
105,"PRIMARY SCHOOL SUNARAPUR",286,274,0,560,199,201,0,400,400,0,22,15,319,30,0,0,0,5,1,2,1,5,400
106,"PRIMARY SCHOOL RANIA",633,523,0,1156,367,294,0,661,661,0,64,214,331,29,2,0,9,3,0,4,2,3,661
107,"PRIMARY SCHOOL BIDAKHURI",472,389,0,861,324,209,0,533,500,0,204,139,128,57,0,0,1,2,0,0,2,0,533
108,"PRIMARY SCHOOL SUKHASAURA",665,505,0,1170,387,253,0,640,271,0,138,266,184,25,1,2,1,2,3,9,2,7,640
109,"PRIMARY SCHOOL HEERAPUR",376,299,0,675,246,184,0,430,400,0,282,62,64,14,0,1,2,2,1,1,0,1,430
110,"PRIMARY SCHOOL ASUVAPUR",240,203,0,443,173,142,0,315,6,0,28,203,74,3,0,1,0,0,0,2,2,2,315
111,"PRIMARY SCHOOL SHYAMSUNDARPUR",354,309,0,663,228,199,0,427,427,0,40,210,162,2,1,1,1,1,2,1,4,2,427
112,"PRIMARY SCHOOL DADHAVAPUR",389,304,0,693,214,161,0,375,53,0,13,76,224,52,1,0,2,4,0,1,2,0,375
113,"PRIMARY SCHOOL ANGURI",552,436,0,988,291,197,0,488,3,0,38,159,272,17,0,0,1,0,0,0,1,0,488
114,"PRIMARY SCHOOL EAST KAKSH   BAHERIMAH",509,390,0,899,231,160,0,391,8,0,33,48,281,27,0,0,0,0,0,0,0,2,391
115,"PRIMARY SCHOOLWEST KAKSH   BAHERIMAH",417,345,0,762,209,165,0,374,374,0,88,42,213,24,0,0,3,0,0,1,0,3,374
116,"JUNIOR HIGH SCHOOL NORTH  KAKSH RURGAON",372,330,0,702,238,160,0,398,398,0,185,50,151,8,0,0,0,0,0,1,0,3,398
117,"JUNIOR HIGH SCHOOL SOUTH  KAKSH RURGAON",450,369,0,819,288,227,0,515,515,0,58,113,288,38,0,2,0,1,2,2,4,7,515
118,"JUNIOR HIGH SCHOOL SUJAGAVAN",613,499,0,1112,400,212,0,612,427,0,186,42,351,27,0,0,0,4,0,1,1,0,612
119,"PRIMARY SCHOOL SALEMPUR AIMA",313,267,0,580,216,197,0,413,413,0,55,252,92,10,1,0,0,0,2,0,1,0,413
120,"PRIMARY SCHOOL GIRADHARPUR",600,499,0,1099,369,275,0,644,125,0,98,84,432,18,1,1,0,1,1,4,1,3,644
121,"PATEL INTER COLLEGE SHEKHPUR",527,445,0,972,346,203,0,549,549,0,298,47,180,12,0,0,1,3,0,4,0,4,549
122,"PATEL INTER COLLEGE SHEKHPUR",207,162,0,369,131,94,0,225,225,0,6,207,10,0,0,0,0,0,0,1,1,0,225
123,"JUNIOR HIGH SCHOOL  BIJHAUNA H. SHEKHPUR",360,309,0,669,222,183,0,405,404,0,32,63,302,6,0,0,1,0,0,0,0,1,405
124,"JUNIOR HIGH SCHOOL MAHAKAPUR",346,298,0,644,236,162,0,398,398,0,240,6,144,1,0,3,0,1,0,0,0,3,398
125,"PRIMARY SCHOOL JALALPUR  H. JAHANGIRPUR",340,259,0,599,261,214,0,475,475,0,11,449,6,0,0,0,0,0,1,3,4,1,475
126,"JUNIOR HIGH SCHOOL  DHIKCHI H. JAHANGIRPUR",499,407,0,906,276,214,0,490,490,0,44,98,272,54,1,1,10,3,0,2,1,4,490
