"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANURADHA SHARMA","2 - UMA BHARATI","3 - DR. CHANDRAPAL SINGH YADAV","4 - PRADEEP JAIN ADITYA","5 - ARCHANA","6 - CHINTAMANI","7 - NARESH KUMAR","8 - MAULANA MOHAMMAD","9 - SUNIL MASSEY","10 - KULDEEP KUMAR","11 - TULA RAM","12 - DILSHAD AHMAD","13 - RACHNA SHARMA","14 - RAJENDRA KUMAR","15 - RAM KUMAR ANK SHASTRI","16 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL EAST PART KANDHARIKALAN",410,377,0,787,339,303,0,642,68,0,155,210,194,43,0,1,4,0,0,3,1,5,1,6,8,11,642
2,"PRIMARY SCHOOL WEST PART KANDHARIKALAN",402,365,0,767,344,278,0,622,621,0,30,297,210,25,2,1,4,1,4,4,4,6,4,7,17,6,622
3,"PRIMARY SCHOOL BHAISANWARAKHURD",400,348,0,748,355,270,0,625,625,0,96,104,383,20,3,1,2,0,2,2,0,0,3,1,3,5,625
4,"PRIMARY SCHOOL PURAKHURD",390,343,0,733,337,275,0,612,612,0,83,229,231,33,1,1,1,2,1,0,2,2,5,10,4,7,612
5,"J.S.S SCHOOL UGARPUR",524,441,0,965,439,320,0,759,620,0,216,348,156,9,2,0,5,0,6,1,3,1,1,0,7,4,759
6,"PRIMARY SCHOOL GAIVRA",553,483,0,1036,454,380,0,834,834,0,171,336,209,39,2,1,3,5,2,4,3,4,5,11,18,21,834
7,"PRIMARY SCHOOL GUNDERA",578,507,0,1085,458,392,0,850,654,0,213,238,271,78,3,3,6,0,4,3,3,3,4,8,6,7,850
8,"PRIMARY SCHOOL VARMAVIHAR",578,488,0,1066,493,387,0,880,880,0,79,131,620,18,1,0,1,1,1,1,5,3,2,9,3,5,880
9,"PRIMARY SCHOOL VIRDHA",833,709,0,1542,655,564,0,1219,1019,0,92,864,69,69,2,4,9,2,7,6,6,5,11,13,43,17,1219
10,"J.H. SCHOOL VIRDHA",728,670,0,1398,613,451,0,1064,1064,0,370,345,150,103,12,4,5,4,1,2,5,4,6,9,22,22,1064
11,"PRIMARY SCHOOL JHANWAR",646,571,0,1217,515,407,0,922,6,0,193,501,174,16,4,3,3,1,0,8,3,0,1,3,8,4,922
12,"PRIMARY SCHOOL KANDHARIKHURD",358,323,0,681,340,285,0,625,459,0,152,111,320,12,1,2,1,0,0,0,0,2,4,5,7,8,625
13,"PRIMARY SCHOOL NATTHIKHEDA",583,527,0,1110,532,471,0,1003,1003,0,326,203,415,8,1,0,1,0,1,1,1,1,5,15,11,14,1003
14,"GIRLS PRIMARY SCHOOL NATTHIKHEDA",800,689,0,1489,642,528,0,1170,920,0,123,595,315,30,9,3,4,6,3,4,4,6,6,15,25,22,1170
15,"PRIMARY SCHOOL SARKHADI",268,241,0,509,236,209,0,445,445,0,79,79,217,37,7,1,2,0,2,0,1,2,2,4,7,5,445
16,"GIRLS PRIMARY SCHOOL PAWA",656,587,0,1243,526,443,0,969,969,0,308,331,207,43,4,1,6,4,2,1,0,9,10,13,14,16,969
