"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR RATANJIT PRATAP NARAIN SINGH","2 - RAJESH PANDEY URF GUDDU","3 - RADHE SHYAM SINGH","4 - DR. SANGAM MISHRA","5 - AKHAND","6 - AMEERUDDIN","7 - ARVIND","8 - KASHEEM ALI","9 - GOBARDHAN PRASAD","10 - JAHID","11 - BACHCHOOLAAL","12 - MARKANDE","13 - RAMDHANEE","14 - RAMPRATAP","15 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL GHODADEUR  ROOM-1",539,410,0,949,301,246,0,547,2,0,105,243,69,102,1,0,3,0,1,1,1,2,8,3,8,547
2,"PRIMARY SCHOOL GHODADEUR  ROOM-2",535,440,0,975,249,244,0,493,293,0,94,211,91,76,1,1,0,1,1,1,1,0,4,8,3,493
3,"PRIMARY SCHOOL MUNDERALALA",654,518,0,1172,345,268,0,613,222,0,76,194,259,59,2,2,2,2,3,3,0,2,2,4,3,613
4,"PRIMARY SCHOOL BALUA",871,721,0,1592,499,434,0,933,933,0,145,337,285,111,2,3,3,4,4,2,5,5,5,5,17,933
5,"PRIMARY SCHOOL BARWABABU",740,578,0,1318,406,326,0,732,2,0,39,169,238,262,6,1,1,1,0,0,5,1,4,2,3,732
6,"PRIMARY SCHOOL BISHUNPURA",584,448,0,1032,332,288,0,620,2,0,174,320,81,16,1,2,0,4,2,1,1,2,5,4,7,620
7,"PANCHAYAT BHAWAN TIKAR",703,603,0,1306,433,356,0,789,300,0,184,285,95,204,2,1,5,1,1,1,1,0,3,2,4,789
8,"PRIMARY SCHOOL SAHJAULI",465,385,0,850,281,248,0,529,17,0,104,179,147,78,1,4,2,1,3,2,2,0,1,1,4,529
9,"PRIMARY SCHOOL HARPUR SUKHHAD",724,574,0,1298,416,334,0,750,750,0,127,421,59,90,5,9,1,0,3,2,4,5,10,14,0,750
10,"PRIMARY SCHOOL SAKHAULI",885,723,0,1608,495,456,0,951,200,0,129,305,322,169,1,3,1,1,2,1,0,2,3,6,6,951
11,"PRIMARY SCHOOL SINGHPUR",413,335,0,748,219,200,0,419,9,0,82,197,19,106,0,0,6,1,0,0,2,1,2,2,1,419
12,"RAJENDRA SINGH INTER COLLAGE KUSUMHA ROOM-1",437,380,0,817,239,227,0,466,234,0,166,213,54,22,0,1,2,0,0,2,0,0,1,3,2,466
13,"RAJENDRA INTER COLLAGE KUSUMHA ROOM-2",476,400,0,876,237,234,0,471,399,0,74,270,20,77,1,5,1,2,1,1,0,2,7,5,5,471
14,"PRIMARY SCHOOL LEHANI ROOM-1",582,416,0,998,287,232,0,519,499,0,60,346,28,67,2,0,1,0,0,1,0,2,4,4,4,519
15,"PRIMARY SCHOOL LEHANI ROOM-2",588,428,0,1016,283,219,0,502,502,0,93,303,71,13,1,2,2,0,0,2,1,1,0,5,8,502
16,"PRIMARY SCHOOL SUMHATAR",830,768,0,1598,456,438,0,894,204,0,183,406,204,65,1,4,1,2,1,1,0,4,8,2,12,894
17,"JUNIOR HIGH SCHOOL PIPARA ROOM-1",598,486,0,1084,306,294,0,600,150,0,75,359,131,18,2,1,0,2,0,1,2,0,4,2,3,600
18,"JUNIOR HIGH SCHOOL PIPARA ROOM-2",460,385,0,845,248,217,0,465,465,0,52,196,110,85,1,0,4,0,0,0,1,3,3,3,7,465
19,"PRIMARY SCHOOL LANGADI",401,333,0,734,194,206,0,400,16,0,37,157,17,170,2,1,2,0,1,1,0,3,3,0,6,400
