"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.BHOLA PANDEY","2 - RAVINDRA KUSHAWAHA","3 - RAVI SHANKER SINGH","4 - HARIBANSH SAHAI KUSHWAHA","5 - ONKAR SINGH","6 - OM PRAKASH RAJBHAR","7 - CHANDRA PRATAP SINGH","8 - FIROZ AKHTAR","9 - SHRIRAM CHAUDHARY","10 - DR SANJAY KR. SINGH","11 - RAM KRIPAL","12 - SIYARAM DAS","13 - SUSHANT RAJ PATHAK","14 - None of the Above","Total Votes Secured"
1,"P.P. MANIAR TU.NO.2,EAST",444,322,0,766,169,152,0,321,321,0,0,96,22,122,3,64,2,1,0,1,1,1,0,8,321
2,"P.P.DIYAR MANIAR TU.NO.2,WEST",418,349,0,767,260,240,0,500,470,0,6,68,8,80,8,311,3,1,5,3,1,4,1,1,500
3,P.P.BHEKHARIA,628,486,0,1114,306,227,0,533,521,0,18,305,116,49,3,4,1,1,29,0,3,1,3,0,533
4,"P.P.RATNAULI,WEST",372,331,0,703,172,169,0,341,336,0,4,135,7,46,1,129,3,0,6,1,1,0,0,8,341
5,"P.P.BIKRAMPUR WEST,NORTH",734,587,0,1321,401,320,0,721,676,0,6,411,12,247,7,18,2,3,1,1,0,4,4,5,721
6,"P.P.BIKRAMPUR WEST,SOUTH",357,293,0,650,176,137,0,313,295,0,4,150,9,70,3,63,1,0,3,0,2,1,3,4,313
7,"INTER C.MANIAR,EAST",326,218,0,544,98,73,0,171,131,0,5,59,15,81,1,4,1,0,1,0,3,0,0,1,171
8,"INTER C.MANIAR,WEST",579,497,0,1076,236,184,0,420,420,0,8,235,43,101,8,9,0,1,0,1,1,3,4,6,420
9,"INTER C.MANIAR MIDDLE",400,324,0,724,185,136,0,321,321,0,2,179,84,23,3,24,2,1,1,0,2,0,0,0,321
10,"INTER C.MANIAR,MIDDLE",610,555,0,1165,283,247,0,530,491,0,51,228,55,159,1,15,9,3,6,2,0,1,0,0,530
11,"INTER C.MANIAR,MIDDLE",580,455,0,1035,311,230,0,541,493,0,16,371,21,50,2,50,2,2,14,0,2,0,3,8,541
12,"INTER C.MANIAR,MIDDLE",667,509,0,1176,261,244,0,505,440,0,22,271,125,34,0,2,0,0,41,1,0,0,2,7,505
13,"INTER C.MANIAR",557,470,0,1027,261,167,0,428,419,0,16,357,12,11,2,14,5,1,0,1,3,4,0,2,428
14,"INTER C.MANIAR",818,597,0,1415,263,334,0,597,557,0,14,375,20,124,5,19,8,0,19,3,0,1,2,7,597
15,"JR.H.S.MANIAR,EAST",549,501,0,1050,237,218,0,455,400,0,20,198,12,97,4,96,10,1,6,1,3,0,2,5,455
16,"P.P.MANIAR THANA KE PASS, WEST",890,649,0,1539,325,211,0,536,436,0,15,353,45,89,1,8,7,0,6,2,1,3,2,4,536
17,"KANYA P.P.MANIAR,NORTH",501,399,0,900,260,195,0,455,455,0,13,271,107,19,0,25,8,0,3,2,2,1,0,4,455
18,"KANYA P.P.MANIAR,SOUTH",557,449,0,1006,269,233,0,502,502,0,4,352,28,97,5,2,0,0,10,0,2,0,1,1,502
19,"TOWN P.P.MANIAR,EAST",532,465,0,997,321,241,0,562,549,0,9,453,19,39,3,12,4,1,7,1,5,1,1,7,562
20,"TOWN P.P.MANIAR,WEST",493,390,0,883,228,187,0,415,380,0,20,274,48,41,0,11,0,0,4,3,2,1,3,8,415
21,"NATH P.P.MANIAR,MIDDLE",498,427,0,925,241,187,0,428,310,0,7,245,23,118,1,19,2,0,2,0,0,1,5,5,428
22,"NEAR OF NATH P.P.MANIAR,MIDDLE",636,543,0,1179,294,289,0,583,583,0,19,382,23,88,4,22,19,0,0,0,3,1,7,15,583
23,"PANCHAT BHAWAN ALASGARH",466,353,0,819,197,196,0,393,393,0,16,89,12,97,4,151,12,2,1,1,2,2,4,0,393
24,"P.P.SARWAR KAKARGHATTI",543,414,0,957,242,187,0,429,389,0,17,232,82,49,2,22,2,3,1,4,5,2,4,4,429
25,P.P.BISHUNPURA,605,495,0,1100,338,330,0,668,668,0,21,184,122,257,7,35,0,1,25,0,1,2,2,11,668
26,P.P.RAMPUR,165,134,0,299,113,92,0,205,205,0,3,47,102,47,1,3,0,0,0,0,0,0,0,2,205
27,"P.P. PATKHAULI",470,359,0,829,199,170,0,369,369,0,15,88,43,86,7,114,2,0,1,0,3,3,2,5,369
28,"U.P.P. GODAWALI KHAS",477,363,0,840,251,165,0,416,409,0,3,76,16,263,3,26,14,0,1,1,4,2,2,5,416
