"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GHANSHAYAM ANURAGI","2 - BRIJLAL KHABRI","3 - BHANU PRATAP SINGH VERMA","4 - VIJAY CHAUDHARI","5 - GANGASINGH","6 - JAYRAM","7 - DALCHANDRA ANURAGI","8 - MANOJ KUMAR","9 - RAJKUMAR","10 - RAMNARAYAN","11 - RAM SINGH","12 - None of the Above","Total Votes Secured"
1,"P.V. CHHEWATA",632,528,0,1160,407,334,0,741,741,0,218,284,158,59,2,1,1,2,1,7,3,5,741
2,"P.V. DIBIYAPUR",267,240,0,507,153,127,0,280,280,0,45,55,154,10,2,1,1,1,1,2,1,7,280
3,"P.V. ATA",396,341,0,737,232,160,0,392,392,0,30,134,173,26,1,1,1,2,2,9,3,10,392
4,"P.V. SAJAUNI",215,192,0,407,147,135,0,282,282,0,59,90,101,4,1,1,1,3,0,5,3,14,282
5,"P.M.V. BUDERAKALA",377,315,0,692,214,197,0,411,411,0,137,62,143,30,4,2,3,3,1,3,6,17,411
6,"P.V. PIRAUNA",178,156,0,334,130,120,0,250,250,0,79,4,151,5,1,1,0,4,2,1,1,1,250
7,J.H.S.BUDERAGHAT,553,453,0,1006,349,275,0,624,624,0,319,90,152,22,4,3,4,2,1,3,6,18,624
8,"P.V.LOHAGARH U. PART-1",678,572,0,1250,354,278,0,632,632,0,245,124,168,58,2,0,3,1,0,0,7,24,632
9,"P.V.LOHAGARH U. PART-2",216,170,0,386,136,111,0,247,247,0,29,60,136,10,1,0,1,1,0,1,3,5,247
10,"P.M.V.LOHAGARH PART-1",388,324,0,712,245,144,0,389,389,0,88,30,221,34,2,0,2,2,2,5,0,3,389
11,"P.M.V.LOHAGARH PART-2",385,309,0,694,261,181,0,442,442,0,91,49,257,30,5,0,2,0,3,3,0,2,442
12,"KANYA P.V. LOHAGARH PART-1",444,374,0,818,276,227,0,503,503,0,135,102,218,27,0,1,2,4,1,1,4,8,503
13,"KANYA P.V. LOHAGARH PART-2",546,435,1,982,326,262,0,588,588,0,69,288,172,36,0,1,0,4,0,1,6,11,588
14,"S.S.S.PT. N.D.TIWARI JHS SERSA-1",704,579,0,1283,433,316,0,749,749,0,121,305,211,83,2,2,1,4,0,1,8,11,749
15,"P.V. SERSA",682,557,0,1239,417,263,0,680,680,0,136,54,340,130,2,2,4,1,2,3,2,4,680
16,"S.S.S.PT. N.D.TIWARI JHS SERSA-2",487,371,0,858,278,158,0,436,436,0,71,42,251,62,2,0,1,0,1,2,0,4,436
17,P.V.UJYARPURA,190,175,0,365,115,94,0,209,209,0,4,50,137,14,0,0,0,1,0,0,1,2,209
18,"P.V. KARHEE",554,471,0,1025,370,291,0,661,661,0,94,179,329,30,0,0,2,8,2,1,5,11,661
19,"P.V. DHHEGPURA",230,214,0,444,164,141,0,305,305,0,26,144,66,48,0,0,4,1,0,10,1,5,305
20,"P.V. MADORAKALA",327,269,0,596,198,158,0,356,356,0,99,21,196,26,3,3,0,2,1,1,3,1,356
21,"P.V. TIGRAKALA",174,164,0,338,120,104,0,224,224,0,118,8,94,3,0,0,0,0,0,1,0,0,224
22,"P.V. IMILIYA STATE",414,356,0,770,300,248,0,548,548,0,121,79,322,12,2,0,1,4,0,1,2,4,548
23,"P.V. ERA",248,218,0,466,184,146,0,330,330,0,110,113,66,28,0,1,2,0,2,3,3,2,330
24,"U.M.V. SESA",711,610,0,1321,498,421,0,919,919,0,39,346,412,67,2,10,2,3,7,9,6,16,919
25,"P.V. SESA",249,223,0,472,176,150,0,326,326,0,21,30,238,16,1,1,0,3,1,5,4,6,326
26,"U.P.V. KANAICHHA",377,299,0,676,227,185,0,412,412,0,30,110,243,7,1,3,0,5,1,4,1,7,412
27,"P.V. KHARAILA",174,153,0,327,114,82,0,196,196,0,61,2,122,5,0,0,0,3,0,1,0,2,196
28,"P.V. KASHIPURA",214,185,0,399,138,112,0,250,250,0,67,23,152,1,1,0,1,2,1,1,0,1,250
29,"P.V. JARHAKALA",371,292,0,663,238,195,0,433,433,0,90,76,249,8,0,0,0,1,1,2,0,6,433
30,"P.V.MAHARAJGANJ DHERI",642,502,0,1144,327,253,0,580,580,0,60,67,344,86,1,1,2,3,1,3,3,9,580
31,"P.M.V. MAHARAJGANJ",291,240,0,531,157,115,0,272,272,0,35,71,140,19,0,0,2,0,1,0,0,4,272
32,"P.V. DHERA",216,177,0,393,124,99,0,223,223,0,125,9,62,21,2,0,0,1,0,0,0,3,223
33,"P.V. BADAIRA",361,308,0,669,286,188,0,474,474,0,290,20,150,6,1,0,1,0,1,2,1,2,474
34,"P.V. KHAKAL",235,188,0,423,190,143,0,333,333,0,14,56,234,9,0,0,1,5,1,8,1,4,333
35,"SUBHASH I.C. POONCHH-1",701,572,0,1273,409,266,0,675,675,0,282,23,334,15,2,0,0,4,1,4,1,9,675
36,"SUBHASH I.C. POONCHH-2",655,542,0,1197,438,282,0,720,720,0,345,14,324,11,1,1,2,3,1,5,2,11,720
37,"BHAGIRATH I.C. POONCHH-1",625,560,0,1185,401,347,0,748,748,0,48,406,155,96,2,4,3,5,1,3,10,15,748
38,"BHAGIRATH I.C. POONCHH-2",803,671,0,1474,564,367,0,931,931,0,178,58,593,73,1,1,2,3,7,3,4,8,931
39,"P.V. FATEHPUR STATE",501,405,0,906,332,246,0,578,578,0,147,102,298,8,0,1,1,1,1,4,5,10,578
40,"P.V. SALEMAPUR",280,244,0,524,202,169,0,371,371,0,24,84,220,22,2,9,2,1,2,1,2,2,371
41,"P.V. MABOOSA",218,200,0,418,168,146,0,314,314,0,23,64,218,3,0,0,0,2,1,2,0,1,314
42,"P.V. DHAMDHAULI",81,73,0,154,64,62,0,126,126,0,19,81,19,5,0,1,0,0,0,1,0,0,126
43,"P.V. KHOOJA",468,391,0,859,332,227,0,559,559,0,28,126,346,31,6,1,3,2,2,3,3,8,559
44,"P.V. BARODA",710,577,0,1287,469,331,0,800,800,0,322,180,264,12,3,0,0,2,1,6,5,5,800
45,"P.V. SAKIN -1",497,428,0,925,333,325,0,658,658,0,8,353,252,11,2,0,2,2,0,3,8,17,658
46,P.V.SAKIN-2,453,362,0,815,295,198,0,493,493,0,23,158,287,12,0,1,0,0,0,5,3,4,493
47,"U.P.V.SAKIN PART-1",458,368,0,826,294,202,0,496,496,0,22,25,402,32,1,0,0,2,1,5,3,3,496
48,"U.P.V.SAKIN PART-2",537,421,0,958,253,139,0,392,392,0,107,147,93,29,1,0,0,1,1,0,3,10,392
49,"U.P.V.SAKIN PART-3",453,356,0,809,246,176,0,422,422,0,172,98,88,50,1,1,2,1,1,0,3,5,422
50,"U.P.V.SAKIN PART-4",492,408,0,900,269,188,0,457,457,0,48,64,311,24,0,0,3,3,0,0,2,2,457
51,"P.V. BADOKHARI",638,569,0,1207,471,389,0,860,860,0,148,324,345,26,2,0,1,4,0,3,2,5,860
52,"P.V. KUIYA",262,215,0,477,173,127,0,300,300,0,59,51,166,10,0,0,0,0,1,0,4,9,300
53,"P.V. SAJOKHARI",207,197,0,404,141,112,0,253,253,0,95,71,61,13,0,0,0,0,4,0,2,7,253
54,"P.V.PRACHEEN VIJAYGARH THANE KE PAS SAMTHAR",448,396,1,845,286,193,0,479,47,0,72,67,238,74,1,2,2,7,2,4,0,10,479
55,"P.M.V. NAGAR KSHETRA SAMTHAR",464,404,0,868,277,204,0,481,481,0,76,61,229,94,3,1,0,4,1,3,2,7,481
56,"NAGAR PALIKA PARISHAD K.U.M.V.SAMTHAR PART-1",416,382,0,798,276,208,0,484,484,0,67,30,306,67,1,0,0,2,1,4,2,4,484
57,"NAGAR PALIKA PARISHAD K.U.M.V.SAMTHAR PART-2",475,393,0,868,288,190,0,478,478,0,66,14,293,90,0,0,0,2,2,3,2,6,478
58,"NAGAR PALIKA PARISHAD K.U.M.V.SAMTHAR PART-3",276,238,0,514,156,126,0,282,282,0,34,35,160,38,1,0,3,3,1,1,2,4,282
59,"NAGAR PALIKA PARISHAD K.U.M.V.SAMTHAR-4",626,547,1,1174,410,344,1,755,755,0,68,257,244,146,2,3,3,5,2,4,6,15,755
