"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
41,"P.P.HAYATPUR MAFI",451,383,0,834,333,270,0,603,1,0,40,22,530,6,0,0,0,0,0,2,3,0,603
42,"P.P.SARAY BULE KHAN",309,274,0,583,303,200,0,503,6,0,0,4,487,5,0,1,2,0,1,3,0,0,503
43,P.P.FAREEDPUR,379,313,0,692,255,260,0,515,106,0,12,32,453,4,0,1,0,2,0,4,3,4,515
44,"P.P.MIREHCHI R.N0-1",508,446,0,954,288,239,0,527,311,0,109,49,352,3,0,1,2,1,4,0,4,2,527
45,"P.P.MIREHCHI R.N0-2",859,769,0,1628,522,455,0,977,306,0,64,309,569,5,1,1,3,2,0,3,10,10,977
46,J.H.SCH.MIREHCHI,368,341,0,709,285,260,0,545,28,0,8,3,525,5,0,0,0,1,1,1,0,1,545
47,P.P.KUTAINAMAFI,688,603,0,1291,669,369,0,1038,15,0,15,58,944,6,0,0,1,1,4,4,3,2,1038
48,"P.P.FATEHPUR MAFI",298,247,0,545,269,190,0,459,230,0,9,60,383,3,0,0,0,1,0,0,1,2,459
49,P.P.BHATPURA,239,213,0,452,195,189,0,384,1,0,20,0,357,3,0,0,0,0,1,0,0,3,384
50,"P.P.MEHNI SHORA R.N0-1",658,576,0,1234,379,317,0,696,220,0,351,157,161,3,1,0,0,2,1,3,10,7,696
51,"P.P.MEHNI SHORA R.N0-2",444,387,0,831,217,137,0,354,1,0,224,2,113,4,0,0,1,0,3,3,0,4,354
52,P.P.SONOTH,274,223,0,497,155,119,0,274,120,0,10,47,211,2,0,0,0,0,0,3,1,0,274
53,"P.P.CHATHI RAFIPUR R.N0-1",411,348,1,760,390,267,0,657,36,0,590,3,61,0,1,1,0,0,0,0,1,0,657
54,"P.P.CHATHIRAFIPUR R.N0-2",732,631,0,1363,497,301,0,798,798,0,381,174,229,2,0,1,0,3,1,1,3,3,798
55,"P.P. AASEPUR",322,291,0,613,210,170,0,380,25,0,345,2,25,3,0,0,1,0,0,0,0,4,380
56,"P.M.V.ORNI R.N0-1",660,549,0,1209,274,192,0,466,312,0,397,5,61,1,0,0,0,1,0,1,0,0,466
57,"P.M.V.ORNI R.N0-2",332,257,0,589,128,73,0,201,201,0,164,16,18,2,0,0,0,0,1,0,0,0,201
