"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
182,J.H.SCH.AHARMAI,453,360,0,813,395,183,0,578,11,0,401,36,131,1,0,0,0,2,1,3,3,0,578
183,"P.P.DHOLESHWAR R.N0-1",604,473,0,1077,303,209,0,512,20,0,143,21,317,7,1,1,1,1,1,6,6,7,512
184,"P.P.DHOLESHWAR R.N0-2",555,439,0,994,253,134,0,387,8,0,192,73,102,1,1,1,0,4,0,4,4,5,387
185,P.P.KASIMPUR,621,535,0,1156,442,355,0,797,250,0,83,157,536,7,0,0,0,0,2,3,5,4,797
186,P.P.RAMPUR,455,348,0,803,394,190,0,584,413,0,236,2,303,3,0,0,0,1,0,38,1,0,584
187,"P.P.MANAURA R.N0-1",321,252,0,573,119,49,0,168,15,0,143,3,19,1,0,0,0,0,0,1,0,1,168
188,"P.P.MANAURA R.N0-2",634,513,0,1147,356,238,0,594,1,0,413,35,114,1,1,1,2,2,2,17,4,2,594
189,"P.P.NAGLA GODI",320,280,0,600,302,248,0,550,1,0,1,53,493,1,0,0,2,0,0,0,0,0,550
190,U.P.V.KISHORPUR,266,235,0,501,227,194,0,421,160,0,11,1,400,2,2,0,0,0,0,2,2,1,421
191,P.P.SABHAPUR,612,506,0,1118,322,143,0,465,150,0,169,53,228,3,0,0,0,1,0,6,5,0,465
192,P.P.SIDRAI,199,162,0,361,140,123,0,263,31,0,1,236,17,0,0,1,1,0,0,2,1,4,263
193,P.P.MANGRAULI,675,551,0,1226,402,300,0,702,1,0,161,161,352,7,0,2,1,6,2,3,3,4,702
194,"P.P.FATEHPUR KHALSA",237,179,0,416,121,84,0,205,61,0,30,119,53,1,0,0,0,2,0,0,0,0,205
195,"P.P. NAGLA FAKEER",468,408,0,876,258,138,0,396,59,0,316,3,69,2,0,2,0,0,0,2,1,1,396
196,P.P.GUDHA,607,493,0,1100,373,278,0,651,395,0,119,224,283,4,0,0,2,0,0,4,6,9,651
197,P.P.MARGAYAN,727,588,0,1315,365,236,0,601,18,0,36,133,392,3,4,3,1,2,1,10,7,9,601
198,P.P.DASTAMPUR,459,399,0,858,262,168,0,430,108,0,146,12,251,4,1,0,1,3,2,3,5,2,430
199,P.P.LAHRA,667,569,0,1236,377,251,0,628,1,0,183,68,359,1,1,1,2,4,0,4,4,1,628
200,"P.M.V.RAFATPUR SAINTHRA",747,653,0,1400,333,164,0,497,15,0,128,107,250,4,0,2,2,0,0,2,1,1,497
201,P.P.BICHPURI,325,285,0,610,152,120,0,272,1,0,184,18,58,0,0,1,0,2,0,2,3,4,272
202,P.P.BAKALPUR,394,347,0,741,286,168,0,454,1,0,390,5,53,1,0,0,0,3,0,0,0,2,454
203,P.P.KHANGARPUR,522,451,0,973,408,325,0,733,394,0,23,3,695,3,0,1,2,1,1,2,1,1,733
204,P.P.GAHETU,705,605,0,1310,404,272,0,676,30,0,426,3,210,7,1,0,2,3,1,3,8,12,676
205,"P.P. SHAHPUR M0 GAHETU",360,309,0,669,267,206,0,473,1,0,232,0,231,1,1,0,1,0,0,6,0,1,473
206,"P.P. ROOPASPUR",370,291,0,661,275,197,0,472,12,0,179,1,276,5,0,2,1,1,0,1,2,4,472
207,P.M.V.GAHETU,689,565,0,1254,391,278,0,669,521,0,128,155,365,4,0,1,1,1,2,0,4,8,669
208,"P.P.NIDHAULI KALAN DEHAT",638,495,0,1133,388,292,0,680,1,0,42,226,388,3,1,0,2,2,1,1,6,8,680
209,"RASHTRIYA INTER COLLEGE NIDHAULI KALAN",866,711,0,1577,378,305,0,683,648,0,204,29,402,23,1,1,4,2,1,3,6,7,683
210,"P.P.KUNVARPUR CHANDRABHANPUR",377,340,0,717,251,256,0,507,507,0,90,10,382,5,1,0,3,0,4,5,5,2,507
211,"P.P.LALPUR M0 HORCHI",328,305,0,633,269,241,0,510,5,0,31,1,470,2,0,0,0,0,1,1,1,3,510
212,"P.P.HORCHI R.N0-1",337,294,0,631,193,138,0,331,4,0,158,1,155,3,0,0,1,0,1,5,3,4,331
213,"P.P.HORCHI R.N0-2",572,449,0,1021,270,195,0,465,230,0,96,101,230,6,1,1,5,4,1,3,8,9,465
214,P.P.PALIYA,644,561,0,1205,286,275,0,561,1,0,179,101,271,1,0,1,0,0,1,4,1,2,561
215,"P.P.JITAULI  R.N0-1",607,517,0,1124,363,246,0,609,37,0,377,8,211,0,0,0,2,1,0,7,0,3,609
216,"P.P.JITAULI  R.N0-2",386,321,0,707,220,132,0,352,12,0,236,1,105,1,0,0,1,0,1,3,0,4,352
217,P.P.ARTHARA,231,200,0,431,141,111,0,252,44,0,5,129,111,1,0,1,2,0,0,1,2,0,252
218,"P.P.UMRAYPUR ARTHARA",425,342,0,767,331,191,0,522,11,0,243,58,188,2,0,1,1,0,2,19,5,3,522
219,U.P.V.MUKHARNA,355,284,0,639,212,111,0,323,2,0,106,11,170,4,0,0,1,0,0,28,2,1,323
220,"P.P.JAWAHARPUR ARTHARA",366,321,0,687,270,251,0,521,6,0,368,82,55,0,0,1,0,1,1,1,2,10,521
221,"P.P. KAKRAWALI R.NO-1",440,377,0,817,326,279,0,605,605,0,169,1,426,2,1,1,0,0,3,1,1,0,605
222,"P.P.KAKRAWALI R.N0-2",531,450,0,981,342,263,0,605,1,0,155,168,257,5,1,0,2,1,2,3,4,7,605
223,P.P.DARAGPUR,347,286,0,633,266,200,0,466,466,0,437,1,27,0,0,0,1,0,0,0,0,0,466
224,J.H.SCH.KAKRAWALI,402,350,0,752,277,201,0,478,1,0,97,20,335,2,3,2,2,2,2,7,3,3,478
225,P.P.CHITAUNI,536,464,0,1000,431,331,0,762,100,0,40,86,615,3,2,2,1,3,1,4,3,2,762
226,P.P.DULHAPUR,488,449,0,937,425,373,0,798,354,0,23,5,750,4,0,0,0,1,0,8,3,4,798
227,"P.P.ASRAULI R.NO-1",793,718,0,1511,601,487,0,1088,285,0,36,119,894,14,2,3,0,1,2,7,5,5,1088
228,"P.P.ASRAULI R.NO-2",683,586,0,1269,483,399,0,882,882,0,31,87,726,13,2,3,0,2,1,9,6,2,882
229,"P.P.BARTHAR R.N0-1",514,422,0,936,483,399,0,882,882,0,31,87,726,13,2,3,0,2,1,9,6,2,882
230,"P.P.BARTHAR R.N0-3",635,503,0,1138,268,206,0,474,159,0,19,195,240,0,0,3,1,1,1,9,3,2,474
231,"P.P.BARTHAR R.N0-2",538,486,0,1024,303,248,0,551,27,0,8,492,43,0,0,0,0,0,1,3,1,3,551
232,"J.H.SCHOOL BARTHAR",482,398,0,880,225,187,0,412,49,0,20,332,53,2,0,0,1,1,0,0,0,3,412
233,"P.P.NAGLA KANCHAN",431,362,0,793,345,279,0,624,50,0,3,13,588,7,0,0,0,3,0,6,1,3,624
234,P.P.BIJAURI,716,620,0,1336,412,280,0,692,1,0,18,278,322,51,0,2,4,1,0,4,8,4,692
235,P.P.KAMSAN,716,611,0,1327,397,307,0,704,6,0,33,90,478,6,2,0,0,1,4,64,16,10,704
236,"P.P.NAGLA KISI",217,196,0,413,135,100,0,235,1,0,20,148,63,0,0,0,0,1,0,1,1,1,235
237,P.P.SAILAR,405,321,0,726,329,232,0,561,1,0,501,21,23,0,0,0,1,0,0,14,1,0,561
238,"P.P.HIMMATPUR NASIRPUR",546,465,0,1011,320,160,0,480,15,0,323,0,144,2,0,0,0,1,0,9,0,1,480
239,"P.P.NAGLA GALU",603,528,0,1131,437,326,0,763,186,0,519,18,201,1,0,0,2,1,0,14,4,3,763
240,"P.P.RARPATTI R.NO-1",745,653,0,1398,366,320,0,686,186,0,84,126,435,10,1,1,5,2,4,2,4,12,686
241,"P.P.RARPATTI R.NO-2",208,196,0,404,162,144,0,306,17,0,0,2,302,1,0,0,0,0,0,0,1,0,306
242,"P.P.RARPATTI R.NO-3",722,647,0,1369,478,366,0,844,30,0,64,181,572,6,0,2,4,3,1,0,6,5,844
243,K.P.P.BADARIYA,741,628,0,1369,534,425,0,959,5,0,9,153,770,7,6,1,2,0,0,1,7,3,959
244,"R.I.COLLEGE LALGARHI",148,149,0,297,122,118,0,240,1,0,196,1,37,0,0,0,0,0,0,6,0,0,240
245,P.P.SAMADPUR,585,468,0,1053,355,270,0,625,80,0,178,31,404,3,0,1,0,1,0,3,3,1,625
246,"P.P.NAGLA FAREED",466,422,0,888,205,190,0,395,129,0,10,25,344,2,1,0,0,0,2,5,4,2,395
247,J.H.SCH.KALIYANPUR,228,211,0,439,216,176,0,392,55,0,12,0,372,2,1,0,0,1,0,2,1,1,392
248,P.P.NYORAI,524,432,0,956,361,255,0,616,6,0,11,40,552,3,1,1,1,1,0,2,3,1,616
249,"U.P.V.NAGLA SAMAL M0-NYORAI",471,434,0,905,387,304,0,691,58,0,14,16,638,6,0,1,0,3,1,2,5,5,691
250,"BHARATIYA INTER COLLEGE NYORAI",653,539,0,1192,418,260,0,678,1,0,22,252,387,5,0,3,0,2,0,1,6,0,678
251,"P.P.NAGLA RANUA",630,528,0,1158,479,368,0,847,32,0,19,5,816,2,0,0,0,0,1,1,0,3,847
252,"P.P.GIRAURA R.N0-1",768,616,0,1384,400,240,0,640,250,0,109,155,317,10,1,3,2,25,2,3,5,8,640
253,"P.P.GIRAURA R.N0-2",449,393,0,842,196,118,0,314,36,0,32,10,227,17,0,0,2,1,0,16,4,5,314
254,"VIKAS BHAWAN ALLEHPUR M0-GIRAURA",223,194,0,417,153,123,0,276,16,0,191,2,80,0,0,0,0,0,0,1,1,1,276
255,"PANCHAYAT BHAWAN HIMMAT NAGAR BAJHERA",616,483,0,1099,403,299,0,702,49,0,30,190,439,10,0,0,3,2,3,2,14,9,702
256,P.P.VIJAYPUR,358,296,0,654,290,241,0,531,5,0,49,2,471,2,0,0,0,0,1,2,1,3,531
257,"P.P.GADIYA M0-HIMMATNAGAR BAJHERA",462,377,0,839,290,262,0,552,347,0,233,146,165,0,0,1,1,0,0,2,1,3,552
258,"P.P.DATEI R.N0-1",503,417,0,920,353,248,0,601,329,0,13,4,573,2,1,0,0,0,0,0,5,3,601
259,"P.P.DATEI R.N0-2",467,391,0,858,285,205,0,490,67,0,6,61,408,3,0,3,0,0,0,4,4,1,490
260,P.P.SARNAU,740,621,0,1361,426,274,0,700,1,0,358,72,234,0,1,0,4,1,2,8,9,11,700
261,"P.P.NAGLA MANDHATI",282,233,0,515,220,165,0,385,200,0,75,3,297,2,0,0,0,1,1,2,4,0,385
262,P.P.VEERPUR,275,239,0,514,141,129,0,270,1,0,109,2,153,1,0,1,1,0,0,1,2,0,270
263,P.P.HAJRATPUR,641,543,0,1184,479,339,0,818,1,0,130,6,664,9,2,0,0,1,0,2,2,2,818
264,"P.P.KHANGARPUR DAULATPUR",695,541,0,1236,542,368,0,910,9,0,893,0,13,1,0,0,0,0,0,3,0,0,910
265,"P.P.NAGLA JAGROOP",327,264,0,591,160,102,0,262,8,0,31,46,175,0,0,1,1,1,0,4,1,2,262
266,P.P.LALPUR,144,145,0,289,140,135,0,275,4,0,0,0,273,1,0,0,0,0,0,0,1,0,275
267,P.P.BHAGIPUR,466,402,0,868,400,298,0,698,15,0,18,3,652,4,0,0,2,1,1,7,2,8,698
268,"P.P.JIRSAMI R.N0-1",625,551,0,1176,315,218,0,533,38,0,22,26,425,37,0,3,3,0,2,5,6,4,533
269,"P.P.JIRSAMI R.N0-2",215,200,0,415,147,114,0,261,200,0,1,0,249,4,0,0,1,0,0,2,2,2,261
270,P.P.SHRIKARA,511,431,0,942,418,317,0,735,1,0,8,2,706,12,0,0,1,0,0,3,2,1,735
271,"J.H.SCH.JIRSAMI R.N0-1",566,505,0,1071,269,239,0,508,33,0,101,135,242,4,1,3,5,3,2,3,6,3,508
272,"J.H.SCH.JIRSAMI R.N0-2",488,463,0,951,262,206,0,468,29,0,98,23,315,7,2,2,1,1,0,3,9,7,468
273,"P.P.NAGLA MUHI M0-JIRSAMI R.N0-1",624,569,0,1193,341,199,0,540,493,0,51,153,301,7,1,2,2,2,0,2,5,14,540
274,"P.P.NAGLA MUHI M0-JIRSAMI R.N0-2",181,163,0,344,122,102,0,224,138,0,1,1,217,0,1,2,0,0,2,0,0,0,224
275,"SAMUDAYIK SWASTHAY KENDRA SIRSARI",265,238,0,503,221,211,0,432,32,0,2,3,412,12,0,1,0,0,1,0,0,1,432
276,"J.H.SCHOOL NANDGAON",402,355,0,757,221,207,0,428,44,0,100,2,299,7,1,4,1,0,0,2,6,6,428
277,"P.P.AMBARI R.N0-1",758,638,0,1396,387,237,0,624,18,0,511,3,98,1,0,0,1,0,0,9,0,1,624
278,"P.P.AMBARI R.N0-2",310,240,0,550,94,37,0,131,16,0,43,4,73,1,0,2,2,0,0,2,2,2,131
279,"K.P.P.MARTHARA DEVKISHAN R.N0-1",440,381,0,821,232,210,0,442,132,0,68,172,181,2,0,1,0,1,2,6,2,7,442
280,"K.P.P.MARTHARA DEVKISHAN R.N0-2",522,446,0,968,298,263,0,561,161,0,22,2,521,7,1,0,0,0,1,4,0,3,561
281,"P.P.MARTHARA BHAGWANDAS",681,570,0,1251,415,427,0,842,20,0,380,64,352,5,1,3,7,0,2,8,7,13,842
282,P.P.BANWARIPUR,594,468,0,1062,479,377,0,856,11,0,20,1,823,2,0,0,0,2,0,2,2,4,856
283,J.H.SCH.PANCHAMPUR,414,354,0,768,357,261,0,618,48,0,10,2,597,2,0,0,0,0,3,3,1,0,618
284,"P.P.NAGLA SHEETAL URF DASTAMPUR M0- MARTHARA BHAGWANDAS",480,419,0,899,283,248,0,531,1,0,22,6,485,15,0,0,0,1,0,2,0,0,531
285,P.P.KHUTIYANA,301,258,0,559,237,196,0,433,1,0,11,37,367,6,0,0,0,5,0,1,4,2,433
286,"P.P.MAU TA0 BARAULI",454,398,0,852,233,190,0,423,233,0,103,46,253,7,0,0,2,2,0,2,6,2,423
287,"P.P.MILAWALI - II",610,530,0,1140,431,316,0,747,45,0,16,14,685,7,1,2,3,1,3,6,7,2,747
288,"P.P.MILAWALI R.NO-2",721,648,0,1369,345,275,0,620,604,0,46,70,431,38,0,2,1,25,2,1,3,1,620
289,"P.P.NAGLA PAWAL R.N0-1",717,670,0,1387,409,361,0,770,1,0,39,55,612,15,1,1,2,4,3,7,15,16,770
290,"P.P.NAGLA PAWAL R.N0-2",291,252,0,543,238,142,0,380,1,0,1,188,183,3,0,1,0,0,0,0,1,3,380
291,"P.P.KUTHILA LAYAKPUR R.N0-1",428,362,0,790,370,249,0,619,58,0,1,6,597,3,0,1,1,0,1,3,4,2,619
292,"P.P.KUTHILA LAYAKPUR R.N0-2",601,526,0,1127,421,274,0,695,17,0,71,120,489,1,0,0,0,0,0,1,8,5,695
293,"P.P.KISHANPUR LOYA",224,189,0,413,170,137,0,307,301,0,13,207,83,3,0,0,0,0,0,0,0,1,307
294,P.P.BABARPUR,364,281,0,645,192,143,0,335,2,0,4,185,132,0,1,2,2,1,1,6,1,0,335
295,"P.P.NAGLA DHEEMAR R.N0-1",250,204,0,454,134,123,0,257,48,0,25,39,188,1,0,0,0,1,0,1,2,0,257
296,"P.P.NAGLA DHEEMAR R.N0-2",474,388,0,862,293,257,0,550,1,0,248,4,286,3,0,1,1,0,0,2,5,0,550
297,"P.P.KATHOLI R.N0-1",533,432,0,965,379,298,0,677,11,0,39,48,534,35,2,2,4,1,3,4,2,3,677
298,"P.P.KATHOLI R.N0-2",246,212,0,458,143,100,0,243,70,0,48,4,183,4,0,0,1,0,0,1,1,1,243
299,"P.P.SHAHPUR MILAWALI",609,546,0,1155,421,349,0,770,5,0,604,72,85,0,0,1,1,4,0,3,0,0,770
300,P.P.ATHAIYA,280,233,0,513,216,160,0,376,14,0,247,2,98,20,1,2,0,0,1,2,0,3,376
301,"P.P.MAHUAT R.N0-1",398,327,0,725,208,152,0,360,190,0,47,53,254,2,0,1,2,0,0,0,0,1,360
302,"P.P.MAHUAT R.N0-2",666,541,0,1207,382,276,0,658,15,0,201,33,411,4,0,0,0,1,0,6,0,2,658
303,P.P.UJJEPUR,346,305,0,651,283,245,0,528,1,0,22,32,460,9,1,0,0,0,1,1,2,0,528
304,"P.P.NAGLA PREMI M0 MAHUAT",306,293,0,599,292,250,0,542,3,0,1,0,534,0,1,1,0,0,1,2,0,2,542
305,P.P.VAHANPUR,409,362,0,771,331,281,0,612,8,0,3,35,565,2,0,3,0,0,0,2,2,0,612
306,P.P.AUN,453,405,0,858,246,210,0,456,206,0,26,113,285,5,0,1,5,0,2,3,10,6,456
307,J.H.SCH.AUN,452,385,1,838,280,195,0,475,206,0,230,50,170,3,0,1,1,1,3,6,8,2,475
308,"P.P.UDDETPUR M0-AUN",245,196,0,441,211,168,0,379,14,0,54,1,320,2,0,0,0,0,0,1,1,0,379
309,"P.P.BHAGPUR R.NO-1",482,404,0,886,364,291,0,655,137,0,8,72,563,3,0,0,0,0,1,3,4,1,655
310,"P.P.BHAGPUR R.NO-2",391,331,0,722,308,209,0,517,1,0,4,99,409,1,1,1,0,0,0,2,0,0,517
311,P.P.JANGALPUR,276,235,0,511,226,175,0,401,36,0,0,2,397,1,0,0,0,1,0,0,0,0,401
312,"P.P.KUNAITHA TA0 BARAULI",257,233,0,490,94,93,0,187,168,0,91,32,64,0,0,0,0,0,0,0,0,0,187
313,P.P.DHUAI,468,411,0,879,368,276,0,644,3,0,543,2,92,0,0,1,0,1,0,5,0,0,644
314,P.P.AHAMDABAD,520,495,0,1015,305,245,0,550,1,0,10,8,516,8,0,1,1,0,0,4,2,0,550
315,"P.P.LOYA BADSHAHPUR BALVANT",475,376,0,851,336,253,0,589,407,0,11,16,543,6,1,0,0,0,0,2,6,4,589
316,"J.H.SCH.LOYABADSHAHPUR PEETAM SINGH",488,421,0,909,281,208,0,489,100,0,14,269,182,3,1,1,2,1,2,3,6,5,489
317,"P.P.PAWANS R.NO-1",842,706,0,1548,474,326,0,800,1,0,33,223,510,5,2,3,3,1,1,8,7,4,800
318,"P.P.PAWANS R.NO-2",570,489,0,1059,346,261,0,607,1,0,26,243,319,0,1,2,0,0,1,10,2,3,607
319,J.H.SCH.SINYAPUR,384,330,0,714,256,200,0,456,128,0,3,4,430,5,0,0,1,7,0,2,2,2,456
320,"P.P.JISUKHPUR ETAH",837,729,0,1566,506,445,0,951,50,0,208,261,446,9,0,2,2,1,2,5,4,11,951
321,P.P.MARJADPUR,427,366,0,793,306,265,0,571,70,0,4,6,547,6,0,0,1,1,1,1,1,3,571
322,"P.P. ACHALPUR",502,415,0,917,375,256,0,631,210,0,562,60,3,2,0,0,0,0,0,0,1,3,631
323,"P.P.NEHCHALPUR LOYA",435,355,0,790,264,169,0,433,7,0,44,47,328,5,0,1,1,0,1,1,3,2,433
324,"P.P.KEELARMAU R.N0-1",732,649,0,1381,421,324,0,745,30,0,60,256,364,11,4,3,3,11,3,6,10,14,745
325,"P.P.KEELARMAU R.N0-2",398,345,0,743,261,180,0,441,340,0,7,19,377,9,1,2,4,1,1,2,12,6,441
326,"P.P.NAGLA LOKI M0-KEELARMAU",207,175,0,382,173,139,0,312,147,0,282,0,26,0,0,0,0,0,0,0,0,4,312
327,"SARVESHWAR J.H.SCH.MANUPUR",332,290,0,622,196,158,0,354,10,0,106,13,227,3,0,0,0,0,0,1,2,2,354
328,"P.P.KASAUN NIZAMPUR R.N0-1",601,515,0,1116,268,217,0,485,137,0,310,14,123,2,0,4,2,5,0,17,3,5,485
329,"P.P.KASAUN NIZAMPUR R.N0-2",607,527,0,1134,271,208,0,479,106,0,284,96,84,2,1,1,1,3,0,3,1,3,479
