"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AYESHA ISLAM","2 - UMESH GAUTAM","3 - PRAVEEN SINGH ARON","4 - MASSARAT WARSI PAPPU BHAI","5 - SANTOSH KUMAR GANGWAR","6 - ASLAM ADVOCATE","7 - LAEEK AHMAD","8 - SUNIL KUMAR","9 - KAMAL KISHORE ENGINEER","10 - JAVED KHAN","11 - NETRAM","12 - MANOJ VIKAT","13 - LOTAN SINGH PATEL","14 - SAYAD RASHID ALI","15 - None of the Above","Total Votes Secured"
1,"SHUSHILA GIRISH U0 M0 BAREILLY KAMRA NO.1",575,456,0,1031,310,241,0,551,551,0,7,20,22,4,478,1,1,8,2,1,4,2,0,1,0,551
2,"SHUSHILA GIRISH U0 M0 BAREILLY KAMRA NO.18",670,514,0,1184,373,272,0,645,645,0,10,62,16,8,536,1,0,2,1,1,3,2,0,2,1,645
3,"SHUSHILA GIRISH U0 M0 BAREILLY KAMRA NO.2",618,487,0,1105,257,161,0,418,418,0,40,30,64,2,273,1,0,6,0,0,0,0,0,0,2,418
4,"SHUSHILA GIRISH U0 M0 BAREILLY KAMRA NO.3",515,466,0,981,154,120,0,274,274,0,60,14,62,1,131,0,0,4,0,1,0,0,0,0,1,274
5,"SHUSHILA GIRISH U0 M0 BAREILLY KAMRA NO.4",706,613,0,1319,295,226,0,521,521,0,116,74,70,3,253,0,0,1,0,0,0,0,0,2,2,521
6,"SHUSHILA GIRISH U0 M0 BAREILLY KAMRA NO.5",719,574,0,1293,335,258,0,593,593,0,116,94,78,4,278,1,0,12,2,3,0,1,0,1,3,593
7,"HARET MAN COLLGE KAMRA NO. 1",688,592,0,1280,297,220,0,517,517,0,114,25,195,3,164,2,0,6,0,0,0,0,2,1,5,517
8,"HARET MAN COLLGE KAMRA NO.2",490,420,0,910,195,151,0,346,346,0,35,22,97,0,186,1,0,5,0,0,0,0,0,0,0,346
9,"HARET MAN COLLGE KAMRA NO.3",790,641,0,1431,438,362,0,800,800,0,8,41,66,3,676,1,1,2,0,0,0,1,0,0,1,800
10,"SHUSHILA GIRISH U0 M0 BAREILLY KAMRA NO.8",542,405,0,947,205,170,0,375,375,0,8,8,45,3,297,0,0,11,1,0,1,0,0,0,1,375
