"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BAL KUMAR PATEL ALIAS RAJKUMAR","2 - BHAIRON PRASAD MISHRA","3 - RAMCHANDRA SARAS","4 - VIVEK KUMAR SINGH","5 - R. K. SINGH PATEL","6 - AMAR SINGH RATHAUR","7 - PAPPU YADAV","8 - PRABHAKAR PRASAD","9 - VISHVAMBHAR NATH","10 - MO. SAGEER","11 - SUSHEELA SINGH","12 - NARENDRA KUMAR SHRIVASTAVA","13 - VIJAY PRAKASH","14 - None of the Above","Total Votes Secured"
35,"PRATHMIK VIDYALAY AMAR PUR",298,223,0,521,187,154,0,341,248,0,91,159,3,3,66,0,1,3,1,2,0,2,5,5,341
36,"PRATHMIK VIDYALAY PIARIYA MAFI",573,406,0,979,282,230,0,512,13,0,75,313,6,5,76,1,1,0,1,3,3,4,5,19,512
37,"GOWAMI INTER COLLEG WEST ROOM CHIBO",703,545,0,1248,355,272,0,627,200,0,177,272,10,11,123,0,1,1,1,0,3,5,10,13,627
38,"GOWAMI INTER COLLEG EAST ROOM CHHIBO",783,595,0,1378,339,267,0,606,389,0,133,337,9,21,62,5,1,5,1,2,1,5,9,15,606
39,"PRATHMIK VIDYALAY CHHIBO",418,345,0,763,213,208,0,421,240,0,142,73,10,28,144,4,0,3,0,0,6,3,1,7,421
40,"PRATHMIK VIDYALAY NONAGAR PURWA MAZRA ATRSUI",434,351,0,785,225,220,0,445,418,0,181,110,7,5,119,1,0,0,0,2,1,4,6,9,445
41,"PRATHMIK VIDYALAY GOBARAUL",415,347,0,762,278,247,0,525,519,0,71,320,12,16,66,0,0,2,5,4,2,7,7,13,525
42,"PRATHMIK VIDYALAY TIRMAU",766,500,0,1266,328,213,0,541,202,0,82,304,13,10,115,3,1,3,0,1,1,0,6,2,541
43,"PRATHMIK VIDYALAY SHIVELAHA PURWA MAZRA BARUWA",258,206,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"PURV MADYAMIK VIDYALAY BARUWA",658,469,0,1127,275,219,0,494,124,0,27,181,7,25,234,4,2,0,2,3,1,2,1,5,494
45,"PRATHMIK VIDYALAY GANJ MAZRA BARUWA",196,147,0,343,104,101,0,205,62,0,11,132,8,1,44,1,2,3,0,1,0,1,0,1,205
46,"PRATHMIK VIDYALAY SIRAVAL MAFI",801,609,0,1410,403,300,0,703,210,0,180,249,12,8,200,5,3,2,8,2,3,7,9,15,703
47,"PRATHMIK VIDYALAY TIKRA MAZRA SIRAWAL MAFI",176,124,0,300,88,82,0,170,8,0,1,102,2,5,53,1,0,1,0,0,0,1,1,3,170
48,"PRATHMIK VIDYALAY KATAIYA KHADAR",786,656,0,1442,460,390,0,850,470,0,211,162,13,19,370,6,13,11,6,9,3,5,7,15,850
49,"PRATHMIK VIDYALAYBARACHHI",339,277,0,616,241,213,0,454,124,0,183,98,2,3,137,3,0,1,3,3,2,3,7,9,454
50,"PRATHMIK VIDYALAY SUHEL",578,436,0,1014,249,231,0,480,31,0,116,136,7,4,165,4,3,1,3,2,3,1,7,28,480
51,"KANYA PRATHMIK VIDYALAY HANNABINAIKA",721,585,0,1306,296,194,0,490,351,0,24,384,9,11,43,3,0,2,2,0,3,1,3,5,490
52,"PURV MADYAMIK VIDYALAY HANNABINAIKA",574,437,0,1011,260,200,0,460,459,0,66,233,12,11,108,3,2,2,1,1,1,3,6,11,460
53,"PURV MADYAMIK VIDYALAY BALHAURA",611,483,0,1094,339,300,0,639,450,0,56,164,16,24,323,7,4,3,2,5,6,4,4,21,639
54,"PRATHMIK VIDYALAY UFRAULI",569,468,0,1037,354,308,0,662,512,0,90,276,27,5,237,4,1,2,1,2,2,2,1,12,662
55,"PRATHMIK VIDYALAY BARIYA",613,499,0,1112,385,344,0,729,1,0,27,319,27,8,314,2,1,0,3,3,2,5,11,7,729
56,"PRATHMIK VIDYALAY CHAK BHNADESAR",288,242,0,530,116,104,0,220,158,0,62,92,4,0,60,0,0,0,0,1,0,0,0,1,220
57,"PRATHMIK VIDYALAY PIPRAUND",683,534,0,1217,545,262,0,807,289,0,95,410,14,9,240,6,0,4,4,1,4,4,7,9,807
58,"PRATHMIK VIDYALAY DADRI",413,329,0,742,263,229,0,492,391,0,165,202,6,6,94,1,2,2,2,1,1,1,5,4,492
59,"PRATHMIK VIDYALAY HATVA",807,633,0,1440,440,356,0,796,567,0,133,255,10,17,322,4,1,2,4,5,3,6,10,24,796
60,"PRATHMIK VIDYALAY SURAUNDHA NAVEEN",610,547,0,1157,333,318,0,651,650,0,31,216,14,28,315,5,5,4,3,5,1,6,9,9,651
61,"PRATHMIK VIDYALAY MATIYARA KA PURVA MAZRA DHDHWAR",582,512,0,1094,370,350,0,720,13,0,57,318,17,39,223,5,2,3,3,4,5,8,12,24,720
62,"PRATHMIK VIDYALAY KOPA",596,544,0,1140,353,336,0,689,500,0,205,103,16,48,296,7,1,1,0,0,2,1,3,6,689
63,"PRATHMIK VIDYALAY SIKRAUN",612,537,0,1149,359,316,0,675,428,0,136,261,16,21,207,5,0,3,1,4,0,6,5,10,675
