"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAPIL MUNI KARWARIYA","2 - KESHAV PRASAD MAURYA","3 - MOHD. KAIF","4 - DHARAM RAJ SINGH PATEL","5 - GYANENDRA KUMAR SRIVASTAVA GYANI BHAI","6 - GANESHJI TRIPATHI","7 - DAKKHINI PRASAD KUSHWAHA","8 - NATHU RAM BOUDHA","9 - PARVEZ ASHFAQUE SIDDIQUI","10 - SHIMALA SHRI","11 - SURENDRA KUMAR MISHRA","12 - ZIAOUL HAQUE","13 - DR. NEERAJ","14 - MITHILESH KUMAR","15 - MILAN MUKERJEE","16 - None of the Above","Total Votes Secured"
1,"ZILA PARISHAD PRA. PA. UJAHANIPATTI KASIM URF FATEHPUR GHAT ROOM NO.1",862,623,0,1485,522,287,0,809,806,0,103,514,20,105,2,3,3,4,2,8,4,3,3,5,12,18,809
2,"ZILA PARISHAD PRA. PA. UJAHANIPATTI KASIM URF FATEHPUR GHAT ROOM NO.2",573,437,0,1010,347,259,0,606,270,0,21,454,17,66,4,4,1,1,1,9,1,0,3,4,12,8,606
3,"ZILA PARISHAD PRA. PA. UJAHANIPA AAIMA",638,524,0,1162,300,239,0,539,498,0,148,296,14,27,0,0,1,2,0,1,2,8,4,3,12,21,539
4,"ZILA PARISHAD PRA. PA. MEERAPUR",602,467,0,1069,456,281,0,737,565,0,66,479,9,136,4,2,1,2,0,2,1,4,3,5,15,8,737
5,"ZILA PARISHAD PRA. PA. SAFDARGANJ ROOM NO. 1",789,639,0,1428,353,224,0,577,508,0,56,262,18,208,2,2,3,3,2,6,1,1,2,2,5,4,577
6,"ZILA PARISHAD PRA. PA. SAFDARGANJ ROOM NO. 2",830,612,0,1442,533,341,0,874,500,0,61,538,15,216,0,2,1,2,6,4,3,5,3,5,5,8,874
7,"SHERWANI INTER COLLAGE AKBARPUR SALLAHPUR ROOM NO. 1",616,464,0,1080,366,220,0,586,580,0,62,367,49,88,2,1,1,0,2,4,0,1,1,2,4,2,586
8,"SHERWANI INTER COLLAGE AKBARPUR SALLAHPUR ROOM NO. 2",550,525,0,1075,262,218,0,480,23,0,85,178,32,167,2,1,0,0,0,5,1,0,1,3,3,2,480
9,"SHERWANI INTER COLLAGE AKBARPUR SALLAHPUR ROOM NO. 3",540,441,0,981,253,193,0,446,1,0,133,13,11,269,0,0,1,1,1,1,2,4,1,1,1,7,446
10,"SHERWANI INTER COLLAGE AKBARPUR SALLAHPUR ROOM NO. 4",689,665,0,1354,303,236,0,539,10,0,159,24,11,331,2,0,0,0,2,1,1,2,0,0,2,4,539
11,"SHERWANI INTER COLLAGE AKBARPUR SALLAHPUR ROOM NO. 5",551,451,0,1002,323,208,0,531,531,0,48,249,31,170,3,2,1,1,0,6,3,0,0,3,5,9,531
12,"SHERWANI INTER COLLAGE AKBARPUR SALLAHPUR ROOM NO. 6",677,549,0,1226,437,321,0,758,758,0,82,456,31,137,0,8,2,1,1,5,4,6,6,10,7,2,758
13,"ZILA PARISHAD PRA. PA. MUHIDDINPUR BHARETHA",701,567,0,1268,455,325,0,780,637,0,295,311,32,105,2,0,1,1,4,5,4,3,2,3,3,9,780
14,"BHARTIYA BA.VI.JUNIAR HIGHSCHOOL TALAB TIWARI ROOM NO. 1",710,593,2,1305,282,194,0,476,165,0,18,85,13,349,5,1,0,0,0,0,0,1,1,0,2,1,476
15,"BHARTIYA BA.VI.JUNIAR HIGHSCHOOL TALAB TIWARI ROOM NO. 2",707,656,1,1364,279,194,0,473,147,0,5,21,12,417,3,0,0,0,1,8,0,0,1,0,1,4,473
